Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260921052132

Parameters
Date range,01 Sep 2013 - 31 Aug 2026
Region type,New Zealand
Market segment,All ICPs
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/08/2013,NZ,New Zealand,All combined,Solar (All),1415,0.07029,5.775,4.081,527,4.186
30/09/2013,NZ,New Zealand,All combined,Solar (All),1650,0.08199,6.589,3.994,224,3.410
31/10/2013,NZ,New Zealand,All combined,Solar (All),1821,0.09049,7.142,3.922,168,3.533
30/11/2013,NZ,New Zealand,All combined,Solar (All),2056,0.10209,8.026,3.904,237,3.726
31/12/2013,NZ,New Zealand,All combined,Solar (All),2238,0.11102,8.640,3.860,186,3.478
31/01/2014,NZ,New Zealand,All combined,Solar (All),2424,0.12015,9.362,3.862,185,3.655
28/02/2014,NZ,New Zealand,All combined,Solar (All),2699,0.13376,10.354,3.836,278,3.601
31/03/2014,NZ,New Zealand,All combined,Solar (All),2951,0.14614,11.509,3.900,257,4.540
30/04/2014,NZ,New Zealand,All combined,Solar (All),3153,0.15600,12.360,3.920,204,3.890
31/05/2014,NZ,New Zealand,All combined,Solar (All),3394,0.16777,13.235,3.899,240,3.952
30/06/2014,NZ,New Zealand,All combined,Solar (All),3692,0.18233,14.328,3.881,300,3.696
31/07/2014,NZ,New Zealand,All combined,Solar (All),4007,0.19775,15.487,3.865,323,3.649
31/08/2014,NZ,New Zealand,All combined,Solar (All),4269,0.21045,16.605,3.890,260,4.251
30/09/2014,NZ,New Zealand,All combined,Solar (All),4543,0.22370,17.659,3.887,276,3.819
31/10/2014,NZ,New Zealand,All combined,Solar (All),4862,0.23918,19.157,3.940,320,4.719
30/11/2014,NZ,New Zealand,All combined,Solar (All),5199,0.25551,20.899,4.020,337,5.154
31/12/2014,NZ,New Zealand,All combined,Solar (All),5506,0.27023,22.096,4.013,307,3.829
31/01/2015,NZ,New Zealand,All combined,Solar (All),5761,0.28256,23.144,4.017,254,4.097
28/02/2015,NZ,New Zealand,All combined,Solar (All),6006,0.29436,24.153,4.021,249,3.966
31/03/2015,NZ,New Zealand,All combined,Solar (All),6287,0.30789,25.236,4.014,283,3.767
30/04/2015,NZ,New Zealand,All combined,Solar (All),6559,0.32088,26.226,3.998,273,3.640
31/05/2015,NZ,New Zealand,All combined,Solar (All),6824,0.33352,27.198,3.986,268,3.712
30/06/2015,NZ,New Zealand,All combined,Solar (All),7183,0.35077,28.578,3.979,358,3.774
31/07/2015,NZ,New Zealand,All combined,Solar (All),7608,0.37121,30.135,3.961,426,3.636
31/08/2015,NZ,New Zealand,All combined,Solar (All),7934,0.38675,31.562,3.978,325,4.375
30/09/2015,NZ,New Zealand,All combined,Solar (All),8354,0.40680,33.137,3.967,417,4.298
31/10/2015,NZ,New Zealand,All combined,Solar (All),8702,0.42327,34.229,3.934,346,3.706
30/11/2015,NZ,New Zealand,All combined,Solar (All),9087,0.44162,35.669,3.925,387,3.752
31/12/2015,NZ,New Zealand,All combined,Solar (All),9516,0.46186,37.489,3.940,431,4.241
31/01/2016,NZ,New Zealand,All combined,Solar (All),9775,0.47423,38.415,3.930,267,3.503
29/02/2016,NZ,New Zealand,All combined,Solar (All),10123,0.49068,39.996,3.951,353,4.631
31/03/2016,NZ,New Zealand,All combined,Solar (All),10457,0.50674,41.162,3.936,341,3.486
