Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260925062111

Parameters
Date range,01 Sep 2013 - 31 Aug 2026
Region type,New Zealand
Market segment,All ICPs
Capacity,All combined
Fuel type,Solar (with battery)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/01/2014,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,1,2.000
28/02/2014,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
31/03/2014,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
30/04/2014,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
31/05/2014,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
30/06/2014,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
31/07/2014,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
31/08/2014,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
30/09/2014,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
31/10/2014,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
30/11/2014,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
31/12/2014,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
31/01/2015,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
28/02/2015,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
31/03/2015,NZ,New Zealand,All combined,Solar (with battery),1,0.00005,0.002,2.000,0,
30/04/2015,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,1,20.000
31/05/2015,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
30/06/2015,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
31/07/2015,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
31/08/2015,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
30/09/2015,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
31/10/2015,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
30/11/2015,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
31/12/2015,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
31/01/2016,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
29/02/2016,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
31/03/2016,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
30/04/2016,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
31/05/2016,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
30/06/2016,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
31/07/2016,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
31/08/2016,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
30/09/2016,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
31/10/2016,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
30/11/2016,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
31/12/2016,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
31/01/2017,NZ,New Zealand,All combined,Solar (with battery),2,0.00010,0.022,11.000,0,
28/02/2017,NZ,New Zealand,All combined,Solar (with battery),3,0.00014,0.023,7.667,1,1.000
31/03/2017,NZ,New Zealand,All combined,Solar (with battery),3,0.00014,0.023,7.667,0,
30/04/2017,NZ,New Zealand,All combined,Solar (with battery),4,0.00019,0.027,6.675,0,
31/05/2017,NZ,New Zealand,All combined,Solar (with battery),4,0.00019,0.027,6.675,0,
30/06/2017,NZ,New Zealand,All combined,Solar (with battery),5,0.00024,0.032,6.340,1,5.000
31/07/2017,NZ,New Zealand,All combined,Solar (with battery),6,0.00029,0.036,6.050,1,4.600
31/08/2017,NZ,New Zealand,All combined,Solar (with battery),6,0.00029,0.036,6.050,0,
30/09/2017,NZ,New Zealand,All combined,Solar (with battery),6,0.00029,0.036,6.050,0,
31/10/2017,NZ,New Zealand,All combined,Solar (with battery),6,0.00029,0.036,6.050,0,
30/11/2017,NZ,New Zealand,All combined,Solar (with battery),7,0.00033,0.041,5.900,1,5.000
31/12/2017,NZ,New Zealand,All combined,Solar (with battery),9,0.00043,0.051,5.662,2,4.830
31/01/2018,NZ,New Zealand,All combined,Solar (with battery),9,0.00043,0.051,5.662,0,
28/02/2018,NZ,New Zealand,All combined,Solar (with battery),9,0.00043,0.051,5.662,0,
31/03/2018,NZ,New Zealand,All combined,Solar (with battery),9,0.00043,0.051,5.662,0,
30/04/2018,NZ,New Zealand,All combined,Solar (with battery),9,0.00043,0.051,5.662,0,
31/05/2018,NZ,New Zealand,All combined,Solar (with battery),9,0.00042,0.051,5.662,0,
30/06/2018,NZ,New Zealand,All combined,Solar (with battery),9,0.00042,0.051,5.662,0,
31/07/2018,NZ,New Zealand,All combined,Solar (with battery),10,0.00047,0.053,5.303,0,
31/08/2018,NZ,New Zealand,All combined,Solar (with battery),14,0.00066,0.078,5.574,4,6.250
30/09/2018,NZ,New Zealand,All combined,Solar (with battery),15,0.00070,0.083,5.535,1,5.000
31/10/2018,NZ,New Zealand,All combined,Solar (with battery),17,0.00080,0.093,5.472,2,5.000
30/11/2018,NZ,New Zealand,All combined,Solar (with battery),19,0.00089,0.102,5.349,2,4.300
31/12/2018,NZ,New Zealand,All combined,Solar (with battery),20,0.00094,0.107,5.332,1,5.000
31/01/2019,NZ,New Zealand,All combined,Solar (with battery),21,0.00098,0.110,5.249,1,3.600
28/02/2019,NZ,New Zealand,All combined,Solar (with battery),22,0.00103,0.114,5.178,1,3.680
31/03/2019,NZ,New Zealand,All combined,Solar (with battery),24,0.00112,0.122,5.088,2,4.800
30/04/2019,NZ,New Zealand,All combined,Solar (with battery),27,0.00126,0.139,5.152,0,
31/05/2019,NZ,New Zealand,All combined,Solar (with battery),27,0.00126,0.139,5.152,0,
30/06/2019,NZ,New Zealand,All combined,Solar (with battery),31,0.00144,0.155,5.005,4,4.010
31/07/2019,NZ,New Zealand,All combined,Solar (with battery),31,0.00144,0.155,5.005,0,
31/08/2019,NZ,New Zealand,All combined,Solar (with battery),31,0.00144,0.153,4.922,1,2.500
30/09/2019,NZ,New Zealand,All combined,Solar (with battery),32,0.00148,0.158,4.925,1,5.000
31/10/2019,NZ,New Zealand,All combined,Solar (with battery),32,0.00148,0.158,4.925,0,
30/11/2019,NZ,New Zealand,All combined,Solar (with battery),33,0.00153,0.164,4.957,1,6.000
31/12/2019,NZ,New Zealand,All combined,Solar (with battery),33,0.00152,0.164,4.957,0,
31/01/2020,NZ,New Zealand,All combined,Solar (with battery),34,0.00157,0.169,4.959,0,
29/02/2020,NZ,New Zealand,All combined,Solar (with battery),34,0.00157,0.169,4.959,0,
31/03/2020,NZ,New Zealand,All combined,Solar (with battery),34,0.00157,0.169,4.959,0,
30/04/2020,NZ,New Zealand,All combined,Solar (with battery),34,0.00156,0.169,4.959,0,
31/05/2020,NZ,New Zealand,All combined,Solar (with battery),35,0.00161,0.178,5.095,1,9.750
30/06/2020,NZ,New Zealand,All combined,Solar (with battery),36,0.00165,0.182,5.056,1,3.680
31/07/2020,NZ,New Zealand,All combined,Solar (with battery),37,0.00170,0.186,5.017,1,3.600
31/08/2020,NZ,New Zealand,All combined,Solar (with battery),39,0.00179,0.209,5.364,2,11.790
30/09/2020,NZ,New Zealand,All combined,Solar (with battery),40,0.00183,0.213,5.322,1,3.680
