Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260820023957

Parameters
Date range,01 Sep 2013 - 31 Jul 2026
Region type,New Zealand
Market segment,Residential
Capacity,All combined
Fuel type,Solar (without battery)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/08/2013,NZ,New Zealand,All combined,Solar,1287,0.07495,4.777,3.711,472,3.745
30/09/2013,NZ,New Zealand,All combined,Solar,1521,0.08869,5.570,3.662,219,3.349
31/10/2013,NZ,New Zealand,All combined,Solar,1684,0.09821,6.112,3.629,160,3.314
30/11/2013,NZ,New Zealand,All combined,Solar,1910,0.11138,6.939,3.633,224,3.627
31/12/2013,NZ,New Zealand,All combined,Solar,2081,0.12122,7.493,3.601,173,3.364
31/01/2014,NZ,New Zealand,All combined,Solar,2253,0.13113,8.067,3.581,172,3.580
28/02/2014,NZ,New Zealand,All combined,Solar,2515,0.14629,8.930,3.551,264,3.289
31/03/2014,NZ,New Zealand,All combined,Solar,2753,0.16000,9.761,3.546,240,3.603
30/04/2014,NZ,New Zealand,All combined,Solar,2946,0.17107,10.488,3.560,195,3.716
31/05/2014,NZ,New Zealand,All combined,Solar,3167,0.18373,11.272,3.559,217,3.680
30/06/2014,NZ,New Zealand,All combined,Solar,3444,0.19957,12.261,3.560,276,3.591
31/07/2014,NZ,New Zealand,All combined,Solar,3752,0.21729,13.383,3.567,312,3.615
31/08/2014,NZ,New Zealand,All combined,Solar,3996,0.23114,14.324,3.585,240,3.898
30/09/2014,NZ,New Zealand,All combined,Solar,4252,0.24565,15.309,3.600,257,3.820
31/10/2014,NZ,New Zealand,All combined,Solar,4562,0.26242,16.447,3.605,304,3.698
30/11/2014,NZ,New Zealand,All combined,Solar,4884,0.28069,17.611,3.606,316,3.538
31/12/2014,NZ,New Zealand,All combined,Solar,5178,0.29734,18.681,3.608,290,3.508
31/01/2015,NZ,New Zealand,All combined,Solar,5423,0.31096,19.579,3.610,238,3.643
28/02/2015,NZ,New Zealand,All combined,Solar,5652,0.32389,20.397,3.609,231,3.568
31/03/2015,NZ,New Zealand,All combined,Solar,5913,0.33860,21.309,3.604,263,3.401
30/04/2015,NZ,New Zealand,All combined,Solar,6177,0.35335,22.158,3.587,262,3.197
31/05/2015,NZ,New Zealand,All combined,Solar,6419,0.36703,22.948,3.575,247,3.352
30/06/2015,NZ,New Zealand,All combined,Solar,6753,0.38588,24.019,3.557,334,3.177
31/07/2015,NZ,New Zealand,All combined,Solar,7157,0.40857,25.415,3.551,401,3.428
31/08/2015,NZ,New Zealand,All combined,Solar,7466,0.42585,26.664,3.571,307,4.047
30/09/2015,NZ,New Zealand,All combined,Solar,7861,0.44794,28.027,3.565,387,4.029
31/10/2015,NZ,New Zealand,All combined,Solar,8193,0.46633,29.027,3.543,329,3.640
30/11/2015,NZ,New Zealand,All combined,Solar,8571,0.48673,30.273,3.532,365,3.350
31/12/2015,NZ,New Zealand,All combined,Solar,8970,0.50933,31.667,3.530,399,3.487
31/01/2016,NZ,New Zealand,All combined,Solar,9219,0.52392,32.455,3.520,253,3.201
29/02/2016,NZ,New Zealand,All combined,Solar,9541,0.54179,33.477,3.509,325,3.239
31/03/2016,NZ,New Zealand,All combined,Solar,9866,0.56038,34.558,3.503,319,3.283
30/04/2016,NZ,New Zealand,All combined,Solar,10199,0.57863,35.648,3.495,330,3.257
31/05/2016,NZ,New Zealand,All combined,Solar,10552,0.59820,36.821,3.489,353,3.341
30/06/2016,NZ,New Zealand,All combined,Solar,10913,0.61838,37.997,3.482,363,3.231
31/07/2016,NZ,New Zealand,All combined,Solar,11267,0.63688,39.173,3.477,344,3.247
31/08/2016,NZ,New Zealand,All combined,Solar,11643,0.65764,40.407,3.471,376,3.258
30/09/2016,NZ,New Zealand,All combined,Solar,12006,0.67748,41.598,3.465,376,3.297
31/10/2016,NZ,New Zealand,All combined,Solar,12332,0.69521,42.705,3.463,325,3.347
30/11/2016,NZ,New Zealand,All combined,Solar,12693,0.71498,43.929,3.461,364,3.367
31/12/2016,NZ,New Zealand,All combined,Solar,13026,0.73243,45.112,3.463,334,3.499
31/01/2017,NZ,New Zealand,All combined,Solar,13262,0.74558,45.888,3.460,238,3.253
28/02/2017,NZ,New Zealand,All combined,Solar,13576,0.76164,46.902,3.455,290,3.301
31/03/2017,NZ,New Zealand,All combined,Solar,13916,0.77994,48.047,3.453,318,3.297
30/04/2017,NZ,New Zealand,All combined,Solar,14224,0.79657,49.074,3.450,316,3.280
31/05/2017,NZ,New Zealand,All combined,Solar,14543,0.81381,50.116,3.446,323,3.184
30/06/2017,NZ,New Zealand,All combined,Solar,14951,0.83563,51.336,3.434,409,2.946
31/07/2017,NZ,New Zealand,All combined,Solar,15304,0.85439,52.676,3.442,361,3.767
31/08/2017,NZ,New Zealand,All combined,Solar,15781,0.88020,54.235,3.437,487,3.220
30/09/2017,NZ,New Zealand,All combined,Solar,16171,0.90093,55.554,3.435,392,3.322
31/10/2017,NZ,New Zealand,All combined,Solar,16497,0.91788,56.706,3.437,335,3.453
30/11/2017,NZ,New Zealand,All combined,Solar,16931,0.94172,58.269,3.442,436,3.489
31/12/2017,NZ,New Zealand,All combined,Solar,17269,0.95895,59.472,3.444,342,3.534
31/01/2018,NZ,New Zealand,All combined,Solar,17542,0.97412,60.430,3.445,285,3.486
28/02/2018,NZ,New Zealand,All combined,Solar,17887,0.99202,61.664,3.447,345,3.540
