region_code,region,residential_solar_icps,average_capacity_kw,installed_capacity_mw
2,Auckland,15243,5.3,80.9957
4,Bay of Plenty,7160,5.9,42.5339
13,Canterbury,14260,5.8,82.3176
5,Gisborne,596,4.7,2.7794
6,Hawke's Bay,4362,5.8,25.1231
8,Manawatu-Wanganui,3893,5.9,23.0822
18,Marlborough,1589,5.4,8.6072
17,Nelson,1681,5.5,9.2474
1,Northland,5699,5.5,31.2743
14,Otago,5487,5.8,31.7982
15,Southland,906,5.7,5.1387
7,Taranaki,2455,6.4,15.8338
16,Tasman,2160,6.4,13.9279
3,Waikato,8819,6.0,53.1252
9,Wellington,7543,5.6,42.4535
12,West Coast,311,6.7,2.0778
