month_end,new_solar_battery_attachment_pct,low_10pct_small_solar_icps,low_10pct_new_small_solar_icps,low_10pct_solar_plus_battery_icps,low_10pct_solar_without_battery_icps,low_10pct_battery_stock_share_pct,low_10pct_registered_connection_power_proxy_mw,low_10pct_low_energy_proxy_mwh,low_10pct_central_energy_proxy_mwh,low_10pct_high_energy_proxy_mwh,high_30pct_small_solar_icps,high_30pct_new_small_solar_icps,high_30pct_solar_plus_battery_icps,high_30pct_solar_without_battery_icps,high_30pct_battery_stock_share_pct,high_30pct_registered_connection_power_proxy_mw,high_30pct_low_energy_proxy_mwh,high_30pct_central_energy_proxy_mwh,high_30pct_high_energy_proxy_mwh
2026-07-31,53.24376,89403.6,0.0,21055.0,68348.6,23.55051,172.419,172.419,258.629,344.839,89403.6,0.0,21055.0,68348.6,23.55051,172.419,172.419,258.629,344.839
2026-08-31,54.41423,90606.4,1202.8,21709.5,68896.9,23.96022,177.779,177.779,266.669,355.558,90759.4,1355.8,21792.7,68966.7,24.01156,178.461,178.461,267.691,356.922
2026-09-30,55.57619,91816.8,1210.4,22382.2,69434.6,24.37701,183.288,183.288,274.932,366.575,92133.1,1373.7,22556.2,69576.9,24.48219,184.713,184.713,277.069,369.425
2026-10-31,56.72827,93034.7,1217.9,23073.1,69961.6,24.80051,188.945,188.945,283.418,377.891,93524.7,1391.6,23345.6,70179.1,24.96199,191.177,191.177,286.766,382.355
2026-11-30,57.86918,94259.8,1225.1,23782.0,70477.8,25.23031,194.751,194.751,292.127,389.502,94934.5,1409.8,24161.5,70773.0,25.45067,197.858,197.858,296.787,395.717
2026-12-31,58.99766,95492.0,1232.2,24509.0,70983.0,25.66603,200.704,200.704,301.056,401.409,96362.6,1428.1,25004.0,71358.6,25.94784,204.758,204.758,307.137,409.516
2027-01-31,60.11253,96731.2,1239.2,25253.9,71477.3,26.10732,206.804,206.804,310.207,413.609,97809.2,1446.6,25873.6,71935.6,26.45314,211.879,211.879,317.818,423.758
2027-02-28,61.21264,97977.0,1245.8,26016.5,71960.5,26.55369,213.049,213.049,319.574,426.098,99274.4,1465.2,26770.5,72503.9,26.96616,219.224,219.224,328.835,438.447
2027-03-31,62.29693,99229.4,1252.4,26796.7,72432.7,27.00481,219.438,219.438,329.157,438.877,100758.3,1483.9,27694.9,73063.4,27.48648,226.794,226.794,340.19,453.587
2027-04-30,63.36441,100488.2,1258.8,27594.3,72893.9,27.46029,225.97,225.97,338.955,451.94,102261.1,1502.8,28647.2,73613.9,28.01374,234.592,234.592,351.887,469.183
