month_end,projected_total_icps,adoption_pct,small_solar_icps,small_capacity_mw
2026-07-31,2369852.6,3.76142,89140.1,751.577
2026-08-31,2372461.2,3.8127,90454.7,762.661
2026-09-30,2375069.7,3.86451,91784.7,773.874
2026-10-31,2377678.3,3.91685,93130.1,785.217
2026-11-30,2380286.8,3.96973,94490.9,796.691
2026-12-31,2382895.4,4.02314,95867.2,808.295
2027-01-31,2385503.9,4.07709,97259.1,820.031
2027-02-28,2388112.5,4.13157,98666.6,831.898
2027-03-31,2390721.1,4.18659,100089.8,843.898
2027-04-30,2393329.6,4.24215,101528.7,856.03
2027-05-31,2395938.2,4.29825,102983.4,868.295
2027-06-30,2398546.7,4.35488,104453.8,880.693
2027-07-31,2401155.3,4.41205,105940.2,893.225
2027-08-31,2403763.9,4.46975,107442.3,905.89
2027-09-30,2406372.4,4.52799,108960.4,918.69
2027-10-31,2408981.0,4.58677,110494.4,931.623
2027-11-30,2411589.5,4.64608,112044.3,944.692
2027-12-31,2414198.1,4.70592,113610.2,957.894
2028-01-31,2416806.7,4.76629,115192.1,971.231
2028-02-29,2419415.2,4.8272,116789.9,984.703
2028-03-31,2422023.8,4.88863,118403.7,998.31
2028-04-30,2424632.3,4.95059,120033.5,1012.052
2028-05-31,2427240.9,5.01307,121679.3,1025.928
2028-06-30,2429849.4,5.07608,123341.0,1039.938
2028-07-31,2432458.0,5.1396,125018.6,1054.083
2028-08-31,2435066.6,5.20365,126712.2,1068.362
2028-09-30,2437675.1,5.2682,128421.7,1082.776
2028-10-31,2440283.7,5.33328,130147.1,1097.323
2028-11-30,2442892.2,5.39886,131888.2,1112.003
2028-12-31,2445500.8,5.46494,133645.2,1126.817
2029-01-31,2448109.4,5.53153,135417.9,1141.764
2029-02-28,2450717.9,5.59862,137206.4,1156.843
2029-03-31,2453326.5,5.6662,139010.4,1172.054
2029-04-30,2455935.0,5.73428,140830.1,1187.396
2029-05-31,2458543.6,5.80284,142665.2,1202.869
2029-06-30,2461152.2,5.87188,144515.9,1218.472
2029-07-31,2463760.7,5.9414,146381.9,1234.205
2029-08-31,2466369.3,6.01139,148263.1,1250.067
2029-09-30,2468977.8,6.08185,150159.6,1266.057
2029-10-31,2471586.4,6.15278,152071.2,1282.174
2029-11-30,2474194.9,6.22416,153997.8,1298.418
2029-12-31,2476803.5,6.29599,155939.3,1314.788
2030-01-31,2479412.1,6.36827,157895.6,1331.282
2030-02-28,2482020.6,6.44099,159866.6,1347.901
2030-03-31,2484629.2,6.51414,161852.2,1364.642
2030-04-30,2487237.7,6.58772,163852.2,1381.505
2030-05-31,2489846.3,6.66172,165866.5,1398.488
2030-06-30,2492454.9,6.73613,167895.0,1415.591
2030-07-31,2495063.4,6.81095,169937.5,1432.813
2030-08-31,2497672.0,6.88617,171993.9,1450.151
2030-09-30,2500280.5,6.96178,174064.1,1467.605
2030-10-31,2502889.1,7.03778,176147.8,1485.174
2030-11-30,2505497.6,7.11415,178244.9,1502.855
2030-12-31,2508106.2,7.19089,180355.3,1520.649
2031-01-31,2510714.8,7.268,182478.7,1538.552
2031-02-28,2513323.3,7.34545,184615.0,1556.564
2031-03-31,2515931.9,7.42325,186764.0,1574.683
2031-04-30,2518540.4,7.50139,188925.5,1592.908
2031-05-31,2521149.0,7.57985,191099.4,1611.237
2031-06-30,2523757.6,7.65863,193285.3,1629.667
2031-07-31,2526366.1,7.73772,195483.2,1648.198
2031-08-31,2528974.7,7.81711,197692.7,1666.828
2031-09-30,2531583.2,7.89679,199913.7,1685.554
2031-10-31,2534191.8,7.97675,202146.0,1704.376
2031-11-30,2536800.4,8.05698,204389.4,1723.29
