month_end,projected_total_icps,larger_distributed_25kw_to_lt_1mw_capacity_mw,low_10pct_adoption_pct,low_10pct_small_solar_icps,low_10pct_small_capacity_mw,low_10pct_distributed_sub_1mw_capacity_mw,high_30pct_adoption_pct,high_30pct_small_solar_icps,high_30pct_small_capacity_mw,high_30pct_distributed_sub_1mw_capacity_mw
2026-07-31,2369932.2,182.197,3.77225,89399.7,755.015,937.213,3.77225,89399.7,755.015,937.213
2026-08-31,2372541.0,186.418,3.81879,90602.5,765.173,951.591,3.82524,90755.5,766.465,952.883
2026-09-30,2375149.7,190.736,3.86556,91812.8,775.395,966.131,3.87887,92129.1,778.066,968.802
2026-10-31,2377758.5,195.154,3.91254,93030.7,785.68,980.834,3.93314,93520.7,789.819,984.972
2026-11-30,2380367.3,199.674,3.95971,94255.7,796.027,995.701,3.98806,94930.4,801.724,1001.399
2026-12-31,2382976.0,204.299,4.00709,95487.9,806.433,1010.732,4.04362,96358.4,813.785,1018.084
2027-01-31,2385584.8,209.032,4.05465,96727.0,816.897,1025.929,4.09983,97804.9,826.001,1035.033
2027-02-28,2388193.5,213.874,4.10238,97972.8,827.419,1041.293,4.1567,99270.0,838.374,1052.248
2027-03-31,2390802.3,218.828,4.15029,99225.2,837.996,1056.823,4.21423,100753.9,850.906,1069.734
2027-04-30,2393411.1,223.896,4.19836,100483.9,848.626,1072.523,4.27242,102256.6,863.597,1087.494
2027-05-31,2396019.8,229.083,4.24658,101748.8,859.309,1088.391,4.33129,103778.5,876.45,1105.532
2027-06-30,2398628.6,234.389,4.29494,103019.7,870.042,1104.431,4.39082,105319.5,889.464,1123.853
2027-07-31,2401237.4,239.818,4.34344,104296.3,880.823,1120.641,4.45103,106879.8,902.642,1142.46
2027-08-31,2403846.1,245.373,4.39207,105578.5,891.652,1137.025,4.51192,108459.7,915.985,1161.358
2027-09-30,2406454.9,251.057,4.44081,106866.0,902.525,1153.582,4.5735,110059.2,929.493,1180.55
2027-10-31,2409063.6,256.872,4.48966,108158.7,913.443,1170.315,4.63576,111678.5,943.169,1200.041
2027-11-30,2411672.4,262.822,4.53861,109456.3,924.401,1187.224,4.69872,113317.7,957.012,1219.834
2027-12-31,2414281.2,268.91,4.58764,110758.6,935.4,1204.31,4.76237,114976.9,971.025,1239.935
2028-01-31,2416889.9,275.139,4.63676,112065.4,946.437,1221.576,4.82671,116656.3,985.208,1260.347
2028-02-29,2419498.7,281.512,4.68595,113376.5,957.509,1239.021,4.89176,118356.1,999.563,1281.076
2028-03-31,2422107.4,288.033,4.7352,114691.7,968.616,1256.649,4.95751,120076.3,1014.091,1302.124
2028-04-30,2424716.2,294.705,4.7845,116010.6,979.755,1274.46,5.02397,121817.0,1028.792,1323.497
2028-05-31,2427325.0,301.531,4.83385,117333.1,990.924,1292.455,5.09114,123578.5,1043.669,1345.2
2028-06-30,2429933.7,308.516,4.88322,118659.0,1002.122,1310.638,5.15902,125360.7,1058.72,1367.236
2028-07-31,2432542.5,315.662,4.93262,119988.1,1013.346,1329.008,5.22761,127163.9,1073.949,1389.611
2028-08-31,2435151.2,322.974,4.98203,121320.0,1024.595,1347.569,5.29693,128988.2,1089.356,1412.33
2028-09-30,2437760.0,330.455,5.03145,122654.6,1035.866,1366.321,5.36696,130833.6,1104.941,1435.396
2028-10-31,2440368.8,338.109,5.08086,123991.6,1047.158,1385.267,5.43772,132700.3,1120.706,1458.816
2028-11-30,2442977.5,345.941,5.13025,125330.8,1058.468,1404.409,5.5092,134588.4,1136.652,1482.593
2028-12-31,2445586.3,353.954,5.17962,126672.0,1069.795,1423.749,5.5814,136498.0,1152.779,1506.733
2029-01-31,2448195.1,362.153,5.22895,128014.9,1081.136,1443.289,5.65433,138429.1,1169.088,1531.241
2029-02-28,2450803.8,370.542,5.27824,129359.3,1092.49,1463.031,5.728,140382.0,1185.581,1556.123
2029-03-31,2453412.6,379.125,5.32747,130704.9,1103.854,1482.979,5.80239,142356.6,1202.257,1581.382
2029-04-30,2456021.3,387.907,5.37664,132051.5,1115.227,1503.133,5.87752,144353.1,1219.118,1607.025
2029-05-31,2458630.1,396.892,5.42574,133398.9,1126.606,1523.498,5.95338,146371.5,1236.165,1633.057
2029-06-30,2461238.9,406.085,5.47475,134746.8,1137.989,1544.075,6.02997,148412.0,1253.397,1659.483
2029-07-31,2463847.6,415.492,5.52368,136095.0,1149.375,1564.867,6.1073,150474.6,1270.817,1686.308
2029-08-31,2466456.4,425.116,5.5725,137443.2,1160.762,1585.878,6.18536,152559.3,1288.423,1713.539
2029-09-30,2469065.1,434.963,5.62121,138791.3,1172.147,1607.11,6.26417,154666.3,1306.218,1741.181
2029-10-31,2471673.9,445.038,5.6698,140139.0,1183.529,1628.567,6.3437,156795.7,1324.201,1769.239
2029-11-30,2474282.7,455.347,5.71826,141486.0,1194.905,1650.252,6.42398,158947.4,1342.373,1797.719
2029-12-31,2476891.4,465.894,5.76659,142832.2,1206.274,1672.168,6.50499,161121.5,1360.734,1826.628
2030-01-31,2479500.2,476.686,5.81477,144177.2,1217.633,1694.319,6.58673,163318.1,1379.285,1855.971
2030-02-28,2482108.9,487.727,5.86279,145521.0,1228.981,1716.709,6.66922,165537.2,1398.027,1885.754
2030-03-31,2484717.7,499.025,5.91066,146863.1,1240.317,1739.341,6.75243,167778.9,1416.959,1915.984
2030-04-30,2487326.5,510.584,5.95835,148203.5,1251.637,1762.221,6.83639,170043.2,1436.082,1946.666
2030-05-31,2489935.2,522.411,6.00585,149541.9,1262.94,1785.351,6.92107,172330.2,1455.396,1977.807
2030-06-30,2492544.0,534.512,6.05317,150878.0,1274.224,1808.736,7.00649,174639.8,1474.901,2009.413
2030-07-31,2495152.8,546.893,6.1003,152211.7,1285.488,1832.381,7.09263,176972.0,1494.598,2041.491
2030-08-31,2497761.5,559.561,6.14722,153542.8,1296.729,1856.29,7.17951,179327.0,1514.487,2074.047
2030-09-30,2500370.3,572.522,6.19392,154871.0,1307.946,1880.468,7.26711,181704.7,1534.567,2107.089
2030-10-31,2502979.0,585.784,6.24041,156196.2,1319.138,1904.921,7.35544,184105.0,1554.839,2140.622
2030-11-30,2505587.8,599.352,6.28667,157518.0,1330.302,1929.654,7.44448,186528.1,1575.303,2174.655
2030-12-31,2508196.6,613.235,6.3327,158836.4,1341.436,1954.671,7.53425,188973.8,1595.958,2209.193
2031-01-31,2510805.3,627.44,6.37848,160151.2,1352.539,1979.979,7.62473,191442.2,1616.805,2244.245
2031-02-28,2513414.1,641.974,6.42401,161462.0,1363.61,2005.584,7.71593,193933.3,1637.843,2279.816
2031-03-31,2516022.8,656.844,6.46929,162768.8,1374.647,2031.49,7.80784,196447.0,1659.072,2315.916
2031-04-30,2518631.6,672.059,6.51431,164071.4,1385.647,2057.706,7.90045,198983.3,1680.492,2352.55
2031-05-31,2521240.4,687.626,6.55905,165369.5,1396.611,2084.236,7.99377,201542.1,1702.102,2389.728
2031-06-30,2523849.1,703.554,6.60353,166663.1,1407.535,2111.088,8.08778,204123.5,1723.903,2427.456
2031-07-31,2526457.9,719.85,6.64772,167951.8,1418.419,2138.269,8.1825,206727.3,1745.893,2465.743
2031-08-31,2529066.6,736.524,6.69162,169235.6,1429.261,2165.786,8.2779,209353.5,1768.072,2504.597
2031-09-30,2531675.4,753.585,6.73524,170514.3,1440.06,2193.645,8.37398,212002.0,1790.44,2544.025
2031-10-31,2534284.2,771.04,6.77855,171787.7,1450.815,2221.855,8.47075,214672.8,1812.996,2584.036
2031-11-30,2536892.9,788.9,6.82156,173055.7,1461.523,2250.424,8.56819,217365.8,1835.739,2624.639
2031-12-31,2539501.7,807.174,6.86426,174318.1,1472.184,2279.358,8.6663,220080.8,1858.669,2665.843
2032-01-31,2542110.5,825.871,6.90665,175574.7,1482.797,2308.668,8.76507,222817.9,1881.784,2707.655
2032-02-29,2544719.2,845.001,6.94872,176825.4,1493.36,2338.361,8.86451,225576.8,1905.084,2750.085
2032-03-31,2547328.0,864.574,6.99047,178070.2,1503.872,2368.446,8.96459,228357.5,1928.569,2793.143
2032-04-30,2549936.7,884.6,7.03189,179308.7,1514.332,2398.933,9.06532,231160.0,1952.236,2836.837
2032-05-31,2552545.5,905.091,7.07298,180541.0,1524.739,2429.83,9.16669,233983.9,1976.086,2881.177
2032-06-30,2555154.3,926.056,7.11373,181766.8,1535.092,2461.148,9.26869,236829.3,2000.116,2926.172
2032-07-31,2557763.0,947.506,7.15415,182986.1,1545.389,2492.896,9.37131,239696.0,2024.327,2971.833
2032-08-31,2560371.8,969.454,7.19422,184198.7,1555.63,2525.084,9.47456,242583.9,2048.716,3018.17
2032-09-30,2562980.5,991.91,7.23394,185404.5,1565.814,2557.724,9.57841,245492.7,2073.282,3065.192
2032-10-31,2565589.3,1014.886,7.27332,186603.5,1575.939,2590.825,9.68286,248422.4,2098.025,3112.91
2032-11-30,2568198.1,1038.394,7.31234,187795.4,1586.006,2624.4,9.78791,251372.8,2122.942,3161.336
2032-12-31,2570806.8,1062.447,7.35101,188980.3,1596.013,2658.459,9.89354,254343.7,2148.032,3210.479
2033-01-31,2573415.6,1087.057,7.38932,190158.0,1605.959,2693.015,9.99974,257334.9,2173.294,3260.351
2033-02-28,2576024.4,1112.237,7.42727,191328.4,1615.843,2728.08,10.10651,260346.3,2198.726,3310.963
2033-03-31,2578633.1,1138.0,7.46486,192491.4,1625.665,2763.665,10.21385,263377.6,2224.327,3362.327
2033-04-30,2581241.9,1164.36,7.50209,193647.0,1635.425,2799.784,10.32172,266428.7,2250.094,3414.454
