month_end,icp_count,icp_uptake_rate_pct,installed_capacity_mw,average_capacity_kw,new_installations,average_new_install_capacity_kw
2013-08-31,1415,0.07029,5.775,4.081,527,4.186
2013-09-30,1650,0.08199,6.589,3.994,224,3.41
2013-10-31,1821,0.09049,7.142,3.922,168,3.533
2013-11-30,2056,0.10209,8.026,3.904,237,3.726
2013-12-31,2238,0.11102,8.64,3.86,186,3.478
2014-01-31,2423,0.1201,9.36,3.863,184,3.664
2014-02-28,2698,0.13371,10.352,3.837,278,3.601
2014-03-31,2950,0.14609,11.507,3.901,257,4.54
2014-04-30,3152,0.15595,12.358,3.921,204,3.89
2014-05-31,3393,0.16772,13.233,3.9,240,3.952
2014-06-30,3691,0.18228,14.326,3.881,300,3.696
2014-07-31,4006,0.1977,15.485,3.866,323,3.649
2014-08-31,4268,0.2104,16.603,3.89,260,4.251
2014-09-30,4542,0.22365,17.657,3.888,276,3.819
2014-10-31,4861,0.23913,19.155,3.941,320,4.719
2014-11-30,5198,0.25546,20.897,4.02,337,5.154
2014-12-31,5504,0.27013,22.093,4.014,306,3.837
2015-01-31,5759,0.28247,23.14,4.018,254,4.097
2015-02-28,6004,0.29426,24.149,4.022,249,3.966
2015-03-31,6285,0.30779,25.233,4.015,283,3.767
2015-04-30,6556,0.32073,26.202,3.997,272,3.579
2015-05-31,6821,0.33337,27.175,3.984,268,3.712
2015-06-30,7180,0.35062,28.555,3.977,358,3.774
2015-07-31,7605,0.37106,30.112,3.959,426,3.636
2015-08-31,7931,0.38661,31.539,3.977,325,4.375
2015-09-30,8351,0.40665,33.113,3.965,417,4.298
2015-10-31,8699,0.42312,34.206,3.932,346,3.706
2015-11-30,9084,0.44147,35.646,3.924,387,3.752
2015-12-31,9513,0.46172,37.466,3.938,431,4.241
2016-01-31,9772,0.47408,38.392,3.929,267,3.503
2016-02-29,10120,0.49054,39.973,3.95,353,4.631
2016-03-31,10454,0.50659,41.138,3.935,341,3.486
2016-04-30,10804,0.52298,42.379,3.923,351,3.532
2016-05-31,11176,0.54043,43.667,3.907,376,3.456
2016-06-30,11569,0.5591,45.092,3.898,393,3.476
2016-07-31,11923,0.57557,46.259,3.88,366,3.358
2016-08-31,12321,0.59425,47.685,3.87,400,3.52
2016-09-30,12709,0.61219,49.026,3.858,405,3.45
2016-10-31,13053,0.62811,50.586,3.875,344,4.488
2016-11-30,13438,0.64597,51.948,3.866,386,3.498
2016-12-31,13787,0.66165,53.298,3.866,351,3.775
2017-01-31,14035,0.67335,54.21,3.862,256,3.669
2017-02-28,14341,0.68716,55.28,3.855,309,3.562
2017-03-31,14702,0.70375,56.659,3.854,341,3.789
2017-04-30,15028,0.71883,57.828,3.848,338,3.58
2017-05-31,15371,0.73454,59.022,3.84,348,3.386
2017-06-30,15803,0.7544,60.938,3.856,437,4.389
2017-07-31,16187,0.77199,62.628,3.869,391,4.166
2017-08-31,16684,0.79493,64.401,3.86,506,3.51
2017-09-30,17091,0.81328,65.887,3.855,412,3.601
2017-10-31,17443,0.82903,67.594,3.875,364,4.855
2017-11-30,17912,0.85013,69.505,3.88,473,4.023
2017-12-31,18274,0.86602,71.0,3.885,371,4.101
2018-01-31,18567,0.87976,72.321,3.895,306,4.384
2018-02-28,18928,0.89592,73.753,3.897,368,3.924
2018-03-31,19359,0.91525,75.372,3.893,417,3.709
2018-04-30,19687,0.92985,76.645,3.893,330,3.841
2018-05-31,20039,0.9453,78.222,3.903,355,4.454
2018-06-30,20317,0.95737,79.655,3.921,280,5.006
2018-07-31,20654,0.97208,81.354,3.939,350,4.931
2018-08-31,21046,0.98937,82.841,3.936,400,4.899
2018-09-30,21479,1.0088,85.109,3.962,426,5.247
2018-10-31,21901,1.02772,87.646,4.002,427,5.905
2018-11-30,22331,1.04651,90.133,4.036,448,5.576
2018-12-31,22702,1.06244,91.939,4.05,386,4.964
2019-01-31,22993,1.07582,93.352,4.06,305,4.78
2019-02-28,23310,1.08958,95.04,4.077,339,4.901
2019-03-31,23656,1.10419,97.219,4.11,415,5.389
2019-04-30,23997,1.11902,99.392,4.142,371,5.848
2019-05-31,24389,1.13604,102.061,4.185,419,6.288
2019-06-30,24646,1.14673,103.678,4.207,291,5.782
2019-07-31,24942,1.15926,105.62,4.235,332,6.028
2019-08-31,25252,1.17214,107.345,4.251,354,5.302
2019-09-30,25572,1.18558,109.236,4.272,322,5.633
2019-10-31,25942,1.20152,111.512,4.299,407,5.759
2019-11-30,26284,1.21539,113.575,4.321,358,5.959
2019-12-31,26575,1.2269,115.752,4.356,303,6.983
2020-01-31,26865,1.24004,117.578,4.377,318,5.847
2020-02-29,27203,1.25432,119.584,4.396,352,5.839
2020-03-31,27468,1.26453,121.239,4.414,269,6.099
2020-04-30,27550,1.26802,124.586,4.522,85,12.203
2020-05-31,27899,1.28187,126.597,4.538,376,5.532
2020-06-30,28276,1.29834,129.129,4.567,400,6.276
2020-07-31,28639,1.31295,131.963,4.608,387,7.34
2020-08-31,29055,1.33,134.788,4.639,417,7.044
2020-09-30,29471,1.34732,137.578,4.668,435,6.432
2020-10-31,29907,1.36528,140.983,4.714,469,7.226
2020-11-30,30379,1.38458,143.673,4.729,493,5.545
2020-12-31,30830,1.40274,146.717,4.759,466,6.709
2021-01-31,31127,1.41583,150.476,4.834,305,12.253
2021-02-28,31492,1.43061,152.958,4.857,384,6.54
2021-03-31,31987,1.45119,156.247,4.885,507,6.404
2021-04-30,32463,1.47069,159.258,4.906,498,6.048
2021-05-31,32963,1.49099,163.718,4.967,517,8.65
2021-06-30,33501,1.51354,169.025,5.045,552,9.635
2021-07-31,34107,1.53894,172.597,5.06,616,5.662
2021-08-31,34502,1.55533,174.892,5.069,398,5.761
2021-09-30,34986,1.57501,177.923,5.086,496,6.107
2021-10-31,35614,1.60079,181.872,5.107,636,6.098
2021-11-30,36454,1.63623,187.822,5.152,855,6.791
2021-12-31,37071,1.66156,192.786,5.2,631,7.884
2022-01-31,37631,1.68695,197.405,5.246,578,7.831
2022-02-28,38305,1.71521,202.704,5.292,687,7.737
2022-03-31,39091,1.74838,208.972,5.346,802,7.847
2022-04-30,39757,1.7758,214.351,5.392,683,7.553
2022-05-31,40571,1.80915,220.19,5.427,830,6.999
2022-06-30,41268,1.8377,225.039,5.453,700,6.805
2022-07-31,41963,1.86606,230.362,5.49,713,7.548
2022-08-31,42858,1.90325,237.481,5.541,913,7.758
2022-09-30,43634,1.93437,244.483,5.603,784,8.934
2022-10-31,44430,1.96681,249.685,5.62,829,7.308
