month_end,icp_count,icp_uptake_rate_pct,installed_capacity_mw,average_capacity_kw,new_installations,average_new_install_capacity_kw
2014-01-31,1,5e-05,0.002,2.0,1,2.0
2014-02-28,1,5e-05,0.002,2.0,0,0.0
2014-03-31,1,5e-05,0.002,2.0,0,0.0
2014-04-30,1,5e-05,0.002,2.0,0,0.0
2014-05-31,1,5e-05,0.002,2.0,0,0.0
2014-06-30,1,5e-05,0.002,2.0,0,0.0
2014-07-31,1,5e-05,0.002,2.0,0,0.0
2014-08-31,1,5e-05,0.002,2.0,0,0.0
2014-09-30,1,5e-05,0.002,2.0,0,0.0
2014-10-31,1,5e-05,0.002,2.0,0,0.0
2014-11-30,1,5e-05,0.002,2.0,0,0.0
2014-12-31,1,5e-05,0.002,2.0,0,0.0
2015-01-31,1,5e-05,0.002,2.0,0,0.0
2015-02-28,1,5e-05,0.002,2.0,0,0.0
2015-03-31,1,5e-05,0.002,2.0,0,0.0
2015-04-30,2,0.0001,0.022,11.0,1,20.0
2015-05-31,2,0.0001,0.022,11.0,0,0.0
2015-06-30,2,0.0001,0.022,11.0,0,0.0
2015-07-31,2,0.0001,0.022,11.0,0,0.0
2015-08-31,2,0.0001,0.022,11.0,0,0.0
2015-09-30,2,0.0001,0.022,11.0,0,0.0
2015-10-31,2,0.0001,0.022,11.0,0,0.0
2015-11-30,2,0.0001,0.022,11.0,0,0.0
2015-12-31,2,0.0001,0.022,11.0,0,0.0
2016-01-31,2,0.0001,0.022,11.0,0,0.0
2016-02-29,2,0.0001,0.022,11.0,0,0.0
2016-03-31,2,0.0001,0.022,11.0,0,0.0
2016-04-30,2,0.0001,0.022,11.0,0,0.0
2016-05-31,2,0.0001,0.022,11.0,0,0.0
2016-06-30,2,0.0001,0.022,11.0,0,0.0
2016-07-31,2,0.0001,0.022,11.0,0,0.0
2016-08-31,2,0.0001,0.022,11.0,0,0.0
2016-09-30,2,0.0001,0.022,11.0,0,0.0
2016-10-31,2,0.0001,0.022,11.0,0,0.0
2016-11-30,2,0.0001,0.022,11.0,0,0.0
2016-12-31,2,0.0001,0.022,11.0,0,0.0
2017-01-31,2,0.0001,0.022,11.0,0,0.0
2017-02-28,3,0.00014,0.023,7.667,1,1.0
2017-03-31,3,0.00014,0.023,7.667,0,0.0
2017-04-30,4,0.00019,0.027,6.675,0,0.0
2017-05-31,4,0.00019,0.027,6.675,0,0.0
2017-06-30,5,0.00024,0.032,6.34,1,5.0
2017-07-31,6,0.00029,0.036,6.05,1,4.6
2017-08-31,6,0.00029,0.036,6.05,0,0.0
2017-09-30,6,0.00029,0.036,6.05,0,0.0
2017-10-31,6,0.00029,0.036,6.05,0,0.0
2017-11-30,7,0.00033,0.041,5.9,1,5.0
2017-12-31,9,0.00043,0.051,5.662,2,4.83
2018-01-31,9,0.00043,0.051,5.662,0,0.0
2018-02-28,9,0.00043,0.051,5.662,0,0.0
2018-03-31,9,0.00043,0.051,5.662,0,0.0
2018-04-30,9,0.00043,0.051,5.662,0,0.0
2018-05-31,9,0.00042,0.051,5.662,0,0.0
2018-06-30,9,0.00042,0.051,5.662,0,0.0
2018-07-31,10,0.00047,0.053,5.303,0,0.0
2018-08-31,14,0.00066,0.078,5.574,4,6.25
2018-09-30,15,0.0007,0.083,5.535,1,5.0
2018-10-31,17,0.0008,0.093,5.472,2,5.0
2018-11-30,19,0.00089,0.102,5.349,2,4.3
2018-12-31,20,0.00094,0.107,5.332,1,5.0
2019-01-31,21,0.00098,0.11,5.249,1,3.6
2019-02-28,22,0.00103,0.114,5.178,1,3.68
2019-03-31,24,0.00112,0.122,5.088,2,4.8
2019-04-30,27,0.00126,0.139,5.152,0,0.0
2019-05-31,27,0.00126,0.139,5.152,0,0.0
2019-06-30,31,0.00144,0.155,5.005,4,4.01
2019-07-31,31,0.00144,0.155,5.005,0,0.0
2019-08-31,31,0.00144,0.153,4.922,1,2.5
2019-09-30,32,0.00148,0.158,4.925,1,5.0
2019-10-31,32,0.00148,0.158,4.925,0,0.0
2019-11-30,33,0.00153,0.164,4.957,1,6.0
2019-12-31,33,0.00152,0.164,4.957,0,0.0
2020-01-31,34,0.00157,0.169,4.959,0,0.0
2020-02-29,34,0.00157,0.169,4.959,0,0.0
2020-03-31,34,0.00157,0.169,4.959,0,0.0
2020-04-30,34,0.00156,0.169,4.959,0,0.0
2020-05-31,35,0.00161,0.178,5.095,1,9.75
2020-06-30,36,0.00165,0.182,5.056,1,3.68
2020-07-31,37,0.0017,0.186,5.017,1,3.6
2020-08-31,39,0.00179,0.209,5.364,2,11.79
2020-09-30,40,0.00183,0.213,5.322,1,3.68
2020-10-31,45,0.00205,0.24,5.335,3,5.333
2020-11-30,47,0.00214,0.251,5.334,2,5.3
2020-12-31,50,0.00227,0.267,5.332,2,5.55
2021-01-31,53,0.00241,0.28,5.29,3,4.6
2021-02-28,57,0.00259,0.3,5.263,3,4.867
2021-03-31,58,0.00263,0.304,5.234,1,3.6
2021-04-30,62,0.00281,0.322,5.19,2,3.7
2021-05-31,63,0.00285,0.325,5.165,1,3.6
2021-06-30,65,0.00294,0.349,5.368,1,5.0
2021-07-31,67,0.00302,0.367,5.473,2,8.9
2021-08-31,70,0.00316,0.38,5.427,3,4.4
2021-09-30,71,0.0032,0.383,5.401,0,0.0
2021-10-31,76,0.00342,0.407,5.351,5,4.64
2021-11-30,82,0.00368,0.445,5.431,5,7.016
2021-12-31,89,0.00399,0.485,5.445,5,5.92
2022-01-31,91,0.00408,0.502,5.512,2,8.5
2022-02-28,97,0.00434,0.544,5.604,5,7.48
2022-03-31,102,0.00456,0.581,5.691,2,9.1
2022-04-30,103,0.0046,0.585,5.681,1,4.6
2022-05-31,111,0.00495,0.633,5.704,7,5.44
2022-06-30,117,0.00521,0.666,5.69,6,5.433
2022-07-31,122,0.00543,0.713,5.845,4,9.92
2022-08-31,128,0.00568,0.754,5.894,6,6.883
2022-09-30,132,0.00585,0.774,5.861,4,4.8
2022-10-31,136,0.00602,0.803,5.903,4,7.3
2022-11-30,146,0.00646,0.859,5.883,7,5.441
2022-12-31,158,0.00697,0.927,5.869,10,5.88
2023-01-31,162,0.00715,0.951,5.867,2,5.0
2023-02-28,170,0.00749,0.991,5.828,7,5.029
2023-03-31,182,0.00801,1.058,5.814,12,5.617
2023-04-30,189,0.00831,1.101,5.823,6,5.2
2023-05-31,196,0.0086,1.143,5.832,6,6.247
2023-06-30,207,0.00907,1.203,5.81,10,4.96
2023-07-31,221,0.00967,1.283,5.804,13,5.769
2023-08-31,237,0.01036,1.363,5.753,16,5.041
2023-09-30,262,0.01143,1.501,5.73,24,5.592
2023-10-31,303,0.01321,1.736,5.728,38,5.234
2023-11-30,3114,0.13558,16.897,5.426,138,6.624
2023-12-31,4296,0.18675,24.882,5.792,206,6.591
2024-01-31,4472,0.19442,26.108,5.838,172,6.656
2024-02-29,4779,0.2075,28.138,5.888,253,6.406
2024-03-31,5263,0.22821,31.331,5.953,325,6.451
2024-04-30,5924,0.25659,35.548,6.001,299,6.589
2024-05-31,7192,0.31112,42.706,5.938,304,6.382
2024-06-30,7487,0.32355,44.649,5.964,286,6.437
2024-07-31,7768,0.33539,47.042,6.056,285,8.505
2024-08-31,8048,0.34709,49.049,6.095,261,7.298
2024-09-30,8321,0.35849,51.277,6.162,253,7.992
2024-10-31,8622,0.37106,54.092,6.274,304,9.182
2024-11-30,8904,0.3827,57.009,6.403,275,9.544
2024-12-31,9130,0.39194,59.573,6.525,214,11.221
2025-01-31,9356,0.40164,62.112,6.639,209,11.292
2025-02-28,9620,0.41261,64.804,6.736,252,9.998
2025-03-31,9902,0.42427,67.733,6.84,262,9.91
2025-04-30,10137,0.43401,69.909,6.896,226,9.308
2025-05-31,10474,0.44801,73.107,6.98,304,9.43
2025-06-30,10772,0.46037,75.968,7.052,270,9.375
2025-07-31,12809,0.54712,100.901,7.877,343,35.563
2025-08-31,13396,0.5716,104.985,7.837,407,8.615
2025-09-30,13917,0.59309,109.772,7.888,461,9.231
2025-10-31,14487,0.6167,114.832,7.927,516,8.736
2025-11-30,15088,0.64168,120.642,7.996,551,9.338
2025-12-31,15751,0.66925,127.243,8.078,579,10.149
2026-01-31,16211,0.68883,131.876,8.135,393,10.317
2026-02-28,16846,0.71479,137.902,8.186,574,9.51
2026-03-31,17532,0.74303,144.572,8.246,621,9.825
2026-04-30,18214,0.77103,142.176,7.806,620,10.953
2026-05-31,19187,0.81133,152.507,7.948,876,10.675
2026-06-30,20136,0.85049,162.408,8.066,851,10.396
2026-07-31,21177,0.89354,173.686,8.202,961,10.802
2026-08-31,22011,0.92775,182.66,8.299,774,10.804
