FileName,Description,PlantGroup,SiteCode,Site,DirectionCode,Direction,FlowTypeCode,FlowType,IslandCode,Island,SiteNumber,ModelFlowName
NI_ARA_WaikatoAtLakeAratiatia(DerivedForSingleStage)_Tribflow.csv,Waikato tributary flow between Taupo and Aratiatia power station. Based on the Arapuni tribflow series. Uses catchment area to determine a factor (3.46%),Waikato river,ARA,Aratiatia,T,Tributary flow,A,Actual,NI,North Island,1000001.1,Derived
NI_WKM_WaikatoAtLakeWhakamaru(DerivedForSingleStage)_Tribflow.csv,Waikato tributary flow between Atiamuri and Whakamaru power stations. Based on the Arapuni tribflow series. Uses catchment area to determine a factor (14.06%),Waikato river,WKM,Whakamaru,T,Tributary flow,A,Actual,NI,North Island,1000001.4,Derived
NI_OHK_WaikatoAtLakeOhakuri(DerivedForSingleStage)_Tribflow.csv,Waikato tributary flow between Aratiatia and Ohakuri power stations. Based on the Arapuni tribflow series.Uses catchment area to determine a factor (41.52%),Waikato river,OHK,Ohakuri,T,Tributary flow,A,Actual,NI,North Island,1000001.2,Derived
NI_ATI_WaikatoAtLakeAtiamuri(DerivedForSingleStage)_Tribflow.csv,Waikato tributary flow between Ohakuri and Atiamuri power stations. Based on the Arapuni tribflow series. Uses catchment area to determine a factor (8.57%),Waikato river,ATI,Atiamuri,T,Tributary flow,A,Actual,NI,North Island,1000001.3,Derived
NI_MTI_WaikatoAtLakeMaraetai(DerivedForSingleStage)_Tribflow.csv,Waikato tributary flow between Whakamaru and Maraetai power stations. Based on the Arapuni tribflow series. Uses catchment area to determine a factor (18.44%),Waikato river,MTI,Maraetai,T,Tributary flow,A,Actual,NI,North Island,1000001.5,Derived
NI_WPA_WaikatoAtLakeWaipapa(DerivedForSingleStage)_Tribflow.csv,Waikato tributary flow between Maraetai and Waipapa power stations. Based on the Arapuni tribflow series. Uses catchment area to determine a factor (7.11%),Waikato river,WPA,Waipapa,T,Tributary flow,A,Actual,NI,North Island,1000001.6,Derived
NI_ARI_WaikatoAtLakeArapuni(DerivedForSingleStage)_Tribflow.csv,Waikato tributary flow between Whakamaru and Arapuni power stations. Based on the Arapuni tribflow series. Uses catchment area to determine a factor (6.84%),Waikato river,ARI,Arapuni,T,Tributary flow,A,Actual,NI,North Island,1000001.7,Derived
NI_KPO_WaikatoAtLakeKarapiro(DerivedForSingleStage)_Tribflow.csv,Waikato tributary flow between Arapuni and Karapiro power stations. Based on the Arapuni tribflow series. Uses catchment areas to determine a factor (23.19%),Waikato river,KPO,Karapiro,T,Tributary flow,A,Actual,NI,North Island,1000001.8,Derived
SI_ROX_CluthaAtLakeRoxburgh(DerivedForSingleStage)_Tribflow.csv,Clutha tributary flows into Lake Roxburgh.  Wanaka outflow and Hawea inflows are treated separately. Based on the Roxburgh tributary flow series less Wanaka outflows scaled by 3.3 percent for the flows entering Lake Roxburgh.,Clutha,ROX,Roxburgh,T,Tributary flow,A,Actual,SI,South Island,1000003.2,Derived
SI_CYD_CluthaAtClyde(DerivedForSingleStage)_Tribflow.csv,Clutha tributary flows into the Clyde Dam. Wanaka outflow and Hawea inflows are treated separately. Based on the Roxburgh tributary flow series less Wanaka outflows scaled by 96.7 percent for the flows entering  above Clyde.,Clutha,CYD,Clyde,T,Tributary flow,A,Actual,SI,South Island,1000003.1,Derived
SI_WTK_WaitakiAtLakeWaitaki(DerivedForSingleStage)_Tribflow.csv,Waitaki tributary flow into Lake Waitaki. Derived by scaling the Benmore tributary flow series (i.e. less Ohau flows) by 19.7 percent.,Waitaki river,WTK,Waitaki,T,Tributary flow,A,Actual,SI,South Island,1000002.2,Derived
SI_AVI_WaitakiAtLakeAviemore(DerivedForSingleStage)_Tribflow.csv,Waitaki tributary flow into Lake Aviemore. Derived by scaling the derived Benmore tributary flow series (i.e. less Ohau flows) by 8.3 percent.,Waitaki river,AVI,Aviemore,T,Tributary flow,A,Actual,SI,South Island,1000002.1,Derived
SI_BEN_WaitakiAtLakeBenmore(DerivedForSingleStage)_Tribflow.csv,"Waitaki tributary flow into Lake Benmore. Flows into Tekapo, Pukaki, Ohau  are treated separately. Derived by removing Ohau flows from Benmore tributary flow series.",Waitaki river,BEN,Benmore,T,Tributary flow,A,Actual,SI,South Island,1000002.3,Derived
