FileName,Description,PlantGroup,SiteCode,IslandCode,Island
NI_WKA_Storage_LakeWaikaremoana.csv,Lake Waikaremoana,Waikaremoana,WKA,NI,North Island
NI_TPO_Storage_LakeTaupo.csv,Lake Taupo,Waikato river,TPO,NI,North Island
SI_WPU_Storage_LakeWakatipu.csv,Lake Wakatipu,Clutha,WPU,SI,South Island
SI_WAN_Storage_LakeWanaka.csv,Lake Wanaka,Clutha,WAN,SI,South Island
SI_HWE_Storage_LakeHawea.csv,Lake Hawea,Clutha,HWE,SI,South Island
SI_MAN_Storage_LakeManapouri.csv,Lake Manapouri,Manapouri,MAN,SI,South Island
SI_TAU_Storage_LakeTeAnau.csv,Lake Te Anau,Manapouri,TAU,SI,South Island
SI_OHA_Storage_LakeOhau.csv,Lake Ohau,Waitaki river,OHA,SI,South Island
SI_PKI_Storage_LakePukaki.csv,Lake Pukaki,Waitaki river,PKI,SI,South Island
SI_TKA_Storage_LakeTekapo.csv,Lake Tekapo,Waitaki river,TKA,SI,South Island
