date,series_type,plant_group,site_code,site,island_code,flow_type,flow_m3s,volume_mm3_day,quality_code,source_file
1980-01-01,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,15.277777777777779,1.32,200,SI_HWE_Spill_LakeHawea.csv
1980-01-01,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,108.41435185185186,9.367,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-01,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,11.458333333333332,0.99,200,SI_OHA_Spill_LakeOhau.csv
1980-01-01,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,352.9282407407407,30.493,200,SI_PKI_Spill_LakePukaki.csv
1980-01-01,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,127.02546296296295,10.975,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-01,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,171.099537037037,14.783,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-01,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,78.6574074074074,6.796,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-01,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,190.1157407407407,16.426,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-02,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,15.277777777777779,1.32,200,SI_HWE_Spill_LakeHawea.csv
1980-01-02,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,26.64351851851852,2.302,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-02,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,4.768518518518518,0.412,200,SI_OHA_Spill_LakeOhau.csv
