date,plant_group,site_code,reservoir,island_code,lake_level_m,active_storage_mm3,contingent_storage_mm3,total_storage_mm3,quality_code,source_file
1980-01-01,Clutha,HWE,Lake Hawea,SI,345.84,2134.608,,2134.608,320,SI_HWE_Storage_LakeHawea.csv
1980-01-01,Manapouri,MAN,Lake Manapouri,SI,178.631,384.398,,384.398,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-01,Waitaki river,OHA,Lake Ohau,SI,520.117,41.403,,41.403,320,SI_OHA_Storage_LakeOhau.csv
1980-01-01,Waitaki river,PKI,Lake Pukaki,SI,532.535,2433.618,,2433.618,320,SI_PKI_Storage_LakePukaki.csv
1980-01-01,Manapouri,TAU,Lake Te Anau,SI,203.214,828.373,,828.373,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-01,Waitaki river,TKA,Lake Tekapo,SI,711.323,674.757,0.0,674.757,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-01,Waikato river,TPO,Lake Taupo,NI,357.101,764.657,,764.657,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-01,Clutha,WAN,Lake Wanaka,SI,278.201,540.791,,540.791,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-01,Waikaremoana,WKA,Lake Waikaremoana,NI,582.976,141.024,,141.024,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-01,Clutha,WPU,Lake Wakatipu,SI,310.524,489.578,,489.578,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-02,Clutha,HWE,Lake Hawea,SI,345.893,2142.492,,2142.492,320,SI_HWE_Storage_LakeHawea.csv
1980-01-02,Manapouri,MAN,Lake Manapouri,SI,178.554,373.734,,373.734,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-02,Waitaki river,OHA,Lake Ohau,SI,520.117,41.403,,41.403,320,SI_OHA_Storage_LakeOhau.csv
1980-01-02,Waitaki river,PKI,Lake Pukaki,SI,532.548,2433.618,,2433.618,320,SI_PKI_Storage_LakePukaki.csv
1980-01-02,Manapouri,TAU,Lake Te Anau,SI,203.225,832.036,,832.036,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-02,Waitaki river,TKA,Lake Tekapo,SI,711.323,674.757,0.0,674.757,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-02,Waikato river,TPO,Lake Taupo,NI,357.102,765.245,,765.245,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-02,Clutha,WAN,Lake Wanaka,SI,278.151,531.143,,531.143,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-02,Waikaremoana,WKA,Lake Waikaremoana,NI,583.017,143.173,,143.173,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-02,Clutha,WPU,Lake Wakatipu,SI,310.504,483.661,,483.661,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-03,Clutha,HWE,Lake Hawea,SI,345.962,2152.809,,2152.809,320,SI_HWE_Storage_LakeHawea.csv
