Date,Time,Flow (m³/s),QualityCode
1932-01-10,23:59:59,149.597,320
1933-02-13,23:59:59,119.466,320
1935-07-02,23:59:59,178.558,320
1935-09-25,23:59:59,195.925,320
1935-09-30,23:59:59,193.197,320
1936-07-03,23:59:59,187.359,320
1936-10-22,23:59:59,205.514,320
1936-11-11,23:59:59,284.318,320
1937-03-24,23:59:59,32.330,320
1939-09-02,23:59:59,158.952,320
1940-07-16,23:59:59,129.936,320
1941-01-01,23:59:59,108.664,320
1941-12-11,23:59:59,126.043,320
1942-05-14,23:59:59,124.239,320
1942-07-09,23:59:59,110.328,320
1942-11-29,23:59:59,329.790,320
1945-02-12,23:59:59,221.869,320
1945-02-23,23:59:59,150.884,320
1945-05-01,23:59:59,58.670,320
1945-08-24,23:59:59,128.128,320
1947-08-05,23:59:59,129.372,320
1947-10-30,23:59:59,157.388,320
1948-02-19,23:59:59,145.935,320
1948-10-20,23:59:59,206.433,320
1949-07-01,23:59:59,168.653,320
1949-11-25,23:59:59,100.056,320
1950-07-28,23:59:59,65.567,320
1950-09-30,23:59:59,120.641,320
1951-12-28,23:59:59,121.922,320
1952-08-20,23:59:59,185.871,320
1954-05-22,23:59:59,172.068,320
1954-07-04,23:59:59,113.715,320
1954-07-15,23:59:59,131.260,320
1954-08-04,23:59:59,104.156,320
1954-10-15,23:59:59,52.334,320
1954-12-20,23:59:59,153.878,320
1955-10-05,23:59:59,158.632,320
1957-02-28,23:59:59,30.880,320
1957-05-08,23:59:59,59.872,320
1957-11-16,23:59:59,79.001,320
1958-08-31,23:59:59,173.107,320
1958-12-05,23:59:59,20.480,320
1959-10-15,23:59:59,160.968,320
1959-12-07,23:59:59,86.304,320
1960-01-13,23:59:59,116.584,320
1960-02-04,23:59:59,431.939,320
1961-05-23,23:59:59,90.528,320
1961-06-10,23:59:59,73.568,320
1961-09-06,23:59:59,163.653,320
1963-03-25,23:59:59,78.015,320
1963-05-02,23:59:59,99.923,320
1963-09-06,23:59:59,276.349,320
1963-09-26,23:59:59,172.610,320
1963-12-24,23:59:59,17.150,320
1965-02-23,23:59:59,69.065,320
1966-11-30,23:59:59,132.700,320
1967-10-20,23:59:59,97.909,320
1968-10-29,23:59:59,172.497,320
1968-12-11,23:59:59,137.632,320
1969-08-11,23:59:59,210.501,320
1969-10-23,23:59:59,117.933,320
1970-01-17,23:59:59,55.800,320
1970-04-06,23:59:59,85.950,320
1970-11-18,23:59:59,156.564,320
1970-11-26,23:59:59,128.741,320
1971-08-14,23:59:59,135.156,320
1971-12-17,23:59:59,160.693,320
1972-04-01,23:59:59,82.332,320
1972-07-24,23:59:59,172.170,320
1973-03-26,23:59:59,32.470,320
1973-04-23,23:59:59,92.175,320
1974-07-06,23:59:59,193.274,320
1974-10-24,23:59:59,152.016,320
1975-01-14,23:59:59,130.445,320
1975-05-13,23:59:59,75.346,320
1975-07-15,23:59:59,308.932,320
1976-02-13,23:59:59,102.605,320
1976-09-18,23:59:59,199.217,320
1976-10-14,23:59:59,134.454,320
1977-05-30,23:59:59,242.678,320
1978-12-12,23:59:59,141.933,320
1979-01-26,23:59:59,58.109,320
1979-03-12,23:59:59,257.101,320
1979-09-06,23:59:59,136.439,320
1980-06-21,23:59:59,136.843,320
1981-03-21,23:59:59,95.188,320
1981-06-12,23:59:59,175.801,320
1981-10-17,23:59:59,295.143,320
1982-10-11,23:59:59,59.574,320
1983-01-16,23:59:59,85.583,320
1984-01-11,23:59:59,216.508,320
1984-05-26,23:59:59,208.214,320
1985-01-26,23:59:59,225.394,320
1985-11-13,23:59:59,142.737,320
1985-11-23,23:59:59,133.751,320
1985-12-26,23:59:59,131.924,320
