Date,Time,Flow (m³/s),QualityCode
1931-08-01,23:59:59,29.208,325
1931-08-21,23:59:59,14.972,325
1932-04-19,23:59:59,17.262,325
1935-04-17,23:59:59,57.036,325
1937-03-02,23:59:59,0.736,325
1937-10-23,23:59:59,8.545,325
1938-05-12,23:59:59,20.598,325
1938-08-07,23:59:59,42.618,325
1938-10-26,23:59:59,11.816,325
1938-11-08,23:59:59,7.072,325
1939-02-22,23:59:59,1.938,325
1939-12-01,23:59:59,5.360,325
1940-02-23,23:59:59,10.125,325
1940-05-26,23:59:59,24.545,325
1940-08-26,23:59:59,23.730,325
1941-06-08,23:59:59,29.689,325
1942-10-28,23:59:59,16.539,325
1943-07-09,23:59:59,19.334,325
1944-02-14,23:59:59,37.342,325
1944-03-26,23:59:59,40.579,325
1944-04-24,23:59:59,14.763,325
1945-03-06,23:59:59,3.758,325
1945-11-11,23:59:59,6.359,325
1946-10-21,23:59:59,3.622,325
1947-04-03,23:59:59,10.393,325
1948-03-22,23:59:59,0.000,325
1948-07-14,23:59:59,17.227,325
1948-09-06,23:59:59,20.144,325
1948-09-21,23:59:59,7.918,325
1949-07-12,23:59:59,16.465,325
1950-03-27,23:59:59,0.000,325
1950-06-04,23:59:59,21.494,325
1951-05-21,23:59:59,27.020,325
1952-02-29,23:59:59,2.830,325
1952-06-11,23:59:59,37.044,325
1952-12-14,23:59:59,13.805,325
1953-07-08,23:59:59,34.994,325
1954-03-22,23:59:59,0.079,325
1954-08-04,23:59:59,77.477,325
1954-11-01,23:59:59,8.073,325
1955-06-30,23:59:59,9.838,325
1955-07-04,23:59:59,110.415,325
1956-08-13,23:59:59,48.973,325
1957-03-06,23:59:59,10.552,325
1957-07-25,23:59:59,8.243,325
1958-09-27,23:59:59,6.509,325
1958-11-22,23:59:59,0.576,325
1959-07-12,23:59:59,21.431,325
1959-12-30,23:59:59,3.766,325
1960-03-12,23:59:59,3.926,325
1960-03-23,23:59:59,22.773,325
1960-04-13,23:59:59,220.193,325
1961-12-02,23:59:59,17.488,325
1962-07-02,23:59:59,41.622,325
1962-07-28,23:59:59,19.438,325
1963-10-20,23:59:59,8.755,325
1964-03-18,23:59:59,9.027,325
1965-05-23,23:59:59,1.829,325
1965-09-03,23:59:59,20.819,325
1965-11-13,23:59:59,33.111,325
1966-09-22,23:59:59,23.388,325
1967-01-27,23:59:59,5.694,325
1967-03-03,23:59:59,7.842,325
1967-03-22,23:59:59,12.796,325
1968-06-14,23:59:59,17.445,325
1968-11-17,23:59:59,1.836,325
1969-02-06,23:59:59,3.314,325
1969-04-22,23:59:59,13.511,325
1969-05-09,23:59:59,13.906,325
1969-05-15,23:59:59,17.342,325
1970-06-23,23:59:59,15.423,325
1970-08-19,23:59:59,24.583,325
1970-10-08,23:59:59,12.229,325
1972-02-09,23:59:59,12.375,325
1972-04-15,23:59:59,50.117,325
1972-05-26,23:59:59,1.717,325
1973-01-29,23:59:59,4.224,325
1973-05-26,23:59:59,0.008,325
1973-12-15,23:59:59,2.444,325
1975-04-10,23:59:59,0.853,325
1976-02-04,23:59:59,8.481,325
1976-03-18,23:59:59,4.106,325
1976-09-04,23:59:59,54.311,325
1976-10-23,23:59:59,19.919,325
1978-07-10,23:59:59,25.150,325
1980-07-09,23:59:59,16.869,325
1980-10-14,23:59:59,7.347,325
1980-10-28,23:59:59,5.010,325
1981-07-20,23:59:59,108.575,325
1981-08-06,23:59:59,66.892,325
1982-10-20,23:59:59,26.220,325
1983-01-06,23:59:59,3.533,325
1983-01-09,23:59:59,0.095,325
1983-02-15,23:59:59,0.000,325
1983-05-09,23:59:59,7.217,325
1983-08-24,23:59:59,8.638,325
1984-01-14,23:59:59,6.692,325
1984-11-13,23:59:59,2.642,325
1985-09-21,23:59:59,7.397,325
1985-12-24,23:59:59,5.632,325
