Date,Time,Flow (m³/s),QualityCode
1931-10-05,23:59:59,51.185,320
1932-03-08,23:59:59,51.773,320
1933-06-28,23:59:59,25.893,320
1933-09-13,23:59:59,24.815,320
1934-02-09,23:59:59,38.484,320
1934-03-09,23:59:59,63.059,320
1936-01-24,23:59:59,15.899,320
1936-02-19,23:59:59,503.148,320
1936-04-13,23:59:59,81.808,320
1937-05-07,23:59:59,188.268,320
1937-10-04,23:59:59,31.537,320
1937-12-06,23:59:59,47.907,320
1937-12-21,23:59:59,49.383,320
1938-03-07,23:59:59,39.226,320
1939-08-10,23:59:59,32.626,320
1939-12-14,23:59:59,46.275,320
1940-12-08,23:59:59,85.335,320
1941-03-22,23:59:59,49.339,320
1941-04-18,23:59:59,46.272,320
1941-07-05,23:59:59,377.572,320
1941-10-19,23:59:59,24.082,320
1942-01-14,23:59:59,114.052,320
1942-04-11,23:59:59,88.223,320
1943-10-27,23:59:59,41.622,320
1943-10-28,23:59:59,41.622,320
1943-12-01,23:59:59,33.173,320
1945-08-17,23:59:59,83.754,320
1946-01-22,23:59:59,135.395,320
1946-03-11,23:59:59,35.740,320
1947-04-29,23:59:59,18.123,320
1947-06-29,23:59:59,25.848,320
1947-09-06,23:59:59,66.101,320
1947-12-27,23:59:59,285.131,320
1948-01-27,23:59:59,49.887,320
1948-04-11,23:59:59,15.494,320
1948-12-03,23:59:59,42.101,320
1950-10-10,23:59:59,30.905,320
1950-11-09,23:59:59,30.004,320
1950-11-19,23:59:59,36.925,320
1951-02-27,23:59:59,21.146,320
1951-03-21,23:59:59,18.755,320
1951-06-02,23:59:59,24.563,320
1951-07-23,23:59:59,314.455,320
1951-09-14,23:59:59,32.206,320
1951-11-23,23:59:59,67.076,320
1952-01-19,23:59:59,53.837,320
1952-01-23,23:59:59,40.505,320
1952-09-08,23:59:59,19.421,320
1952-11-11,23:59:59,73.776,320
1953-04-01,23:59:59,49.504,320
1955-09-05,23:59:59,45.767,320
1956-01-01,23:59:59,34.775,320
1956-01-25,23:59:59,15.475,320
1956-02-28,23:59:59,13.339,320
1956-10-30,23:59:59,124.701,320
1957-03-04,23:59:59,56.775,320
1957-04-04,23:59:59,28.439,320
1957-11-02,23:59:59,67.452,320
1958-03-03,23:59:59,43.189,320
1958-04-09,23:59:59,76.425,320
1958-10-17,23:59:59,18.841,320
1960-02-24,23:59:59,28.462,320
1960-06-15,23:59:59,29.930,320
1960-08-04,23:59:59,355.339,320
1960-10-30,23:59:59,54.884,320
1960-12-01,23:59:59,58.017,320
1961-02-09,23:59:59,14.432,320
1961-06-10,23:59:59,27.901,320
1961-12-17,23:59:59,67.445,320
1962-03-02,23:59:59,30.769,320
1963-03-06,23:59:59,31.675,320
1963-07-08,23:59:59,10.589,320
1963-11-06,23:59:59,53.154,320
1964-04-03,23:59:59,13.612,320
1965-01-28,23:59:59,52.580,320
1965-05-22,23:59:59,53.642,320
1966-03-01,23:59:59,30.776,320
1966-12-18,23:59:59,101.426,320
1967-07-06,23:59:59,74.440,320
1968-07-22,23:59:59,23.350,320
1971-02-04,23:59:59,11.922,320
1971-02-12,23:59:59,17.460,320
1971-07-23,23:59:59,14.650,320
1971-08-22,23:59:59,13.733,320
1971-10-19,23:59:59,92.952,320
1972-05-15,23:59:59,35.593,320
1973-04-24,23:59:59,132.743,320
1973-12-28,23:59:59,31.763,320
1973-12-30,23:59:59,16.691,320
1974-07-07,23:59:59,42.058,320
1974-07-17,23:59:59,37.939,320
1975-07-11,23:59:59,28.196,320
1975-11-21,23:59:59,48.739,320
1976-02-26,23:59:59,4.453,320
1976-09-30,23:59:59,29.001,320
1977-06-16,23:59:59,69.751,320
1977-10-08,23:59:59,40.351,320
1978-04-30,23:59:59,37.414,320
1978-10-17,23:59:59,138.977,320
1979-10-03,23:59:59,104.885,320
1979-11-22,23:59:59,163.674,320
1980-07-20,23:59:59,31.950,320
1980-12-30,23:59:59,95.273,320
1981-04-20,23:59:59,105.870,320
1982-06-29,23:59:59,47.595,320
1982-09-09,23:59:59,84.353,320
1984-02-03,23:59:59,84.508,320
1984-05-25,23:59:59,37.521,320
1984-10-13,23:59:59,94.581,320
1985-01-19,23:59:59,110.604,320
1985-08-30,23:59:59,67.100,320
1985-12-04,23:59:59,43.750,320
1986-04-05,23:59:59,46.124,320
1987-02-17,23:59:59,64.815,320
1987-02-27,23:59:59,67.725,320
1988-11-24,23:59:59,87.412,320
1989-04-17,23:59:59,44.097,320
1989-04-20,23:59:59,28.562,320
1989-05-29,23:59:59,5.279,320
1989-08-21,23:59:59,21.386,320
1989-10-16,23:59:59,58.450,320
1990-04-04,23:59:59,4.621,320
1990-06-25,23:59:59,10.844,320
1991-05-28,23:59:59,17.452,320
1992-01-29,23:59:59,42.205,320
1992-11-15,23:59:59,194.882,320
1994-05-03,23:59:59,70.450,320
1995-07-02,23:59:59,15.570,320
1995-08-31,23:59:59,87.200,320
1996-04-16,23:59:59,145.861,320
1996-04-26,23:59:59,52.405,320
1996-05-30,23:59:59,71.507,320
1996-10-13,23:59:59,268.202,320
1997-02-15,23:59:59,42.957,320
1997-04-18,23:59:59,169.792,320
1997-10-09,23:59:59,31.419,320
1999-01-01,23:59:59,6.324,320
1999-07-18,23:59:59,26.031,320
1999-12-05,23:59:59,44.499,320
2000-06-30,23:59:59,142.528,320
2000-11-09,23:59:59,42.922,320
2001-01-14,23:59:59,42.722,320
2001-04-22,23:59:59,12.488,320
2002-06-24,23:59:59,64.784,320
2002-12-08,23:59:59,52.106,320
2003-04-06,23:59:59,25.619,320
2004-03-27,23:59:59,128.852,320
2005-03-02,23:59:59,76.899,320
2005-06-30,23:59:59,19.479,320
2005-07-21,23:59:59,18.167,320
2006-12-29,23:59:59,70.056,320
2007-03-29,23:59:59,21.069,320
2008-02-13,23:59:59,32.293,320
2008-04-07,23:59:59,26.757,320
2008-10-16,23:59:59,130.120,320
2009-04-03,23:59:59,11.613,320
2009-10-30,23:59:59,2.000,320
2009-12-15,23:59:59,58.690,320
2010-04-07,23:59:59,38.317,320
2010-05-16,23:59:59,37.867,320
2010-12-24,23:59:59,209.611,320
2011-02-13,23:59:59,77.226,320
2011-05-18,23:59:59,63.977,320
2012-07-08,23:59:59,11.680,320
2012-11-22,23:59:59,90.760,320
2014-04-10,23:59:59,25.354,320
2014-04-21,23:59:59,33.104,320
2014-08-25,23:59:59,36.225,320
2014-10-24,23:59:59,5.598,320
2014-11-10,23:59:59,47.332,320
2016-04-01,23:59:59,25.551,320
2016-09-02,23:59:59,24.796,320
2016-10-23,23:59:59,71.231,320
2016-12-01,23:59:59,71.711,320
2018-12-06,23:59:59,66.601,320
2019-02-04,23:59:59,33.412,320
2019-03-11,23:59:59,38.830,320
2019-08-16,23:59:59,28.048,320
2019-10-04,23:59:59,41.124,320
2020-04-26,23:59:59,60.168,320
2020-09-11,23:59:59,34.716,320
2020-11-03,23:59:59,82.870,320
2021-05-12,23:59:59,145.993,320
2022-01-19,23:59:59,64.415,320
2022-02-09,23:59:59,80.000,320
2022-06-17,23:59:59,37.331,320
2022-08-10,23:59:59,88.881,320
2022-08-28,23:59:59,65.125,320
1931-10-28,23:59:59,45.358,320
1932-09-25,23:59:59,30.740,320
1933-02-17,23:59:59,89.351,320
1933-08-31,23:59:59,46.166,320
1933-09-29,23:59:59,39.060,320
1933-11-13,23:59:59,52.424,320
1933-11-23,23:59:59,51.058,320
1934-03-06,23:59:59,114.329,320
1934-05-16,23:59:59,102.420,320
1934-06-02,23:59:59,70.981,320
1934-09-19,23:59:59,28.526,320
1934-12-24,23:59:59,79.352,320
1935-03-18,23:59:59,133.353,320
1935-06-21,23:59:59,58.339,320
1935-12-29,23:59:59,57.219,320
1937-10-15,23:59:59,37.398,320
1937-11-18,23:59:59,81.468,320
1937-12-15,23:59:59,63.213,320
1939-11-17,23:59:59,71.170,320
1940-01-04,23:59:59,42.106,320
1940-10-28,23:59:59,192.909,320
1941-01-28,23:59:59,56.936,320
1941-03-08,23:59:59,55.147,320
1941-08-13,23:59:59,33.515,320
1942-03-04,23:59:59,46.694,320
1944-05-03,23:59:59,64.289,320
1946-01-09,23:59:59,85.078,320
1946-07-16,23:59:59,24.162,320
1946-10-18,23:59:59,253.507,320
1947-01-15,23:59:59,62.988,320
1947-09-08,23:59:59,38.419,320
1948-02-17,23:59:59,44.458,320
1948-02-29,23:59:59,46.291,320
1948-03-01,23:59:59,46.291,320
1948-05-13,23:59:59,20.873,320
1948-07-02,23:59:59,54.003,320
1948-08-31,23:59:59,25.183,320
1950-03-16,23:59:59,24.637,320
1951-01-12,23:59:59,33.554,320
1951-05-15,23:59:59,22.997,320
1953-02-25,23:59:59,22.017,320
1953-07-27,23:59:59,36.964,320
1954-05-11,23:59:59,26.762,320
1954-11-11,23:59:59,129.697,320
1955-07-31,23:59:59,8.000,320
1955-10-12,23:59:59,56.820,320
1957-03-07,23:59:59,163.065,320
1958-08-14,23:59:59,31.032,320
1958-10-07,23:59:59,65.785,320
1959-03-03,23:59:59,9.550,320
1959-09-15,23:59:59,298.746,320
1959-11-28,23:59:59,24.258,320
1959-12-19,23:59:59,71.581,320
1960-05-12,23:59:59,14.574,320
1961-01-06,23:59:59,19.095,320
1961-02-28,23:59:59,26.850,320
1961-07-08,23:59:59,35.126,320
1961-08-11,23:59:59,34.871,320
1962-06-23,23:59:59,58.875,320
1962-07-29,23:59:59,163.030,320
1962-09-23,23:59:59,46.510,320
1963-02-12,23:59:59,48.827,320
1963-03-24,23:59:59,13.861,320
1964-01-27,23:59:59,55.494,320
1964-05-05,23:59:59,68.192,320
1965-03-14,23:59:59,267.599,320
1965-08-24,23:59:59,10.865,320
1965-09-13,23:59:59,53.761,320
1966-07-31,23:59:59,10.554,320
1967-05-04,23:59:59,92.990,320
1968-11-20,23:59:59,70.431,320
1969-05-24,23:59:59,63.118,320
1969-06-14,23:59:59,44.394,320
1970-06-16,23:59:59,73.291,320
1970-06-19,23:59:59,46.634,320
1971-03-27,23:59:59,55.624,320
1972-03-25,23:59:59,87.014,320
1972-04-13,23:59:59,20.772,320
1972-08-16,23:59:59,42.028,320
1972-09-05,23:59:59,39.355,320
1973-03-11,23:59:59,16.765,320
1973-10-31,23:59:59,54.740,320
1973-11-28,23:59:59,30.767,320
1974-02-19,23:59:59,61.769,320
1975-02-18,23:59:59,20.007,320
1975-09-13,23:59:59,64.833,320
1975-11-05,23:59:59,87.620,320
1976-03-05,23:59:59,56.031,320
1976-12-29,23:59:59,74.214,320
1977-07-10,23:59:59,48.456,320
1977-12-28,23:59:59,38.094,320
1979-02-23,23:59:59,45.749,320
1979-12-12,23:59:59,68.218,320
1981-01-05,23:59:59,85.708,320
1981-01-11,23:59:59,54.124,320
1982-11-12,23:59:59,169.370,320
1983-10-30,23:59:59,99.271,320
1984-12-09,23:59:59,90.248,320
1985-02-22,23:59:59,42.203,320
1985-10-16,23:59:59,43.223,320
1987-07-27,23:59:59,31.957,320
1987-08-09,23:59:59,49.538,320
1988-01-16,23:59:59,7.868,320
1988-02-14,23:59:59,40.441,320
1988-02-24,23:59:59,91.619,320
1988-05-20,23:59:59,130.733,320
1988-06-04,23:59:59,15.569,320
1989-03-26,23:59:59,47.413,320
1990-10-03,23:59:59,5.135,320
1991-07-27,23:59:59,6.998,320
1991-11-11,23:59:59,53.167,320
1992-01-14,23:59:59,76.565,320
1993-03-28,23:59:59,2.000,320
1993-04-22,23:59:59,22.572,320
1993-07-28,23:59:59,78.096,320
1993-12-24,23:59:59,73.522,320
1994-04-02,23:59:59,13.053,320
1994-10-25,23:59:59,53.948,320
1995-06-08,23:59:59,23.434,320
1995-10-24,23:59:59,65.287,320
1995-11-17,23:59:59,45.879,320
1997-02-28,23:59:59,25.924,320
1997-06-08,23:59:59,11.593,320
1997-07-18,23:59:59,39.583,320
1998-07-12,23:59:59,53.133,320
1998-09-20,23:59:59,47.970,320
1999-01-30,23:59:59,7.363,320
1999-05-31,23:59:59,57.139,320
1999-08-17,23:59:59,15.964,320
1999-09-10,23:59:59,60.408,320
