Date,Time,Flow (m³/s),QualityCode
1932-11-01,23:59:59,34.800,320
1933-03-30,23:59:59,57.622,320
1934-05-29,23:59:59,62.598,320
1934-07-01,23:59:59,21.165,320
1934-09-20,23:59:59,270.094,320
1935-01-24,23:59:59,195.586,320
1935-07-16,23:59:59,200.367,320
1935-08-28,23:59:59,248.841,320
1936-03-06,23:59:59,8.387,320
1936-09-20,23:59:59,134.000,320
1937-01-04,23:59:59,69.100,320
1937-02-09,23:59:59,75.337,320
1938-07-01,23:59:59,76.064,320
1938-10-02,23:59:59,302.424,320
1939-04-24,23:59:59,45.923,320
1942-06-10,23:59:59,29.931,320
1942-07-06,23:59:59,182.435,320
1946-05-11,23:59:59,52.376,320
1950-04-20,23:59:59,64.032,320
1950-08-17,23:59:59,46.921,320
1950-12-30,23:59:59,3.135,320
1951-08-08,23:59:59,154.697,320
1951-10-31,23:59:59,432.635,320
1952-06-04,23:59:59,87.629,320
1954-03-19,23:59:59,84.427,320
1954-07-23,23:59:59,37.413,320
1955-06-09,23:59:59,106.228,320
1955-06-21,23:59:59,103.862,320
1955-07-29,23:59:59,48.184,320
1955-11-15,23:59:59,31.912,320
1956-09-15,23:59:59,75.558,320
1956-10-10,23:59:59,76.454,320
1956-10-14,23:59:59,136.588,320
1957-06-16,23:59:59,177.978,320
1959-09-22,23:59:59,136.334,320
1960-02-18,23:59:59,340.334,320
1961-10-15,23:59:59,374.157,320
1961-11-07,23:59:59,443.432,320
1962-07-23,23:59:59,97.679,320
1962-08-05,23:59:59,33.067,320
1963-08-02,23:59:59,132.366,320
1963-09-16,23:59:59,213.072,320
1963-11-30,23:59:59,93.740,320
1964-01-02,23:59:59,263.273,320
1964-03-12,23:59:59,76.460,320
1965-04-19,23:59:59,137.351,320
1965-11-22,23:59:59,110.149,320
1965-12-13,23:59:59,65.743,320
1966-01-07,23:59:59,83.627,320
1966-01-28,23:59:59,84.575,320
1966-03-09,23:59:59,130.032,320
1966-06-29,23:59:59,143.116,320
1967-07-25,23:59:59,74.033,320
1967-08-29,23:59:59,70.939,320
1968-08-31,23:59:59,123.906,320
1969-01-01,23:59:59,44.205,320
1969-06-28,23:59:59,206.354,320
1969-07-01,23:59:59,130.722,320
1969-07-21,23:59:59,52.100,320
1970-10-17,23:59:59,135.693,320
1970-10-29,23:59:59,129.942,320
1971-04-16,23:59:59,75.281,320
1971-06-02,23:59:59,76.638,320
1972-03-09,23:59:59,203.119,320
1972-08-19,23:59:59,145.999,320
1973-08-27,23:59:59,1.566,320
1973-10-23,23:59:59,243.321,320
1974-11-01,23:59:59,34.581,320
1974-11-07,23:59:59,64.140,320
1975-03-21,23:59:59,221.330,320
1975-04-28,23:59:59,254.559,320
1975-11-02,23:59:59,268.145,320
1976-02-27,23:59:59,0.000,320
1976-08-26,23:59:59,203.102,320
1976-12-11,23:59:59,60.094,320
1977-06-09,23:59:59,48.127,320
1977-08-16,23:59:59,64.635,320
1978-03-28,23:59:59,370.688,320
1978-09-09,23:59:59,190.934,320
1978-11-04,23:59:59,64.449,320
1980-07-10,23:59:59,107.952,320
1981-01-12,23:59:59,36.518,320
1981-09-05,23:59:59,102.657,320
1981-11-30,23:59:59,54.708,320
1982-01-19,23:59:59,62.978,320
1982-02-21,23:59:59,81.501,320
1982-09-12,23:59:59,123.553,320
1983-02-14,23:59:59,57.585,320
1983-03-22,23:59:59,66.513,320
1983-04-30,23:59:59,120.527,320
1983-06-06,23:59:59,75.322,320
1984-06-23,23:59:59,59.702,320
1985-01-30,23:59:59,49.491,320
1986-05-20,23:59:59,83.741,320
1986-09-30,23:59:59,165.406,320
1987-05-22,23:59:59,66.736,320
1988-04-18,23:59:59,103.742,320
1988-07-06,23:59:59,130.503,320
1988-08-02,23:59:59,160.780,320
1989-07-18,23:59:59,53.270,320
1990-03-31,23:59:59,98.653,320
1990-12-04,23:59:59,59.276,320
1992-05-28,23:59:59,36.154,320
1992-06-12,23:59:59,95.342,320
1994-03-17,23:59:59,75.989,320
1994-10-07,23:59:59,79.559,320
1995-01-13,23:59:59,105.959,320
1995-08-28,23:59:59,444.662,320
1995-09-14,23:59:59,317.876,320
1996-01-08,23:59:59,95.463,320
1996-06-04,23:59:59,255.896,320
1997-01-22,23:59:59,88.328,320
2000-06-26,23:59:59,202.691,320
2001-03-25,23:59:59,7.893,320
2001-08-06,23:59:59,105.271,320
2001-09-27,23:59:59,537.068,320
2001-11-17,23:59:59,128.843,320
2002-01-24,23:59:59,73.404,320
2002-10-22,23:59:59,190.290,320
2003-01-19,23:59:59,42.888,320
2003-08-17,23:59:59,117.155,320
2003-12-05,23:59:59,519.310,320
2004-07-08,23:59:59,49.425,320
2005-03-11,23:59:59,225.139,320
2005-05-30,23:59:59,163.656,320
2005-11-11,23:59:59,259.598,320
2006-08-08,23:59:59,50.456,320
2007-01-21,23:59:59,79.695,320
2008-02-21,23:59:59,16.907,320
2008-12-26,23:59:59,11.563,320
2009-02-15,23:59:59,5.804,320
2009-06-06,23:59:59,74.503,320
2009-06-07,23:59:59,32.463,320
2010-03-20,23:59:59,76.556,320
2010-04-30,23:59:59,560.740,320
2010-05-22,23:59:59,96.909,320
2010-06-02,23:59:59,51.693,320
2014-04-17,23:59:59,39.179,320
2014-09-02,23:59:59,31.665,320
2016-04-16,23:59:59,112.797,320
2017-07-02,23:59:59,65.002,320
2017-09-16,23:59:59,226.808,320
2018-02-09,23:59:59,31.886,320
2018-03-05,23:59:59,81.321,320
2018-05-05,23:59:59,58.738,320
2019-08-24,23:59:59,60.302,320
2019-10-28,23:59:59,320.784,320
2021-05-05,23:59:59,127.100,320
2022-07-10,23:59:59,71.601,320
2022-08-24,23:59:59,402.396,320
2023-09-27,23:59:59,114.408,320
2024-12-29,23:59:59,27.061,320
1931-07-25,23:59:59,131.580,320
1931-10-17,23:59:59,181.303,320
1932-08-09,23:59:59,6.988,320
1933-12-24,23:59:59,246.445,320
1934-03-17,23:59:59,29.154,320
1934-07-05,23:59:59,20.293,320
1934-09-23,23:59:59,179.094,320
1935-02-16,23:59:59,0.000,320
1935-05-30,23:59:59,108.510,320
1935-12-19,23:59:59,98.440,320
1936-04-04,23:59:59,144.388,320
1936-05-08,23:59:59,148.449,320
1937-03-12,23:59:59,72.761,320
1937-06-09,23:59:59,98.246,320
1938-06-25,23:59:59,50.404,320
1938-08-01,23:59:59,7.808,320
1938-09-23,23:59:59,68.386,320
1938-10-05,23:59:59,365.885,320
1939-01-31,23:59:59,90.665,320
1940-12-17,23:59:59,84.140,320
1940-12-23,23:59:59,146.831,320
1942-02-17,23:59:59,26.245,320
1942-09-04,23:59:59,65.850,320
1943-08-18,23:59:59,8.868,320
1943-11-17,23:59:59,93.764,320
1944-07-10,23:59:59,284.775,320
1944-10-12,23:59:59,264.237,320
1945-12-19,23:59:59,126.210,320
1947-12-31,23:59:59,902.002,320
1948-11-02,23:59:59,1036.928,320
1949-02-05,23:59:59,109.234,320
1949-08-30,23:59:59,82.034,320
1949-11-11,23:59:59,36.150,320
1950-02-01,23:59:59,12.397,320
1950-11-02,23:59:59,125.025,320
1952-03-01,23:59:59,54.512,320
1952-07-06,23:59:59,175.384,320
1952-08-22,23:59:59,33.147,320
1952-10-27,23:59:59,49.288,320
1952-11-17,23:59:59,55.976,320
1953-03-15,23:59:59,85.690,320
1955-03-19,23:59:59,98.950,320
