Date,Time,Flow (m³/s),QualityCode
1931-10-13,23:59:59,136.576,320
1932-08-11,23:59:59,2.856,320
1932-10-06,23:59:59,19.430,320
1934-10-16,23:59:59,147.633,320
1935-08-04,23:59:59,67.463,320
1935-11-18,23:59:59,124.042,320
1935-12-15,23:59:59,96.622,320
1936-01-09,23:59:59,49.370,320
1936-02-07,23:59:59,42.384,320
1938-10-13,23:59:59,69.172,320
1939-07-21,23:59:59,20.613,320
1939-08-09,23:59:59,14.258,320
1939-08-31,23:59:59,19.207,320
1939-10-28,23:59:59,53.940,320
1940-06-07,23:59:59,48.440,320
1940-06-30,23:59:59,31.932,320
1941-07-17,23:59:59,22.098,320
1941-08-24,23:59:59,17.333,320
1942-12-18,23:59:59,64.211,320
1943-05-30,23:59:59,22.465,320
1944-03-24,23:59:59,36.458,320
1944-05-07,23:59:59,122.351,320
1945-08-13,23:59:59,32.279,320
1945-09-01,23:59:59,66.129,320
1945-10-19,23:59:59,56.298,320
1945-12-10,23:59:59,143.365,320
1946-02-25,23:59:59,76.340,320
1946-11-26,23:59:59,107.139,320
1947-11-19,23:59:59,72.484,320
1948-06-10,23:59:59,42.678,320
1949-02-02,23:59:59,42.005,320
1949-03-14,23:59:59,52.889,320
1949-04-11,23:59:59,257.497,320
1949-04-24,23:59:59,58.009,320
1950-03-21,23:59:59,39.829,320
1950-04-03,23:59:59,33.842,320
1950-05-20,23:59:59,19.239,320
1950-09-21,23:59:59,59.743,320
1951-01-02,23:59:59,108.403,320
1951-08-01,23:59:59,55.240,320
1951-08-15,23:59:59,36.025,320
1951-09-03,23:59:59,23.911,320
1952-02-13,23:59:59,90.789,320
1952-03-01,23:59:59,76.738,320
1952-08-18,23:59:59,12.147,320
1952-09-19,23:59:59,39.746,320
1954-01-24,23:59:59,50.969,320
1954-03-25,23:59:59,61.689,320
1954-11-29,23:59:59,58.839,320
1955-02-12,23:59:59,61.512,320
1955-04-01,23:59:59,36.450,320
1955-05-23,23:59:59,95.672,320
1955-06-25,23:59:59,38.925,320
1955-10-23,23:59:59,49.687,320
1956-01-02,23:59:59,40.154,320
1956-08-06,23:59:59,26.506,320
1958-01-20,23:59:59,90.514,320
1958-08-04,23:59:59,16.047,320
1958-11-13,23:59:59,81.481,320
1959-09-05,23:59:59,12.565,320
1960-04-06,23:59:59,39.375,320
1961-06-07,23:59:59,21.326,320
1961-08-31,23:59:59,49.216,320
1962-07-28,23:59:59,275.021,320
1963-01-22,23:59:59,35.495,320
1963-05-14,23:59:59,40.428,320
1963-07-09,23:59:59,24.120,320
1964-03-23,23:59:59,88.559,320
1964-09-08,23:59:59,27.221,320
1965-01-10,23:59:59,220.463,320
1965-04-19,23:59:59,32.821,320
1965-07-14,23:59:59,19.589,320
1965-09-19,23:59:59,58.694,320
1965-12-10,23:59:59,93.052,320
1967-03-20,23:59:59,81.641,320
1967-07-24,23:59:59,27.229,320
1967-09-15,23:59:59,19.004,320
1968-06-09,23:59:59,73.592,320
1968-07-02,23:59:59,28.932,320
1968-11-22,23:59:59,76.410,320
1969-06-06,23:59:59,30.065,320
1972-03-25,23:59:59,75.899,320
1973-04-12,23:59:59,0.470,320
1973-05-01,23:59:59,113.089,320
1973-06-14,23:59:59,53.908,320
1973-11-11,23:59:59,152.764,320
1973-12-28,23:59:59,47.893,320
1974-03-28,23:59:59,44.365,320
1974-09-27,23:59:59,23.650,320
1974-10-03,23:59:59,25.517,320
1975-04-21,23:59:59,120.687,320
1975-12-24,23:59:59,89.818,320
1976-02-16,23:59:59,46.528,320
1976-08-24,23:59:59,13.018,320
1976-12-03,23:59:59,80.224,320
1977-06-09,23:59:59,36.363,320
1977-07-17,23:59:59,24.281,320
1978-06-16,23:59:59,41.917,320
1979-08-28,23:59:59,35.427,320
1979-11-03,23:59:59,112.835,320
1980-02-18,23:59:59,52.829,320
1980-12-23,23:59:59,99.672,320
1981-09-01,23:59:59,11.612,320
1981-11-14,23:59:59,46.199,320
1982-04-03,23:59:59,48.368,320
1982-08-06,23:59:59,25.550,320
1982-08-22,23:59:59,21.712,320
1982-10-23,23:59:59,39.945,320
1982-11-03,23:59:59,57.487,320
1983-06-07,23:59:59,29.606,320
1983-07-10,23:59:59,149.994,320
1985-03-09,23:59:59,40.843,320
1986-03-24,23:59:59,60.552,320
1987-02-05,23:59:59,281.095,320
1987-06-05,23:59:59,147.885,320
1988-09-19,23:59:59,82.639,320
1989-05-12,23:59:59,22.043,320
1990-08-05,23:59:59,165.482,320
1990-10-03,23:59:59,28.679,320
1991-08-25,23:59:59,68.129,320
1991-09-19,23:59:59,78.294,320
1991-10-03,23:59:59,30.970,320
1995-06-06,23:59:59,28.084,320
1996-12-18,23:59:59,132.321,320
1997-03-03,23:59:59,50.886,320
1997-10-14,23:59:59,97.138,320
1998-02-19,23:59:59,116.818,320
1998-03-30,23:59:59,190.979,320
1999-01-01,23:59:59,55.724,320
2001-05-12,23:59:59,36.971,320
2001-12-27,23:59:59,102.173,320
2002-06-03,23:59:59,17.613,320
2002-06-04,23:59:59,22.470,320
2003-10-13,23:59:59,41.105,320
2004-06-04,23:59:59,82.337,320
2004-09-04,23:59:59,39.006,320
2004-10-05,23:59:59,66.331,320
2005-10-13,23:59:59,35.876,320
2005-11-11,23:59:59,43.160,320
2006-06-21,23:59:59,47.323,320
2006-07-25,23:59:59,24.907,320
2008-03-01,23:59:59,207.090,320
2008-04-16,23:59:59,32.965,320
2010-08-17,23:59:59,67.560,320
2010-11-18,23:59:59,87.996,320
2010-11-29,23:59:59,68.611,320
2011-05-10,23:59:59,60.581,320
2011-08-07,23:59:59,27.705,320
2012-02-28,23:59:59,29.701,320
2012-10-21,23:59:59,103.727,320
2014-02-15,23:59:59,35.497,320
2014-07-14,23:59:59,83.092,320
2014-08-08,23:59:59,61.329,320
2015-01-01,23:59:59,154.263,320
2015-04-17,23:59:59,29.467,320
2015-04-26,23:59:59,196.091,320
2015-09-26,23:59:59,36.206,320
2015-09-29,23:59:59,34.223,320
2016-09-28,23:59:59,33.709,320
2017-02-03,23:59:59,77.293,320
2017-07-12,23:59:59,15.776,320
2017-08-29,23:59:59,66.027,320
2018-03-12,23:59:59,43.327,320
2018-05-02,23:59:59,60.963,320
2018-08-09,23:59:59,39.003,320
2018-09-22,23:59:59,37.027,320
2019-09-23,23:59:59,22.397,320
2020-04-14,23:59:59,54.429,320
2020-06-27,23:59:59,20.005,320
2020-07-29,23:59:59,28.275,320
2020-10-04,23:59:59,97.781,320
2021-01-11,23:59:59,35.566,320
2021-11-26,23:59:59,55.743,320
2023-05-15,23:59:59,62.557,320
