Date,Time,Flow (m³/s),QualityCode
1932-04-11,23:59:59,271.684,320
1932-08-14,23:59:59,50.078,320
1933-01-04,23:59:59,342.319,320
1933-01-30,23:59:59,572.428,320
1933-05-09,23:59:59,106.123,320
1933-06-28,23:59:59,124.810,320
1934-11-13,23:59:59,136.279,320
1935-04-06,23:59:59,161.586,320
1935-10-08,23:59:59,175.808,320
1935-12-27,23:59:59,497.897,320
1936-01-06,23:59:59,216.727,320
1936-03-28,23:59:59,194.493,320
1937-01-07,23:59:59,398.296,320
1937-11-20,23:59:59,178.099,320
1938-07-19,23:59:59,76.967,320
1938-12-13,23:59:59,335.573,320
1939-01-17,23:59:59,239.196,320
1939-04-25,23:59:59,93.950,320
1939-11-22,23:59:59,193.822,320
1940-07-31,23:59:59,116.129,320
1940-11-24,23:59:59,112.269,320
1941-08-03,23:59:59,72.372,320
1941-12-08,23:59:59,365.303,320
1942-02-23,23:59:59,169.215,320
1942-12-26,23:59:59,191.515,320
1942-12-29,23:59:59,321.986,320
1944-01-28,23:59:59,211.318,320
1944-07-03,23:59:59,68.195,320
1944-09-11,23:59:59,127.802,320
1945-04-26,23:59:59,109.906,320
1946-11-27,23:59:59,218.089,320
1948-02-02,23:59:59,377.323,320
1948-03-31,23:59:59,421.582,320
1948-05-21,23:59:59,59.185,320
1948-09-10,23:59:59,44.905,320
1948-11-02,23:59:59,773.800,320
1948-11-16,23:59:59,220.717,320
1949-04-18,23:59:59,142.943,320
1949-09-22,23:59:59,75.819,320
1950-05-23,23:59:59,83.284,320
1952-08-08,23:59:59,111.786,320
1953-06-17,23:59:59,83.454,320
1955-05-30,23:59:59,93.753,320
1956-07-10,23:59:59,159.833,320
1956-09-29,23:59:59,124.777,320
1957-01-21,23:59:59,240.116,320
1958-01-31,23:59:59,528.882,320
1958-02-13,23:59:59,733.271,320
1958-12-18,23:59:59,230.769,320
1960-02-20,23:59:59,277.249,320
1960-05-07,23:59:59,78.213,320
1960-06-17,23:59:59,71.519,320
1962-01-06,23:59:59,636.199,320
1962-09-16,23:59:59,168.106,320
1963-05-04,23:59:59,222.861,320
1964-06-16,23:59:59,126.680,320
1966-11-01,23:59:59,173.144,320
1967-01-08,23:59:59,223.630,320
1967-01-17,23:59:59,231.368,320
1967-03-26,23:59:59,432.474,320
1967-05-02,23:59:59,138.374,320
1968-01-31,23:59:59,236.444,320
1968-02-26,23:59:59,249.214,320
1968-09-04,23:59:59,222.811,320
1968-10-29,23:59:59,229.997,320
1969-05-03,23:59:59,127.876,320
1970-05-10,23:59:59,78.926,320
1970-09-15,23:59:59,313.278,320
1970-09-25,23:59:59,286.330,320
1970-12-15,23:59:59,407.711,320
1971-08-13,23:59:59,58.647,320
1971-09-20,23:59:59,145.124,320
1971-10-13,23:59:59,208.590,320
1972-06-26,23:59:59,87.257,320
1972-08-30,23:59:59,123.583,320
1973-03-23,23:59:59,242.883,320
1975-03-12,23:59:59,207.712,320
1975-08-20,23:59:59,201.505,320
1975-12-22,23:59:59,240.793,320
1976-10-14,23:59:59,57.986,320
1977-01-09,23:59:59,290.420,320
1978-09-29,23:59:59,185.261,320
1979-06-01,23:59:59,200.705,320
1979-08-13,23:59:59,235.007,320
1980-02-10,23:59:59,339.595,320
1980-06-28,23:59:59,143.899,320
1980-08-27,23:59:59,217.997,320
1980-10-26,23:59:59,103.998,320
1981-02-07,23:59:59,300.827,320
1981-09-18,23:59:59,113.616,320
1982-01-18,23:59:59,218.782,320
1982-12-05,23:59:59,202.458,320
1984-03-11,23:59:59,281.927,320
1985-05-04,23:59:59,71.173,320
1985-08-29,23:59:59,200.085,320
1986-02-12,23:59:59,188.575,320
1986-04-11,23:59:59,167.462,320
1987-02-26,23:59:59,325.929,320
1987-04-10,23:59:59,249.287,320
1988-08-20,23:59:59,227.123,320
1989-04-18,23:59:59,142.994,320
1989-11-20,23:59:59,168.525,320
1990-04-05,23:59:59,121.653,320
1990-05-30,23:59:59,142.695,320
1990-06-01,23:59:59,111.180,320
1991-09-10,23:59:59,137.471,320
1992-03-10,23:59:59,142.913,320
1992-04-23,23:59:59,97.803,320
1992-09-12,23:59:59,75.028,320
1993-12-25,23:59:59,184.094,320
1993-12-30,23:59:59,354.392,320
1994-01-04,23:59:59,256.698,320
1994-04-12,23:59:59,133.054,320
1994-07-12,23:59:59,97.123,320
1995-11-03,23:59:59,198.230,320
1997-06-25,23:59:59,63.368,320
1998-02-27,23:59:59,243.082,320
1999-08-29,23:59:59,91.987,320
2001-02-19,23:59:59,242.995,320
2001-06-02,23:59:59,114.178,320
2001-06-04,23:59:59,135.080,320
2002-02-22,23:59:59,199.778,320
2002-04-12,23:59:59,104.662,320
2002-11-12,23:59:59,220.930,320
2004-06-04,23:59:59,111.383,320
2004-07-06,23:59:59,202.297,320
2005-03-26,23:59:59,258.227,320
2005-11-25,23:59:59,137.324,320
2006-12-25,23:59:59,170.206,320
2007-07-30,23:59:59,75.658,320
2007-10-21,23:59:59,182.226,320
2007-11-10,23:59:59,151.444,320
2008-08-19,23:59:59,75.341,320
2008-11-24,23:59:59,454.514,320
2008-12-24,23:59:59,298.626,320
2009-05-08,23:59:59,159.932,320
2010-01-05,23:59:59,498.236,320
2010-09-16,23:59:59,145.939,320
2011-03-23,23:59:59,187.197,320
2011-04-19,23:59:59,97.301,320
2011-06-16,23:59:59,121.816,320
2012-06-24,23:59:59,178.819,320
2013-11-20,23:59:59,206.649,320
2013-12-06,23:59:59,261.073,320
2013-12-19,23:59:59,211.870,320
2013-12-21,23:59:59,204.648,320
2014-01-18,23:59:59,293.663,320
2014-05-23,23:59:59,296.246,320
2014-07-14,23:59:59,240.753,320
2014-09-27,23:59:59,85.218,320
2014-10-06,23:59:59,128.010,320
2015-02-17,23:59:59,153.185,320
2015-04-07,23:59:59,162.626,320
2016-01-28,23:59:59,464.953,320
2016-05-05,23:59:59,259.171,320
2016-08-23,23:59:59,68.254,320
2017-09-27,23:59:59,335.356,320
2018-11-30,23:59:59,243.264,320
2020-06-29,23:59:59,139.887,320
2022-12-13,23:59:59,284.281,320
2023-04-05,23:59:59,178.629,320
2023-08-20,23:59:59,158.455,320
2023-09-18,23:59:59,329.052,320
2024-03-22,23:59:59,83.026,320
2024-06-15,23:59:59,127.326,320
2024-10-01,23:59:59,161.602,320
1931-08-14,23:59:59,79.654,320
1932-01-27,23:59:59,267.274,320
1932-03-19,23:59:59,189.587,320
1932-03-20,23:59:59,152.420,320
1932-05-12,23:59:59,276.921,320
1932-05-30,23:59:59,86.342,320
1932-12-16,23:59:59,223.523,320
1933-01-06,23:59:59,254.675,320
1934-04-10,23:59:59,618.397,320
1934-12-27,23:59:59,306.605,320
1935-01-24,23:59:59,275.372,320
1935-12-06,23:59:59,293.692,320
