Date,Time,Flow (m³/s),QualityCode
1931-10-24,23:59:59,103.148,301
1931-11-20,23:59:59,129.113,301
1932-02-17,23:59:59,163.267,301
1933-03-05,23:59:59,184.117,301
1933-04-05,23:59:59,317.101,301
1933-07-08,23:59:59,35.582,301
1934-12-22,23:59:59,211.013,301
1935-09-24,23:59:59,49.577,301
1935-12-13,23:59:59,214.073,301
1936-01-19,23:59:59,154.143,301
1936-10-10,23:59:59,282.151,301
1938-03-08,23:59:59,254.751,301
1938-09-07,23:59:59,45.033,301
1938-10-14,23:59:59,66.776,301
1939-07-03,23:59:59,70.959,301
1940-08-17,23:59:59,24.296,301
1942-01-13,23:59:59,162.587,301
1942-04-26,23:59:59,70.233,301
1942-12-05,23:59:59,230.988,301
1943-12-18,23:59:59,294.525,301
1944-12-02,23:59:59,131.395,301
1944-12-26,23:59:59,144.155,301
1945-04-16,23:59:59,146.523,301
1945-05-29,23:59:59,40.815,301
1946-03-21,23:59:59,139.737,301
1946-11-08,23:59:59,61.277,301
1947-09-11,23:59:59,56.174,301
1948-10-21,23:59:59,152.603,301
1949-01-26,23:59:59,187.323,301
1949-02-09,23:59:59,388.900,301
1949-08-02,23:59:59,84.776,301
1949-09-05,23:59:59,40.483,301
1949-12-07,23:59:59,112.463,301
1950-09-19,23:59:59,74.135,301
1950-11-18,23:59:59,101.277,301
1950-11-23,23:59:59,77.260,301
1952-05-14,23:59:59,73.814,301
1952-11-11,23:59:59,233.888,301
1953-06-07,23:59:59,78.001,301
1954-07-26,23:59:59,82.144,301
1954-08-31,23:59:59,63.446,301
1955-09-15,23:59:59,64.029,301
1955-12-13,23:59:59,166.405,301
1956-09-24,23:59:59,54.255,301
1956-12-18,23:59:59,170.276,301
1959-01-07,23:59:59,130.046,301
1959-01-27,23:59:59,150.535,301
1959-05-12,23:59:59,90.213,301
1961-09-29,23:59:59,67.093,301
1962-03-29,23:59:59,79.559,301
1962-04-19,23:59:59,61.286,301
1963-07-20,23:59:59,21.091,301
1963-09-30,23:59:59,69.640,301
1965-02-23,23:59:59,126.788,301
1966-03-15,23:59:59,123.486,301
1966-09-30,23:59:59,51.038,301
1966-12-12,23:59:59,99.242,301
1968-09-04,23:59:59,92.811,301
1969-08-02,23:59:59,43.639,301
1970-05-31,23:59:59,19.731,301
1970-09-01,23:59:59,417.523,301
1972-03-04,23:59:59,193.531,301
1972-03-07,23:59:59,212.049,301
1973-07-12,23:59:59,67.813,301
1973-12-08,23:59:59,144.406,301
1976-01-19,23:59:59,143.153,301
1976-03-29,23:59:59,131.566,301
1976-06-21,23:59:59,2.520,301
1976-09-15,23:59:59,2.000,301
1976-10-03,23:59:59,2.000,301
1978-03-21,23:59:59,66.528,301
1978-03-25,23:59:59,165.437,301
1978-05-14,23:59:59,572.516,301
1979-12-22,23:59:59,201.510,301
1980-04-14,23:59:59,82.324,301
1980-05-03,23:59:59,115.750,301
