Date,Time,Flow (m³/s),QualityCode
1931-08-02,23:59:59,140.892,320
1931-08-09,23:59:59,116.408,320
1932-11-18,23:59:59,178.305,320
1933-09-01,23:59:59,106.059,320
1933-10-20,23:59:59,606.762,320
1933-12-15,23:59:59,339.243,320
1935-07-02,23:59:59,106.035,320
1935-11-15,23:59:59,122.677,320
1936-09-18,23:59:59,529.979,320
1936-12-17,23:59:59,166.967,320
1937-03-19,23:59:59,246.875,320
1937-04-04,23:59:59,194.639,320
1937-04-28,23:59:59,155.078,320
1937-11-02,23:59:59,152.516,320
1938-04-23,23:59:59,143.734,320
1938-11-16,23:59:59,224.253,320
1939-04-25,23:59:59,117.787,320
1939-10-08,23:59:59,492.639,320
1941-03-28,23:59:59,859.385,320
1942-02-24,23:59:59,743.477,320
1942-05-27,23:59:59,204.627,320
1943-03-17,23:59:59,247.589,320
1944-06-29,23:59:59,164.674,320
1944-07-12,23:59:59,319.940,320
1946-02-13,23:59:59,747.049,320
1947-09-20,23:59:59,545.037,320
1947-12-29,23:59:59,116.585,320
1948-01-08,23:59:59,422.797,320
1948-06-03,23:59:59,301.409,320
1949-11-23,23:59:59,128.857,320
1950-03-23,23:59:59,108.337,320
1951-10-10,23:59:59,155.160,320
1954-04-01,23:59:59,261.007,320
1954-12-24,23:59:59,49.853,320
1955-02-17,23:59:59,309.335,320
1955-06-05,23:59:59,179.458,320
1955-06-10,23:59:59,153.281,320
1955-06-13,23:59:59,1185.217,320
1956-03-20,23:59:59,184.066,320
1956-09-13,23:59:59,529.657,320
1956-12-19,23:59:59,120.512,320
1957-02-14,23:59:59,162.258,320
1957-04-24,23:59:59,541.904,320
1957-07-20,23:59:59,60.227,320
1957-12-06,23:59:59,408.903,320
1959-11-20,23:59:59,172.576,320
1960-02-25,23:59:59,192.794,320
1960-08-06,23:59:59,678.949,320
1960-09-13,23:59:59,223.755,320
1961-02-28,23:59:59,330.995,320
1961-06-24,23:59:59,190.954,320
1961-08-22,23:59:59,61.467,320
1961-09-03,23:59:59,172.689,320
1961-11-22,23:59:59,243.063,320
1962-01-13,23:59:59,168.637,320
1962-07-01,23:59:59,333.945,320
1962-08-02,23:59:59,248.900,320
1962-11-15,23:59:59,15.000,320
1963-06-30,23:59:59,89.402,320
1963-11-11,23:59:59,242.127,320
1964-01-08,23:59:59,975.993,320
1964-08-28,23:59:59,262.065,320
1965-01-24,23:59:59,148.512,320
1965-10-01,23:59:59,506.436,320
1965-12-28,23:59:59,239.066,320
1966-03-25,23:59:59,482.550,320
1967-03-27,23:59:59,137.855,320
1967-10-30,23:59:59,369.396,320
1968-02-19,23:59:59,330.707,320
1968-07-05,23:59:59,79.379,320
1968-08-30,23:59:59,362.095,320
1968-10-31,23:59:59,420.855,320
1970-08-17,23:59:59,269.479,320
1970-12-04,23:59:59,389.503,320
1972-08-15,23:59:59,59.750,320
1973-02-28,23:59:59,46.049,320
1973-08-26,23:59:59,81.416,320
1973-09-09,23:59:59,168.639,320
1973-11-15,23:59:59,175.037,320
1974-01-27,23:59:59,17.901,320
1974-09-23,23:59:59,255.064,320
1975-03-04,23:59:59,243.578,320
1975-11-09,23:59:59,275.576,320
1976-01-30,23:59:59,205.266,320
1976-05-22,23:59:59,193.784,320
1976-10-25,23:59:59,241.572,320
1977-07-31,23:59:59,40.417,320
1977-09-10,23:59:59,22.981,320
1978-02-06,23:59:59,58.743,320
1978-10-23,23:59:59,130.515,320
1978-10-25,23:59:59,109.934,320
1979-11-13,23:59:59,57.297,320
1979-11-16,23:59:59,147.802,320
1980-01-09,23:59:59,101.082,320
1980-05-11,23:59:59,58.618,320
1980-05-28,23:59:59,180.422,320
1981-03-22,23:59:59,157.623,320
1982-10-30,23:59:59,270.368,320
1983-10-23,23:59:59,215.162,320
1984-07-24,23:59:59,115.627,320
1985-05-03,23:59:59,68.006,320
1986-06-22,23:59:59,276.346,320
1987-03-22,23:59:59,73.477,320
1987-11-12,23:59:59,209.490,320
1988-11-29,23:59:59,221.783,320
1989-02-04,23:59:59,112.458,320
1989-04-15,23:59:59,91.720,320
1989-05-09,23:59:59,100.420,320
1989-11-21,23:59:59,189.608,320
1989-12-16,23:59:59,458.127,320
1990-04-07,23:59:59,138.847,320
1990-05-24,23:59:59,445.441,320
1990-09-21,23:59:59,89.763,320
1990-10-08,23:59:59,258.944,320
1991-04-21,23:59:59,227.249,320
1992-07-05,23:59:59,1211.707,320
1992-09-08,23:59:59,67.106,320
1992-10-15,23:59:59,172.781,320
1993-09-12,23:59:59,191.841,320
1994-09-28,23:59:59,67.729,320
1995-05-05,23:59:59,210.571,320
1997-07-03,23:59:59,49.928,320
1997-08-29,23:59:59,355.695,320
1997-09-04,23:59:59,125.696,320
1997-10-13,23:59:59,861.717,320
1998-02-27,23:59:59,276.013,320
1999-02-24,23:59:59,129.898,320
1999-03-24,23:59:59,396.871,320
1999-08-05,23:59:59,92.314,320
2001-01-10,23:59:59,191.382,320
2001-05-19,23:59:59,307.277,320
2001-05-27,23:59:59,100.807,320
2002-10-20,23:59:59,634.344,320
2002-12-25,23:59:59,1145.748,320
2003-01-22,23:59:59,382.211,320
2003-02-12,23:59:59,43.053,320
2003-09-08,23:59:59,136.210,320
2004-04-16,23:59:59,395.668,320
2004-06-03,23:59:59,511.294,320
2007-03-12,23:59:59,186.111,320
2007-04-08,23:59:59,89.622,320
2007-05-24,23:59:59,946.580,320
2008-08-27,23:59:59,108.680,320
2009-04-06,23:59:59,1070.684,320
2009-04-21,23:59:59,134.002,320
2009-07-26,23:59:59,125.366,320
2010-01-31,23:59:59,37.324,320
2013-01-27,23:59:59,44.015,320
2013-11-23,23:59:59,137.704,320
2014-03-30,23:59:59,36.565,320
2014-05-16,23:59:59,163.047,320
2014-07-25,23:59:59,56.667,320
2014-10-23,23:59:59,218.775,320
2015-07-11,23:59:59,117.390,320
2017-05-23,23:59:59,158.527,320
2018-09-25,23:59:59,197.404,320
2018-11-18,23:59:59,193.618,320
2019-01-13,23:59:59,219.902,320
2019-10-14,23:59:59,221.329,320
2020-08-04,23:59:59,348.483,320
2020-12-07,23:59:59,415.091,320
2021-08-14,23:59:59,539.928,320
2021-09-23,23:59:59,337.444,320
2021-09-28,23:59:59,265.783,320
2022-04-29,23:59:59,93.821,320
2024-08-10,23:59:59,152.526,320
2024-08-20,23:59:59,162.429,320
1932-05-26,23:59:59,109.620,320
1932-07-26,23:59:59,27.328,320
1932-08-06,23:59:59,24.556,320
1932-11-15,23:59:59,193.241,320
1933-01-22,23:59:59,122.854,320
1933-06-09,23:59:59,30.731,320
1933-06-27,23:59:59,109.741,320
1933-06-28,23:59:59,209.467,320
1934-04-03,23:59:59,61.523,320
1934-12-08,23:59:59,80.697,320
1937-10-19,23:59:59,115.047,320
1938-08-11,23:59:59,228.908,320
1940-02-27,23:59:59,1411.552,320
1940-06-20,23:59:59,157.400,320
1941-03-29,23:59:59,249.631,320
1941-06-21,23:59:59,54.224,320
1943-05-25,23:59:59,45.326,320
1948-01-21,23:59:59,143.303,320
1948-02-25,23:59:59,178.941,320
1948-05-03,23:59:59,42.817,320
1948-08-16,23:59:59,117.336,320
1948-12-31,23:59:59,584.083,320
1949-02-09,23:59:59,458.569,320
1949-07-15,23:59:59,168.324,320
1950-04-02,23:59:59,75.464,320
1950-04-24,23:59:59,160.122,320
1950-06-01,23:59:59,242.084,320
1950-12-21,23:59:59,290.675,320
1951-05-20,23:59:59,207.120,320
1951-08-22,23:59:59,56.690,320
1952-06-09,23:59:59,338.068,320
1952-07-05,23:59:59,207.676,320
1953-07-08,23:59:59,101.863,320
1954-07-06,23:59:59,434.198,320
1956-04-22,23:59:59,1123.801,320
1956-07-26,23:59:59,108.337,320
1956-11-09,23:59:59,278.418,320
1957-07-02,23:59:59,1069.535,320
1958-06-17,23:59:59,312.839,320
1958-11-05,23:59:59,337.413,320
1959-04-16,23:59:59,143.424,320
1959-06-24,23:59:59,121.419,320
1960-03-20,23:59:59,77.997,320
1960-06-14,23:59:59,258.026,320
1960-06-16,23:59:59,130.064,320
1960-12-06,23:59:59,91.718,320
1961-10-15,23:59:59,714.846,320
1962-01-12,23:59:59,522.779,320
1962-02-12,23:59:59,198.607,320
1962-04-05,23:59:59,539.026,320
1962-06-01,23:59:59,302.713,320
1962-06-09,23:59:59,243.970,320
1962-10-21,23:59:59,302.617,320
1963-06-17,23:59:59,255.296,320
1964-02-07,23:59:59,218.572,320
1965-09-06,23:59:59,167.215,320
1966-06-13,23:59:59,153.444,320
1967-07-21,23:59:59,81.911,320
1967-10-03,23:59:59,947.050,320
1967-11-02,23:59:59,520.669,320
1967-11-29,23:59:59,464.196,320
1968-05-07,23:59:59,312.072,320
1968-12-12,23:59:59,255.981,320
1970-07-01,23:59:59,162.915,320
1971-02-11,23:59:59,15.000,320
1972-03-08,23:59:59,115.913,320
1972-04-21,23:59:59,702.972,320
1972-08-20,23:59:59,70.583,320
1973-06-04,23:59:59,582.337,320
1973-10-16,23:59:59,283.680,320
1974-08-12,23:59:59,56.159,320
1975-08-25,23:59:59,140.624,320
1976-03-04,23:59:59,58.659,320
1976-04-13,23:59:59,42.643,320
1976-05-18,23:59:59,851.608,320
1976-05-30,23:59:59,808.782,320
1976-06-25,23:59:59,83.584,320
1976-11-25,23:59:59,147.424,320
1977-10-04,23:59:59,205.261,320
1978-12-10,23:59:59,22.210,320
1978-12-23,23:59:59,239.923,320
1979-12-10,23:59:59,221.426,320
1980-05-09,23:59:59,58.671,320
1980-11-11,23:59:59,171.097,320
1981-04-12,23:59:59,101.704,320
1981-07-29,23:59:59,287.687,320
1983-12-10,23:59:59,494.151,320
1984-01-27,23:59:59,4655.908,320
1984-04-05,23:59:59,213.768,320
1984-07-31,23:59:59,1228.044,320
1984-09-10,23:59:59,536.001,320
1984-11-16,23:59:59,465.183,320
1984-12-26,23:59:59,276.747,320
1985-02-27,23:59:59,93.131,320
1985-11-13,23:59:59,117.655,320
1985-11-17,23:59:59,426.202,320
1986-03-25,23:59:59,91.799,320
1986-06-06,23:59:59,326.224,320
1986-09-20,23:59:59,58.922,320
1986-09-28,23:59:59,329.226,320
1988-01-23,23:59:59,380.526,320
1988-02-26,23:59:59,534.208,320
1988-09-07,23:59:59,1084.552,320
1988-11-17,23:59:59,268.005,320
1989-09-29,23:59:59,57.307,320
1990-07-12,23:59:59,210.621,320
1990-07-15,23:59:59,137.140,320
1990-12-31,23:59:59,189.109,320
1992-03-17,23:59:59,301.291,320
1992-08-01,23:59:59,251.023,320
1992-12-14,23:59:59,156.980,320
1993-10-23,23:59:59,371.040,320
1994-06-22,23:59:59,151.378,320
1996-10-30,23:59:59,245.275,320
1996-12-07,23:59:59,208.725,320
1997-03-15,23:59:59,1192.266,320
1997-04-20,23:59:59,262.183,320
1998-04-16,23:59:59,394.014,320
1998-05-10,23:59:59,316.807,320
1998-08-08,23:59:59,310.415,320
1998-12-22,23:59:59,217.011,320
1998-12-25,23:59:59,103.521,320
1999-03-16,23:59:59,142.069,320
1999-09-16,23:59:59,110.388,320
1999-10-19,23:59:59,206.383,320
2000-02-25,23:59:59,1.431,320
2001-05-05,23:59:59,70.541,320
2001-09-24,23:59:59,132.670,320
2002-09-06,23:59:59,260.002,320
2002-10-12,23:59:59,96.621,320
2004-07-28,23:59:59,88.424,320
2004-10-06,23:59:59,289.783,320
2004-11-29,23:59:59,323.372,320
2004-11-30,23:59:59,266.780,320
2005-01-18,23:59:59,452.103,320
2005-05-17,23:59:59,166.770,320
2005-12-07,23:59:59,144.835,320
2007-04-19,23:59:59,132.349,320
2008-11-13,23:59:59,152.600,320
2008-12-24,23:59:59,45.936,320
2009-04-14,23:59:59,160.896,320
2011-05-24,23:59:59,528.496,320
2011-06-17,23:59:59,117.091,320
2011-09-20,23:59:59,146.467,320
2012-04-02,23:59:59,86.831,320
2012-05-12,23:59:59,158.281,320
2012-07-10,23:59:59,48.817,320
2012-09-15,23:59:59,1458.264,320
2012-12-25,23:59:59,143.559,320
2013-03-30,23:59:59,37.749,320
2013-07-28,23:59:59,337.265,320
2014-01-06,23:59:59,488.346,320
2014-04-06,23:59:59,110.164,320
2020-07-04,23:59:59,483.242,320
2021-12-27,23:59:59,480.085,320
2022-09-12,23:59:59,118.650,320
2022-12-10,23:59:59,321.574,320
2023-02-24,23:59:59,120.061,320
2023-08-27,23:59:59,214.658,320
2024-02-14,23:59:59,155.852,320
2024-03-08,23:59:59,205.421,320
1931-09-10,23:59:59,219.010,320
1932-06-07,23:59:59,304.371,320
1932-06-29,23:59:59,171.594,320
1932-09-07,23:59:59,512.679,320
1933-04-04,23:59:59,648.150,320
1933-04-07,23:59:59,207.502,320
1936-05-01,23:59:59,168.262,320
1936-08-23,23:59:59,435.634,320
1937-07-19,23:59:59,253.984,320
1938-02-18,23:59:59,88.391,320
1938-03-11,23:59:59,97.744,320
1939-02-14,23:59:59,201.212,320
1939-05-21,23:59:59,203.998,320
1939-10-13,23:59:59,144.094,320
1940-12-04,23:59:59,177.383,320
1942-09-08,23:59:59,397.724,320
1943-01-26,23:59:59,141.544,320
1944-01-28,23:59:59,84.284,320
1945-09-19,23:59:59,207.676,320
1946-04-24,23:59:59,71.905,320
1946-12-28,23:59:59,244.872,320
1947-09-12,23:59:59,121.641,320
1948-01-05,23:59:59,460.302,320
1948-05-20,23:59:59,209.477,320
1948-10-06,23:59:59,197.604,320
1949-03-03,23:59:59,102.877,320
1949-11-17,23:59:59,217.740,320
1950-03-08,23:59:59,616.196,320
1950-07-09,23:59:59,979.016,320
1950-07-20,23:59:59,56.656,320
1950-10-23,23:59:59,160.122,320
1951-03-24,23:59:59,69.020,320
1952-05-22,23:59:59,234.367,320
1953-01-22,23:59:59,47.528,320
1953-05-14,23:59:59,340.382,320
1954-07-12,23:59:59,172.576,320
1954-08-09,23:59:59,204.373,320
1955-02-20,23:59:59,758.117,320
1955-10-12,23:59:59,84.126,320
1956-08-07,23:59:59,137.671,320
1956-09-05,23:59:59,194.042,320
1956-12-23,23:59:59,176.228,320
1957-10-20,23:59:59,355.794,320
1958-02-10,23:59:59,148.826,320
1958-03-14,23:59:59,271.268,320
1958-05-16,23:59:59,56.641,320
1958-07-20,23:59:59,158.736,320
1960-01-21,23:59:59,214.767,320
1960-04-13,23:59:59,126.614,320
1960-04-23,23:59:59,121.665,320
1960-11-10,23:59:59,184.010,320
1961-03-02,23:59:59,147.185,320
1961-05-15,23:59:59,39.618,320
1961-07-11,23:59:59,153.555,320
1962-05-26,23:59:59,156.698,320
1962-10-14,23:59:59,154.314,320
1963-10-15,23:59:59,242.927,320
1964-01-29,23:59:59,228.180,320
1964-08-30,23:59:59,94.952,320
1964-11-19,23:59:59,323.991,320
1965-09-28,23:59:59,657.477,320
1966-06-20,23:59:59,87.110,320
1966-10-31,23:59:59,113.354,320
1967-01-05,23:59:59,64.010,320
1967-06-09,23:59:59,99.820,320
1967-09-25,23:59:59,222.195,320
1968-07-17,23:59:59,213.081,320
1968-10-08,23:59:59,713.776,320
1969-07-22,23:59:59,16.360,320
1969-10-26,23:59:59,1087.761,320
1970-02-09,23:59:59,208.895,320
1970-12-19,23:59:59,152.291,320
1972-01-09,23:59:59,116.134,320
1972-03-29,23:59:59,348.051,320
1972-06-11,23:59:59,15.000,320
1972-07-22,23:59:59,538.759,320
1973-06-15,23:59:59,138.452,320
1973-10-11,23:59:59,181.514,320
1974-01-01,23:59:59,677.363,320
1974-03-24,23:59:59,42.052,320
1974-05-22,23:59:59,71.301,320
1975-06-30,23:59:59,120.406,320
1976-05-01,23:59:59,280.005,320
1976-11-05,23:59:59,391.961,320
1976-12-01,23:59:59,112.281,320
1977-01-27,23:59:59,549.224,320
1977-06-16,23:59:59,876.058,320
1977-06-29,23:59:59,157.539,320
1977-08-25,23:59:59,59.213,320
1979-05-17,23:59:59,240.490,320
1979-08-20,23:59:59,136.462,320
1980-05-12,23:59:59,55.893,320
1980-08-12,23:59:59,1635.658,320
1982-06-05,23:59:59,328.120,320
1982-06-21,23:59:59,102.683,320
1982-07-23,23:59:59,87.195,320
1983-01-06,23:59:59,589.110,320
1983-02-04,23:59:59,349.605,320
1983-06-15,23:59:59,577.297,320
1983-09-04,23:59:59,170.504,320
1985-11-29,23:59:59,60.439,320
1986-07-25,23:59:59,826.139,320
1986-09-15,23:59:59,36.113,320
1987-12-21,23:59:59,120.010,320
1988-07-23,23:59:59,244.320,320
1990-01-01,23:59:59,213.186,320
1990-05-05,23:59:59,259.342,320
1990-11-09,23:59:59,78.270,320
1991-05-07,23:59:59,76.120,320
1991-09-01,23:59:59,198.214,320
1991-12-23,23:59:59,151.195,320
1992-10-20,23:59:59,2222.517,320
1993-05-14,23:59:59,376.944,320
1993-09-22,23:59:59,195.711,320
1994-01-15,23:59:59,743.505,320
1994-03-14,23:59:59,155.034,320
1994-06-25,23:59:59,981.712,320
1994-12-28,23:59:59,170.077,320
1995-12-27,23:59:59,857.888,320
1999-09-08,23:59:59,281.954,320
2000-02-13,23:59:59,917.723,320
2000-11-03,23:59:59,150.503,320
2000-12-15,23:59:59,126.483,320
2001-06-09,23:59:59,1417.428,320
2002-04-19,23:59:59,36.012,320
2002-08-18,23:59:59,179.824,320
2003-01-25,23:59:59,149.535,320
2003-03-16,23:59:59,70.506,320
2003-04-30,23:59:59,69.804,320
2003-05-03,23:59:59,307.890,320
2003-05-22,23:59:59,388.778,320
2003-05-28,23:59:59,132.420,320
2003-09-22,23:59:59,421.383,320
2004-02-09,23:59:59,343.916,320
2004-10-27,23:59:59,149.153,320
2005-10-06,23:59:59,229.757,320
2006-07-15,23:59:59,206.721,320
2006-07-20,23:59:59,157.208,320
2007-08-28,23:59:59,179.493,320
2007-12-07,23:59:59,78.992,320
2009-03-05,23:59:59,18.294,320
2012-07-07,23:59:59,64.635,320
2012-07-15,23:59:59,397.039,320
2012-12-11,23:59:59,93.386,320
2014-04-26,23:59:59,294.623,320
2014-10-20,23:59:59,332.138,320
2014-11-16,23:59:59,348.399,320
2016-11-11,23:59:59,150.011,320
2017-03-05,23:59:59,81.750,320
2017-11-07,23:59:59,415.876,320
2017-12-18,23:59:59,138.758,320
2017-12-27,23:59:59,107.749,320
