Date,Time,Flow (m³/s),QualityCode
1931-07-03,23:59:59,43.194,320
1931-07-26,23:59:59,35.416,320
1931-10-31,23:59:59,18.976,320
1932-03-24,23:59:59,92.971,320
1932-08-11,23:59:59,9.191,320
1933-04-19,23:59:59,169.377,320
1935-01-06,23:59:59,112.951,320
1935-01-13,23:59:59,111.429,320
1935-01-24,23:59:59,82.416,320
1935-10-26,23:59:59,52.832,320
1936-02-09,23:59:59,81.060,320
1937-04-29,23:59:59,35.323,320
1938-08-11,23:59:59,203.953,320
1938-10-06,23:59:59,56.783,320
1938-10-29,23:59:59,79.285,320
1938-12-11,23:59:59,115.305,320
1938-12-31,23:59:59,59.925,320
1939-07-11,23:59:59,19.061,320
1939-09-24,23:59:59,67.149,320
1939-12-12,23:59:59,102.285,320
1939-12-18,23:59:59,83.505,320
1940-05-05,23:59:59,149.071,320
1940-09-12,23:59:59,13.809,320
1940-11-02,23:59:59,62.249,320
1941-01-07,23:59:59,101.212,320
1941-02-09,23:59:59,94.000,320
1941-10-17,23:59:59,18.411,320
1942-02-11,23:59:59,52.004,320
1944-12-17,23:59:59,176.997,320
1945-06-30,23:59:59,31.819,320
1946-03-10,23:59:59,45.428,320
1946-04-29,23:59:59,31.406,320
1946-04-30,23:59:59,44.337,320
1946-06-11,23:59:59,28.411,320
1947-12-24,23:59:59,143.411,320
1948-06-05,23:59:59,101.027,320
1948-12-21,23:59:59,83.505,320
1949-04-29,23:59:59,85.878,320
1950-01-02,23:59:59,99.465,320
1952-03-01,23:59:59,133.772,320
1952-03-20,23:59:59,21.186,320
1952-07-21,23:59:59,68.049,320
1952-09-05,23:59:59,6.726,320
1952-09-29,23:59:59,40.484,320
1953-09-07,23:59:59,100.712,320
1953-10-25,23:59:59,32.043,320
1954-05-13,23:59:59,76.682,320
1954-07-22,23:59:59,61.755,320
1955-01-19,23:59:59,59.028,320
1955-03-31,23:59:59,34.575,320
1956-02-15,23:59:59,95.426,320
1956-11-21,23:59:59,120.144,320
1957-05-14,23:59:59,107.038,320
1957-08-30,23:59:59,12.173,320
1958-03-19,23:59:59,87.300,320
1959-01-19,23:59:59,163.769,320
1959-10-26,23:59:59,10.556,320
1959-11-12,23:59:59,17.957,320
1960-07-18,23:59:59,54.187,320
1961-03-13,23:59:59,44.087,320
1962-04-28,23:59:59,7.090,320
1962-05-13,23:59:59,61.816,320
1962-09-21,23:59:59,36.100,320
1965-01-18,23:59:59,97.880,320
1965-08-07,23:59:59,26.815,320
1965-08-20,23:59:59,50.848,320
1965-10-27,23:59:59,72.046,320
1965-11-19,23:59:59,157.086,320
1966-03-01,23:59:59,124.646,320
1967-07-01,23:59:59,70.892,320
1968-10-23,23:59:59,266.871,320
1968-10-28,23:59:59,150.173,320
1969-02-18,23:59:59,138.060,320
1969-07-18,23:59:59,45.468,320
1969-08-16,23:59:59,45.026,320
1969-12-17,23:59:59,116.376,320
1970-04-04,23:59:59,312.098,320
1970-04-05,23:59:59,170.565,320
1971-09-04,23:59:59,48.674,320
1971-10-30,23:59:59,46.368,320
1971-12-27,23:59:59,108.439,320
1972-11-24,23:59:59,109.752,320
1974-01-07,23:59:59,85.661,320
1974-01-19,23:59:59,65.976,320
1974-08-11,23:59:59,34.476,320
1975-06-24,23:59:59,45.102,320
1977-03-09,23:59:59,136.846,320
1977-07-20,23:59:59,39.587,320
1978-05-03,23:59:59,58.859,320
1979-02-07,23:59:59,108.811,320
1979-03-27,23:59:59,79.449,320
1979-09-17,23:59:59,68.331,320
1979-12-14,23:59:59,111.714,320
1980-09-10,23:59:59,78.176,320
1981-05-01,23:59:59,102.837,320
1981-07-04,23:59:59,66.120,320
1982-01-29,23:59:59,150.185,320
1982-07-07,23:59:59,30.895,320
1983-01-20,23:59:59,121.139,320
1983-03-02,23:59:59,54.925,320
1983-11-12,23:59:59,189.417,320
1984-07-01,23:59:59,41.980,320
1985-09-25,23:59:59,53.869,320
1985-10-03,23:59:59,42.250,320
1986-09-26,23:59:59,34.868,320
1986-12-03,23:59:59,63.669,320
1986-12-14,23:59:59,82.481,320
1986-12-15,23:59:59,106.477,320
1987-01-31,23:59:59,147.174,320
1988-05-04,23:59:59,31.975,320
1988-05-12,23:59:59,31.067,320
1988-11-23,23:59:59,129.273,320
1989-03-06,23:59:59,63.494,320
1989-08-01,23:59:59,35.075,320
1990-03-29,23:59:59,74.003,320
1990-10-27,23:59:59,74.841,320
1990-12-09,23:59:59,53.408,320
1992-01-11,23:59:59,117.613,320
1992-02-21,23:59:59,65.257,320
1994-10-16,23:59:59,39.251,320
1994-12-15,23:59:59,115.817,320
1995-01-28,23:59:59,127.569,320
1995-01-31,23:59:59,116.633,320
1996-01-19,23:59:59,100.164,320
1996-04-19,23:59:59,132.061,320
1996-05-04,23:59:59,74.177,320
1996-05-20,23:59:59,49.685,320
1998-05-05,23:59:59,66.837,320
1998-11-16,23:59:59,80.242,320
1999-05-28,23:59:59,113.810,320
2000-01-18,23:59:59,65.398,320
2000-12-07,23:59:59,98.939,320
2001-05-18,23:59:59,53.955,320
2001-08-21,23:59:59,40.452,320
2001-11-02,23:59:59,88.237,320
2002-11-01,23:59:59,71.648,320
2003-02-15,23:59:59,99.830,320
2003-12-16,23:59:59,127.914,320
2005-11-27,23:59:59,54.967,320
2006-03-13,23:59:59,56.255,320
2007-11-17,23:59:59,63.105,320
2010-11-20,23:59:59,111.026,320
2011-01-31,23:59:59,87.308,320
2011-04-03,23:59:59,51.335,320
2011-06-13,23:59:59,53.734,320
2011-09-25,23:59:59,36.033,320
2012-02-10,23:59:59,39.612,320
2012-05-16,23:59:59,38.365,320
2012-07-10,23:59:59,33.484,320
2012-11-21,23:59:59,67.294,320
2013-07-20,23:59:59,52.219,320
2013-12-08,23:59:59,226.447,320
2015-06-13,23:59:59,80.412,320
2015-11-15,23:59:59,52.293,320
2016-11-26,23:59:59,205.508,320
2017-03-16,23:59:59,48.218,320
2018-05-13,23:59:59,102.010,320
2018-08-14,23:59:59,45.979,320
2018-08-27,23:59:59,35.007,320
2018-10-20,23:59:59,41.425,320
2020-12-26,23:59:59,94.707,320
2021-02-17,23:59:59,48.014,320
2021-03-14,23:59:59,51.726,320
2021-12-30,23:59:59,117.155,320
2022-02-19,23:59:59,83.923,320
2022-10-23,23:59:59,56.913,320
2023-10-05,23:59:59,82.028,320
2024-01-20,23:59:59,612.404,320
2024-03-24,23:59:59,31.007,320
2024-06-24,23:59:59,45.655,320
2024-10-31,23:59:59,143.452,320
1932-07-21,23:59:59,12.399,320
1932-07-31,23:59:59,14.880,320
1932-10-06,23:59:59,53.566,320
1932-12-26,23:59:59,124.528,320
1933-09-17,23:59:59,12.136,320
1934-07-01,23:59:59,37.492,320
1935-04-27,23:59:59,51.832,320
1935-06-01,23:59:59,111.447,320
1935-10-19,23:59:59,69.663,320
1936-08-13,23:59:59,60.416,320
1936-11-03,23:59:59,244.894,320
1937-01-19,23:59:59,141.098,320
