Date,Time,Spill (Mm³),QualityCode
1980-01-21,23:59:59,11.283,200
1980-05-05,23:59:59,13.632,200
1980-07-29,23:59:59,20.085,200
1980-11-05,23:59:59,18.242,200
1981-01-26,23:59:59,18.331,200
1981-08-02,23:59:59,10.612,200
1981-10-23,23:59:59,15.890,200
1981-11-05,23:59:59,19.571,200
1982-02-04,23:59:59,17.343,200
1982-07-29,23:59:59,16.129,200
1984-04-15,23:59:59,8.421,200
1985-03-05,23:59:59,13.838,200
1985-03-21,23:59:59,12.447,200
1985-08-10,23:59:59,5.426,200
1985-11-05,23:59:59,17.612,200
1987-04-13,23:59:59,16.853,200
1988-01-30,23:59:59,13.733,200
1988-07-01,23:59:59,6.979,200
1989-10-10,23:59:59,8.287,200
1990-08-17,23:59:59,19.029,200
1990-11-22,23:59:59,14.217,200
1991-09-21,23:59:59,6.713,200
1992-03-28,23:59:59,8.170,200
1993-07-12,23:59:59,19.299,200
1994-07-17,23:59:59,22.041,200
1995-07-21,23:59:59,20.628,200
1996-11-08,23:59:59,14.326,200
1998-09-06,23:59:59,15.020,200
1999-05-21,23:59:59,15.418,200
2001-03-28,23:59:59,17.863,200
2003-01-16,23:59:59,9.875,200
2003-09-07,23:59:59,7.700,200
2004-05-04,23:59:59,12.743,200
2005-02-23,23:59:59,22.597,200
2005-07-01,23:59:59,17.605,200
2005-07-19,23:59:59,10.725,200
2005-12-07,23:59:59,20.177,200
2006-02-15,23:59:59,26.172,200
2007-02-19,23:59:59,16.748,200
2007-03-30,23:59:59,10.401,200
2008-11-15,23:59:59,13.234,200
2008-12-04,23:59:59,12.488,200
2008-12-21,23:59:59,6.251,200
2009-07-16,23:59:59,11.795,200
2011-10-12,23:59:59,12.969,200
2012-03-08,23:59:59,13.276,200
2012-04-19,23:59:59,12.189,200
2014-10-09,23:59:59,7.485,200
2015-08-13,23:59:59,25.289,200
2016-11-08,23:59:59,13.806,200
2018-02-25,23:59:59,11.455,200
2018-06-17,23:59:59,7.109,200
2018-07-17,23:59:59,15.231,200
2018-08-20,23:59:59,21.611,200
2018-09-01,23:59:59,13.792,200
2018-09-26,23:59:59,23.136,200
