Date,Time,Spill (Mm³),QualityCode
1980-03-20,23:59:59,8.722,200
1980-05-05,23:59:59,4.735,200
1981-11-27,23:59:59,0.694,200
1982-03-26,23:59:59,0.671,200
1982-07-05,23:59:59,17.837,200
1983-05-27,23:59:59,4.424,200
1983-08-07,23:59:59,3.696,200
1984-04-24,23:59:59,4.387,200
1984-06-25,23:59:59,18.768,200
1984-09-18,23:59:59,0.648,200
1985-11-17,23:59:59,10.533,200
1986-02-23,23:59:59,0.811,200
1986-10-18,23:59:59,0.677,200
1987-07-25,23:59:59,16.649,200
1988-05-24,23:59:59,7.728,200
1989-02-01,23:59:59,2.477,200
1989-05-10,23:59:59,2.460,200
1990-03-10,23:59:59,0.592,200
1990-06-08,23:59:59,0.620,200
1991-05-03,23:59:59,1.693,200
1991-06-05,23:59:59,7.786,200
1991-07-16,23:59:59,15.942,200
1991-08-09,23:59:59,3.318,200
1991-08-15,23:59:59,0.562,200
1991-11-02,23:59:59,2.184,200
1992-06-25,23:59:59,17.072,200
1992-10-26,23:59:59,0.706,200
1993-01-29,23:59:59,2.963,200
1993-01-30,23:59:59,3.646,200
1993-08-21,23:59:59,17.371,200
1993-11-04,23:59:59,0.674,200
1993-11-08,23:59:59,0.676,200
1994-03-30,23:59:59,3.589,200
1994-07-20,23:59:59,12.672,200
1994-08-03,23:59:59,8.008,200
1994-08-13,23:59:59,8.064,200
1995-02-12,23:59:59,15.509,200
1995-05-23,23:59:59,0.929,200
1995-06-05,23:59:59,4.260,200
1996-06-10,23:59:59,0.887,200
1996-07-28,23:59:59,7.705,200
1996-12-15,23:59:59,1.445,200
1998-08-23,23:59:59,12.859,200
1999-10-14,23:59:59,0.722,200
1999-11-11,23:59:59,0.780,200
2002-03-09,23:59:59,1.680,200
2002-07-20,23:59:59,15.708,200
2003-08-15,23:59:59,1.287,200
2003-11-29,23:59:59,0.805,200
2004-03-06,23:59:59,6.040,200
2004-12-21,23:59:59,0.654,200
2005-05-13,23:59:59,5.544,200
2005-07-10,23:59:59,6.950,200
2007-04-21,23:59:59,14.932,200
2008-01-12,23:59:59,1.059,200
2008-02-01,23:59:59,4.111,200
2009-01-29,23:59:59,1.994,200
2009-07-23,23:59:59,10.694,200
2009-12-07,23:59:59,1.140,200
2010-05-14,23:59:59,1.297,200
2011-05-18,23:59:59,8.877,200
2011-06-22,23:59:59,15.529,200
2011-11-28,23:59:59,1.116,200
2012-08-16,23:59:59,7.636,200
2012-12-18,23:59:59,1.278,200
2013-05-03,23:59:59,3.549,200
2013-05-15,23:59:59,10.091,200
2014-09-07,23:59:59,5.137,200
2014-12-03,23:59:59,4.736,200
2015-01-17,23:59:59,5.163,200
2015-09-13,23:59:59,1.428,200
2016-02-27,23:59:59,1.147,200
2017-03-14,23:59:59,14.809,200
2018-05-15,23:59:59,10.594,200
2019-06-05,23:59:59,1.038,200
2019-12-18,23:59:59,0.904,200
2019-12-24,23:59:59,4.975,200
2021-04-17,23:59:59,5.656,200
2022-02-19,23:59:59,1.191,200
2022-03-12,23:59:59,12.223,200
2022-04-11,23:59:59,3.196,200
2023-04-12,23:59:59,4.713,200
2023-06-05,23:59:59,1.104,200
2023-09-19,23:59:59,1.066,200
2023-09-25,23:59:59,0.983,200
2023-10-09,23:59:59,1.089,200
2023-12-04,23:59:59,5.011,200
2024-03-09,23:59:59,1.102,200
1980-06-17,23:59:59,0.830,200
1980-06-30,23:59:59,8.665,200
1980-09-30,23:59:59,13.473,200
1981-02-20,23:59:59,0.701,200
1982-11-16,23:59:59,0.502,200
1983-01-14,23:59:59,0.620,200
1983-03-26,23:59:59,0.623,200
1983-06-21,23:59:59,14.356,200
1984-02-13,23:59:59,8.816,200
1985-02-08,23:59:59,8.730,200
1985-03-04,23:59:59,2.889,200
1985-04-22,23:59:59,19.863,200
1985-08-13,23:59:59,19.495,200
1986-07-15,23:59:59,3.731,200
1987-05-19,23:59:59,6.625,200
1987-07-24,23:59:59,16.705,200
1988-03-21,23:59:59,2.484,200
1989-01-02,23:59:59,4.684,200
