Date,Time,Spill (Mm³),QualityCode
1980-05-27,23:59:59,6.625,200
1980-06-18,23:59:59,0.683,200
1980-07-03,23:59:59,0.028,200
1980-08-10,23:59:59,0.029,200
1981-05-02,23:59:59,0.106,200
1981-06-15,23:59:59,0.032,200
1982-01-30,23:59:59,24.652,200
1982-09-14,23:59:59,0.024,200
1983-06-09,23:59:59,0.016,200
1983-09-01,23:59:59,0.035,200
1983-12-02,23:59:59,0.042,200
1984-06-04,23:59:59,0.033,200
1984-06-12,23:59:59,0.035,200
1984-09-28,23:59:59,0.053,200
1986-03-21,23:59:59,0.000,200
1987-05-11,23:59:59,0.036,200
1988-07-29,23:59:59,5.037,200
1988-09-22,23:59:59,47.157,200
1989-11-26,23:59:59,0.005,200
1991-01-27,23:59:59,0.028,200
1991-06-06,23:59:59,0.027,200
1991-06-28,23:59:59,0.027,200
1991-07-08,23:59:59,0.027,200
1991-11-24,23:59:59,0.000,200
1992-09-08,23:59:59,0.000,200
1994-03-01,23:59:59,0.000,200
1994-09-15,23:59:59,0.261,200
1994-12-27,23:59:59,3.264,200
1995-02-18,23:59:59,0.290,200
1995-10-25,23:59:59,21.843,200
1996-05-27,23:59:59,0.023,200
1997-07-31,23:59:59,2.485,200
1998-06-11,23:59:59,5.623,200
1998-08-22,23:59:59,1.176,200
1998-11-09,23:59:59,15.356,200
1998-11-26,23:59:59,1.503,200
1999-10-06,23:59:59,1.338,200
1999-11-26,23:59:59,45.858,200
2000-05-06,23:59:59,1.155,200
2000-07-27,23:59:59,2.044,200
2001-03-20,23:59:59,1.406,200
2001-10-23,23:59:59,1.340,200
2002-10-27,23:59:59,5.234,200
2002-11-13,23:59:59,34.456,200
2004-05-14,23:59:59,4.367,200
2004-12-19,23:59:59,1.446,200
2005-09-02,23:59:59,1.929,200
2006-12-11,23:59:59,10.273,200
2007-04-02,23:59:59,1.313,200
2007-06-15,23:59:59,2.005,200
2007-07-27,23:59:59,4.240,200
2008-03-31,23:59:59,1.425,200
2009-04-18,23:59:59,1.257,200
2014-02-21,23:59:59,1.418,200
2014-06-12,23:59:59,23.826,200
