Date,Time,Spill (Mm³),QualityCode
1980-01-03,23:59:59,11.037,200
1980-02-05,23:59:59,50.007,200
1980-11-19,23:59:59,22.904,200
1980-12-25,23:59:59,16.534,200
1981-02-12,23:59:59,16.141,200
1981-05-05,23:59:59,28.129,200
1981-05-23,23:59:59,22.643,200
1981-07-06,23:59:59,24.807,200
1981-11-19,23:59:59,31.506,200
1982-03-20,23:59:59,43.953,200
1982-08-01,23:59:59,11.170,200
1984-01-16,23:59:59,36.439,200
1984-05-13,23:59:59,38.603,200
1984-08-25,23:59:59,26.242,200
1985-05-17,23:59:59,32.510,200
1985-06-21,23:59:59,28.641,200
1985-09-12,23:59:59,26.184,200
1985-12-11,23:59:59,9.305,200
1986-08-07,23:59:59,25.742,200
1986-11-22,23:59:59,10.617,200
1987-05-30,23:59:59,30.721,200
1987-11-02,23:59:59,35.388,200
1989-03-26,23:59:59,13.398,200
1989-05-20,23:59:59,28.230,200
1989-05-25,23:59:59,24.695,200
1989-06-13,23:59:59,27.952,200
1990-12-08,23:59:59,10.427,200
1991-08-19,23:59:59,53.827,200
1991-10-10,23:59:59,24.537,200
1991-11-03,23:59:59,17.334,200
1993-06-20,23:59:59,37.871,200
1994-02-17,23:59:59,24.611,200
1995-12-01,23:59:59,31.725,200
1996-02-09,23:59:59,29.083,200
1996-03-12,23:59:59,14.555,200
1996-07-28,23:59:59,13.826,200
1996-08-03,23:59:59,13.261,200
1996-11-08,23:59:59,28.001,200
1997-07-20,23:59:59,14.714,200
1997-07-30,23:59:59,15.663,200
1997-08-20,23:59:59,53.958,200
1999-06-14,23:59:59,31.795,200
1999-07-15,23:59:59,25.293,200
2000-04-23,23:59:59,17.079,200
2000-08-22,23:59:59,26.622,200
2001-08-10,23:59:59,18.757,200
2001-12-26,23:59:59,26.826,200
2002-11-08,23:59:59,26.263,200
2002-12-16,23:59:59,46.256,200
2003-02-05,23:59:59,22.288,200
2003-04-05,23:59:59,9.875,200
2003-06-07,23:59:59,29.322,200
2003-07-19,23:59:59,28.714,200
2003-11-06,23:59:59,32.232,200
2004-06-27,23:59:59,42.228,200
2004-08-03,23:59:59,16.082,200
2004-09-04,23:59:59,28.590,200
2004-09-27,23:59:59,28.264,200
2004-12-26,23:59:59,20.711,200
2007-07-25,23:59:59,19.659,200
2008-09-16,23:59:59,16.473,200
2009-03-27,23:59:59,12.861,200
2010-11-17,23:59:59,21.703,200
2011-11-20,23:59:59,25.565,200
2013-09-03,23:59:59,22.286,200
2013-12-31,23:59:59,22.371,200
2014-03-23,23:59:59,14.016,200
2014-08-14,23:59:59,53.876,200
2014-11-19,23:59:59,24.255,200
2015-05-19,23:59:59,54.017,200
2015-11-17,23:59:59,26.280,200
2016-05-01,23:59:59,29.255,200
2017-01-06,23:59:59,27.250,200
2017-09-08,23:59:59,26.374,200
2018-01-25,23:59:59,13.402,200
2018-01-28,23:59:59,13.317,200
2018-04-22,23:59:59,31.794,200
2018-07-06,23:59:59,18.446,200
2018-09-01,23:59:59,19.504,200
2019-04-02,23:59:59,28.999,200
2019-09-24,23:59:59,18.594,200
2020-05-15,23:59:59,29.080,200
2020-09-22,23:59:59,35.523,200
2021-06-17,23:59:59,26.180,200
2021-08-13,23:59:59,28.875,200
2022-02-25,23:59:59,12.243,200
2022-05-20,23:59:59,21.881,200
2022-09-01,23:59:59,28.765,200
2023-03-27,23:59:59,18.409,200
2024-03-11,23:59:59,28.343,200
1980-07-12,23:59:59,25.321,200
1981-01-25,23:59:59,31.068,200
1981-12-21,23:59:59,24.403,200
1982-08-21,23:59:59,9.319,200
1982-09-18,23:59:59,21.398,200
1983-03-04,23:59:59,25.611,200
1983-03-15,23:59:59,22.535,200
1983-05-18,23:59:59,49.775,200
1983-05-23,23:59:59,39.505,200
1983-10-30,23:59:59,31.828,200
1984-02-15,23:59:59,43.113,200
1984-08-02,23:59:59,9.572,200
1985-01-10,23:59:59,60.550,200
1986-09-28,23:59:59,21.053,200
1986-11-11,23:59:59,23.641,200
1987-04-24,23:59:59,33.951,200
1987-06-09,23:59:59,15.022,200
1987-06-20,23:59:59,23.901,200
1988-10-13,23:59:59,57.194,200
1989-02-02,23:59:59,14.177,200
1989-02-26,23:59:59,9.279,200
1989-09-13,23:59:59,9.465,200
1989-12-18,23:59:59,34.031,200
1990-07-26,23:59:59,29.730,200
1991-01-26,23:59:59,25.710,200
1991-02-15,23:59:59,49.258,200
1991-07-23,23:59:59,4.082,200
1992-04-30,23:59:59,15.418,200
1992-07-22,23:59:59,10.142,200
1993-04-29,23:59:59,13.713,200
1994-06-22,23:59:59,27.690,200
1994-08-08,23:59:59,30.736,200
1995-05-30,23:59:59,45.152,200
1995-09-13,23:59:59,34.179,200
1995-10-29,23:59:59,32.361,200
1996-08-13,23:59:59,13.705,200
1997-08-18,23:59:59,39.740,200
1998-04-23,23:59:59,43.525,200
1998-05-23,23:59:59,13.297,200
1998-06-03,23:59:59,24.956,200
1998-07-24,23:59:59,24.960,200
1998-09-29,23:59:59,32.243,200
1999-07-13,23:59:59,28.451,200
1999-11-17,23:59:59,69.319,200
2000-08-26,23:59:59,24.686,200
2001-02-02,23:59:59,23.312,200
2001-02-28,23:59:59,14.986,200
2001-12-17,23:59:59,29.622,200
2005-09-07,23:59:59,24.556,200
2006-11-17,23:59:59,24.201,200
2006-12-22,23:59:59,26.205,200
2007-12-08,23:59:59,21.695,200
2008-12-19,23:59:59,43.510,200
2009-01-31,23:59:59,25.884,200
2009-06-28,23:59:59,17.338,200
2009-08-27,23:59:59,25.512,200
2009-12-29,23:59:59,28.812,200
2010-08-26,23:59:59,20.056,200
2010-10-28,23:59:59,33.259,200
2011-03-29,23:59:59,17.535,200
2011-09-08,23:59:59,19.478,200
2011-09-29,23:59:59,24.204,200
2012-07-21,23:59:59,20.240,200
2012-10-04,23:59:59,31.052,200
2015-01-20,23:59:59,21.870,200
2015-03-09,23:59:59,19.351,200
2015-08-15,23:59:59,26.486,200
2015-11-13,23:59:59,29.199,200
2016-02-11,23:59:59,22.975,200
2016-04-10,23:59:59,31.104,200
2016-09-30,23:59:59,22.059,200
2016-11-14,23:59:59,29.529,200
2017-08-07,23:59:59,15.974,200
2018-01-22,23:59:59,13.440,200
2019-01-18,23:59:59,17.743,200
2019-05-10,23:59:59,26.512,200
2019-09-12,23:59:59,18.349,200
2019-09-16,23:59:59,18.493,200
2021-12-10,23:59:59,26.797,200
2022-01-26,23:59:59,11.737,200
2022-05-03,23:59:59,19.387,200
2022-10-09,23:59:59,18.370,200
2023-03-01,23:59:59,11.076,200
1981-01-13,23:59:59,12.874,200
1981-12-14,23:59:59,26.112,200
1981-12-16,23:59:59,24.233,200
1981-12-28,23:59:59,27.284,200
1982-03-22,23:59:59,33.554,200
1984-01-20,23:59:59,27.352,200
1984-01-30,23:59:59,61.977,200
1984-08-13,23:59:59,23.791,200
1984-12-18,23:59:59,27.643,200
1985-02-12,23:59:59,22.719,200
1986-07-16,23:59:59,17.291,200
1986-09-04,23:59:59,20.283,200
1987-02-22,23:59:59,18.053,200
1987-04-04,23:59:59,52.985,200
1988-03-06,23:59:59,19.993,200
1988-11-06,23:59:59,82.394,200
1990-07-19,23:59:59,32.447,200
1990-09-22,23:59:59,15.556,200
1991-01-24,23:59:59,25.955,200
1991-03-13,23:59:59,25.713,200
1991-10-19,23:59:59,57.307,200
1993-03-28,23:59:59,13.833,200
1993-11-07,23:59:59,32.782,200
1994-03-07,23:59:59,25.486,200
1994-03-19,23:59:59,25.272,200
1994-10-26,23:59:59,23.821,200
1996-04-05,23:59:59,13.557,200
1996-05-05,23:59:59,26.992,200
1996-08-14,23:59:59,13.848,200
1997-03-15,23:59:59,13.956,200
1998-02-10,23:59:59,42.316,200
1999-02-06,23:59:59,10.109,200
1999-05-15,23:59:59,15.664,200
2000-12-26,23:59:59,27.323,200
2001-01-14,23:59:59,27.357,200
2001-06-01,23:59:59,12.504,200
2001-06-05,23:59:59,12.215,200
2001-08-31,23:59:59,19.997,200
2003-08-03,23:59:59,29.754,200
2004-01-12,23:59:59,24.942,200
2004-04-11,23:59:59,25.708,200
2004-04-20,23:59:59,21.377,200
2004-10-19,23:59:59,23.131,200
2005-07-31,23:59:59,22.987,200
2005-08-22,23:59:59,22.904,200
2005-12-23,23:59:59,13.605,200
2006-06-09,23:59:59,18.746,200
2006-06-23,23:59:59,15.610,200
2006-08-16,23:59:59,17.517,200
2007-04-11,23:59:59,12.737,200
2008-09-11,23:59:59,16.469,200
2008-09-21,23:59:59,19.594,200
2009-04-04,23:59:59,23.975,200
2009-06-30,23:59:59,17.266,200
2009-10-19,23:59:59,22.169,200
2010-09-30,23:59:59,26.808,200
2010-12-22,23:59:59,19.051,200
2011-04-02,23:59:59,17.596,200
2011-10-29,23:59:59,19.580,200
2012-03-02,23:59:59,12.855,200
2013-05-05,23:59:59,23.673,200
2014-02-24,23:59:59,15.401,200
2014-10-13,23:59:59,19.979,200
2014-10-21,23:59:59,22.670,200
2015-11-19,23:59:59,23.778,200
2016-02-05,23:59:59,24.794,200
2018-01-26,23:59:59,13.382,200
2020-01-14,23:59:59,30.688,200
2021-04-08,23:59:59,13.673,200
2021-10-07,23:59:59,36.813,200
2022-09-30,23:59:59,18.498,200
2023-02-01,23:59:59,10.087,200
2023-03-18,23:59:59,13.669,200
2023-05-20,23:59:59,25.817,200
2023-07-08,23:59:59,20.213,200
2023-09-30,23:59:59,53.860,200
2024-01-11,23:59:59,22.506,200
2024-11-06,23:59:59,43.814,200
1980-04-18,23:59:59,29.607,200
1980-08-21,23:59:59,20.548,200
1981-07-23,23:59:59,14.396,200
1983-08-14,23:59:59,24.081,200
1984-11-16,23:59:59,17.312,200
1985-08-29,23:59:59,26.184,200
1986-06-09,23:59:59,22.651,200
1986-06-30,23:59:59,31.804,200
1987-05-23,23:59:59,19.440,200
1987-11-16,23:59:59,28.883,200
1988-10-18,23:59:59,73.066,200
1989-08-12,23:59:59,27.690,200
1990-02-22,23:59:59,18.003,200
1992-11-02,23:59:59,21.305,200
1993-05-16,23:59:59,12.486,200
1993-05-17,23:59:59,12.552,200
1993-11-29,23:59:59,20.974,200
1994-02-24,23:59:59,24.293,200
1994-03-26,23:59:59,16.954,200
1994-10-19,23:59:59,28.776,200
1995-02-17,23:59:59,16.878,200
1995-04-16,23:59:59,27.140,200
1996-10-07,23:59:59,53.235,200
1997-09-02,23:59:59,23.937,200
1997-11-10,23:59:59,30.738,200
1999-05-13,23:59:59,14.252,200
1999-11-25,23:59:59,59.563,200
2000-02-02,23:59:59,11.655,200
2000-06-30,23:59:59,55.483,200
2000-10-25,23:59:59,36.649,200
2001-03-24,23:59:59,10.926,200
2001-05-20,23:59:59,11.698,200
2001-11-07,23:59:59,21.278,200
2002-05-29,23:59:59,15.882,200
2003-04-03,23:59:59,10.192,200
2003-04-29,23:59:59,8.012,200
2003-05-31,23:59:59,29.342,200
2006-05-30,23:59:59,17.936,200
2006-08-17,23:59:59,16.168,200
2007-01-27,23:59:59,23.591,200
2009-02-25,23:59:59,14.543,200
2009-08-21,23:59:59,26.883,200
2010-02-02,23:59:59,15.726,200
2010-02-18,23:59:59,16.025,200
2010-03-03,23:59:59,16.949,200
2011-07-20,23:59:59,16.335,200
2011-12-12,23:59:59,23.647,200
2012-03-23,23:59:59,14.816,200
2012-07-23,23:59:59,20.891,200
2012-10-17,23:59:59,48.135,200
2012-12-14,23:59:59,20.151,200
2013-08-01,23:59:59,29.753,200
