Date,Time,Lake level (m),Active storage (Mm³),Active contingent storage (Mm³),QualityCode
1980-03-18,23:59:59,356.790,574.629,,320
1980-06-16,23:59:59,356.982,692.061,,320
1980-10-09,23:59:59,356.968,683.315,,320
1981-02-05,23:59:59,356.756,554.143,,320
1981-06-06,23:59:59,356.302,276.657,,320
1981-07-11,23:59:59,356.663,497.088,,320
1982-04-30,23:59:59,356.312,282.553,,320
1983-08-24,23:59:59,356.401,337.315,,320
1984-05-14,23:59:59,356.820,593.097,,320
1984-06-13,23:59:59,356.691,513.971,,320
1985-05-17,23:59:59,356.361,312.743,,320
1986-04-29,23:59:59,356.854,614.025,,320
1986-11-10,23:59:59,356.906,645.565,,320
1986-12-01,23:59:59,356.738,543.071,,320
1987-12-20,23:59:59,356.795,577.520,,320
1988-09-14,23:59:59,357.152,796.021,,320
1989-06-18,23:59:59,356.331,294.016,,320
1989-08-10,23:59:59,356.310,281.644,,320
1989-09-07,23:59:59,356.269,256.590,,320
1989-10-23,23:59:59,356.785,571.786,,320
1990-03-17,23:59:59,356.518,408.725,,320
1990-05-14,23:59:59,356.459,372.216,,320
1990-08-06,23:59:59,356.489,390.930,,320
1992-12-02,23:59:59,356.645,486.093,,320
1993-07-01,23:59:59,356.659,494.500,,320
1995-09-03,23:59:59,356.866,620.975,,320
1996-09-03,23:59:59,357.032,722.856,,320
1996-11-25,23:59:59,356.861,618.066,,320
1997-10-14,23:59:59,356.664,497.700,,320
1998-12-02,23:59:59,356.985,693.910,,320
1999-01-06,23:59:59,356.809,586.226,,320
1999-06-26,23:59:59,356.247,242.918,,320
2000-01-27,23:59:59,356.682,508.930,,320
2000-04-25,23:59:59,356.377,322.346,,320
2000-09-01,23:59:59,356.330,293.708,,320
2000-09-26,23:59:59,356.417,347.022,,320
2001-01-25,23:59:59,356.604,461.121,,320
2001-06-17,23:59:59,356.141,178.230,,320
2002-01-29,23:59:59,357.060,739.740,,320
2002-04-19,23:59:59,356.650,488.846,,320
2002-09-27,23:59:59,356.535,418.580,,320
2002-10-24,23:59:59,356.568,439.123,,320
2002-12-23,23:59:59,356.794,577.056,,320
2003-08-29,23:59:59,355.993,87.879,,320
2003-11-03,23:59:59,356.841,605.923,,320
2003-12-06,23:59:59,356.900,641.747,,320
2004-06-21,23:59:59,357.105,767.385,,320
2004-07-17,23:59:59,356.970,684.440,,320
2004-08-28,23:59:59,356.797,579.042,,320
2004-12-08,23:59:59,356.944,668.633,,320
2005-02-11,23:59:59,356.975,687.883,,320
2005-04-30,23:59:59,356.529,414.993,,320
2005-05-12,23:59:59,356.516,407.427,,320
2006-04-11,23:59:59,356.916,651.674,,320
2007-05-31,23:59:59,356.507,401.924,,320
2007-07-06,23:59:59,356.610,464.860,,320
2007-08-30,23:59:59,356.817,591.111,,320
2009-03-16,23:59:59,356.678,506.410,,320
2012-06-09,23:59:59,356.567,438.664,,320
2012-07-15,23:59:59,356.403,338.000,,320
2013-11-18,23:59:59,356.876,627.541,,320
2014-06-14,23:59:59,356.155,186.581,,320
2014-07-02,23:59:59,356.319,286.788,,320
2015-01-28,23:59:59,356.681,508.366,,320
2015-08-15,23:59:59,356.981,691.677,,320
2017-02-16,23:59:59,356.885,632.892,,320
2018-03-07,23:59:59,356.989,696.455,,320
2018-11-06,23:59:59,356.525,412.858,,320
2019-05-11,23:59:59,356.166,193.622,,320
2020-05-17,23:59:59,356.173,197.540,,320
2020-09-28,23:59:59,356.394,332.881,,320
2020-10-17,23:59:59,356.587,450.758,,320
2020-11-24,23:59:59,356.939,665.794,,320
1980-12-07,23:59:59,356.835,601.886,,320
1981-03-27,23:59:59,356.551,428.832,,320
1981-06-09,23:59:59,356.386,327.920,,320
1982-01-28,23:59:59,356.644,485.351,,320
1982-05-20,23:59:59,356.216,223.747,,320
1984-12-10,23:59:59,356.877,627.926,,320
1985-02-02,23:59:59,357.068,744.553,,320
1985-09-08,23:59:59,357.238,848.173,,320
1987-02-18,23:59:59,356.579,445.535,,320
1987-03-19,23:59:59,356.599,457.993,,320
1988-08-17,23:59:59,356.899,641.593,,320
1989-03-31,23:59:59,356.526,413.237,,320
1989-11-15,23:59:59,356.845,608.522,,320
1990-10-08,23:59:59,356.568,439.125,,320
1990-10-10,23:59:59,356.538,420.565,,320
1991-04-20,23:59:59,356.067,132.859,,320
1991-05-17,23:59:59,356.189,207.551,,320
1991-08-29,23:59:59,356.724,534.594,,320
1991-09-18,23:59:59,356.636,480.672,,320
1992-06-16,23:59:59,356.083,142.715,,320
1992-07-31,23:59:59,356.591,452.870,,320
1992-11-01,23:59:59,356.740,544.134,,320
1993-07-03,23:59:59,356.630,476.777,,320
1993-10-16,23:59:59,356.545,424.693,,320
1993-10-25,23:59:59,356.590,452.567,,320
1996-12-28,23:59:59,356.832,600.429,,320
1997-10-22,23:59:59,356.713,527.718,,320
1998-02-15,23:59:59,356.455,370.006,,320
1998-03-09,23:59:59,356.457,371.381,,320
1998-04-08,23:59:59,356.319,286.909,,320
1998-05-10,23:59:59,356.326,291.415,,320
1998-07-14,23:59:59,357.319,897.604,,320
1998-10-22,23:59:59,357.275,871.101,,320
1999-03-03,23:59:59,356.319,287.140,,320
2000-03-21,23:59:59,356.361,312.415,,320
2002-03-16,23:59:59,356.933,662.214,,320
2002-04-12,23:59:59,356.700,519.859,,320
2005-02-24,23:59:59,356.828,597.831,,320
2005-03-08,23:59:59,356.726,535.587,,320
2006-06-30,23:59:59,356.691,514.431,,320
2006-07-23,23:59:59,356.924,656.412,,320
2007-02-23,23:59:59,356.764,558.503,,320
2008-01-28,23:59:59,356.605,461.806,,320
2008-06-15,23:59:59,356.144,179.905,,320
2008-07-24,23:59:59,356.659,494.724,,320
2008-08-12,23:59:59,357.121,776.932,,320
2009-06-30,23:59:59,356.150,183.569,,320
2009-12-23,23:59:59,356.846,608.601,,320
2011-03-11,23:59:59,357.074,747.909,,320
2012-12-13,23:59:59,356.580,446.607,,320
2014-06-16,23:59:59,356.142,178.908,,320
2016-10-01,23:59:59,357.053,735.375,,320
2017-10-12,23:59:59,357.124,779.060,,320
2018-04-21,23:59:59,356.671,501.917,,320
2019-07-18,23:59:59,356.545,425.180,,320
2020-03-23,23:59:59,356.330,293.449,,320
2020-05-19,23:59:59,356.153,185.331,,320
2021-02-19,23:59:59,356.597,456.774,,320
2021-05-08,23:59:59,356.003,93.980,,320
2023-04-08,23:59:59,356.948,670.940,,320
2023-05-12,23:59:59,357.110,770.075,,320
2024-02-19,23:59:59,356.994,699.268,,320
2024-07-23,23:59:59,356.136,175.055,,320
2024-12-15,23:59:59,357.021,715.938,,320
1981-05-10,23:59:59,356.337,298.194,,320
1981-10-07,23:59:59,356.577,444.324,,320
1981-11-27,23:59:59,356.512,404.625,,320
1981-12-04,23:59:59,356.591,453.325,,320
1982-09-28,23:59:59,356.157,188.156,,320
1983-10-02,23:59:59,356.696,517.407,,320
1983-10-13,23:59:59,356.919,653.814,,320
1983-12-05,23:59:59,357.036,724.769,,320
1984-02-06,23:59:59,356.809,586.221,,320
1984-05-10,23:59:59,356.825,596.150,,320
1984-11-04,23:59:59,356.903,643.884,,320
1987-07-28,23:59:59,356.353,307.378,,320
1988-01-31,23:59:59,356.526,413.461,,320
1989-08-11,23:59:59,356.306,278.812,,320
1989-08-15,23:59:59,356.260,250.936,,320
1989-10-29,23:59:59,356.832,600.583,,320
1990-02-24,23:59:59,356.495,394.442,,320
1990-03-11,23:59:59,356.391,330.828,,320
1990-11-21,23:59:59,356.640,482.814,,320
1992-03-11,23:59:59,356.404,338.690,,320
1992-08-07,23:59:59,356.628,475.479,,320
1992-12-24,23:59:59,356.768,561.016,,320
1994-06-09,23:59:59,356.656,492.512,,320
1994-07-01,23:59:59,357.033,723.168,,320
1994-08-08,23:59:59,357.163,802.366,,320
1994-12-15,23:59:59,356.937,664.202,,320
1995-04-11,23:59:59,357.196,822.604,,320
1995-05-31,23:59:59,356.817,591.416,,320
1995-07-20,23:59:59,357.039,726.900,,320
1996-03-28,23:59:59,356.386,327.924,,320
1996-10-06,23:59:59,357.070,745.691,,320
1997-12-29,23:59:59,356.693,515.575,,320
1998-07-19,23:59:59,357.481,997.049,,320
1998-08-13,23:59:59,357.240,849.716,,320
