Date,Time,Lake level (m),Active storage (Mm³),Active contingent storage (Mm³),QualityCode
1980-06-25,23:59:59,583.717,179.856,,320
1981-04-08,23:59:59,581.304,53.400,,320
1981-12-15,23:59:59,581.889,84.056,,320
1981-12-19,23:59:59,581.788,78.765,,320
1983-07-08,23:59:59,580.118,0.000,,320
1983-08-30,23:59:59,580.980,36.418,,320
1983-09-03,23:59:59,581.022,38.619,,320
1983-12-16,23:59:59,582.221,101.456,,320
1985-11-21,23:59:59,581.544,65.977,,320
1986-05-21,23:59:59,581.367,56.701,,320
1986-05-23,23:59:59,581.464,61.783,,320
1986-10-18,23:59:59,582.355,108.477,,320
1986-11-08,23:59:59,582.012,90.504,,320
1986-12-23,23:59:59,581.729,75.672,,320
1987-08-13,23:59:59,581.894,84.318,,320
1987-09-12,23:59:59,581.757,77.140,,320
1987-09-29,23:59:59,581.399,58.377,,320
1988-04-29,23:59:59,582.697,126.403,,320
1988-10-12,23:59:59,581.419,59.426,,320
1988-12-10,23:59:59,580.296,0.574,,320
1989-09-10,23:59:59,581.931,86.260,,320
1989-12-01,23:59:59,582.556,119.014,,320
1990-11-07,23:59:59,582.669,124.935,,320
1990-12-01,23:59:59,582.579,120.217,,320
1990-12-12,23:59:59,582.252,103.081,,320
1991-11-10,23:59:59,583.423,164.448,,320
1991-11-19,23:59:59,583.177,151.557,,320
1993-06-21,23:59:59,582.509,116.548,,320
1994-01-31,23:59:59,580.846,29.397,,320
1994-07-03,23:59:59,582.192,99.937,,320
1994-08-02,23:59:59,582.616,122.158,,320
1995-11-18,23:59:59,581.912,85.262,,320
1997-01-31,23:59:59,582.279,104.495,,320
1997-09-26,23:59:59,582.671,125.040,,320
1997-12-24,23:59:59,581.690,73.628,,320
1998-02-05,23:59:59,581.269,51.564,,320
1999-01-13,23:59:59,582.213,101.037,,320
2000-05-28,23:59:59,581.870,83.061,,320
2002-06-26,23:59:59,581.422,59.583,,320
2003-07-12,23:59:59,581.002,37.573,,320
2003-08-20,23:59:59,581.023,38.673,,320
2004-08-27,23:59:59,582.565,119.484,,320
2004-10-31,23:59:59,582.991,141.811,,320
2005-01-15,23:59:59,582.925,138.350,,320
2006-02-24,23:59:59,582.304,105.807,,320
2006-05-18,23:59:59,582.729,128.079,,320
2006-07-24,23:59:59,583.142,149.724,,320
2006-11-04,23:59:59,582.091,94.643,,320
2007-09-02,23:59:59,581.509,64.141,,320
2007-10-08,23:59:59,581.931,86.260,,320
2007-12-31,23:59:59,582.389,110.259,,320
2008-03-18,23:59:59,581.271,51.669,,320
2009-12-12,23:59:59,582.149,97.682,,320
2011-08-16,23:59:59,582.174,98.993,,320
2011-12-29,23:59:59,582.137,97.055,,320
2012-04-01,23:59:59,582.758,129.598,,320
2012-07-18,23:59:59,581.568,67.234,,320
2012-12-05,23:59:59,581.973,88.460,,320
2013-02-24,23:59:59,581.581,67.915,,320
2013-07-14,23:59:59,581.856,82.328,,320
2013-12-25,23:59:59,582.461,114.034,,320
2014-02-07,23:59:59,582.130,96.687,,320
2014-03-10,23:59:59,581.518,64.614,,320
