Date,Time,Lake level (m),Active storage (Mm³),Active contingent storage (Mm³),QualityCode
1980-07-30,23:59:59,345.207,2040.268,,320
1982-08-25,23:59:59,338.293,1058.920,,320
1983-02-21,23:59:59,345.189,2037.497,,320
1983-03-24,23:59:59,345.867,2138.535,,320
1983-08-04,23:59:59,345.840,2134.539,,320
1985-04-16,23:59:59,345.452,1054.657,,320
1985-04-30,23:59:59,345.690,1089.977,,320
1986-06-19,23:59:59,345.834,1111.486,,320
1986-11-17,23:59:59,343.378,750.572,,320
1987-01-09,23:59:59,343.754,805.154,,320
1987-05-14,23:59:59,345.783,1103.887,,320
1987-10-06,23:59:59,342.330,600.006,,320
1987-10-07,23:59:59,342.581,635.933,,320
1989-01-29,23:59:59,345.711,1093.078,,320
1989-11-21,23:59:59,338.839,113.469,,320
1991-11-10,23:59:59,344.099,855.289,,320
1992-07-19,23:59:59,341.312,455.859,,320
1992-07-26,23:59:59,341.495,481.643,,320
1993-05-08,23:59:59,344.640,934.673,,320
1993-06-05,23:59:59,345.656,1084.978,,320
1993-06-13,23:59:59,346.059,1145.072,,320
1993-07-18,23:59:59,344.539,919.727,,320
1993-09-02,23:59:59,341.495,481.600,,320
1993-12-01,23:59:59,341.861,533.336,,320
1994-05-19,23:59:59,344.234,875.041,,320
1994-10-27,23:59:59,340.275,310.932,,320
1995-08-06,23:59:59,342.244,587.849,,320
1995-12-17,23:59:59,347.238,1322.767,,320
1995-12-29,23:59:59,347.213,1319.088,,320
1996-06-04,23:59:59,344.463,908.564,,320
1996-11-18,23:59:59,343.774,807.989,,320
1997-02-16,23:59:59,343.521,771.255,,320
1998-06-08,23:59:59,345.006,988.503,,320
1998-08-22,23:59:59,344.439,905.118,,320
1998-09-05,23:59:59,343.677,793.890,,320
1998-10-13,23:59:59,344.580,925.785,,320
2000-01-29,23:59:59,344.377,895.994,,320
2000-11-23,23:59:59,342.707,653.947,,320
2001-05-21,23:59:59,340.841,389.709,,320
2001-10-25,23:59:59,340.658,364.171,,320
2003-12-29,23:59:59,343.301,739.460,,320
2004-03-25,23:59:59,345.789,1104.816,,320
2004-05-01,23:59:59,345.035,992.862,,320
2004-05-24,23:59:59,345.308,1033.266,,320
2004-10-02,23:59:59,338.839,113.502,,320
2005-04-26,23:59:59,344.055,848.867,,320
2005-06-12,23:59:59,341.471,478.277,,320
2006-01-21,23:59:59,343.137,715.729,,320
2008-06-17,23:59:59,339.177,159.610,,320
2009-04-16,23:59:59,345.444,1053.370,,320
2009-07-18,23:59:59,342.298,595.566,,320
2009-07-24,23:59:59,342.057,561.265,,320
2010-07-05,23:59:59,343.289,737.807,,320
2010-08-16,23:59:59,340.881,395.293,,320
2010-12-31,23:59:59,344.869,968.335,,320
2011-10-27,23:59:59,341.444,474.417,,320
2012-03-24,23:59:59,343.455,761.722,,320
2012-04-15,23:59:59,342.998,695.733,,320
2012-08-27,23:59:59,338.592,79.927,,320
2013-04-28,23:59:59,342.294,594.883,,320
2013-04-30,23:59:59,342.274,592.029,,320
2013-06-17,23:59:59,342.066,562.519,,320
2013-12-20,23:59:59,344.466,909.007,,320
2014-04-15,23:59:59,341.823,527.959,,320
2015-08-14,23:59:59,338.949,128.561,,320
2015-08-23,23:59:59,338.960,129.967,,320
2015-12-06,23:59:59,341.411,469.792,,320
2016-03-31,23:59:59,342.629,642.744,,320
2016-09-17,23:59:59,338.800,108.250,,320
2017-02-26,23:59:59,343.648,789.771,,320
2017-03-19,23:59:59,342.398,609.818,,320
2017-03-29,23:59:59,341.873,535.045,,320
2017-03-31,23:59:59,341.757,518.683,,320
2018-07-23,23:59:59,339.756,239.083,,320
2019-01-06,23:59:59,342.648,645.472,,320
2019-04-03,23:59:59,341.948,545.669,,320
