Date,Time,Lake level (m),Active storage (Mm³),Active contingent storage (Mm³),QualityCode
1980-04-19,23:59:59,177.781,265.981,,320
1980-04-21,23:59:59,177.661,249.230,,320
1980-05-04,23:59:59,177.497,226.447,,320
1980-08-09,23:59:59,177.077,167.892,,320
1980-10-31,23:59:59,178.171,320.335,,320
1981-03-10,23:59:59,178.384,349.963,,320
1981-04-11,23:59:59,177.705,255.439,,320
1981-05-10,23:59:59,178.109,311.705,,320
1983-05-03,23:59:59,178.103,310.916,,320
1984-01-15,23:59:59,178.538,371.494,,320
1984-04-12,23:59:59,177.790,267.285,,320
1984-04-27,23:59:59,178.023,299.751,,320
1985-05-03,23:59:59,177.812,270.271,,320
1986-09-02,23:59:59,177.200,185.056,,320
1986-09-22,23:59:59,177.057,165.174,,320
1986-11-10,23:59:59,177.159,179.309,,320
1987-08-01,23:59:59,177.966,291.783,,320
1987-08-23,23:59:59,178.280,335.579,,320
1988-05-07,23:59:59,176.728,119.218,,320
1988-05-23,23:59:59,176.350,66.557,,320
1988-08-04,23:59:59,178.065,305.639,,320
1988-08-09,23:59:59,178.246,330.806,,320
1990-12-25,23:59:59,178.674,390.426,,320
1992-04-06,23:59:59,177.141,176.897,,320
1992-06-07,23:59:59,176.396,73.010,,320
1993-03-07,23:59:59,177.594,240.009,,320
1993-06-22,23:59:59,178.324,341.597,,320
1994-01-29,23:59:59,178.873,418.147,,320
1994-11-15,23:59:59,178.594,379.314,,320
1994-12-19,23:59:59,178.483,363.847,,320
1995-08-18,23:59:59,176.818,131.768,,320
1996-02-04,23:59:59,178.209,325.703,,320
1996-06-15,23:59:59,179.002,436.139,,320
1996-12-19,23:59:59,178.255,332.060,,320
1997-08-12,23:59:59,176.861,137.751,,320
1999-01-20,23:59:59,176.851,136.436,,320
1999-06-12,23:59:59,178.690,392.726,,320
1999-08-15,23:59:59,176.892,142.140,,320
1999-11-03,23:59:59,177.961,291.069,,320
2000-05-17,23:59:59,177.612,242.438,,320
2000-11-24,23:59:59,177.030,161.343,,320
2001-05-22,23:59:59,177.173,181.277,,320
2002-01-19,23:59:59,177.672,250.834,,320
2002-02-22,23:59:59,176.906,144.082,,320
2002-07-11,23:59:59,178.692,392.926,,320
2002-08-23,23:59:59,178.216,326.583,,320
2004-02-23,23:59:59,178.693,393.056,,320
2004-03-04,23:59:59,178.524,369.517,,320
2004-05-12,23:59:59,178.602,380.385,,320
2004-05-13,23:59:59,178.579,377.189,,320
2005-03-16,23:59:59,178.651,387.274,,320
2005-08-19,23:59:59,177.148,177.776,,320
2005-12-10,23:59:59,176.938,148.497,,320
2006-11-27,23:59:59,178.648,386.768,,320
2007-07-26,23:59:59,177.226,188.680,,320
2007-11-23,23:59:59,178.142,316.263,,320
2008-02-22,23:59:59,176.661,109.970,,320
2008-03-06,23:59:59,177.647,247.350,,320
2008-07-25,23:59:59,177.222,188.174,,320
2008-08-25,23:59:59,177.173,181.269,,320
2008-09-12,23:59:59,177.171,180.964,,320
2008-09-18,23:59:59,177.643,246.784,,320
2009-08-29,23:59:59,178.558,374.202,,320
2009-09-23,23:59:59,178.663,388.920,,320
2010-02-21,23:59:59,177.068,166.585,,320
2011-04-18,23:59:59,177.536,231.884,,320
2012-01-13,23:59:59,176.576,98.144,,320
2012-10-22,23:59:59,179.002,436.104,,320
2013-02-07,23:59:59,177.744,260.797,,320
2013-08-09,23:59:59,178.235,329.239,,320
2013-10-23,23:59:59,179.651,526.631,,320
2014-07-18,23:59:59,178.279,335.440,,320
2014-10-01,23:59:59,177.397,212.507,,320
2015-04-14,23:59:59,177.280,196.195,,320
2015-06-22,23:59:59,178.684,391.785,,320
2015-12-20,23:59:59,177.879,279.729,,320
2016-11-17,23:59:59,177.372,209.032,,320
2017-03-29,23:59:59,177.789,267.145,,320
2018-01-28,23:59:59,176.760,123.774,,320
2018-08-04,23:59:59,178.176,321.052,,320
2018-11-22,23:59:59,178.077,307.236,,320
2018-12-30,23:59:59,177.373,209.160,,320
2019-02-21,23:59:59,177.676,251.317,,320
2019-05-03,23:59:59,178.573,376.360,,320
2019-11-22,23:59:59,179.412,493.240,,320
2020-01-06,23:59:59,178.671,390.031,,320
2020-03-20,23:59:59,177.272,195.107,,320
2020-07-28,23:59:59,177.346,205.426,,320
2020-10-02,23:59:59,178.912,423.589,,320
2020-10-31,23:59:59,178.709,395.295,,320
2021-06-18,23:59:59,177.606,241.561,,320
2022-02-19,23:59:59,176.815,131.341,,320
2022-07-19,23:59:59,178.359,346.604,,320
2022-09-18,23:59:59,177.556,234.697,,320
2022-11-27,23:59:59,177.760,263.061,,320
2023-02-09,23:59:59,177.332,203.484,,320
2023-05-11,23:59:59,178.454,359.780,,320
2023-10-11,23:59:59,178.715,396.179,,320
2023-12-09,23:59:59,177.474,223.168,,320
2024-01-04,23:59:59,177.501,226.946,,320
2024-07-09,23:59:59,177.176,181.767,,320
2024-07-25,23:59:59,176.842,135.113,,320
1980-02-24,23:59:59,178.276,335.031,,320
1981-05-09,23:59:59,178.096,309.965,,320
1981-09-03,23:59:59,176.939,148.641,,320
1981-10-13,23:59:59,178.239,329.810,,320
1982-01-25,23:59:59,178.469,361.897,,320
1982-04-18,23:59:59,177.676,251.426,,320
1982-06-13,23:59:59,178.465,361.322,,320
1982-12-26,23:59:59,179.186,461.716,,320
1983-04-15,23:59:59,178.505,366.817,,320
1984-03-22,23:59:59,178.013,298.340,,320
1984-05-15,23:59:59,178.191,323.108,,320
1984-08-31,23:59:59,177.788,267.006,,320
1985-10-21,23:59:59,178.148,317.160,,320
1986-08-12,23:59:59,177.709,255.955,,320
1986-10-09,23:59:59,178.143,316.385,,320
1987-02-19,23:59:59,178.426,355.931,,320
1987-07-06,23:59:59,178.048,303.156,,320
1988-05-06,23:59:59,176.793,128.311,,320
1988-07-23,23:59:59,177.520,229.680,,320
1989-07-08,23:59:59,177.752,261.990,,320
1989-12-01,23:59:59,177.249,191.928,,320
1991-08-29,23:59:59,178.517,368.568,,320
1991-11-23,23:59:59,178.431,356.584,,320
1993-03-09,23:59:59,177.439,218.411,,320
1993-05-24,23:59:59,176.860,137.689,,320
1993-06-02,23:59:59,177.025,160.699,,320
1993-11-03,23:59:59,178.003,296.868,,320
1993-11-13,23:59:59,178.219,327.097,,320
1993-12-01,23:59:59,177.508,228.000,,320
1993-12-30,23:59:59,176.852,136.514,,320
1995-01-05,23:59:59,178.860,416.378,,320
