Date,Time,Lake level (m),Active storage (Mm³),Active contingent storage (Mm³),QualityCode
1980-01-06,23:59:59,519.835,23.870,,320
1980-08-23,23:59:59,519.489,2.326,,320
1981-03-04,23:59:59,519.476,1.568,,320
1981-08-28,23:59:59,519.470,1.146,,320
1982-08-25,23:59:59,519.757,19.000,,320
1983-07-12,23:59:59,519.743,18.148,,320
1983-09-19,23:59:59,519.734,17.560,,320
1984-01-31,23:59:59,520.050,37.227,,320
1984-06-12,23:59:59,519.742,18.055,,320
1985-01-12,23:59:59,520.439,61.412,,320
1986-08-02,23:59:59,519.771,19.875,,320
1986-08-03,23:59:59,519.794,21.329,,320
1986-11-05,23:59:59,519.806,22.084,,320
1986-11-15,23:59:59,519.810,22.283,,320
1987-04-29,23:59:59,519.776,20.168,,320
1987-08-21,23:59:59,519.787,20.859,,320
1988-11-26,23:59:59,519.780,20.436,,320
1989-01-14,23:59:59,519.769,19.755,,320
1989-03-14,23:59:59,520.368,57.023,,320
1989-04-14,23:59:59,519.788,20.956,,320
1989-05-16,23:59:59,519.787,20.898,,320
1989-09-16,23:59:59,519.789,21.023,,320
1989-12-26,23:59:59,519.776,20.195,,320
1990-05-24,23:59:59,519.883,26.834,,320
1990-10-31,23:59:59,519.788,20.928,,320
1990-11-10,23:59:59,519.801,21.722,,320
1990-12-03,23:59:59,519.818,22.822,,320
1991-03-09,23:59:59,519.820,22.946,,320
1991-07-13,23:59:59,519.770,19.788,,320
1993-04-03,23:59:59,519.846,24.553,,320
1993-07-29,23:59:59,519.821,22.969,,320
1993-08-20,23:59:59,519.858,25.294,,320
1994-05-22,23:59:59,519.799,21.631,,320
1994-11-28,23:59:59,520.138,42.676,,320
1995-03-01,23:59:59,519.819,22.884,,320
1996-04-02,23:59:59,519.868,25.922,,320
1996-08-12,23:59:59,519.835,23.843,,320
1997-01-07,23:59:59,519.808,22.171,,320
1997-01-12,23:59:59,519.904,28.128,,320
1997-03-26,23:59:59,519.878,26.532,,320
1997-10-04,23:59:59,519.867,25.870,,320
1998-07-25,23:59:59,520.358,56.388,,320
1998-08-31,23:59:59,519.755,18.900,,320
1999-02-21,23:59:59,519.790,21.064,,320
1999-06-20,23:59:59,519.768,19.717,,320
1999-07-29,23:59:59,519.728,17.230,,320
2000-01-27,23:59:59,520.061,37.932,,320
2001-03-15,23:59:59,519.832,23.689,,320
2001-07-18,23:59:59,519.840,24.163,,320
2002-03-18,23:59:59,519.858,25.307,,320
2002-06-05,23:59:59,519.836,23.934,,320
2003-09-11,23:59:59,519.815,22.626,,320
2004-12-04,23:59:59,519.814,22.556,,320
2005-03-05,23:59:59,519.728,17.183,,320
2006-05-10,23:59:59,519.857,25.240,,320
2006-08-17,23:59:59,519.837,23.990,,320
2006-12-22,23:59:59,519.839,24.093,,320
2007-03-20,23:59:59,519.834,23.789,,320
2008-08-25,23:59:59,519.885,26.994,,320
2009-03-13,23:59:59,519.919,29.059,,320
2009-04-16,23:59:59,519.872,26.141,,320
2010-03-19,23:59:59,519.816,22.680,,320
2010-05-16,23:59:59,519.972,32.350,,320
2011-02-13,23:59:59,520.116,41.336,,320
2011-05-24,23:59:59,519.812,22.418,,320
2011-09-09,23:59:59,519.851,24.828,,320
2011-09-14,23:59:59,519.798,21.535,,320
2011-11-29,23:59:59,519.936,30.144,,320
2012-08-27,23:59:59,519.829,23.490,,320
2013-03-27,23:59:59,519.719,16.629,,320
2013-09-22,23:59:59,519.620,10.519,,320
2014-05-17,23:59:59,519.824,23.161,,320
2014-07-17,23:59:59,519.833,23.760,,320
2014-07-20,23:59:59,519.859,25.333,,320
