Date,Time,Lake level (m),Active storage (Mm³),Active contingent storage (Mm³),QualityCode
1980-10-31,23:59:59,529.016,1810.040,,320
1981-08-04,23:59:59,527.957,1627.025,,320
1981-12-04,23:59:59,523.441,868.289,,320
1984-01-12,23:59:59,531.681,2278.560,,320
1984-09-10,23:59:59,522.654,739.711,,320
1984-09-27,23:59:59,521.128,493.004,,320
1985-04-07,23:59:59,529.527,1899.014,,320
1985-07-03,23:59:59,528.609,1739.491,,320
1987-02-20,23:59:59,531.324,2215.122,,320
1987-02-24,23:59:59,531.471,2241.286,,320
1987-12-21,23:59:59,528.170,1664.951,,320
1988-05-01,23:59:59,527.311,1516.578,,320
1988-11-03,23:59:59,528.011,1636.443,,320
1989-10-28,23:59:59,519.749,273.426,,320
1990-05-14,23:59:59,531.286,2208.452,,320
1990-07-26,23:59:59,529.158,1834.691,,320
1991-08-25,23:59:59,522.813,765.552,,320
1992-05-16,23:59:59,520.606,409.419,,320
1992-08-11,23:59:59,520.991,470.941,,320
1993-04-07,23:59:59,528.772,1768.072,,320
1994-05-15,23:59:59,529.771,1941.526,,320
1994-06-18,23:59:59,529.208,1843.314,,320
1994-07-07,23:59:59,529.101,1824.756,,320
1994-08-02,23:59:59,528.200,1668.918,,320
1995-06-14,23:59:59,529.683,1926.241,,320
1995-09-02,23:59:59,524.414,1028.886,,320
1995-09-21,23:59:59,525.417,1196.191,,320
1995-09-25,23:59:59,525.863,1271.066,,320
1995-11-18,23:59:59,530.339,2041.244,,320
1997-01-06,23:59:59,528.144,1659.332,,320
1998-01-02,23:59:59,525.539,1216.665,,320
1998-04-12,23:59:59,532.090,2351.523,,320
1998-11-27,23:59:59,530.645,2094.985,,320
1999-04-25,23:59:59,530.639,2093.990,,320
1999-05-07,23:59:59,529.879,1960.378,,320
1999-05-12,23:59:59,529.439,1883.628,,320
1999-06-30,23:59:59,529.513,1896.486,,320
1999-10-24,23:59:59,521.401,536.835,,320
2000-05-04,23:59:59,528.904,1790.614,,320
2001-02-13,23:59:59,531.774,2295.170,,320
2001-06-01,23:59:59,525.870,1271.115,,320
2001-11-22,23:59:59,522.067,645.809,,320
2002-07-08,23:59:59,527.530,1553.569,,320
2002-08-10,23:59:59,526.171,1322.462,,320
2003-04-30,23:59:59,524.380,1021.958,,320
2003-07-23,23:59:59,527.627,1570.322,,320
2003-08-03,23:59:59,527.528,1553.857,,320
2003-10-20,23:59:59,525.180,1156.464,,320
2005-02-07,23:59:59,530.092,1998.377,,320
2006-01-30,23:59:59,524.277,1006.938,,320
2006-07-03,23:59:59,524.818,1095.336,,320
2007-07-11,23:59:59,525.599,1226.776,,320
2007-09-05,23:59:59,523.179,825.430,,320
2008-02-15,23:59:59,528.094,1651.228,,320
2008-06-26,23:59:59,522.623,734.775,,320
2008-08-01,23:59:59,522.710,748.459,,320
2008-10-02,23:59:59,522.342,688.848,,320
2010-10-22,23:59:59,527.788,1598.161,,320
2011-01-22,23:59:59,532.096,2352.285,,320
2011-11-07,23:59:59,524.671,1072.271,,320
2012-07-31,23:59:59,526.375,1357.644,,320
2012-08-04,23:59:59,526.371,1356.660,,320
2012-09-05,23:59:59,524.618,1063.432,,320
2016-09-28,23:59:59,527.986,1631.088,,320
2016-11-16,23:59:59,526.635,1402.534,,320
2017-01-16,23:59:59,531.511,2248.301,,320
2017-03-03,23:59:59,532.195,2370.295,,320
2017-05-11,23:59:59,527.828,1606.247,,320
2017-06-29,23:59:59,523.776,926.019,,320
2017-10-29,23:59:59,526.762,1423.000,,320
2018-07-08,23:59:59,529.098,1825.661,,320
2018-12-27,23:59:59,528.831,1777.919,,320
2019-07-14,23:59:59,530.989,2155.834,,320
2019-11-11,23:59:59,526.071,1306.102,,320
2020-02-16,23:59:59,532.204,2372.040,,320
2020-09-30,23:59:59,523.065,806.648,,320
2021-07-22,23:59:59,528.053,1643.547,,320
2022-01-06,23:59:59,531.624,2267.003,,320
2022-02-04,23:59:59,530.500,2069.523,,320
2022-05-22,23:59:59,526.528,1386.223,,320
2023-03-05,23:59:59,530.169,2010.752,,320
2023-03-15,23:59:59,530.424,2055.384,,320
2023-04-23,23:59:59,531.664,2275.641,,320
2023-06-11,23:59:59,532.284,2386.504,,320
2023-10-10,23:59:59,526.339,1351.424,,320
2023-12-19,23:59:59,527.178,1493.868,,320
2024-05-24,23:59:59,527.870,1612.126,,320
2024-11-26,23:59:59,530.271,2029.253,,320
1980-04-21,23:59:59,531.959,2328.146,,320
1981-11-14,23:59:59,522.513,716.588,,320
1982-03-31,23:59:59,531.918,2320.931,,320
1982-05-05,23:59:59,528.639,1744.656,,320
1983-02-04,23:59:59,532.245,2379.335,,320
1983-05-05,23:59:59,532.035,2341.793,,320
1983-08-21,23:59:59,527.651,1574.693,,320
1983-11-18,23:59:59,532.372,2402.113,,320
1984-09-03,23:59:59,523.663,904.841,,320
1985-12-16,23:59:59,522.008,634.724,,320
1986-01-24,23:59:59,527.203,1498.090,,320
1986-04-13,23:59:59,532.270,2383.717,,320
1986-05-29,23:59:59,531.052,2166.981,,320
1986-12-25,23:59:59,524.875,1105.639,,320
1987-05-30,23:59:59,532.172,2366.281,,320
1988-01-12,23:59:59,528.341,1693.247,,320
1988-05-29,23:59:59,526.002,1294.389,,320
1988-09-07,23:59:59,526.047,1302.004,,320
1988-12-08,23:59:59,527.873,1612.672,,320
1989-01-02,23:59:59,529.947,1972.355,,320
1990-11-02,23:59:59,521.958,626.614,,320
1991-05-28,23:59:59,526.592,1394.186,,320
1991-11-29,23:59:59,522.046,640.840,,320
1992-07-20,23:59:59,519.584,247.365,,320
1992-09-08,23:59:59,521.075,484.442,,320
1992-09-18,23:59:59,520.623,412.112,,320
1992-10-18,23:59:59,519.992,311.841,,320
1993-04-09,23:59:59,528.944,1797.537,,320
1993-07-18,23:59:59,529.066,1818.742,,320
1994-08-05,23:59:59,527.932,1622.926,,320
1994-12-01,23:59:59,526.101,1311.153,,320
1995-09-13,23:59:59,524.858,1102.756,,320
1995-10-26,23:59:59,529.173,1837.348,,320
1996-07-21,23:59:59,527.869,1612.107,,320
1996-11-14,23:59:59,526.193,1326.636,,320
1997-01-19,23:59:59,528.147,1659.755,,320
1997-08-09,23:59:59,523.862,937.650,,320
1998-03-10,23:59:59,532.862,2490.087,,320
1998-03-20,23:59:59,532.266,2382.950,,320
1998-04-13,23:59:59,532.063,2346.813,,320
1998-08-02,23:59:59,530.374,2047.257,,320
1999-05-30,23:59:59,530.133,2004.899,,320
2000-04-25,23:59:59,529.725,1933.623,,320
2001-08-06,23:59:59,523.892,941.936,,320
2003-01-30,23:59:59,529.608,1912.830,,320
2003-12-30,23:59:59,526.485,1376.796,,320
2004-07-06,23:59:59,531.755,2291.553,,320
2005-12-31,23:59:59,521.604,569.352,,320
2006-05-11,23:59:59,525.574,1222.446,,320
2007-05-06,23:59:59,525.928,1281.984,,320
2007-05-14,23:59:59,525.551,1218.675,,320
2007-06-06,23:59:59,525.942,1284.378,,320
2007-08-29,23:59:59,523.578,891.014,,320
2008-02-02,23:59:59,528.509,1722.033,,320
2008-03-11,23:59:59,528.312,1687.460,,320
2009-09-07,23:59:59,528.765,1766.415,,320
2009-11-25,23:59:59,527.213,1500.670,,320
2010-01-01,23:59:59,530.693,2104.737,,320
2010-07-12,23:59:59,528.773,1766.422,,320
2011-07-15,23:59:59,527.578,1561.260,,320
2011-10-15,23:59:59,522.749,754.661,,320
2011-11-10,23:59:59,524.879,1107.089,,320
2012-05-15,23:59:59,525.634,1232.584,,320
2012-11-29,23:59:59,530.328,2039.100,,320
2013-06-29,23:59:59,526.997,1462.956,,320
2013-09-26,23:59:59,528.822,1776.394,,320
2014-06-13,23:59:59,529.753,1938.188,,320
2014-12-11,23:59:59,526.570,1390.791,,320
2016-01-14,23:59:59,528.379,1699.301,,320
2016-02-10,23:59:59,529.432,1881.804,,320
2016-06-06,23:59:59,532.184,2368.164,,320
2016-09-08,23:59:59,529.868,1957.914,,320
2017-07-15,23:59:59,523.220,832.126,,320
2017-10-20,23:59:59,526.849,1437.829,,320
2018-04-16,23:59:59,530.714,2103.297,,320
2018-08-14,23:59:59,528.365,1697.127,,320
2018-12-14,23:59:59,528.414,1705.804,,320
2020-01-21,23:59:59,532.355,2398.955,,320
2020-03-13,23:59:59,532.183,2368.182,,320
2021-03-25,23:59:59,525.126,1147.512,,320
2021-08-10,23:59:59,528.377,1698.960,,320
2021-12-29,23:59:59,531.519,2248.875,,320
