Date,Time,Lake level (m),Active storage (Mm³),Active contingent storage (Mm³),QualityCode
1980-04-04,23:59:59,203.077,779.990,,320
1980-08-13,23:59:59,201.843,345.748,,320
1982-09-20,23:59:59,201.888,361.533,,320
1983-08-30,23:59:59,202.651,630.131,,320
1983-10-01,23:59:59,203.269,847.773,,320
1983-11-20,23:59:59,203.290,855.147,,320
1983-12-23,23:59:59,202.700,647.356,,320
1985-02-03,23:59:59,203.008,755.949,,320
1985-11-16,23:59:59,201.555,244.379,,320
1986-04-24,23:59:59,202.766,670.457,,320
1986-10-20,23:59:59,202.456,561.445,,320
1987-01-05,23:59:59,202.261,493.001,,320
1988-01-05,23:59:59,201.892,362.876,,320
1988-01-16,23:59:59,202.456,561.623,,320
1989-07-19,23:59:59,201.729,305.588,,320
1989-09-30,23:59:59,201.148,101.073,,320
1989-10-17,23:59:59,201.699,295.050,,320
1990-01-17,23:59:59,202.860,703.854,,320
1990-03-20,23:59:59,202.179,463.896,,320
1990-07-04,23:59:59,203.131,799.025,,320
1990-08-20,23:59:59,201.930,376.207,,320
1991-11-17,23:59:59,202.383,535.707,,320
1992-02-08,23:59:59,201.986,396.247,,320
1992-06-10,23:59:59,201.368,178.427,,320
1992-06-23,23:59:59,201.491,221.874,,320
1993-03-12,23:59:59,201.564,247.505,,320
1994-11-15,23:59:59,203.403,894.856,,320
1996-03-13,23:59:59,201.696,294.147,,320
1998-09-09,23:59:59,201.930,376.357,,320
1998-10-13,23:59:59,202.809,685.657,,320
2000-08-21,23:59:59,202.345,522.440,,320
2001-03-25,23:59:59,201.416,195.276,,320
2002-02-27,23:59:59,201.629,270.429,,320
2003-04-18,23:59:59,201.236,132.048,,320
2003-08-11,23:59:59,202.033,412.548,,320
2003-08-22,23:59:59,201.802,331.439,,320
2003-09-06,23:59:59,202.224,479.955,,320
2003-09-13,23:59:59,202.053,419.788,,320
2004-11-15,23:59:59,201.634,272.147,,320
2004-11-21,23:59:59,202.178,463.503,,320
2005-08-09,23:59:59,201.741,309.810,,320
2007-12-29,23:59:59,201.892,363.048,,320
2009-03-30,23:59:59,202.322,514.212,,320
2009-04-05,23:59:59,202.132,447.374,,320
2009-05-15,23:59:59,202.613,616.666,,320
2009-08-05,23:59:59,202.555,596.229,,320
2010-06-15,23:59:59,201.835,342.874,,320
2010-12-22,23:59:59,202.249,488.581,,320
2011-04-10,23:59:59,202.348,523.364,,320
2011-11-21,23:59:59,202.315,511.881,,320
2011-12-15,23:59:59,201.931,376.841,,320
2012-04-30,23:59:59,201.561,246.581,,320
2012-08-17,23:59:59,201.491,221.987,,320
2015-03-13,23:59:59,201.780,323.517,,320
2015-05-05,23:59:59,202.192,468.472,,320
2016-01-02,23:59:59,201.996,399.571,,320
2016-01-09,23:59:59,201.765,318.151,,320
2016-02-15,23:59:59,201.601,260.396,,320
2016-08-10,23:59:59,202.437,554.758,,320
2016-10-01,23:59:59,201.802,331.240,,320
2017-12-17,23:59:59,201.755,314.692,,320
2019-12-22,23:59:59,203.844,1050.107,,320
2020-01-27,23:59:59,201.926,374.939,,320
2021-01-05,23:59:59,201.943,381.089,,320
2021-04-10,23:59:59,201.454,208.715,,320
2021-05-24,23:59:59,202.262,493.071,,320
2021-10-13,23:59:59,202.741,661.826,,320
2022-01-28,23:59:59,201.276,146.131,,320
2023-03-24,23:59:59,202.195,469.487,,320
2023-10-29,23:59:59,202.673,637.871,,320
2024-08-10,23:59:59,201.609,263.307,,320
1980-01-15,23:59:59,202.747,664.071,,320
1980-10-02,23:59:59,203.222,831.085,,320
1980-11-24,23:59:59,202.548,593.935,,320
1982-08-25,23:59:59,201.846,346.618,,320
1984-01-25,23:59:59,202.545,592.882,,320
1984-07-17,23:59:59,201.626,269.285,,320
1984-08-28,23:59:59,202.808,685.416,,320
1984-11-24,23:59:59,203.257,843.465,,320
1985-01-03,23:59:59,203.298,857.742,,320
1985-08-31,23:59:59,202.703,648.323,,320
1986-04-09,23:59:59,202.316,512.386,,320
1986-09-29,23:59:59,201.578,252.521,,320
1986-11-26,23:59:59,201.673,286.026,,320
