Date,Time,Lake level (m),Active storage (Mm³),Active contingent storage (Mm³),QualityCode
1981-12-02,23:59:59,707.374,292.581,0.000,320
1981-12-05,23:59:59,707.612,314.728,0.000,320
1982-05-03,23:59:59,709.227,659.120,0.000,320
1983-03-04,23:59:59,709.689,512.991,0.000,320
1983-06-18,23:59:59,709.541,689.599,0.000,320
1983-08-15,23:59:59,708.284,568.895,0.000,320
1983-08-30,23:59:59,707.895,532.275,0.000,320
1986-05-27,23:59:59,710.058,740.070,0.000,320
1986-08-10,23:59:59,706.846,434.823,0.000,320
1986-12-17,23:59:59,708.967,443.096,0.000,320
1987-01-08,23:59:59,709.628,507.056,0.000,320
1987-08-21,23:59:59,707.913,533.920,0.000,320
1987-11-28,23:59:59,709.534,497.932,0.000,320
1988-04-22,23:59:59,708.091,550.727,0.000,320
1988-06-15,23:59:59,706.737,424.863,0.000,320
1988-06-22,23:59:59,706.515,404.540,0.000,320
1989-02-26,23:59:59,710.055,548.769,0.000,320
1990-01-04,23:59:59,709.016,447.863,0.000,320
1990-05-28,23:59:59,708.532,592.471,0.000,320
1991-01-19,23:59:59,709.767,520.586,0.000,320
1991-05-24,23:59:59,708.621,601.006,0.000,320
1991-08-20,23:59:59,705.538,316.540,0.000,320
1993-06-01,23:59:59,706.625,414.547,0.000,320
1993-06-04,23:59:59,706.899,439.666,0.000,320
1993-09-17,23:59:59,704.535,228.428,0.000,320
1993-11-03,23:59:59,705.770,146.282,0.000,320
1993-11-05,23:59:59,705.688,138.982,0.000,320
1995-09-24,23:59:59,709.401,675.998,0.000,320
1996-09-13,23:59:59,705.924,351.108,0.000,320
1997-03-02,23:59:59,707.328,288.335,0.000,320
1997-03-10,23:59:59,707.365,291.737,0.000,320
1997-10-16,23:59:59,705.533,125.177,0.000,320
1998-01-06,23:59:59,709.612,505.487,0.000,320
1998-08-19,23:59:59,708.730,611.438,0.000,320
1999-08-30,23:59:59,705.237,289.900,0.000,320
2000-09-28,23:59:59,708.245,565.294,0.000,320
2000-11-21,23:59:59,709.074,453.390,0.000,320
2002-01-17,23:59:59,709.879,531.589,0.000,320
2002-02-21,23:59:59,709.060,452.036,0.000,320
2003-06-29,23:59:59,708.320,572.314,0.000,320
2003-07-28,23:59:59,707.706,514.480,0.000,320
2003-10-14,23:59:59,705.135,89.928,0.000,320
2003-10-29,23:59:59,705.371,110.751,0.000,320
2003-12-10,23:59:59,707.240,280.114,0.000,320
2004-02-06,23:59:59,709.462,490.904,0.000,320
2004-04-12,23:59:59,709.790,713.882,0.000,320
2006-02-02,23:59:59,707.319,287.450,0.000,320
2006-02-13,23:59:59,707.282,283.999,0.000,320
2006-03-18,23:59:59,706.732,233.322,0.000,320
2007-04-19,23:59:59,706.954,444.761,0.000,320
2009-09-05,23:59:59,708.197,560.670,0.000,320
2011-04-13,23:59:59,709.561,691.542,0.000,320
2011-05-27,23:59:59,709.033,640.488,0.000,320
2011-12-14,23:59:59,707.043,261.918,0.000,320
2012-01-07,23:59:59,707.481,302.548,0.000,320
2012-03-27,23:59:59,707.569,310.746,0.000,320
2012-04-28,23:59:59,707.179,465.502,0.000,320
2012-07-23,23:59:59,706.066,363.823,0.000,320
2013-02-27,23:59:59,708.697,417.283,0.000,320
2013-07-23,23:59:59,707.387,484.769,0.000,320
2013-11-12,23:59:59,707.116,268.666,0.000,320
2014-01-06,23:59:59,707.427,297.507,0.000,320
2014-03-26,23:59:59,709.022,448.393,0.000,320
2014-09-09,23:59:59,705.302,295.608,0.000,320
2014-11-06,23:59:59,705.372,110.868,0.000,320
2016-04-22,23:59:59,706.989,447.998,0.000,320
2016-05-09,23:59:59,706.417,395.630,0.000,320
2017-01-29,23:59:59,708.951,441.525,0.000,320
2018-03-18,23:59:59,709.788,522.637,0.000,320
2020-05-31,23:59:59,710.401,773.830,0.000,320
2020-12-11,23:59:59,707.768,329.309,0.000,320
2021-06-25,23:59:59,706.674,419.097,0.000,320
2021-10-05,23:59:59,706.832,242.548,0.000,320
2021-10-22,23:59:59,707.758,328.373,0.000,320
2022-03-14,23:59:59,708.946,441.118,0.000,320
2022-04-15,23:59:59,707.199,467.343,0.000,320
2022-05-14,23:59:59,706.742,425.267,0.000,320
2022-11-16,23:59:59,710.075,550.744,0.000,320
2023-11-16,23:59:59,705.348,108.699,0.000,320
1980-03-08,23:59:59,709.854,529.122,0.000,320
1981-01-18,23:59:59,708.349,384.146,0.000,320
1981-07-23,23:59:59,709.630,698.232,0.000,320
1981-09-28,23:59:59,707.427,488.492,0.000,320
1982-02-27,23:59:59,709.708,514.862,0.000,320
1982-06-06,23:59:59,709.472,682.841,0.000,320
1982-07-30,23:59:59,706.269,382.225,0.000,320
1982-10-04,23:59:59,705.469,119.404,0.000,320
1983-07-05,23:59:59,709.090,645.989,0.000,320
1984-04-06,23:59:59,709.998,734.182,0.000,320
1984-04-18,23:59:59,709.661,701.273,0.000,320
1984-05-31,23:59:59,708.581,597.182,0.000,320
1984-09-04,23:59:59,708.482,587.767,0.000,320
1985-11-06,23:59:59,704.450,30.095,0.000,320
1986-01-12,23:59:59,708.537,401.995,0.000,320
1986-10-18,23:59:59,706.333,197.014,0.000,320
1986-11-14,23:59:59,708.082,358.812,0.000,320
1987-02-19,23:59:59,709.771,520.949,0.000,320
1987-05-03,23:59:59,710.370,770.803,0.000,320
1987-05-11,23:59:59,710.290,762.933,0.000,320
1987-08-27,23:59:59,707.532,498.304,0.000,320
1987-09-22,23:59:59,706.538,406.641,0.000,320
1987-12-18,23:59:59,709.863,529.945,0.000,320
1988-11-20,23:59:59,709.867,530.395,0.000,320
1989-07-04,23:59:59,707.533,498.406,0.000,320
1989-12-11,23:59:59,705.149,91.103,0.000,320
1990-05-21,23:59:59,708.165,557.638,0.000,320
1990-09-25,23:59:59,705.532,316.034,0.000,320
1990-10-16,23:59:59,706.489,211.207,0.000,320
1991-08-31,23:59:59,705.183,285.136,0.000,320
1992-02-19,23:59:59,706.971,255.323,0.000,320
1992-09-15,23:59:59,704.593,233.488,0.000,320
1993-01-06,23:59:59,707.853,337.304,0.000,320
1993-02-04,23:59:59,708.485,396.993,0.000,320
1993-08-12,23:59:59,706.550,407.728,0.000,320
1995-01-19,23:59:59,710.035,546.824,0.000,320
1996-03-22,23:59:59,709.718,515.799,0.000,320
1997-04-08,23:59:59,706.787,429.369,0.000,320
1998-04-15,23:59:59,709.854,720.138,0.000,320
1998-11-03,23:59:59,710.137,556.882,0.000,320
1998-11-09,23:59:59,710.001,543.496,0.000,320
1999-03-09,23:59:59,708.991,445.417,0.000,320
1999-06-13,23:59:59,708.047,546.506,0.000,320
1999-11-16,23:59:59,708.629,410.725,0.000,320
1999-12-28,23:59:59,708.124,362.813,0.000,320
2000-08-18,23:59:59,707.786,521.982,0.000,320
2000-09-30,23:59:59,708.247,374.395,0.000,320
2002-10-20,23:59:59,706.782,237.917,0.000,320
2003-05-02,23:59:59,707.772,520.730,0.000,320
2003-05-12,23:59:59,708.451,584.789,0.000,320
2004-05-31,23:59:59,709.717,706.741,0.000,320
2005-02-04,23:59:59,709.098,455.733,0.000,320
2005-04-15,23:59:59,709.221,658.537,0.000,320
2006-09-06,23:59:59,704.811,252.476,0.000,320
2007-05-24,23:59:59,706.757,426.670,0.000,320
2007-08-11,23:59:59,704.710,243.712,0.000,320
2007-08-17,23:59:59,704.657,239.085,0.000,320
2007-10-27,23:59:59,706.701,230.481,0.000,320
2008-07-09,23:59:59,705.486,311.942,0.000,320
2008-10-01,23:59:59,705.764,145.751,0.000,320
2009-02-06,23:59:59,709.554,499.860,0.000,320
2010-05-18,23:59:59,710.526,786.216,0.000,320
2011-02-13,23:59:59,709.797,523.551,0.000,320
2011-08-13,23:59:59,706.475,400.904,0.000,320
2012-11-01,23:59:59,705.676,137.911,0.000,320
2013-03-03,23:59:59,708.655,413.212,0.000,320
2013-04-19,23:59:59,709.830,717.763,0.000,320
2013-04-30,23:59:59,709.630,698.280,0.000,320
