Date,Time,Lake level (m),Active storage (Mm³),Active contingent storage (Mm³),QualityCode
1981-04-11,23:59:59,277.212,349.899,,320
1981-07-11,23:59:59,276.953,299.835,,320
1982-02-24,23:59:59,277.402,386.564,,320
1982-12-06,23:59:59,278.134,527.939,,320
1983-11-04,23:59:59,277.849,472.874,,320
1984-08-04,23:59:59,277.596,424.089,,320
1986-01-04,23:59:59,278.734,643.587,,320
1986-06-27,23:59:59,277.728,449.409,,320
1986-07-31,23:59:59,276.878,285.529,,320
1987-07-21,23:59:59,276.818,273.814,,320
1987-08-21,23:59:59,276.781,266.693,,320
1987-09-11,23:59:59,277.178,343.432,,320
1987-09-12,23:59:59,277.178,343.450,,320
1987-12-09,23:59:59,277.449,395.599,,320
1988-11-02,23:59:59,279.115,717.270,,320
1988-11-07,23:59:59,278.770,650.573,,320
1988-11-10,23:59:59,278.446,588.134,,320
1988-12-30,23:59:59,277.888,480.461,,320
1990-07-17,23:59:59,277.062,321.045,,320
1991-07-21,23:59:59,276.281,170.216,,320
1991-11-23,23:59:59,277.079,324.172,,320
1993-02-17,23:59:59,277.297,366.262,,320
1993-07-01,23:59:59,277.725,448.885,,320
1993-10-19,23:59:59,277.549,414.977,,320
1994-02-09,23:59:59,277.783,460.158,,320
1994-05-29,23:59:59,277.325,371.763,,320
1995-04-12,23:59:59,278.405,580.124,,320
1995-08-09,23:59:59,276.399,193.028,,320
1995-09-23,23:59:59,278.321,563.915,,320
1995-12-01,23:59:59,277.707,445.469,,320
1995-12-08,23:59:59,278.546,607.299,,320
1996-08-23,23:59:59,276.422,197.351,,320
1997-07-09,23:59:59,276.544,221.011,,320
1998-08-21,23:59:59,277.199,347.443,,320
1998-09-10,23:59:59,276.882,286.188,,320
1999-03-13,23:59:59,277.259,359.023,,320
1999-08-20,23:59:59,276.571,226.206,,320
1999-10-09,23:59:59,276.784,267.329,,320
1999-10-20,23:59:59,276.906,290.936,,320
2000-11-06,23:59:59,277.545,414.146,,320
2001-02-22,23:59:59,276.852,280.511,,320
2002-06-14,23:59:59,277.274,361.826,,320
2002-08-11,23:59:59,276.649,241.337,,320
2002-11-21,23:59:59,277.333,373.271,,320
2004-07-04,23:59:59,277.731,450.028,,320
2004-07-23,23:59:59,276.970,303.251,,320
2005-08-29,23:59:59,277.143,336.659,,320
2005-09-21,23:59:59,277.370,380.332,,320
2007-01-29,23:59:59,277.245,356.284,,320
2007-12-25,23:59:59,277.840,471.161,,320
2008-10-29,23:59:59,277.220,351.384,,320
2009-04-13,23:59:59,277.419,389.886,,320
2009-08-30,23:59:59,278.054,512.443,,320
2009-10-08,23:59:59,277.003,309.560,,320
2010-11-17,23:59:59,277.275,362.015,,320
2011-09-04,23:59:59,276.490,210.509,,320
2013-03-23,23:59:59,276.406,194.436,,320
2014-01-17,23:59:59,277.862,475.348,,320
2014-05-06,23:59:59,277.373,380.933,,320
2014-10-05,23:59:59,276.676,246.390,,320
2014-11-18,23:59:59,277.346,375.839,,320
2015-09-02,23:59:59,277.165,340.941,,320
2015-11-15,23:59:59,277.140,336.023,,320
2016-03-19,23:59:59,277.249,357.115,,320
2016-05-07,23:59:59,277.275,362.091,,320
2017-01-24,23:59:59,277.647,433.854,,320
2017-03-20,23:59:59,276.631,237.762,,320
2017-09-09,23:59:59,277.096,327.589,,320
2017-12-14,23:59:59,277.098,327.895,,320
2018-01-04,23:59:59,276.786,267.700,,320
2018-11-27,23:59:59,277.556,416.231,,320
2018-12-17,23:59:59,277.260,359.276,,320
2019-05-31,23:59:59,278.529,604.172,,320
2020-01-12,23:59:59,277.492,404.033,,320
2020-06-13,23:59:59,276.686,248.322,,320
2021-06-07,23:59:59,277.237,354.759,,320
2022-06-22,23:59:59,277.152,338.314,,320
2022-08-23,23:59:59,278.155,532.009,,320
2023-09-08,23:59:59,276.642,239.965,,320
1980-02-12,23:59:59,278.021,506.052,,320
1980-06-11,23:59:59,277.451,396.041,,320
1980-09-26,23:59:59,277.739,451.630,,320
1981-01-03,23:59:59,277.526,410.424,,320
1981-06-24,23:59:59,276.858,281.630,,320
1981-12-23,23:59:59,277.963,494.820,,320
1982-09-10,23:59:59,277.066,321.799,,320
1982-09-25,23:59:59,277.029,314.637,,320
1983-06-08,23:59:59,277.081,324.673,,320
1983-07-09,23:59:59,277.054,319.443,,320
1984-02-01,23:59:59,278.176,536.026,,320
1985-02-11,23:59:59,277.488,403.221,,320
1985-12-01,23:59:59,277.791,461.684,,320
1986-05-08,23:59:59,277.445,394.828,,320
1986-11-28,23:59:59,277.220,351.537,,320
1987-01-05,23:59:59,277.574,419.724,,320
1987-08-01,23:59:59,276.666,244.482,,320
1987-09-18,23:59:59,277.061,320.756,,320
1988-10-16,23:59:59,278.592,616.181,,320
1988-12-10,23:59:59,278.067,514.911,,320
1991-10-01,23:59:59,277.428,391.529,,320
1992-08-09,23:59:59,277.124,332.954,,320
1993-09-09,23:59:59,276.859,281.747,,320
1993-12-12,23:59:59,277.085,325.309,,320
1994-03-14,23:59:59,276.986,306.373,,320
1995-03-07,23:59:59,276.790,268.395,,320
1995-06-26,23:59:59,276.702,251.503,,320
1995-07-16,23:59:59,276.600,231.742,,320
1995-08-04,23:59:59,276.422,197.369,,320
1995-09-16,23:59:59,278.196,539.907,,320
1996-06-26,23:59:59,276.871,284.009,,320
1998-07-15,23:59:59,277.249,357.038,,320
1999-02-15,23:59:59,276.700,251.155,,320
1999-05-24,23:59:59,277.786,460.718,,320
1999-07-25,23:59:59,276.856,281.264,,320
2000-03-31,23:59:59,276.728,256.598,,320
2000-04-15,23:59:59,276.854,280.746,,320
2000-06-19,23:59:59,277.632,430.880,,320
2000-12-20,23:59:59,277.342,375.102,,320
2002-04-29,23:59:59,276.785,267.523,,320
2002-06-13,23:59:59,277.023,313.364,,320
2002-07-20,23:59:59,276.849,279.798,,320
2002-10-12,23:59:59,277.516,408.569,,320
2003-04-28,23:59:59,276.318,177.296,,320
2003-08-08,23:59:59,276.780,266.463,,320
2003-11-13,23:59:59,277.737,451.241,,320
2004-03-19,23:59:59,277.652,434.914,,320
2004-05-21,23:59:59,277.361,378.595,,320
2004-07-05,23:59:59,277.670,438.271,,320
2005-06-10,23:59:59,276.718,254.495,,320
2006-07-11,23:59:59,276.658,242.992,,320
2006-10-07,23:59:59,277.445,394.845,,320
2006-11-07,23:59:59,277.446,395.134,,320
2007-11-24,23:59:59,277.184,344.416,,320
2008-03-14,23:59:59,277.294,365.667,,320
2009-10-16,23:59:59,276.892,288.250,,320
2011-03-17,23:59:59,277.494,404.287,,320
2011-04-09,23:59:59,277.006,310.084,,320
2012-04-06,23:59:59,276.764,263.548,,320
2013-02-10,23:59:59,277.306,368.099,,320
2013-08-31,23:59:59,277.035,315.756,,320
2014-07-06,23:59:59,277.710,445.934,,320
2014-09-11,23:59:59,276.672,245.678,,320
2015-02-05,23:59:59,277.517,408.798,,320
2015-02-19,23:59:59,277.075,323.513,,320
2015-05-01,23:59:59,277.658,436.069,,320
2015-05-05,23:59:59,277.424,390.911,,320
2016-03-30,23:59:59,277.763,456.277,,320
2016-08-13,23:59:59,276.980,305.101,,320
2016-10-22,23:59:59,277.752,454.139,,320
2016-12-08,23:59:59,277.609,426.497,,320
2017-10-19,23:59:59,277.089,326.198,,320
2017-10-20,23:59:59,277.075,323.395,,320
2018-02-13,23:59:59,277.228,353.021,,320
2018-10-25,23:59:59,277.299,366.786,,320
2019-07-27,23:59:59,277.106,329.379,,320
2019-09-12,23:59:59,276.567,225.352,,320
2019-09-26,23:59:59,276.579,227.767,,320
2020-03-16,23:59:59,277.422,390.428,,320
2020-12-20,23:59:59,276.976,304.329,,320
2021-03-03,23:59:59,276.740,258.895,,320
2021-08-26,23:59:59,277.769,457.472,,320
2021-12-26,23:59:59,277.584,421.791,,320
2022-03-16,23:59:59,276.647,240.777,,320
2022-07-04,23:59:59,277.055,319.555,,320
2022-09-08,23:59:59,278.050,511.671,,320
2024-01-01,23:59:59,277.274,361.844,,320
1980-01-14,23:59:59,277.537,412.639,,320
1980-11-02,23:59:59,277.923,487.140,,320
1981-04-04,23:59:59,277.509,407.143,,320
1981-05-13,23:59:59,277.529,411.019,,320
1981-07-17,23:59:59,276.805,271.269,,320
1981-08-29,23:59:59,276.480,208.736,,320
1981-10-03,23:59:59,276.949,299.081,,320
1981-11-12,23:59:59,277.443,394.480,,320
1983-04-02,23:59:59,277.482,402.066,,320
1983-04-25,23:59:59,277.455,396.836,,320
1984-10-31,23:59:59,278.022,506.152,,320
1985-12-18,23:59:59,277.276,362.174,,320
1986-02-25,23:59:59,277.434,392.701,,320
1986-10-27,23:59:59,277.233,353.893,,320
1987-02-21,23:59:59,277.421,390.174,,320
