Date,Time,Lake level (m),Active storage (Mm³),Active contingent storage (Mm³),QualityCode
1980-03-01,23:59:59,310.051,352.621,,320
1980-05-01,23:59:59,309.893,307.185,,320
1981-05-12,23:59:59,310.004,339.230,,320
1982-02-01,23:59:59,310.579,505.320,,320
1982-06-16,23:59:59,310.009,340.540,,320
1982-06-26,23:59:59,309.791,277.705,,320
1982-11-17,23:59:59,310.396,452.499,,320
1983-08-13,23:59:59,310.060,355.454,,320
1983-11-04,23:59:59,310.254,411.432,,320
1984-05-07,23:59:59,309.962,326.995,,320
1984-06-17,23:59:59,309.707,253.398,,320
1984-06-23,23:59:59,309.640,233.886,,320
1984-07-02,23:59:59,309.644,234.990,,320
1985-08-28,23:59:59,309.735,261.488,,320
1986-05-04,23:59:59,310.042,350.097,,320
1986-07-25,23:59:59,309.643,234.723,,320
1987-05-21,23:59:59,309.753,266.653,,320
1987-08-27,23:59:59,309.617,227.235,,320
1988-03-13,23:59:59,309.862,298.107,,320
1988-04-30,23:59:59,309.613,226.136,,320
1988-11-22,23:59:59,310.637,522.183,,320
1989-02-19,23:59:59,309.743,263.846,,320
1990-06-20,23:59:59,309.898,308.664,,320
1990-07-16,23:59:59,309.786,276.127,,320
1990-09-04,23:59:59,309.544,206.345,,320
1991-03-11,23:59:59,309.886,304.930,,320
1991-09-01,23:59:59,310.197,394.938,,320
1991-10-10,23:59:59,309.847,293.858,,320
1992-06-05,23:59:59,309.436,175.076,,320
1992-07-19,23:59:59,309.544,206.239,,320
1993-01-15,23:59:59,310.196,394.545,,320
1993-09-18,23:59:59,309.622,228.616,,320
1994-03-02,23:59:59,310.258,412.485,,320
1995-10-02,23:59:59,310.879,592.054,,320
1996-02-03,23:59:59,310.167,386.315,,320
1997-03-23,23:59:59,309.714,255.481,,320
1997-04-09,23:59:59,310.010,340.864,,320
1997-11-30,23:59:59,310.804,570.295,,320
1997-12-12,23:59:59,310.569,502.576,,320
1998-08-22,23:59:59,309.933,318.521,,320
1998-09-16,23:59:59,309.761,268.876,,320
1998-10-02,23:59:59,310.185,391.474,,320
2001-02-21,23:59:59,309.754,266.861,,320
2001-10-05,23:59:59,309.831,289.282,,320
2002-06-22,23:59:59,310.060,355.259,,320
2004-11-15,23:59:59,310.249,410.056,,320
2005-01-23,23:59:59,310.415,457.854,,320
2005-03-20,23:59:59,310.173,387.954,,320
2006-02-26,23:59:59,309.650,236.809,,320
2006-07-12,23:59:59,309.572,214.267,,320
2007-09-22,23:59:59,309.777,273.684,,320
2007-12-21,23:59:59,310.292,422.329,,320
2008-04-24,23:59:59,309.461,182.315,,320
2008-10-31,23:59:59,309.972,329.897,,320
2009-02-26,23:59:59,309.767,270.569,,320
2009-03-19,23:59:59,309.702,251.848,,320
2010-07-01,23:59:59,309.550,207.947,,320
2011-06-29,23:59:59,309.562,211.318,,320
2012-06-23,23:59:59,309.549,207.561,,320
2012-09-04,23:59:59,309.501,193.778,,320
2012-12-20,23:59:59,310.032,347.340,,320
2013-05-22,23:59:59,309.602,222.833,,320
2013-07-03,23:59:59,309.897,308.266,,320
2013-07-31,23:59:59,309.896,307.918,,320
2013-08-28,23:59:59,309.667,241.820,,320
2014-10-14,23:59:59,309.772,272.210,,320
2014-11-05,23:59:59,310.034,347.834,,320
2014-12-22,23:59:59,310.025,345.164,,320
2015-02-05,23:59:59,310.031,346.821,,320
2015-03-13,23:59:59,309.765,270.062,,320
2015-04-18,23:59:59,309.536,203.973,,320
2015-10-15,23:59:59,309.858,296.949,,320
2015-12-14,23:59:59,310.072,358.839,,320
2016-02-10,23:59:59,309.854,295.750,,320
2016-05-06,23:59:59,309.821,286.397,,320
2016-06-24,23:59:59,310.085,362.640,,320
2017-01-21,23:59:59,310.134,376.612,,320
2017-02-07,23:59:59,310.474,475.028,,320
2017-04-27,23:59:59,309.403,165.415,,320
2018-12-22,23:59:59,309.937,319.933,,320
2019-08-25,23:59:59,309.534,203.213,,320
2020-08-17,23:59:59,309.739,262.654,,320
2020-09-29,23:59:59,310.342,436.836,,320
2021-01-02,23:59:59,309.720,256.937,,320
2021-01-03,23:59:59,309.789,277.060,,320
2021-04-25,23:59:59,309.686,247.255,,320
2022-05-18,23:59:59,309.581,217.044,,320
2022-08-17,23:59:59,310.052,353.167,,320
2023-04-07,23:59:59,309.889,306.047,,320
2023-06-24,23:59:59,309.760,268.577,,320
2023-10-07,23:59:59,310.273,416.933,,320
2023-11-19,23:59:59,309.945,322.078,,320
2024-02-28,23:59:59,309.819,285.695,,320
2024-10-17,23:59:59,310.089,363.859,,320
1981-02-21,23:59:59,310.019,343.389,,320
1981-06-07,23:59:59,309.893,307.205,,320
1981-08-24,23:59:59,309.482,188.277,,320
1982-07-27,23:59:59,309.477,186.721,,320
1983-10-16,23:59:59,310.337,435.507,,320
1984-09-04,23:59:59,309.754,267.021,,320
1984-11-08,23:59:59,310.183,390.870,,320
1985-04-16,23:59:59,309.709,254.041,,320
1987-06-03,23:59:59,310.312,428.027,,320
1988-03-03,23:59:59,310.033,347.667,,320
1988-08-09,23:59:59,309.848,294.160,,320
1988-11-18,23:59:59,310.594,509.717,,320
1989-09-16,23:59:59,309.419,170.215,,320
1989-10-20,23:59:59,309.581,216.853,,320
1989-10-28,23:59:59,309.572,214.313,,320
1990-03-22,23:59:59,309.921,315.223,,320
1990-06-21,23:59:59,309.883,304.106,,320
1990-06-22,23:59:59,309.874,301.568,,320
1992-01-03,23:59:59,309.996,336.871,,320
1992-01-05,23:59:59,309.970,329.237,,320
1992-02-15,23:59:59,310.020,343.818,,320
1992-09-01,23:59:59,309.641,234.269,,320
1993-01-17,23:59:59,310.231,404.666,,320
1993-05-04,23:59:59,309.511,196.546,,320
1993-07-26,23:59:59,309.988,334.566,,320
1996-08-27,23:59:59,309.398,164.015,,320
1996-11-08,23:59:59,310.387,449.828,,320
1996-12-28,23:59:59,310.003,338.989,,320
1998-07-30,23:59:59,310.200,395.753,,320
1998-12-31,23:59:59,309.895,307.796,,320
1999-08-20,23:59:59,309.496,192.238,,320
2000-04-14,23:59:59,309.604,223.644,,320
2001-12-20,23:59:59,310.583,506.549,,320
2004-02-25,23:59:59,310.210,398.691,,320
2005-11-03,23:59:59,309.688,247.729,,320
2006-01-29,23:59:59,310.013,341.661,,320
2006-12-03,23:59:59,310.919,603.485,,320
2007-01-28,23:59:59,310.007,339.980,,320
2007-06-08,23:59:59,310.263,413.949,,320
2008-06-02,23:59:59,309.442,176.840,,320
2008-08-16,23:59:59,309.413,168.431,,320
2009-01-25,23:59:59,310.263,414.004,,320
2009-10-14,23:59:59,309.688,247.960,,320
2010-07-15,23:59:59,309.417,169.543,,320
2011-12-19,23:59:59,309.938,320.087,,320
2013-10-07,23:59:59,310.021,344.031,,320
2013-12-05,23:59:59,309.993,336.104,,320
2014-08-09,23:59:59,310.234,405.570,,320
2015-08-30,23:59:59,309.675,244.059,,320
2015-09-27,23:59:59,309.625,229.598,,320
2016-07-21,23:59:59,309.948,323.113,,320
2016-08-23,23:59:59,309.612,225.845,,320
2016-08-27,23:59:59,309.602,222.933,,320
2016-11-27,23:59:59,310.204,397.012,,320
2017-05-23,23:59:59,309.440,176.061,,320
2017-06-12,23:59:59,309.355,151.670,,320
2017-07-23,23:59:59,309.375,157.419,,320
2017-12-01,23:59:59,309.717,256.114,,320
2018-02-15,23:59:59,309.731,260.188,,320
2020-07-17,23:59:59,309.733,260.779,,320
2020-11-15,23:59:59,309.995,336.438,,320
2021-12-08,23:59:59,310.028,346.047,,320
2022-01-23,23:59:59,309.632,231.684,,320
2022-11-22,23:59:59,310.033,347.645,,320
2024-03-24,23:59:59,309.569,213.304,,320
1980-03-20,23:59:59,309.906,310.738,,320
1980-04-14,23:59:59,309.887,305.405,,320
1980-10-04,23:59:59,310.579,505.301,,320
1981-01-07,23:59:59,310.196,394.647,,320
1981-04-18,23:59:59,309.752,266.409,,320
1981-04-22,23:59:59,309.876,302.096,,320
1981-05-05,23:59:59,310.016,342.521,,320
1981-08-28,23:59:59,309.457,181.102,,320
1981-10-18,23:59:59,310.158,383.640,,320
1982-06-12,23:59:59,310.155,382.672,,320
1983-03-19,23:59:59,310.189,392.735,,320
1984-07-31,23:59:59,309.743,263.609,,320
1985-10-04,23:59:59,309.798,279.664,,320
1987-10-14,23:59:59,310.529,490.926,,320
1988-07-23,23:59:59,309.695,249.900,,320
1989-01-07,23:59:59,310.265,414.595,,320
1990-01-20,23:59:59,310.105,368.221,,320
1990-02-26,23:59:59,309.735,261.336,,320
1994-10-16,23:59:59,309.695,249.731,,320
1994-11-02,23:59:59,309.779,274.029,,320
1995-07-22,23:59:59,309.537,204.268,,320
1995-08-22,23:59:59,309.750,265.666,,320
1996-04-09,23:59:59,309.850,294.566,,320
1996-04-23,23:59:59,310.246,409.193,,320
1997-11-08,23:59:59,310.116,371.632,,320
1998-03-26,23:59:59,310.445,466.514,,320
1999-01-12,23:59:59,309.911,312.196,,320
1999-09-15,23:59:59,309.730,259.940,,320
1999-12-29,23:59:59,309.916,313.762,,320
2001-07-03,23:59:59,309.878,302.791,,320
2002-10-02,23:59:59,310.775,561.905,,320
2003-09-13,23:59:59,309.660,239.751,,320
2004-03-09,23:59:59,310.071,358.610,,320
2004-07-23,23:59:59,309.819,285.773,,320
2007-02-21,23:59:59,309.780,274.420,,320
2009-01-04,23:59:59,310.298,424.098,,320
2009-08-22,23:59:59,309.904,310.379,,320
2010-09-10,23:59:59,309.896,308.041,,320
2011-05-20,23:59:59,309.641,234.152,,320
2011-11-30,23:59:59,310.053,353.176,,320
2011-12-25,23:59:59,309.838,291.079,,320
2012-01-27,23:59:59,309.600,222.432,,320
2012-03-12,23:59:59,309.806,281.905,,320
2013-12-14,23:59:59,309.919,314.512,,320
2014-08-28,23:59:59,309.806,281.801,,320
2014-11-20,23:59:59,309.950,323.542,,320
2014-12-17,23:59:59,309.979,332.065,,320
2015-04-17,23:59:59,309.531,202.397,,320
2015-12-27,23:59:59,309.855,295.967,,320
2016-01-10,23:59:59,309.653,237.810,,320
2016-09-30,23:59:59,309.633,232.071,,320
2017-04-10,23:59:59,309.442,176.612,,320
2017-05-14,23:59:59,309.510,196.402,,320
2018-03-09,23:59:59,309.929,317.495,,320
2018-08-03,23:59:59,309.871,300.719,,320
2019-07-30,23:59:59,309.613,226.146,,320
2020-02-27,23:59:59,310.074,359.356,,320
2020-08-11,23:59:59,309.875,301.841,,320
2020-10-16,23:59:59,310.316,429.299,,320
2020-12-22,23:59:59,309.782,275.050,,320
2021-09-11,23:59:59,310.047,351.519,,320
2022-06-21,23:59:59,309.823,286.957,,320
2022-09-21,23:59:59,309.781,274.778,,320
2023-04-18,23:59:59,309.754,266.997,,320
2024-04-16,23:59:59,310.176,388.964,,320
2024-07-09,23:59:59,309.550,208.035,,320
1980-04-21,23:59:59,309.743,263.835,,320
1980-04-30,23:59:59,309.900,309.229,,320
1980-05-05,23:59:59,309.825,287.520,,320
1980-10-29,23:59:59,310.311,427.780,,320
1980-11-10,23:59:59,310.269,415.805,,320
1980-11-28,23:59:59,310.253,411.096,,320
1981-04-17,23:59:59,309.735,261.553,,320
1981-05-30,23:59:59,309.817,285.038,,320
1981-09-10,23:59:59,309.533,202.933,,320
1981-09-17,23:59:59,309.609,225.103,,320
1982-09-21,23:59:59,309.796,278.986,,320
1983-03-09,23:59:59,309.785,275.917,,320
1983-07-11,23:59:59,309.842,292.451,,320
1983-10-04,23:59:59,310.391,451.077,,320
1984-01-23,23:59:59,310.076,360.090,,320
1984-04-25,23:59:59,309.733,260.961,,320
1985-05-08,23:59:59,309.819,285.744,,320
1985-08-30,23:59:59,309.715,255.772,,320
1985-12-25,23:59:59,310.006,339.877,,320
1986-01-20,23:59:59,310.129,375.217,,320
1987-04-06,23:59:59,310.593,509.364,,320
1987-10-16,23:59:59,310.450,468.172,,320
1988-02-12,23:59:59,309.817,285.188,,320
1988-06-18,23:59:59,309.686,247.202,,320
1988-07-11,23:59:59,309.830,288.816,,320
1988-07-15,23:59:59,309.818,285.298,,320
1988-09-09,23:59:59,309.847,293.674,,320
1988-10-12,23:59:59,310.511,485.547,,320
1990-01-09,23:59:59,310.119,372.332,,320
1990-01-14,23:59:59,309.985,333.622,,320
1992-07-29,23:59:59,309.720,257.197,,320
1992-09-21,23:59:59,309.475,186.191,,320
1993-04-25,23:59:59,309.602,222.940,,320
1993-07-10,23:59:59,310.001,338.359,,320
1993-07-14,23:59:59,309.931,317.924,,320
1993-07-30,23:59:59,310.142,378.970,,320
1993-10-09,23:59:59,310.246,409.040,,320
1994-01-31,23:59:59,311.205,686.150,,320
1994-09-15,23:59:59,309.809,282.837,,320
1994-12-29,23:59:59,310.319,430.074,,320
1994-12-30,23:59:59,310.361,442.304,,320
1995-02-19,23:59:59,309.955,325.076,,320
1995-03-30,23:59:59,310.833,578.861,,320
1997-07-25,23:59:59,309.527,201.198,,320
1998-01-02,23:59:59,310.635,521.492,,320
1998-05-28,23:59:59,309.870,300.464,,320
1998-07-07,23:59:59,309.915,313.388,,320
1999-02-05,23:59:59,309.741,263.148,,320
2001-05-15,23:59:59,309.522,199.777,,320
2001-08-26,23:59:59,309.746,264.521,,320
2001-11-30,23:59:59,310.241,407.628,,320
2002-08-11,23:59:59,309.525,200.706,,320
2002-10-10,23:59:59,310.449,467.662,,320
2005-08-12,23:59:59,309.590,219.378,,320
2006-02-14,23:59:59,309.737,261.992,,320
2006-04-07,23:59:59,309.643,234.949,,320
2006-05-18,23:59:59,309.743,263.703,,320
2007-09-04,23:59:59,309.914,313.011,,320
2008-03-18,23:59:59,309.788,276.876,,320
2008-06-19,23:59:59,309.679,245.311,,320
2009-01-29,23:59:59,310.141,378.613,,320
2009-03-13,23:59:59,309.747,264.873,,320
2011-06-30,23:59:59,309.551,208.325,,320
2012-07-08,23:59:59,309.581,216.916,,320
2012-08-31,23:59:59,309.401,164.892,,320
2012-09-06,23:59:59,309.516,198.222,,320
2013-03-31,23:59:59,309.565,212.279,,320
2015-05-28,23:59:59,310.177,389.200,,320
2015-08-02,23:59:59,309.708,253.659,,320
2016-02-06,23:59:59,309.929,317.431,,320
