Date,Time,Flow (m³/s),QualityCode
1945-08-16,23:59:59,8.465,310
1971-04-07,23:59:59,3.761,310
1942-08-12,23:59:59,9.096,310
1964-04-09,23:59:59,5.991,310
1969-08-29,23:59:59,3.959,310
2006-12-03,23:59:59,6.847,310
1939-10-28,23:59:59,6.991,310
1975-04-17,23:59:59,2.529,310
1971-12-02,23:59:59,7.066,310
2022-06-20,23:59:59,4.470,310
2007-08-06,23:59:59,5.919,310
1980-01-28,23:59:59,8.136,310
1991-06-23,23:59:59,4.479,310
2010-11-20,23:59:59,6.322,310
1932-12-04,23:59:59,3.283,310
1973-04-29,23:59:59,5.749,310
1971-05-25,23:59:59,4.161,310
2002-05-21,23:59:59,2.285,310
1971-08-07,23:59:59,5.092,310
1988-08-21,23:59:59,7.504,310
1957-12-10,23:59:59,5.308,310
1973-03-27,23:59:59,3.691,310
1979-12-25,23:59:59,9.831,310
1955-03-11,23:59:59,10.140,310
2024-08-11,23:59:59,5.938,310
2013-08-15,23:59:59,5.492,310
2015-05-03,23:59:59,4.798,310
2001-07-28,23:59:59,4.961,310
1963-02-14,23:59:59,5.687,310
1993-07-12,23:59:59,6.658,310
2001-11-05,23:59:59,7.318,310
2006-05-19,23:59:59,8.743,310
1948-10-25,23:59:59,11.291,310
1985-10-27,23:59:59,5.361,310
2007-03-22,23:59:59,2.369,310
2006-01-21,23:59:59,7.107,310
1974-02-26,23:59:59,6.042,310
1977-09-21,23:59:59,6.058,310
1945-06-12,23:59:59,6.598,310
1985-09-28,23:59:59,7.715,310
2000-11-06,23:59:59,4.271,310
2016-01-10,23:59:59,2.246,310
1943-12-19,23:59:59,5.191,310
2006-11-05,23:59:59,4.429,310
1969-12-13,23:59:59,1.812,310
2015-06-24,23:59:59,5.038,310
1977-04-06,23:59:59,2.799,310
1941-05-14,23:59:59,5.652,310
1970-09-07,23:59:59,4.614,310
2021-02-11,23:59:59,7.824,310
1977-11-08,23:59:59,3.495,310
1944-09-25,23:59:59,7.713,310
1982-08-09,23:59:59,2.847,310
1996-09-17,23:59:59,11.625,310
1999-09-22,23:59:59,5.901,310
1962-06-12,23:59:59,8.967,310
1975-04-10,23:59:59,4.362,310
1946-03-02,23:59:59,4.524,310
1958-01-04,23:59:59,5.285,310
2000-07-09,23:59:59,3.845,310
2012-12-25,23:59:59,3.339,310
2014-08-17,23:59:59,5.583,310
2024-08-18,23:59:59,7.556,310
1994-06-13,23:59:59,10.423,310
2020-04-10,23:59:59,6.562,310
1955-10-03,23:59:59,6.900,310
1990-04-27,23:59:59,4.403,310
2005-09-08,23:59:59,3.280,310
1967-02-27,23:59:59,8.462,310
1975-03-26,23:59:59,6.257,310
1993-07-07,23:59:59,6.042,310
1999-08-30,23:59:59,8.200,310
1976-02-29,23:59:59,1.161,310
1941-03-09,23:59:59,6.003,310
1953-12-02,23:59:59,7.085,310
1945-04-24,23:59:59,5.336,310
1982-02-27,23:59:59,8.884,310
1994-01-08,23:59:59,6.935,310
1943-02-10,23:59:59,8.684,310
1955-01-22,23:59:59,4.266,310
2006-11-15,23:59:59,7.946,310
1947-09-19,23:59:59,1.067,310
1949-12-09,23:59:59,6.506,310
1955-07-30,23:59:59,7.982,310
2006-06-21,23:59:59,7.739,310
1937-10-13,23:59:59,5.854,310
1968-04-05,23:59:59,5.778,310
1975-12-04,23:59:59,0.663,310
2023-01-23,23:59:59,5.575,310
1938-05-13,23:59:59,7.430,310
1963-01-21,23:59:59,6.817,310
1969-10-07,23:59:59,2.916,310
1966-05-13,23:59:59,10.177,310
2016-12-02,23:59:59,6.960,310
1948-02-05,23:59:59,9.498,310
1972-10-04,23:59:59,1.778,310
1945-09-18,23:59:59,4.487,310
1933-01-18,23:59:59,6.820,310
2000-12-15,23:59:59,4.126,310
1968-01-22,23:59:59,5.880,310
1953-06-22,23:59:59,8.763,310
2006-08-22,23:59:59,8.402,310
2003-09-17,23:59:59,5.492,310
1948-12-29,23:59:59,4.787,310
2015-02-20,23:59:59,2.419,310
2001-02-23,23:59:59,9.285,310
1935-03-30,23:59:59,4.554,310
1963-10-10,23:59:59,11.469,310
2005-04-26,23:59:59,3.154,310
1996-10-27,23:59:59,9.126,310
1998-06-07,23:59:59,6.280,310
2004-10-26,23:59:59,0.636,310
1944-04-12,23:59:59,4.172,310
1995-01-12,23:59:59,7.247,310
1966-11-30,23:59:59,3.506,310
1970-10-18,23:59:59,5.405,310
2012-02-24,23:59:59,9.984,310
2001-03-29,23:59:59,5.621,310
1963-11-07,23:59:59,6.423,310
2024-06-18,23:59:59,8.886,310
1935-06-27,23:59:59,12.121,310
1957-12-04,23:59:59,6.056,310
1994-07-28,23:59:59,12.876,310
1958-05-31,23:59:59,9.824,310
1964-09-08,23:59:59,5.708,310
1994-06-29,23:59:59,7.186,310
1979-01-29,23:59:59,5.228,310
2007-04-10,23:59:59,3.738,310
1967-05-13,23:59:59,7.628,310
1967-08-26,23:59:59,10.295,310
2004-08-15,23:59:59,6.464,310
1958-03-15,23:59:59,5.783,310
1986-09-18,23:59:59,11.939,310
1948-07-22,23:59:59,11.843,310
2006-12-15,23:59:59,4.982,310
1969-10-28,23:59:59,6.127,310
1999-01-10,23:59:59,7.052,310
1936-03-18,23:59:59,8.238,310
1934-04-21,23:59:59,4.756,310
1988-06-04,23:59:59,2.963,310
1980-03-25,23:59:59,4.986,310
2004-07-24,23:59:59,2.905,310
2019-03-17,23:59:59,4.275,310
1973-01-24,23:59:59,4.907,310
1969-05-03,23:59:59,5.451,310
1950-05-24,23:59:59,5.035,310
1957-02-23,23:59:59,4.742,310
1966-07-15,23:59:59,11.267,310
1962-04-14,23:59:59,6.066,310
1994-10-14,23:59:59,7.941,310
1997-12-26,23:59:59,8.577,310
2022-12-28,23:59:59,8.785,310
1965-06-09,23:59:59,6.531,310
1962-03-24,23:59:59,5.635,310
2000-10-15,23:59:59,9.106,310
1966-04-19,23:59:59,4.046,310
1982-04-28,23:59:59,5.601,310
2010-12-20,23:59:59,2.834,310
1982-05-14,23:59:59,10.991,310
2016-07-14,23:59:59,7.582,310
2002-10-06,23:59:59,7.206,310
1951-09-29,23:59:59,5.305,310
1992-06-21,23:59:59,7.027,310
1949-06-13,23:59:59,9.075,310
1992-07-20,23:59:59,8.211,310
2001-03-17,23:59:59,3.933,310
2018-04-07,23:59:59,1.911,310
1936-04-14,23:59:59,7.755,310
1953-02-10,23:59:59,4.233,310
1954-04-17,23:59:59,5.305,310
1973-03-20,23:59:59,4.102,310
1976-11-19,23:59:59,9.251,310
2021-05-26,23:59:59,4.445,310
2008-09-23,23:59:59,6.278,310
1951-08-31,23:59:59,8.403,310
1993-11-19,23:59:59,5.389,310
2013-07-04,23:59:59,6.269,310
1989-06-12,23:59:59,11.274,310
1932-04-07,23:59:59,5.726,310
2018-01-24,23:59:59,7.457,310
1939-07-16,23:59:59,6.626,310
1980-10-31,23:59:59,7.294,310
1933-11-18,23:59:59,5.610,310
1993-04-20,23:59:59,6.055,310
1944-02-28,23:59:59,6.395,310
