jade_source_year,jade_source_week,simulation,stage,calendar_year,calendar_week,stored_energy_gwh,thermal_cost_nzd,lost_load_cost_nzd
2025,Week 52,1,1,2025,52,3720.022566,0.000000,0.000000
2025,Week 52,1,2,2026,1,3752.590833,0.000000,0.000000
2025,Week 52,1,3,2026,2,3620.461000,243587.210932,0.000000
2025,Week 52,1,4,2026,3,3535.867482,1146984.045942,0.000000
2025,Week 52,1,5,2026,4,3392.673729,2167266.485266,0.000000
2025,Week 52,1,6,2026,5,3691.810110,350853.465230,0.000000
2025,Week 52,1,7,2026,6,3719.948623,51050.243585,0.000000
2025,Week 52,1,8,2026,7,3738.479647,79260.207827,0.000000
2025,Week 52,1,9,2026,8,3746.162612,2874759.799291,0.000000
2025,Week 52,1,10,2026,9,3776.089699,2157119.200603,0.000000
2025,Week 52,1,11,2026,10,3737.934168,732555.168086,0.000000
2025,Week 52,1,12,2026,11,3574.323284,2884398.198126,0.000000
2025,Week 52,1,13,2026,12,3827.788310,1263871.488906,0.000000
2025,Week 52,1,14,2026,13,3830.654885,558195.891925,0.000000
2025,Week 52,1,15,2026,14,3863.664863,221598.771073,0.000000
2025,Week 52,1,16,2026,15,3850.798338,593819.757046,0.000000
2025,Week 52,1,17,2026,16,3841.459981,930213.305847,0.000000
2025,Week 52,1,18,2026,17,3842.068922,2673501.600000,0.000000
2025,Week 52,1,19,2026,18,3834.839086,3108652.883829,0.000000
2025,Week 52,1,20,2026,19,3768.762891,4268821.535063,0.000000
2025,Week 52,1,21,2026,20,3846.500326,1839292.220325,0.000000
2025,Week 52,1,22,2026,21,3855.063806,1453454.743032,0.000000
2025,Week 52,1,23,2026,22,3818.903068,2468740.922640,0.000000
2025,Week 52,1,24,2026,23,3622.642603,5004915.998033,0.000000
2025,Week 52,1,25,2026,24,3367.234873,6703585.234200,0.000000
2025,Week 52,1,26,2026,25,3060.908164,7103970.588232,0.000000
2025,Week 52,1,27,2026,26,2802.172680,6970173.442879,0.000000
2025,Week 52,1,28,2026,27,2499.719578,9009231.320165,0.000000
2025,Week 52,1,29,2026,28,2473.564566,6962615.241116,0.000000
2025,Week 52,1,30,2026,29,2465.609138,6090949.190927,0.000000
2025,Week 52,1,31,2026,30,2233.869143,7271125.574954,0.000000
2025,Week 52,1,32,2026,31,2253.466285,6895359.065530,0.000000
2025,Week 52,1,33,2026,32,2212.779176,7054545.681668,0.000000
2025,Week 52,1,34,2026,33,2039.012249,6486437.246633,0.000000
2025,Week 52,1,35,2026,34,1967.641781,6223928.904608,0.000000
2025,Week 52,1,36,2026,35,1776.621921,6007940.717755,0.000000
2025,Week 52,1,37,2026,36,1589.141822,6207239.318941,0.000000
2025,Week 52,1,38,2026,37,1383.670032,6703835.760000,0.000000
2025,Week 52,1,39,2026,38,1519.047064,5884188.200831,0.000000
2025,Week 52,1,40,2026,39,1381.124826,5886522.127621,0.000000
2025,Week 52,1,41,2026,40,1453.749277,5970749.776769,0.000000
2025,Week 52,1,42,2026,41,1543.466639,5614353.360000,0.000000
2025,Week 52,1,43,2026,42,1536.303339,5614353.360000,0.000000
2025,Week 52,1,44,2026,43,1548.621125,5614353.360000,0.000000
2025,Week 52,1,45,2026,44,1553.727265,5614353.360000,0.000000
2025,Week 52,1,46,2026,45,1511.120869,2220700.204289,0.000000
2025,Week 52,1,47,2026,46,1493.083901,895813.105209,0.000000
2025,Week 52,1,48,2026,47,1370.713170,3083278.828579,0.000000
2025,Week 52,1,49,2026,48,1300.254352,4618046.601802,0.000000
2025,Week 52,1,50,2026,49,1303.082925,7528689.360000,0.000000
2025,Week 52,1,51,2026,50,1341.639610,7528689.360000,0.000000
2025,Week 52,1,52,2026,51,1619.817083,8866100.694272,0.000000
2025,Week 52,2,1,2025,52,3713.985922,0.000000,0.000000
2025,Week 52,2,2,2026,1,3599.578519,0.000000,0.000000
2025,Week 52,2,3,2026,2,3604.135585,227076.545729,0.000000
2025,Week 52,2,4,2026,3,3553.616940,2381480.285761,0.000000
2025,Week 52,2,5,2026,4,3588.365199,1490506.005138,0.000000
2025,Week 52,2,6,2026,5,3520.619182,2673501.600000,0.000000
2025,Week 52,2,7,2026,6,3527.762430,2673501.600000,0.000000
2025,Week 52,2,8,2026,7,3566.506152,1615019.886426,0.000000
2025,Week 52,2,9,2026,8,3409.415945,3778856.936424,0.000000
2025,Week 52,2,10,2026,9,3223.471596,3296025.061476,0.000000
2025,Week 52,2,11,2026,10,3284.166328,2980580.652858,0.000000
2025,Week 52,2,12,2026,11,3153.524797,7499974.320000,0.000000
2025,Week 52,2,13,2026,12,3057.798918,7818771.152964,0.000000
2025,Week 52,2,14,2026,13,3091.230276,6571989.352302,0.000000
2025,Week 52,2,15,2026,14,2963.327643,8316528.496166,0.000000
2025,Week 52,2,16,2026,15,3118.664313,7282797.033233,0.000000
2025,Week 52,2,17,2026,16,3364.759991,2698125.087292,0.000000
2025,Week 52,2,18,2026,17,3613.462968,2366412.056030,0.000000
2025,Week 52,2,19,2026,18,3656.967735,3110686.237941,0.000000
2025,Week 52,2,20,2026,19,3580.933407,5716460.040583,0.000000
2025,Week 52,2,21,2026,20,3676.087886,3202188.995583,0.000000
2025,Week 52,2,22,2026,21,3632.153723,6149881.771670,0.000000
2025,Week 52,2,23,2026,22,3625.978487,5836929.833321,0.000000
2025,Week 52,2,24,2026,23,3467.048523,6352538.425817,0.000000
2025,Week 52,2,25,2026,24,3198.828138,6586553.383460,0.000000
2025,Week 52,2,26,2026,25,3066.967714,6689055.960000,0.000000
2025,Week 52,2,27,2026,26,2977.858686,6478000.508890,0.000000
2025,Week 52,2,28,2026,27,2751.928930,7163400.431226,0.000000
2025,Week 52,2,29,2026,28,2769.899837,6703835.760000,0.000000
2025,Week 52,2,30,2026,29,2631.929599,6519504.074225,0.000000
