calendar_year,calendar_week,simulation_count,stored_energy_p05_gwh,stored_energy_p25_gwh,stored_energy_median_gwh,stored_energy_p75_gwh,stored_energy_p95_gwh,thermal_cost_median_nzd,thermal_cost_p95_nzd,thermal_cost_positive_share,lost_load_cost_median_nzd,lost_load_cost_p95_nzd,lost_load_positive_share
2025,52,91,3563.750622,3690.414651,3744.760547,3777.104053,3808.493795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026,1,91,3521.903584,3669.758958,3755.440922,3793.732393,3810.240174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026,2,91,3382.802136,3598.929142,3712.431453,3773.871554,3811.361645,0.000000,1319092.585301,0.417582,0.000000,0.000000,0.000000
2026,3,91,3282.424017,3540.920604,3667.858558,3746.909115,3805.291015,776894.114834,2673501.600000,0.923077,0.000000,0.000000,0.000000
2026,4,91,3257.511615,3460.611215,3633.751144,3726.514781,3822.184622,1297096.007763,2673501.600000,0.934066,0.000000,0.000000,0.000000
2026,5,91,3161.704473,3412.522921,3590.448774,3732.097856,3831.940050,1685609.734220,3045049.828231,0.934066,0.000000,0.000000,0.000000
2026,6,91,3027.420810,3306.570430,3569.948505,3714.685170,3833.198927,1856917.457385,3949730.706095,0.934066,0.000000,0.000000,0.000000
2026,7,91,2883.698296,3186.867078,3454.608515,3686.064447,3825.427050,2673501.600000,5773655.378476,0.901099,0.000000,0.000000,0.000000
2026,8,91,2780.522395,3122.921271,3446.012465,3699.613711,3824.078005,3876690.754455,6747030.724710,1.000000,0.000000,0.000000,0.000000
2026,9,91,2681.492374,2968.897776,3378.631237,3673.318601,3822.654669,2740238.663900,6512860.085202,0.989011,0.000000,0.000000,0.000000
2026,10,91,2533.473972,2927.656009,3319.494901,3660.998171,3835.414465,2673501.600000,7468308.358009,0.934066,0.000000,0.000000,0.000000
2026,11,91,2469.823189,2906.469650,3275.868449,3626.806172,3833.830809,5168295.185378,11047016.412268,1.000000,0.000000,0.000000,0.000000
2026,12,91,2312.832942,2760.538046,3264.671229,3591.570832,3822.218589,6307593.336649,10816491.780823,1.000000,0.000000,0.000000,0.000000
2026,13,91,2227.836572,2682.595169,3215.688510,3606.194642,3818.449934,5871837.070935,12027822.782426,1.000000,0.000000,0.000000,0.000000
2026,14,91,2103.334913,2666.974762,3210.870621,3603.879687,3855.086411,5731313.870007,14771145.002553,0.978022,0.000000,0.000000,0.000000
2026,15,91,2084.706144,2573.385326,3171.831782,3520.711720,3857.262478,7233511.194701,16066029.316951,1.000000,0.000000,0.000000,0.000000
2026,16,91,2070.201779,2613.981447,3143.100680,3455.329082,3825.498065,7884877.072544,14615245.121706,1.000000,0.000000,0.000000,0.000000
2026,17,91,2045.151203,2670.098795,3063.146200,3545.214612,3839.494837,7871380.955058,15975118.062854,1.000000,0.000000,0.000000,0.000000
2026,18,91,1958.538167,2554.626929,3053.674409,3484.663200,3799.883550,10216782.265198,19540431.610334,1.000000,0.000000,0.000000,0.000000
2026,19,91,1895.045654,2520.804778,2987.528619,3497.608936,3788.570502,10480102.836979,16531919.680113,1.000000,0.000000,0.000000,0.000000
2026,20,91,1767.008843,2379.909713,2955.983717,3433.223760,3791.023092,6703835.760000,12117079.561394,1.000000,0.000000,0.000000,0.000000
2026,21,91,1682.037554,2278.852769,2906.708653,3402.728547,3788.197025,6640235.871669,11257288.148062,1.000000,0.000000,0.000000,0.000000
2026,22,91,1532.738166,2203.796560,2864.148380,3326.410076,3760.404734,6093433.633573,10295082.463578,1.000000,0.000000,0.000000,0.000000
2026,23,91,1417.049061,2112.768631,2756.652712,3266.500393,3641.441378,6629141.791015,11364011.283140,1.000000,0.000000,0.000000,0.000000
2026,24,91,1402.688484,2042.539603,2633.484303,3208.160850,3534.479614,6536890.488155,11616793.453999,1.000000,0.000000,0.000000,0.000000
2026,25,91,1271.931286,1911.229472,2502.770329,3141.552053,3391.170733,6763611.248034,12187954.403122,1.000000,0.000000,0.000000,0.000000
2026,26,91,1158.487841,1805.820440,2439.776398,2994.674009,3375.083079,6690934.469219,12055297.209495,1.000000,0.000000,0.000000,0.000000
2026,27,91,967.207941,1689.871935,2262.282841,2908.417824,3221.850061,7652871.460219,13275466.330506,1.000000,0.000000,0.000000,0.000000
2026,28,91,798.460419,1540.294187,2081.814449,2744.442052,3139.327424,7104422.543854,13833962.394324,1.000000,0.000000,0.000000,0.000000
2026,29,91,737.262961,1437.923495,2025.668032,2560.017390,2994.514477,6879909.576686,13688673.444401,1.000000,0.000000,0.000000,0.000000
2026,30,91,563.747547,1313.996133,1815.636760,2373.832107,2852.167626,7407460.995188,15386595.987548,1.000000,0.000000,0.000000,0.000000
2026,31,91,457.347676,1183.531754,1647.444286,2253.464774,2727.401186,8045333.266114,14866648.786036,1.000000,0.000000,0.000000,0.000000
2026,32,91,416.093384,1003.888002,1502.031091,2080.803222,2724.187345,8991363.688469,15764776.598152,1.000000,0.000000,0.000000,0.000000
2026,33,91,342.427552,910.321487,1432.160082,2033.869627,2643.308663,6886245.494062,15284618.102431,1.000000,0.000000,0.000000,0.000000
2026,34,91,162.683876,749.715775,1339.942228,1943.835264,2498.349031,6708567.966708,15397496.506393,1.000000,0.000000,0.000000,0.000000
2026,35,91,64.339088,606.745846,1239.062211,1838.114020,2396.743342,6225124.847340,13351697.899409,1.000000,0.000000,0.000000,0.000000
2026,36,91,106.337242,520.539156,1094.997226,1799.363966,2317.739616,6549222.211806,12393678.818757,1.000000,0.000000,0.000000,0.000000
2026,37,91,121.139317,579.245053,1182.390859,1747.409229,2405.424888,6636780.906722,14471753.688828,1.000000,0.000000,0.000000,0.000000
2026,38,91,39.218118,465.010665,1159.996437,1730.638974,2512.545890,5884188.200831,12078052.560000,1.000000,0.000000,0.000000,0.000000
2026,39,91,95.212006,403.249905,1096.231217,1759.133760,2591.980307,5662287.023768,11358680.937469,0.978022,0.000000,0.000000,0.000000
