simulation,calendar_year,calendar_week,thermal_generation_gwh,thermal_peak_block_mw
1,2025,52,0.0,0.0
1,2026,1,0.0,0.0
1,2026,2,2.8062396135143572,140.31198067571785
1,2026,3,13.213797446395525,337.550265857615
1,2026,4,24.96793259678153,385.0
1,2026,5,4.041997479670383,202.09987398351913
1,2026,6,0.5881228956097342,29.40614478048671
1,2026,7,0.9131149953565416,45.65574976782708
1,2026,8,32.48211389675597,469.10569483779847
1,2026,9,24.851031089174285,385.0
1,2026,10,8.439381213408344,273.8216488044869
1,2026,11,33.22962832799282,385.0
1,2026,12,14.560395946013212,385.0
1,2026,13,6.430680075634373,314.53186341241553
1,2026,14,2.5529224104595842,127.6461205229792
1,2026,15,6.841083811967348,342.0541905983674
1,2026,16,10.716496231038139,385.0
1,2026,17,30.8,385.0
1,2026,18,34.43698981853885,566.8494909269425
1,2026,19,43.98778475722399,833.0
1,2026,20,20.83315341932171,432.0905450333295
1,2026,21,15.991653671997316,484.4812157407234
1,2026,22,28.441060374643172,385.0
1,2026,23,55.31844339261305,683.7108801082434
1,2026,24,73.63796593350048,832.8982966750236
1,2026,25,76.89161755741026,995.5808778705127
1,2026,26,75.80427367629719,941.2136838148588
1,2026,27,92.69627320001867,1204.7232339000861
1,2026,28,75.74285534097476,938.1427670487371
1,2026,29,68.6633829039614,584.1691451980698
1,2026,30,78.24982614276168,1063.4913071380836
1,2026,31,75.19632820739025,910.8164103695125
1,2026,32,76.48988681765724,975.4943408828618
1,2026,33,71.87490022841452,744.7450114207256
1,2026,34,69.74354520040555,638.1772600202778
1,2026,35,67.96959896490895,549.4799482454473
1,2026,36,69.60803928827661,631.4019644138309
1,2026,37,73.64000000000001,833.0
1,2026,38,66.93527673997266,497.7638369986324
1,2026,39,66.8490974008379,512.7048700418951
1,2026,40,67.65875747429263,533.9378737146309
1,2026,41,64.68,385.0
1,2026,42,64.68,385.0
1,2026,43,64.68,385.0
1,2026,44,64.68,385.0
1,2026,45,23.539292830631485,327.2031013794465
1,2026,46,7.435562255582848,158.77811277914242
1,2026,47,25.708789666468192,247.07758091700765
1,2026,48,46.20699632083004,365.0
1,2026,49,80.68,585.0
1,2026,50,80.68,585.0
1,2026,51,91.53869633639603,833.0
2,2025,52,0.0,0.0
2,2026,1,0.0,0.0
2,2026,2,2.6160289593395247,130.80144796697624
2,2026,3,27.43577666138262,385.0
2,2026,4,17.171332516967563,385.0
2,2026,5,30.8,385.0
2,2026,6,30.8,385.0
2,2026,7,18.60579118483213,358.6376196480631
2,2026,8,42.67785955516002,498.1612643354986
2,2026,9,37.524942914273346,444.0442190836376
2,2026,10,34.337695592932555,385.0
2,2026,11,80.44,582.0
2,2026,12,83.02837196414785,711.418598207393
2,2026,13,72.68391147470282,563.4314436063404
2,2026,14,87.12628207011794,805.0
2,2026,15,78.58526783772268,609.2633918861344
2,2026,16,31.005802845825876,395.2901422912937
2,2026,17,27.262183544500548,385.0
2,2026,18,34.45398457065991,567.6992285329954
2,2026,19,59.50116945126776,912.5646365312165
2,2026,20,35.206798973598495,605.3399486799245
2,2026,21,68.90579471530798,636.3502444683875
2,2026,22,66.54029180516372,478.0145902581863
2,2026,23,70.78775030095038,690.3875150475187
2,2026,24,72.6877621358318,785.3881067915906
2,2026,25,73.52000000000001,827.0
2,2026,26,71.80640075419473,741.3200377097357
2,2026,27,77.37444609767218,1019.7223048836083
2,2026,28,73.64000000000001,833.0
2,2026,29,72.14337607457315,758.1688037286572
2,2026,30,79.32794266625521,1117.3971333127604
2,2026,31,83.52909846497832,1078.2566507397466
2,2026,32,94.01148689371826,1261.357807316643
2,2026,33,69.36191754573258,619.0958772866286
2,2026,34,70.55550944973436,678.7754724867176
2,2026,35,67.5619816659518,529.0990832975897
2,2026,36,68.68,585.0
2,2026,37,73.26631693259787,814.3158466298938
2,2026,38,67.08112069198074,505.0560345990364
2,2026,39,55.4361036283706,385.0
2,2026,40,14.829146389341757,385.0
2,2026,41,30.8,385.0
2,2026,42,0.0,0.0
2,2026,43,2.558815369297267,127.94076846486334
2,2026,44,2.5445752160380932,127.22876080190466
2,2026,45,8.8,110.0
2,2026,46,0.0,0.0
2,2026,47,0.0,0.0
2,2026,48,27.72,165.0
2,2026,49,64.68,385.0
2,2026,50,64.68,385.0
2,2026,51,64.68,385.0
3,2025,52,0.0,0.0
3,2026,1,0.0,0.0
3,2026,2,0.0,0.0
3,2026,3,8.950186802533784,282.36143768923307
3,2026,4,14.191831941989385,385.0
3,2026,5,15.256350524648997,385.0
3,2026,6,0.1860879020552822,9.30439510276411
3,2026,7,4.241588670859337,169.14710171738133
3,2026,8,32.98139629447797,494.0698147238984
3,2026,9,30.8,385.0
3,2026,10,30.8,385.0
3,2026,11,65.80196029347584,441.0980146737918
3,2026,12,32.58351511548645,474.17575577432217
3,2026,13,12.46979025566582,354.1141389681751
3,2026,14,30.8,385.0
3,2026,15,32.05022117546584,447.511058773292
3,2026,16,40.373016509179465,385.0
3,2026,17,49.34213045258251,385.0
3,2026,18,85.47628798949964,833.0
3,2026,19,99.23845686423232,1059.701224306686
3,2026,20,71.52502352412847,727.2511762064233
3,2026,21,68.39530461020945,570.7652305104729
3,2026,22,66.16792619254561,459.39630962728006
3,2026,23,46.537563336254415,522.3310572461419
3,2026,24,34.06509867849721,548.2549339248603
3,2026,25,37.84224089756298,608.3972763471742
3,2026,26,54.001033195556154,712.2225563609563
3,2026,27,68.38800670870347,988.2269706972561
3,2026,28,77.07671943668274,1004.8359718341364
3,2026,29,74.7715252010639,889.5762600531943
