TimePeriod,Variable,Scenario,Status,Unit,Value
2024,Load capacity,Reference,Projected,MW,50
2025,Load capacity,Reference,Projected,MW,101
2026,Load capacity,Reference,Projected,MW,113
2027,Load capacity,Reference,Projected,MW,183
2028,Load capacity,Reference,Projected,MW,183
2029,Load capacity,Reference,Projected,MW,233
2030,Load capacity,Reference,Projected,MW,233
2031,Load capacity,Reference,Projected,MW,233
2032,Load capacity,Reference,Projected,MW,233
2033,Load capacity,Reference,Projected,MW,233
2034,Load capacity,Reference,Projected,MW,233
2035,Load capacity,Reference,Projected,MW,233
2036,Load capacity,Reference,Projected,MW,233
2037,Load capacity,Reference,Projected,MW,233
2038,Load capacity,Reference,Projected,MW,233
2039,Load capacity,Reference,Projected,MW,233
2040,Load capacity,Reference,Projected,MW,233
2041,Load capacity,Reference,Projected,MW,233
2042,Load capacity,Reference,Projected,MW,233
2043,Load capacity,Reference,Projected,MW,233
2044,Load capacity,Reference,Projected,MW,233
2045,Load capacity,Reference,Projected,MW,233
2046,Load capacity,Reference,Projected,MW,233
2047,Load capacity,Reference,Projected,MW,233
2048,Load capacity,Reference,Projected,MW,233
2049,Load capacity,Reference,Projected,MW,233
2050,Load capacity,Reference,Projected,MW,233
2024,Load capacity,Growth,Projected,MW,50
2025,Load capacity,Growth,Projected,MW,101
2026,Load capacity,Growth,Projected,MW,263
2027,Load capacity,Growth,Projected,MW,333
2028,Load capacity,Growth,Projected,MW,333
2029,Load capacity,Growth,Projected,MW,383
2030,Load capacity,Growth,Projected,MW,383
2031,Load capacity,Growth,Projected,MW,383
2032,Load capacity,Growth,Projected,MW,383
2033,Load capacity,Growth,Projected,MW,383
2034,Load capacity,Growth,Projected,MW,383
2035,Load capacity,Growth,Projected,MW,383
2036,Load capacity,Growth,Projected,MW,383
2037,Load capacity,Growth,Projected,MW,383
2038,Load capacity,Growth,Projected,MW,383
2039,Load capacity,Growth,Projected,MW,383
2040,Load capacity,Growth,Projected,MW,383
2041,Load capacity,Growth,Projected,MW,383
2042,Load capacity,Growth,Projected,MW,383
2043,Load capacity,Growth,Projected,MW,383
2044,Load capacity,Growth,Projected,MW,383
2045,Load capacity,Growth,Projected,MW,383
2046,Load capacity,Growth,Projected,MW,383
2047,Load capacity,Growth,Projected,MW,383
2048,Load capacity,Growth,Projected,MW,383
2049,Load capacity,Growth,Projected,MW,383
2050,Load capacity,Growth,Projected,MW,383
2024,Load capacity,Constraint,Projected,MW,50
2025,Load capacity,Constraint,Projected,MW,101
2026,Load capacity,Constraint,Projected,MW,113
2027,Load capacity,Constraint,Projected,MW,113
2028,Load capacity,Constraint,Projected,MW,113
