TimePeriod,Variable,Scenario,Sector,Unit,Value
2013,Total ICPs,Constraint,Commercial,Number,83
2013,Total ICPs,Constraint,Industrial,Number,80
2013,Total ICPs,Constraint,Residential,Number,2122
2013,Total ICPs,Environmental,Commercial,Number,83
2013,Total ICPs,Environmental,Industrial,Number,80
2013,Total ICPs,Environmental,Residential,Number,2122
2013,Total ICPs,Growth,Commercial,Number,83
2013,Total ICPs,Growth,Industrial,Number,80
2013,Total ICPs,Growth,Residential,Number,2122
2013,Total ICPs,Innovation,Commercial,Number,83
2013,Total ICPs,Innovation,Industrial,Number,80
2013,Total ICPs,Innovation,Residential,Number,2122
2013,Total ICPs,Reference,Commercial,Number,83
2013,Total ICPs,Reference,Industrial,Number,80
2013,Total ICPs,Reference,Residential,Number,2122
2013,Total capacity,Constraint,Commercial,MW,0.481
2013,Total capacity,Constraint,Industrial,MW,0.651
2013,Total capacity,Constraint,Residential,MW,7.452
2013,Total capacity,Environmental,Commercial,MW,0.481
2013,Total capacity,Environmental,Industrial,MW,0.651
2013,Total capacity,Environmental,Residential,MW,7.452
2013,Total capacity,Growth,Commercial,MW,0.481
2013,Total capacity,Growth,Industrial,MW,0.651
2013,Total capacity,Growth,Residential,MW,7.452
2013,Total capacity,Innovation,Commercial,MW,0.481
2013,Total capacity,Innovation,Industrial,MW,0.651
2013,Total capacity,Innovation,Residential,MW,7.452
2013,Total capacity,Reference,Commercial,MW,0.481
2013,Total capacity,Reference,Industrial,MW,0.651
2013,Total capacity,Reference,Residential,MW,7.452
2014,Total ICPs,Constraint,Commercial,Number,177
2014,Total ICPs,Constraint,Industrial,Number,158
2014,Total ICPs,Constraint,Residential,Number,5184
2014,Total ICPs,Environmental,Commercial,Number,177
2014,Total ICPs,Environmental,Industrial,Number,158
2014,Total ICPs,Environmental,Residential,Number,5184
2014,Total ICPs,Growth,Commercial,Number,177
2014,Total ICPs,Growth,Industrial,Number,158
2014,Total ICPs,Growth,Residential,Number,5184
2014,Total ICPs,Innovation,Commercial,Number,177
2014,Total ICPs,Innovation,Industrial,Number,158
2014,Total ICPs,Innovation,Residential,Number,5184
2014,Total ICPs,Reference,Commercial,Number,177
2014,Total ICPs,Reference,Industrial,Number,158
2014,Total ICPs,Reference,Residential,Number,5184
2014,Total capacity,Constraint,Commercial,MW,1.771
2014,Total capacity,Constraint,Industrial,MW,1.642
2014,Total capacity,Constraint,Residential,MW,18.632
2014,Total capacity,Environmental,Commercial,MW,1.771
2014,Total capacity,Environmental,Industrial,MW,1.642
2014,Total capacity,Environmental,Residential,MW,18.632
2014,Total capacity,Growth,Commercial,MW,1.771
2014,Total capacity,Growth,Industrial,MW,1.642
2014,Total capacity,Growth,Residential,MW,18.632
2014,Total capacity,Innovation,Commercial,MW,1.771
2014,Total capacity,Innovation,Industrial,MW,1.642
2014,Total capacity,Innovation,Residential,MW,18.632
2014,Total capacity,Reference,Commercial,MW,1.771
2014,Total capacity,Reference,Industrial,MW,1.642
2014,Total capacity,Reference,Residential,MW,18.632
2015,Total ICPs,Constraint,Commercial,Number,291
2015,Total ICPs,Constraint,Industrial,Number,257
2015,Total ICPs,Constraint,Residential,Number,8966
2015,Total ICPs,Environmental,Commercial,Number,291
2015,Total ICPs,Environmental,Industrial,Number,257
2015,Total ICPs,Environmental,Residential,Number,8966
2015,Total ICPs,Growth,Commercial,Number,291
2015,Total ICPs,Growth,Industrial,Number,257
2015,Total ICPs,Growth,Residential,Number,8966
2015,Total ICPs,Innovation,Commercial,Number,291
2015,Total ICPs,Innovation,Industrial,Number,257
2015,Total ICPs,Innovation,Residential,Number,8966
2015,Total ICPs,Reference,Commercial,Number,291
2015,Total ICPs,Reference,Industrial,Number,257
2015,Total ICPs,Reference,Residential,Number,8966
2015,Total capacity,Constraint,Commercial,MW,2.846
2015,Total capacity,Constraint,Industrial,MW,2.817
2015,Total capacity,Constraint,Residential,MW,31.586
2015,Total capacity,Environmental,Commercial,MW,2.846
2015,Total capacity,Environmental,Industrial,MW,2.817
2015,Total capacity,Environmental,Residential,MW,31.586
2015,Total capacity,Growth,Commercial,MW,2.846
2015,Total capacity,Growth,Industrial,MW,2.817
2015,Total capacity,Growth,Residential,MW,31.586
2015,Total capacity,Innovation,Commercial,MW,2.846
2015,Total capacity,Innovation,Industrial,MW,2.817
2015,Total capacity,Innovation,Residential,MW,31.586
2015,Total capacity,Reference,Commercial,MW,2.846
2015,Total capacity,Reference,Industrial,MW,2.817
2015,Total capacity,Reference,Residential,MW,31.586
2016,Total ICPs,Constraint,Commercial,Number,413
2016,Total ICPs,Constraint,Industrial,Number,348
2016,Total ICPs,Constraint,Residential,Number,13007
2016,Total ICPs,Environmental,Commercial,Number,413
2016,Total ICPs,Environmental,Industrial,Number,348
2016,Total ICPs,Environmental,Residential,Number,13007
2016,Total ICPs,Growth,Commercial,Number,413
2016,Total ICPs,Growth,Industrial,Number,348
2016,Total ICPs,Growth,Residential,Number,13007
2016,Total ICPs,Innovation,Commercial,Number,413
2016,Total ICPs,Innovation,Industrial,Number,348
2016,Total ICPs,Innovation,Residential,Number,13007
2016,Total ICPs,Reference,Commercial,Number,413
2016,Total ICPs,Reference,Industrial,Number,348
2016,Total ICPs,Reference,Residential,Number,13007
2016,Total capacity,Constraint,Commercial,MW,3.932
2016,Total capacity,Constraint,Industrial,MW,4.119
2016,Total capacity,Constraint,Residential,MW,45.007
2016,Total capacity,Environmental,Commercial,MW,3.932
2016,Total capacity,Environmental,Industrial,MW,4.119
2016,Total capacity,Environmental,Residential,MW,45.007
2016,Total capacity,Growth,Commercial,MW,3.932
2016,Total capacity,Growth,Industrial,MW,4.119
2016,Total capacity,Growth,Residential,MW,45.007
2016,Total capacity,Innovation,Commercial,MW,3.932
2016,Total capacity,Innovation,Industrial,MW,4.119
2016,Total capacity,Innovation,Residential,MW,45.007
2016,Total capacity,Reference,Commercial,MW,3.932
2016,Total capacity,Reference,Industrial,MW,4.119
2016,Total capacity,Reference,Residential,MW,45.007
