TimePeriod,Scenario,Sector,Variable,Status,Unit,Value
1990,Constraint,Commercial,Electricity demand,Historical,TWh,5.321
1990,Constraint,Industrial,Electricity demand,Historical,TWh,13.26
1990,Constraint,Residential,Electricity demand,Historical,TWh,10.164
1990,Constraint,Transport,Electricity demand,Historical,TWh,0.061
1990,Environmental,Commercial,Electricity demand,Historical,TWh,5.321
1990,Environmental,Industrial,Electricity demand,Historical,TWh,13.26
1990,Environmental,Residential,Electricity demand,Historical,TWh,10.164
1990,Environmental,Transport,Electricity demand,Historical,TWh,0.061
1990,Growth,Commercial,Electricity demand,Historical,TWh,5.321
1990,Growth,Industrial,Electricity demand,Historical,TWh,13.26
1990,Growth,Residential,Electricity demand,Historical,TWh,10.164
1990,Growth,Transport,Electricity demand,Historical,TWh,0.061
1990,Innovation,Commercial,Electricity demand,Historical,TWh,5.321
1990,Innovation,Industrial,Electricity demand,Historical,TWh,13.26
1990,Innovation,Residential,Electricity demand,Historical,TWh,10.164
1990,Innovation,Transport,Electricity demand,Historical,TWh,0.061
1990,Reference,Commercial,Electricity demand,Historical,TWh,5.321
1990,Reference,Industrial,Electricity demand,Historical,TWh,13.26
1990,Reference,Residential,Electricity demand,Historical,TWh,10.164
1990,Reference,Transport,Electricity demand,Historical,TWh,0.061
1991,Constraint,Commercial,Electricity demand,Historical,TWh,5.417
1991,Constraint,Industrial,Electricity demand,Historical,TWh,13.523
1991,Constraint,Residential,Electricity demand,Historical,TWh,10.427
1991,Constraint,Transport,Electricity demand,Historical,TWh,0.054
1991,Environmental,Commercial,Electricity demand,Historical,TWh,5.417
1991,Environmental,Industrial,Electricity demand,Historical,TWh,13.523
1991,Environmental,Residential,Electricity demand,Historical,TWh,10.427
1991,Environmental,Transport,Electricity demand,Historical,TWh,0.054
1991,Growth,Commercial,Electricity demand,Historical,TWh,5.417
1991,Growth,Industrial,Electricity demand,Historical,TWh,13.523
1991,Growth,Residential,Electricity demand,Historical,TWh,10.427
1991,Growth,Transport,Electricity demand,Historical,TWh,0.054
1991,Innovation,Commercial,Electricity demand,Historical,TWh,5.417
1991,Innovation,Industrial,Electricity demand,Historical,TWh,13.523
1991,Innovation,Residential,Electricity demand,Historical,TWh,10.427
1991,Innovation,Transport,Electricity demand,Historical,TWh,0.054
1991,Reference,Commercial,Electricity demand,Historical,TWh,5.417
1991,Reference,Industrial,Electricity demand,Historical,TWh,13.523
1991,Reference,Residential,Electricity demand,Historical,TWh,10.427
1991,Reference,Transport,Electricity demand,Historical,TWh,0.054
1992,Constraint,Commercial,Electricity demand,Historical,TWh,5.317
1992,Constraint,Industrial,Electricity demand,Historical,TWh,13.186
1992,Constraint,Residential,Electricity demand,Historical,TWh,10.204
1992,Constraint,Transport,Electricity demand,Historical,TWh,0.055
1992,Environmental,Commercial,Electricity demand,Historical,TWh,5.317
1992,Environmental,Industrial,Electricity demand,Historical,TWh,13.186
1992,Environmental,Residential,Electricity demand,Historical,TWh,10.204
1992,Environmental,Transport,Electricity demand,Historical,TWh,0.055
1992,Growth,Commercial,Electricity demand,Historical,TWh,5.317
1992,Growth,Industrial,Electricity demand,Historical,TWh,13.186
1992,Growth,Residential,Electricity demand,Historical,TWh,10.204
1992,Growth,Transport,Electricity demand,Historical,TWh,0.055
1992,Innovation,Commercial,Electricity demand,Historical,TWh,5.317
1992,Innovation,Industrial,Electricity demand,Historical,TWh,13.186
1992,Innovation,Residential,Electricity demand,Historical,TWh,10.204
1992,Innovation,Transport,Electricity demand,Historical,TWh,0.055
1992,Reference,Commercial,Electricity demand,Historical,TWh,5.317
1992,Reference,Industrial,Electricity demand,Historical,TWh,13.186
1992,Reference,Residential,Electricity demand,Historical,TWh,10.204
1992,Reference,Transport,Electricity demand,Historical,TWh,0.055
1993,Constraint,Commercial,Electricity demand,Historical,TWh,5.412
1993,Constraint,Industrial,Electricity demand,Historical,TWh,14.194
1993,Constraint,Residential,Electricity demand,Historical,TWh,10.226
