TimePeriod,Scenario,Status,Unit,Value,Variable
2001,Constraint,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2001,Environmental,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2001,Growth,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2001,Innovation,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2001,Reference,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2002,Constraint,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2002,Environmental,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2002,Growth,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2002,Innovation,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2002,Reference,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2003,Constraint,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2003,Environmental,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2003,Growth,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2003,Innovation,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2003,Reference,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2004,Constraint,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2004,Environmental,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2004,Growth,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2004,Innovation,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2004,Reference,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2005,Constraint,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2005,Environmental,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2005,Growth,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2005,Innovation,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2005,Reference,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2006,Constraint,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2006,Environmental,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2006,Growth,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2006,Innovation,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2006,Reference,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2007,Constraint,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2007,Environmental,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2007,Growth,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2007,Innovation,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2007,Reference,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2008,Constraint,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2008,Environmental,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2008,Growth,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2008,Innovation,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2008,Reference,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2009,Constraint,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2009,Environmental,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2009,Growth,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2009,Innovation,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2009,Reference,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2010,Constraint,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2010,Environmental,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2010,Growth,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2010,Innovation,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
