TimePeriod,Status,Value,Variable,Unit,Scenario
1990,Historical,112594,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
1991,Historical,111106,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
1992,Historical,111888,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
1993,Historical,117734,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
1994,Historical,124307,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
1995,Historical,130389,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
1996,Historical,135702,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
1997,Historical,139022,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
1998,Historical,139593,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
1999,Historical,145851,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2000,Historical,152000,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2001,Historical,155832,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2002,Historical,163162,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2003,Historical,170385,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2004,Historical,178637,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2005,Historical,184384,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2006,Historical,189571,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2007,Historical,196216,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2008,Historical,195515,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2009,Historical,193335,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2010,Historical,196650,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2011,Historical,200169,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2012,Historical,205203,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2013,Historical,209961,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2014,Historical,217869,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2015,Historical,225790,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2016,Historical,234698,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2017,Historical,242552,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2018,Historical,251033,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2019,Historical,258763,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2020,Historical,255219,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2021,Historical,269408,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
2022,Historical,275851,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Reference
