TimePeriod,Variable,Value,Unit,Scenario,Status
2024,North Island share of national demand,0.61,Percentage,Reference,Projected
2025,North Island share of national demand,0.61,Percentage,Reference,Projected
2026,North Island share of national demand,0.61,Percentage,Reference,Projected
2027,North Island share of national demand,0.61,Percentage,Reference,Projected
2028,North Island share of national demand,0.61,Percentage,Reference,Projected
2029,North Island share of national demand,0.61,Percentage,Reference,Projected
2030,North Island share of national demand,0.61,Percentage,Reference,Projected
2031,North Island share of national demand,0.61,Percentage,Reference,Projected
2032,North Island share of national demand,0.61,Percentage,Reference,Projected
2033,North Island share of national demand,0.61,Percentage,Reference,Projected
2034,North Island share of national demand,0.61,Percentage,Reference,Projected
2035,North Island share of national demand,0.61,Percentage,Reference,Projected
2036,North Island share of national demand,0.61,Percentage,Reference,Projected
2037,North Island share of national demand,0.61,Percentage,Reference,Projected
2038,North Island share of national demand,0.61,Percentage,Reference,Projected
2039,North Island share of national demand,0.61,Percentage,Reference,Projected
2040,North Island share of national demand,0.61,Percentage,Reference,Projected
2041,North Island share of national demand,0.61,Percentage,Reference,Projected
2042,North Island share of national demand,0.61,Percentage,Reference,Projected
2043,North Island share of national demand,0.61,Percentage,Reference,Projected
2044,North Island share of national demand,0.61,Percentage,Reference,Projected
2045,North Island share of national demand,0.61,Percentage,Reference,Projected
2046,North Island share of national demand,0.61,Percentage,Reference,Projected
2047,North Island share of national demand,0.61,Percentage,Reference,Projected
2048,North Island share of national demand,0.61,Percentage,Reference,Projected
2049,North Island share of national demand,0.61,Percentage,Reference,Projected
2050,North Island share of national demand,0.61,Percentage,Reference,Projected
2024,South Island share of national demand,0.39,Percentage,Reference,Projected
2025,South Island share of national demand,0.39,Percentage,Reference,Projected
2026,South Island share of national demand,0.39,Percentage,Reference,Projected
2027,South Island share of national demand,0.39,Percentage,Reference,Projected
2028,South Island share of national demand,0.39,Percentage,Reference,Projected
2029,South Island share of national demand,0.39,Percentage,Reference,Projected
2030,South Island share of national demand,0.39,Percentage,Reference,Projected
2031,South Island share of national demand,0.39,Percentage,Reference,Projected
2032,South Island share of national demand,0.39,Percentage,Reference,Projected
2033,South Island share of national demand,0.39,Percentage,Reference,Projected
2034,South Island share of national demand,0.39,Percentage,Reference,Projected
2035,South Island share of national demand,0.39,Percentage,Reference,Projected
2036,South Island share of national demand,0.39,Percentage,Reference,Projected
2037,South Island share of national demand,0.39,Percentage,Reference,Projected
2038,South Island share of national demand,0.39,Percentage,Reference,Projected
2039,South Island share of national demand,0.39,Percentage,Reference,Projected
2040,South Island share of national demand,0.39,Percentage,Reference,Projected
2041,South Island share of national demand,0.39,Percentage,Reference,Projected
2042,South Island share of national demand,0.39,Percentage,Reference,Projected
2043,South Island share of national demand,0.39,Percentage,Reference,Projected
2044,South Island share of national demand,0.39,Percentage,Reference,Projected
2045,South Island share of national demand,0.39,Percentage,Reference,Projected
2046,South Island share of national demand,0.39,Percentage,Reference,Projected
2047,South Island share of national demand,0.39,Percentage,Reference,Projected
2048,South Island share of national demand,0.39,Percentage,Reference,Projected
2049,South Island share of national demand,0.39,Percentage,Reference,Projected
2050,South Island share of national demand,0.39,Percentage,Reference,Projected
2024,North Island share of national demand,0.61,Percentage,Growth,Projected
2025,North Island share of national demand,0.61,Percentage,Growth,Projected
2026,North Island share of national demand,0.61,Percentage,Growth,Projected
2027,North Island share of national demand,0.61,Percentage,Growth,Projected
2028,North Island share of national demand,0.61,Percentage,Growth,Projected
2029,North Island share of national demand,0.61,Percentage,Growth,Projected
2030,North Island share of national demand,0.61,Percentage,Growth,Projected
2031,North Island share of national demand,0.61,Percentage,Growth,Projected
2032,North Island share of national demand,0.61,Percentage,Growth,Projected
2033,North Island share of national demand,0.61,Percentage,Growth,Projected
2034,North Island share of national demand,0.61,Percentage,Growth,Projected
2035,North Island share of national demand,0.61,Percentage,Growth,Projected
2036,North Island share of national demand,0.61,Percentage,Growth,Projected
2037,North Island share of national demand,0.61,Percentage,Growth,Projected
2038,North Island share of national demand,0.61,Percentage,Growth,Projected
2039,North Island share of national demand,0.61,Percentage,Growth,Projected
2040,North Island share of national demand,0.61,Percentage,Growth,Projected
2041,North Island share of national demand,0.61,Percentage,Growth,Projected
2042,North Island share of national demand,0.61,Percentage,Growth,Projected
2043,North Island share of national demand,0.61,Percentage,Growth,Projected
2044,North Island share of national demand,0.61,Percentage,Growth,Projected
2045,North Island share of national demand,0.61,Percentage,Growth,Projected
2046,North Island share of national demand,0.61,Percentage,Growth,Projected
2047,North Island share of national demand,0.61,Percentage,Growth,Projected
2048,North Island share of national demand,0.61,Percentage,Growth,Projected
2049,North Island share of national demand,0.61,Percentage,Growth,Projected
2050,North Island share of national demand,0.61,Percentage,Growth,Projected
2024,South Island share of national demand,0.39,Percentage,Growth,Projected
2025,South Island share of national demand,0.39,Percentage,Growth,Projected
2026,South Island share of national demand,0.39,Percentage,Growth,Projected
2027,South Island share of national demand,0.39,Percentage,Growth,Projected
2028,South Island share of national demand,0.39,Percentage,Growth,Projected
2029,South Island share of national demand,0.39,Percentage,Growth,Projected
2030,South Island share of national demand,0.39,Percentage,Growth,Projected
2031,South Island share of national demand,0.39,Percentage,Growth,Projected
2032,South Island share of national demand,0.39,Percentage,Growth,Projected
2033,South Island share of national demand,0.39,Percentage,Growth,Projected
2034,South Island share of national demand,0.39,Percentage,Growth,Projected
2035,South Island share of national demand,0.39,Percentage,Growth,Projected
2036,South Island share of national demand,0.39,Percentage,Growth,Projected
2037,South Island share of national demand,0.39,Percentage,Growth,Projected
2038,South Island share of national demand,0.39,Percentage,Growth,Projected
2039,South Island share of national demand,0.39,Percentage,Growth,Projected
2040,South Island share of national demand,0.39,Percentage,Growth,Projected
2041,South Island share of national demand,0.39,Percentage,Growth,Projected
2042,South Island share of national demand,0.39,Percentage,Growth,Projected
2043,South Island share of national demand,0.39,Percentage,Growth,Projected
2044,South Island share of national demand,0.39,Percentage,Growth,Projected
2045,South Island share of national demand,0.39,Percentage,Growth,Projected
2046,South Island share of national demand,0.39,Percentage,Growth,Projected
2047,South Island share of national demand,0.39,Percentage,Growth,Projected
2048,South Island share of national demand,0.39,Percentage,Growth,Projected
2049,South Island share of national demand,0.39,Percentage,Growth,Projected
2050,South Island share of national demand,0.39,Percentage,Growth,Projected
2024,North Island share of national demand,0.61,Percentage,Constraint,Projected
2025,North Island share of national demand,0.61,Percentage,Constraint,Projected
2026,North Island share of national demand,0.61,Percentage,Constraint,Projected
2027,North Island share of national demand,0.61,Percentage,Constraint,Projected
2028,North Island share of national demand,0.61,Percentage,Constraint,Projected
2029,North Island share of national demand,0.61,Percentage,Constraint,Projected
2030,North Island share of national demand,0.61,Percentage,Constraint,Projected
2031,North Island share of national demand,0.61,Percentage,Constraint,Projected
2032,North Island share of national demand,0.61,Percentage,Constraint,Projected
2033,North Island share of national demand,0.61,Percentage,Constraint,Projected
2034,North Island share of national demand,0.61,Percentage,Constraint,Projected
2035,North Island share of national demand,0.61,Percentage,Constraint,Projected
2036,North Island share of national demand,0.61,Percentage,Constraint,Projected
2037,North Island share of national demand,0.61,Percentage,Constraint,Projected
2038,North Island share of national demand,0.61,Percentage,Constraint,Projected
