TimePeriod,Scenario,Variable,Status,Unit,Value
2024,Reference,New Zealand peak load,Projected,GW,6.763
2025,Reference,New Zealand peak load,Projected,GW,6.962
2026,Reference,New Zealand peak load,Projected,GW,7.097
2027,Reference,New Zealand peak load,Projected,GW,7.321
2028,Reference,New Zealand peak load,Projected,GW,7.454
2029,Reference,New Zealand peak load,Projected,GW,7.665
2030,Reference,New Zealand peak load,Projected,GW,7.8
2031,Reference,New Zealand peak load,Projected,GW,7.954
2032,Reference,New Zealand peak load,Projected,GW,8.1
2033,Reference,New Zealand peak load,Projected,GW,8.249
2034,Reference,New Zealand peak load,Projected,GW,8.409
2035,Reference,New Zealand peak load,Projected,GW,8.585
2036,Reference,New Zealand peak load,Projected,GW,8.778
2037,Reference,New Zealand peak load,Projected,GW,8.979
2038,Reference,New Zealand peak load,Projected,GW,9.181
2039,Reference,New Zealand peak load,Projected,GW,9.384
2040,Reference,New Zealand peak load,Projected,GW,9.579
2041,Reference,New Zealand peak load,Projected,GW,9.761
2042,Reference,New Zealand peak load,Projected,GW,9.916
2043,Reference,New Zealand peak load,Projected,GW,10.052
2044,Reference,New Zealand peak load,Projected,GW,10.165
2045,Reference,New Zealand peak load,Projected,GW,10.27
2046,Reference,New Zealand peak load,Projected,GW,10.368
2047,Reference,New Zealand peak load,Projected,GW,10.458
2048,Reference,New Zealand peak load,Projected,GW,10.545
2049,Reference,New Zealand peak load,Projected,GW,10.611
2050,Reference,New Zealand peak load,Projected,GW,10.677
2024,Growth,New Zealand peak load,Projected,GW,6.767
2025,Growth,New Zealand peak load,Projected,GW,6.967
2026,Growth,New Zealand peak load,Projected,GW,7.326
2027,Growth,New Zealand peak load,Projected,GW,7.555
2028,Growth,New Zealand peak load,Projected,GW,7.715
2029,Growth,New Zealand peak load,Projected,GW,7.968
2030,Growth,New Zealand peak load,Projected,GW,8.175
2031,Growth,New Zealand peak load,Projected,GW,8.405
2032,Growth,New Zealand peak load,Projected,GW,8.634
2033,Growth,New Zealand peak load,Projected,GW,8.868
2034,Growth,New Zealand peak load,Projected,GW,9.124
2035,Growth,New Zealand peak load,Projected,GW,9.387
2036,Growth,New Zealand peak load,Projected,GW,9.653
2037,Growth,New Zealand peak load,Projected,GW,9.936
2038,Growth,New Zealand peak load,Projected,GW,10.221
2039,Growth,New Zealand peak load,Projected,GW,10.501
2040,Growth,New Zealand peak load,Projected,GW,10.768
2041,Growth,New Zealand peak load,Projected,GW,11.021
2042,Growth,New Zealand peak load,Projected,GW,11.241
2043,Growth,New Zealand peak load,Projected,GW,11.437
2044,Growth,New Zealand peak load,Projected,GW,11.613
2045,Growth,New Zealand peak load,Projected,GW,11.782
2046,Growth,New Zealand peak load,Projected,GW,11.94
2047,Growth,New Zealand peak load,Projected,GW,12.089
2048,Growth,New Zealand peak load,Projected,GW,12.234
2049,Growth,New Zealand peak load,Projected,GW,12.36
2050,Growth,New Zealand peak load,Projected,GW,12.486
2024,Constraint,New Zealand peak load,Projected,GW,6.744
2025,Constraint,New Zealand peak load,Projected,GW,6.925
2026,Constraint,New Zealand peak load,Projected,GW,7.042
2027,Constraint,New Zealand peak load,Projected,GW,7.125
2028,Constraint,New Zealand peak load,Projected,GW,7.205
2029,Constraint,New Zealand peak load,Projected,GW,7.301
2030,Constraint,New Zealand peak load,Projected,GW,7.407
2031,Constraint,New Zealand peak load,Projected,GW,7.529
2032,Constraint,New Zealand peak load,Projected,GW,7.618
2033,Constraint,New Zealand peak load,Projected,GW,7.713
2034,Constraint,New Zealand peak load,Projected,GW,7.817
2035,Constraint,New Zealand peak load,Projected,GW,7.926
2036,Constraint,New Zealand peak load,Projected,GW,8.045
2037,Constraint,New Zealand peak load,Projected,GW,8.172
2038,Constraint,New Zealand peak load,Projected,GW,8.298
2039,Constraint,New Zealand peak load,Projected,GW,8.421
2040,Constraint,New Zealand peak load,Projected,GW,8.552
2041,Constraint,New Zealand peak load,Projected,GW,8.669
2042,Constraint,New Zealand peak load,Projected,GW,8.765
2043,Constraint,New Zealand peak load,Projected,GW,8.847
2044,Constraint,New Zealand peak load,Projected,GW,8.899
2045,Constraint,New Zealand peak load,Projected,GW,8.946
2046,Constraint,New Zealand peak load,Projected,GW,8.988
2047,Constraint,New Zealand peak load,Projected,GW,9.024
2048,Constraint,New Zealand peak load,Projected,GW,9.057
2049,Constraint,New Zealand peak load,Projected,GW,9.073
2050,Constraint,New Zealand peak load,Projected,GW,9.086
2024,Innovation,New Zealand peak load,Projected,GW,6.879
2025,Innovation,New Zealand peak load,Projected,GW,7.106
2026,Innovation,New Zealand peak load,Projected,GW,7.512
2027,Innovation,New Zealand peak load,Projected,GW,7.809
2028,Innovation,New Zealand peak load,Projected,GW,8.024
2029,Innovation,New Zealand peak load,Projected,GW,8.317
2030,Innovation,New Zealand peak load,Projected,GW,8.702
2031,Innovation,New Zealand peak load,Projected,GW,8.937
2032,Innovation,New Zealand peak load,Projected,GW,9.173
2033,Innovation,New Zealand peak load,Projected,GW,9.395
2034,Innovation,New Zealand peak load,Projected,GW,9.616
2035,Innovation,New Zealand peak load,Projected,GW,9.957
2036,Innovation,New Zealand peak load,Projected,GW,10.136
2037,Innovation,New Zealand peak load,Projected,GW,10.293
2038,Innovation,New Zealand peak load,Projected,GW,10.433
2039,Innovation,New Zealand peak load,Projected,GW,10.561
2040,Innovation,New Zealand peak load,Projected,GW,10.673
2041,Innovation,New Zealand peak load,Projected,GW,10.77
2042,Innovation,New Zealand peak load,Projected,GW,10.843
2043,Innovation,New Zealand peak load,Projected,GW,10.901
2044,Innovation,New Zealand peak load,Projected,GW,10.941
2045,Innovation,New Zealand peak load,Projected,GW,10.974
2046,Innovation,New Zealand peak load,Projected,GW,11.002
2047,Innovation,New Zealand peak load,Projected,GW,11.023
2048,Innovation,New Zealand peak load,Projected,GW,11.041
2049,Innovation,New Zealand peak load,Projected,GW,11.042
2050,Innovation,New Zealand peak load,Projected,GW,11.036
2024,Environmental,New Zealand peak load,Projected,GW,6.858
2025,Environmental,New Zealand peak load,Projected,GW,7.103
2026,Environmental,New Zealand peak load,Projected,GW,7.307
2027,Environmental,New Zealand peak load,Projected,GW,7.632
2028,Environmental,New Zealand peak load,Projected,GW,7.878
2029,Environmental,New Zealand peak load,Projected,GW,8.207
2030,Environmental,New Zealand peak load,Projected,GW,8.465
2031,Environmental,New Zealand peak load,Projected,GW,8.739
2032,Environmental,New Zealand peak load,Projected,GW,9.006
2033,Environmental,New Zealand peak load,Projected,GW,9.256
2034,Environmental,New Zealand peak load,Projected,GW,9.501
2035,Environmental,New Zealand peak load,Projected,GW,9.727
2036,Environmental,New Zealand peak load,Projected,GW,9.925
2037,Environmental,New Zealand peak load,Projected,GW,10.103
2038,Environmental,New Zealand peak load,Projected,GW,10.265
2039,Environmental,New Zealand peak load,Projected,GW,10.417
2040,Environmental,New Zealand peak load,Projected,GW,10.553
2041,Environmental,New Zealand peak load,Projected,GW,10.672
2042,Environmental,New Zealand peak load,Projected,GW,10.769
2043,Environmental,New Zealand peak load,Projected,GW,10.85
2044,Environmental,New Zealand peak load,Projected,GW,10.915
2045,Environmental,New Zealand peak load,Projected,GW,10.973
2046,Environmental,New Zealand peak load,Projected,GW,11.024
2047,Environmental,New Zealand peak load,Projected,GW,11.07
2048,Environmental,New Zealand peak load,Projected,GW,11.113
2049,Environmental,New Zealand peak load,Projected,GW,11.137
2050,Environmental,New Zealand peak load,Projected,GW,11.156
