TimePeriod,Variable,Value,Unit,Scenario,Status
2024,Peak ratio North Island,1.75,Number,Reference,Projected
2025,Peak ratio North Island,1.75,Number,Reference,Projected
2026,Peak ratio North Island,1.75,Number,Reference,Projected
2027,Peak ratio North Island,1.75,Number,Reference,Projected
2028,Peak ratio North Island,1.75,Number,Reference,Projected
2029,Peak ratio North Island,1.75,Number,Reference,Projected
2030,Peak ratio North Island,1.75,Number,Reference,Projected
2031,Peak ratio North Island,1.75,Number,Reference,Projected
2032,Peak ratio North Island,1.75,Number,Reference,Projected
2033,Peak ratio North Island,1.75,Number,Reference,Projected
2034,Peak ratio North Island,1.75,Number,Reference,Projected
2035,Peak ratio North Island,1.75,Number,Reference,Projected
2036,Peak ratio North Island,1.75,Number,Reference,Projected
2037,Peak ratio North Island,1.75,Number,Reference,Projected
2038,Peak ratio North Island,1.75,Number,Reference,Projected
2039,Peak ratio North Island,1.75,Number,Reference,Projected
2040,Peak ratio North Island,1.75,Number,Reference,Projected
2041,Peak ratio North Island,1.75,Number,Reference,Projected
2042,Peak ratio North Island,1.75,Number,Reference,Projected
2043,Peak ratio North Island,1.75,Number,Reference,Projected
2044,Peak ratio North Island,1.75,Number,Reference,Projected
2045,Peak ratio North Island,1.75,Number,Reference,Projected
2046,Peak ratio North Island,1.75,Number,Reference,Projected
2047,Peak ratio North Island,1.75,Number,Reference,Projected
2048,Peak ratio North Island,1.75,Number,Reference,Projected
2049,Peak ratio North Island,1.75,Number,Reference,Projected
2050,Peak ratio North Island,1.75,Number,Reference,Projected
2024,Peak ratio New Zealand,1.57,Number,Reference,Projected
2025,Peak ratio New Zealand,1.57,Number,Reference,Projected
2026,Peak ratio New Zealand,1.57,Number,Reference,Projected
2027,Peak ratio New Zealand,1.57,Number,Reference,Projected
2028,Peak ratio New Zealand,1.57,Number,Reference,Projected
2029,Peak ratio New Zealand,1.57,Number,Reference,Projected
2030,Peak ratio New Zealand,1.57,Number,Reference,Projected
2031,Peak ratio New Zealand,1.57,Number,Reference,Projected
2032,Peak ratio New Zealand,1.57,Number,Reference,Projected
2033,Peak ratio New Zealand,1.57,Number,Reference,Projected
2034,Peak ratio New Zealand,1.57,Number,Reference,Projected
2035,Peak ratio New Zealand,1.57,Number,Reference,Projected
2036,Peak ratio New Zealand,1.57,Number,Reference,Projected
2037,Peak ratio New Zealand,1.57,Number,Reference,Projected
2038,Peak ratio New Zealand,1.57,Number,Reference,Projected
2039,Peak ratio New Zealand,1.57,Number,Reference,Projected
2040,Peak ratio New Zealand,1.57,Number,Reference,Projected
2041,Peak ratio New Zealand,1.57,Number,Reference,Projected
2042,Peak ratio New Zealand,1.57,Number,Reference,Projected
2043,Peak ratio New Zealand,1.57,Number,Reference,Projected
2044,Peak ratio New Zealand,1.57,Number,Reference,Projected
2045,Peak ratio New Zealand,1.57,Number,Reference,Projected
2046,Peak ratio New Zealand,1.57,Number,Reference,Projected
2047,Peak ratio New Zealand,1.57,Number,Reference,Projected
2048,Peak ratio New Zealand,1.57,Number,Reference,Projected
2049,Peak ratio New Zealand,1.57,Number,Reference,Projected
2050,Peak ratio New Zealand,1.57,Number,Reference,Projected
2024,Peak ratio North Island,1.75,Number,Growth,Projected
2025,Peak ratio North Island,1.75,Number,Growth,Projected
2026,Peak ratio North Island,1.75,Number,Growth,Projected
2027,Peak ratio North Island,1.75,Number,Growth,Projected
2028,Peak ratio North Island,1.75,Number,Growth,Projected
2029,Peak ratio North Island,1.75,Number,Growth,Projected
2030,Peak ratio North Island,1.75,Number,Growth,Projected
2031,Peak ratio North Island,1.75,Number,Growth,Projected
2032,Peak ratio North Island,1.75,Number,Growth,Projected
2033,Peak ratio North Island,1.75,Number,Growth,Projected
2034,Peak ratio North Island,1.75,Number,Growth,Projected
2035,Peak ratio North Island,1.75,Number,Growth,Projected
2036,Peak ratio North Island,1.75,Number,Growth,Projected
2037,Peak ratio North Island,1.75,Number,Growth,Projected
2038,Peak ratio North Island,1.75,Number,Growth,Projected
2039,Peak ratio North Island,1.75,Number,Growth,Projected
2040,Peak ratio North Island,1.75,Number,Growth,Projected
2041,Peak ratio North Island,1.75,Number,Growth,Projected
2042,Peak ratio North Island,1.75,Number,Growth,Projected
2043,Peak ratio North Island,1.75,Number,Growth,Projected
2044,Peak ratio North Island,1.75,Number,Growth,Projected
2045,Peak ratio North Island,1.75,Number,Growth,Projected
2046,Peak ratio North Island,1.75,Number,Growth,Projected
2047,Peak ratio North Island,1.75,Number,Growth,Projected
2048,Peak ratio North Island,1.75,Number,Growth,Projected
2049,Peak ratio North Island,1.75,Number,Growth,Projected
2050,Peak ratio North Island,1.75,Number,Growth,Projected
2024,Peak ratio New Zealand,1.57,Number,Growth,Projected
2025,Peak ratio New Zealand,1.57,Number,Growth,Projected
2026,Peak ratio New Zealand,1.57,Number,Growth,Projected
2027,Peak ratio New Zealand,1.57,Number,Growth,Projected
2028,Peak ratio New Zealand,1.57,Number,Growth,Projected
2029,Peak ratio New Zealand,1.57,Number,Growth,Projected
2030,Peak ratio New Zealand,1.57,Number,Growth,Projected
2031,Peak ratio New Zealand,1.57,Number,Growth,Projected
2032,Peak ratio New Zealand,1.57,Number,Growth,Projected
2033,Peak ratio New Zealand,1.57,Number,Growth,Projected
2034,Peak ratio New Zealand,1.57,Number,Growth,Projected
2035,Peak ratio New Zealand,1.57,Number,Growth,Projected
2036,Peak ratio New Zealand,1.57,Number,Growth,Projected
2037,Peak ratio New Zealand,1.57,Number,Growth,Projected
2038,Peak ratio New Zealand,1.57,Number,Growth,Projected
2039,Peak ratio New Zealand,1.57,Number,Growth,Projected
2040,Peak ratio New Zealand,1.57,Number,Growth,Projected
2041,Peak ratio New Zealand,1.57,Number,Growth,Projected
2042,Peak ratio New Zealand,1.57,Number,Growth,Projected
2043,Peak ratio New Zealand,1.57,Number,Growth,Projected
2044,Peak ratio New Zealand,1.57,Number,Growth,Projected
2045,Peak ratio New Zealand,1.57,Number,Growth,Projected
2046,Peak ratio New Zealand,1.57,Number,Growth,Projected
2047,Peak ratio New Zealand,1.57,Number,Growth,Projected
2048,Peak ratio New Zealand,1.57,Number,Growth,Projected
2049,Peak ratio New Zealand,1.57,Number,Growth,Projected
2050,Peak ratio New Zealand,1.57,Number,Growth,Projected
2024,Peak ratio North Island,1.75,Number,Constraint,Projected
2025,Peak ratio North Island,1.75,Number,Constraint,Projected
2026,Peak ratio North Island,1.75,Number,Constraint,Projected
2027,Peak ratio North Island,1.75,Number,Constraint,Projected
2028,Peak ratio North Island,1.75,Number,Constraint,Projected
2029,Peak ratio North Island,1.75,Number,Constraint,Projected
2030,Peak ratio North Island,1.75,Number,Constraint,Projected
2031,Peak ratio North Island,1.75,Number,Constraint,Projected
2032,Peak ratio North Island,1.75,Number,Constraint,Projected
2033,Peak ratio North Island,1.75,Number,Constraint,Projected
2034,Peak ratio North Island,1.75,Number,Constraint,Projected
2035,Peak ratio North Island,1.75,Number,Constraint,Projected
2036,Peak ratio North Island,1.75,Number,Constraint,Projected
2037,Peak ratio North Island,1.75,Number,Constraint,Projected
2038,Peak ratio North Island,1.75,Number,Constraint,Projected
2039,Peak ratio North Island,1.75,Number,Constraint,Projected
2040,Peak ratio North Island,1.75,Number,Constraint,Projected
