TimePeriod,Status,Value,Variable,Unit,Scenario
1990,Historical,3454300.601,Population,Number,Reference
1991,Historical,3491500,Population,Number,Reference
1992,Historical,3529100,Population,Number,Reference
1993,Historical,3568300,Population,Number,Reference
1994,Historical,3615700,Population,Number,Reference
1995,Historical,3668500,Population,Number,Reference
1996,Historical,3727700,Population,Number,Reference
1997,Historical,3778300,Population,Number,Reference
1998,Historical,3813100,Population,Number,Reference
1999,Historical,3834000,Population,Number,Reference
2000,Historical,3856800,Population,Number,Reference
2001,Historical,3878400,Population,Number,Reference
2002,Historical,3942100,Population,Number,Reference
2003,Historical,4020300,Population,Number,Reference
2004,Historical,4083100,Population,Number,Reference
2005,Historical,4130200,Population,Number,Reference
2006,Historical,4180300,Population,Number,Reference
2007,Historical,4221600,Population,Number,Reference
2008,Historical,4257700,Population,Number,Reference
2009,Historical,4298000,Population,Number,Reference
2010,Historical,4348200,Population,Number,Reference
2011,Historical,4383200,Population,Number,Reference
2012,Historical,4407300,Population,Number,Reference
2013,Historical,4439000,Population,Number,Reference
2014,Historical,4508800,Population,Number,Reference
2015,Historical,4600600,Population,Number,Reference
2016,Historical,4704600,Population,Number,Reference
2017,Historical,4805200,Population,Number,Reference
2018,Historical,4893400,Population,Number,Reference
2019,Historical,4972300,Population,Number,Reference
2020,Historical,5086500,Population,Number,Reference
2021,Historical,5109600,Population,Number,Reference
2022,Historical,5116000,Population,Number,Reference
2023,Historical,5221400,Population,Number,Reference
2024,Projected,5269198.358,Population,Number,Reference
2025,Projected,5316866.119,Population,Number,Reference
2026,Projected,5364533.881,Population,Number,Reference
2027,Projected,5412201.642,Population,Number,Reference
2028,Projected,5460000,Population,Number,Reference
2029,Projected,5480788.609,Population,Number,Reference
2030,Projected,5501577.218,Population,Number,Reference
2031,Projected,5522365.827,Population,Number,Reference
2032,Projected,5543211.391,Population,Number,Reference
2033,Projected,5564000,Population,Number,Reference
2034,Projected,5601779.299,Population,Number,Reference
2035,Projected,5639558.598,Population,Number,Reference
2036,Projected,5677441.402,Population,Number,Reference
2037,Projected,5715220.701,Population,Number,Reference
2038,Projected,5753000,Population,Number,Reference
2039,Projected,5787181.271,Population,Number,Reference
2040,Projected,5821456.188,Population,Number,Reference
2041,Projected,5855637.459,Population,Number,Reference
2042,Projected,5889818.729,Population,Number,Reference
2043,Projected,5924000,Population,Number,Reference
2044,Projected,5954650.246,Population,Number,Reference
2045,Projected,5985216.749,Population,Number,Reference
2046,Projected,6015783.251,Population,Number,Reference
2047,Projected,6046349.754,Population,Number,Reference
2048,Projected,6077000,Population,Number,Reference
2049,Projected,6103385.542,Population,Number,Reference
2050,Projected,6129771.084,Population,Number,Reference
1990,Historical,3454300.601,Population,Number,Growth
1991,Historical,3491500,Population,Number,Growth
1992,Historical,3529100,Population,Number,Growth
1993,Historical,3568300,Population,Number,Growth
1994,Historical,3615700,Population,Number,Growth
1995,Historical,3668500,Population,Number,Growth
1996,Historical,3727700,Population,Number,Growth
1997,Historical,3778300,Population,Number,Growth
1998,Historical,3813100,Population,Number,Growth
1999,Historical,3834000,Population,Number,Growth
2000,Historical,3856800,Population,Number,Growth
2001,Historical,3878400,Population,Number,Growth
2002,Historical,3942100,Population,Number,Growth
2003,Historical,4020300,Population,Number,Growth
2004,Historical,4083100,Population,Number,Growth
2005,Historical,4130200,Population,Number,Growth
2006,Historical,4180300,Population,Number,Growth
2007,Historical,4221600,Population,Number,Growth
2008,Historical,4257700,Population,Number,Growth
2009,Historical,4298000,Population,Number,Growth
2010,Historical,4348200,Population,Number,Growth
2011,Historical,4383200,Population,Number,Growth
2012,Historical,4407300,Population,Number,Growth
2013,Historical,4439000,Population,Number,Growth
2014,Historical,4508800,Population,Number,Growth
2015,Historical,4600600,Population,Number,Growth
2016,Historical,4704600,Population,Number,Growth
2017,Historical,4805200,Population,Number,Growth
2018,Historical,4893400,Population,Number,Growth
2019,Historical,4972300,Population,Number,Growth
2020,Historical,5086500,Population,Number,Growth
2021,Historical,5109600,Population,Number,Growth
2022,Historical,5116000,Population,Number,Growth
2023,Historical,5221400,Population,Number,Growth
2024,Projected,5284280.263,Population,Number,Growth
2025,Projected,5346988.722,Population,Number,Growth
2026,Projected,5409697.18,Population,Number,Growth
2027,Projected,5472405.639,Population,Number,Growth
2028,Projected,5535285.902,Population,Number,Growth
2029,Projected,5597994.361,Population,Number,Growth
2030,Projected,5660702.82,Population,Number,Growth
2031,Projected,5723411.278,Population,Number,Growth
2032,Projected,5786291.541,Population,Number,Growth
2033,Projected,5849000,Population,Number,Growth
2034,Projected,5907368.018,Population,Number,Growth
2035,Projected,5965736.035,Population,Number,Growth
2036,Projected,6024263.965,Population,Number,Growth
2037,Projected,6082631.982,Population,Number,Growth
2038,Projected,6141000,Population,Number,Growth
2039,Projected,6191972.07,Population,Number,Growth
2040,Projected,6243083.79,Population,Number,Growth
2041,Projected,6294055.86,Population,Number,Growth
2042,Projected,6345027.93,Population,Number,Growth
2043,Projected,6396000,Population,Number,Growth
2044,Projected,6445881.773,Population,Number,Growth
2045,Projected,6495627.258,Population,Number,Growth
2046,Projected,6545372.742,Population,Number,Growth
2047,Projected,6595118.227,Population,Number,Growth
2048,Projected,6645000,Population,Number,Growth
2049,Projected,6688576.123,Population,Number,Growth
2050,Projected,6732152.245,Population,Number,Growth
1990,Historical,3454300.601,Population,Number,Constraint
1991,Historical,3491500,Population,Number,Constraint
1992,Historical,3529100,Population,Number,Constraint
1993,Historical,3568300,Population,Number,Constraint
1994,Historical,3615700,Population,Number,Constraint
1995,Historical,3668500,Population,Number,Constraint
1996,Historical,3727700,Population,Number,Constraint
1997,Historical,3778300,Population,Number,Constraint
1998,Historical,3813100,Population,Number,Constraint
1999,Historical,3834000,Population,Number,Constraint
2000,Historical,3856800,Population,Number,Constraint
2001,Historical,3878400,Population,Number,Constraint
2002,Historical,3942100,Population,Number,Constraint
2003,Historical,4020300,Population,Number,Constraint
2004,Historical,4083100,Population,Number,Constraint
2005,Historical,4130200,Population,Number,Constraint
2006,Historical,4180300,Population,Number,Constraint
2007,Historical,4221600,Population,Number,Constraint
2008,Historical,4257700,Population,Number,Constraint
2009,Historical,4298000,Population,Number,Constraint
2010,Historical,4348200,Population,Number,Constraint
2011,Historical,4383200,Population,Number,Constraint
2012,Historical,4407300,Population,Number,Constraint
2013,Historical,4439000,Population,Number,Constraint
2014,Historical,4508800,Population,Number,Constraint
2015,Historical,4600600,Population,Number,Constraint
2016,Historical,4704600,Population,Number,Constraint
2017,Historical,4805200,Population,Number,Constraint
2018,Historical,4893400,Population,Number,Constraint
2019,Historical,4972300,Population,Number,Constraint
2020,Historical,5086500,Population,Number,Constraint
2021,Historical,5109600,Population,Number,Constraint
2022,Historical,5116000,Population,Number,Constraint
2023,Historical,5221400,Population,Number,Constraint
2024,Projected,5227371.421,Population,Number,Constraint
2025,Projected,5233326.526,Population,Number,Constraint
2026,Projected,5239281.632,Population,Number,Constraint
2027,Projected,5245236.737,Population,Number,Constraint
2028,Projected,5251208.158,Population,Number,Constraint
2029,Projected,5257163.263,Population,Number,Constraint
2030,Projected,5263118.368,Population,Number,Constraint
2031,Projected,5269073.474,Population,Number,Constraint
2032,Projected,5275044.895,Population,Number,Constraint
2033,Projected,5281000,Population,Number,Constraint
2034,Projected,5301988.499,Population,Number,Constraint
2035,Projected,5322976.999,Population,Number,Constraint
2036,Projected,5344023.001,Population,Number,Constraint
2037,Projected,5365011.501,Population,Number,Constraint
2038,Projected,5386000,Population,Number,Constraint
2039,Projected,5405589.266,Population,Number,Constraint
2040,Projected,5425232.202,Population,Number,Constraint
2041,Projected,5444821.468,Population,Number,Constraint
2042,Projected,5464410.734,Population,Number,Constraint
2043,Projected,5484000,Population,Number,Constraint
2044,Projected,5497822.66,Population,Number,Constraint
2045,Projected,5511607.553,Population,Number,Constraint
2046,Projected,5525392.447,Population,Number,Constraint
2047,Projected,5539177.34,Population,Number,Constraint
2048,Projected,5553000,Population,Number,Constraint
2049,Projected,5559996.166,Population,Number,Constraint
2050,Projected,5566992.333,Population,Number,Constraint
1990,Historical,3454300.601,Population,Number,Innovation
1991,Historical,3491500,Population,Number,Innovation
1992,Historical,3529100,Population,Number,Innovation
1993,Historical,3568300,Population,Number,Innovation
1994,Historical,3615700,Population,Number,Innovation
1995,Historical,3668500,Population,Number,Innovation
