TimePeriod,Scenario,Status,Unit,Value
1990,Constraint,Historical,TWh,28.806
1990,Environmental,Historical,TWh,28.806
1990,Growth,Historical,TWh,28.806
1990,Innovation,Historical,TWh,28.806
1990,Reference,Historical,TWh,28.806
1991,Constraint,Historical,TWh,29.42
1991,Environmental,Historical,TWh,29.42
1991,Growth,Historical,TWh,29.42
1991,Innovation,Historical,TWh,29.42
1991,Reference,Historical,TWh,29.42
1992,Constraint,Historical,TWh,28.762
1992,Environmental,Historical,TWh,28.762
1992,Growth,Historical,TWh,28.762
1992,Innovation,Historical,TWh,28.762
1992,Reference,Historical,TWh,28.762
1993,Constraint,Historical,TWh,29.894
1993,Environmental,Historical,TWh,29.894
1993,Growth,Historical,TWh,29.894
1993,Innovation,Historical,TWh,29.894
1993,Reference,Historical,TWh,29.894
1994,Constraint,Historical,TWh,30.539
1994,Environmental,Historical,TWh,30.539
1994,Growth,Historical,TWh,30.539
1994,Innovation,Historical,TWh,30.539
1994,Reference,Historical,TWh,30.539
1995,Constraint,Historical,TWh,31.186
1995,Environmental,Historical,TWh,31.186
1995,Growth,Historical,TWh,31.186
1995,Innovation,Historical,TWh,31.186
1995,Reference,Historical,TWh,31.186
1996,Constraint,Historical,TWh,31.923
1996,Environmental,Historical,TWh,31.923
1996,Growth,Historical,TWh,31.923
1996,Innovation,Historical,TWh,31.923
1996,Reference,Historical,TWh,31.923
1997,Constraint,Historical,TWh,33.253
1997,Environmental,Historical,TWh,33.253
1997,Growth,Historical,TWh,33.253
1997,Innovation,Historical,TWh,33.253
1997,Reference,Historical,TWh,33.253
1998,Constraint,Historical,TWh,32.969
1998,Environmental,Historical,TWh,32.969
1998,Growth,Historical,TWh,32.969
1998,Innovation,Historical,TWh,32.969
1998,Reference,Historical,TWh,32.969
1999,Constraint,Historical,TWh,34.075
1999,Environmental,Historical,TWh,34.075
1999,Growth,Historical,TWh,34.075
1999,Innovation,Historical,TWh,34.075
1999,Reference,Historical,TWh,34.075
2000,Constraint,Historical,TWh,34.695
2000,Environmental,Historical,TWh,34.695
2000,Growth,Historical,TWh,34.695
2000,Innovation,Historical,TWh,34.695
2000,Reference,Historical,TWh,34.695
2001,Constraint,Historical,TWh,35.419
2001,Environmental,Historical,TWh,35.419
2001,Growth,Historical,TWh,35.419
2001,Innovation,Historical,TWh,35.419
2001,Reference,Historical,TWh,35.419
2002,Constraint,Historical,TWh,36.228
2002,Environmental,Historical,TWh,36.228
2002,Growth,Historical,TWh,36.228
2002,Innovation,Historical,TWh,36.228
2002,Reference,Historical,TWh,36.228
2003,Constraint,Historical,TWh,36.462
2003,Environmental,Historical,TWh,36.462
2003,Growth,Historical,TWh,36.462
2003,Innovation,Historical,TWh,36.462
2003,Reference,Historical,TWh,36.462
2004,Constraint,Historical,TWh,37.794
2004,Environmental,Historical,TWh,37.794
2004,Growth,Historical,TWh,37.794
2004,Innovation,Historical,TWh,37.794
2004,Reference,Historical,TWh,37.794
2005,Constraint,Historical,TWh,38.368
2005,Environmental,Historical,TWh,38.368
2005,Growth,Historical,TWh,38.368
2005,Innovation,Historical,TWh,38.368
2005,Reference,Historical,TWh,38.368
2006,Constraint,Historical,TWh,39.229
2006,Environmental,Historical,TWh,39.229
2006,Growth,Historical,TWh,39.229
2006,Innovation,Historical,TWh,39.229
2006,Reference,Historical,TWh,39.229
2007,Constraint,Historical,TWh,39.662
2007,Environmental,Historical,TWh,39.662
2007,Growth,Historical,TWh,39.662
2007,Innovation,Historical,TWh,39.662
2007,Reference,Historical,TWh,39.662
2008,Constraint,Historical,TWh,39.188
2008,Environmental,Historical,TWh,39.188
2008,Growth,Historical,TWh,39.188
2008,Innovation,Historical,TWh,39.188
2008,Reference,Historical,TWh,39.188
2009,Constraint,Historical,TWh,39.322
2009,Environmental,Historical,TWh,39.322
2009,Growth,Historical,TWh,39.322
2009,Innovation,Historical,TWh,39.322
2009,Reference,Historical,TWh,39.322
2010,Constraint,Historical,TWh,40.578
2010,Environmental,Historical,TWh,40.578
