TimePeriod,Scenario,Sector,Unit,Value,Variable,Status
1990,Constraint,Commercial,Gross PJ,34.808,Total energy demand,Historical
1990,Constraint,Industrial,Gross PJ,170.505,Total energy demand,Historical
1990,Constraint,Residential,Gross PJ,64.777,Total energy demand,Historical
1990,Constraint,Transport,Gross PJ,119.577,Total energy demand,Historical
1990,Environmental,Commercial,Gross PJ,34.808,Total energy demand,Historical
1990,Environmental,Industrial,Gross PJ,170.505,Total energy demand,Historical
1990,Environmental,Residential,Gross PJ,64.777,Total energy demand,Historical
1990,Environmental,Transport,Gross PJ,119.577,Total energy demand,Historical
1990,Growth,Commercial,Gross PJ,34.808,Total energy demand,Historical
1990,Growth,Industrial,Gross PJ,170.505,Total energy demand,Historical
1990,Growth,Residential,Gross PJ,64.777,Total energy demand,Historical
1990,Growth,Transport,Gross PJ,119.577,Total energy demand,Historical
1990,Innovation,Commercial,Gross PJ,34.808,Total energy demand,Historical
1990,Innovation,Industrial,Gross PJ,170.505,Total energy demand,Historical
1990,Innovation,Residential,Gross PJ,64.777,Total energy demand,Historical
1990,Innovation,Transport,Gross PJ,119.577,Total energy demand,Historical
1990,Reference,Commercial,Gross PJ,34.808,Total energy demand,Historical
1990,Reference,Industrial,Gross PJ,170.505,Total energy demand,Historical
1990,Reference,Residential,Gross PJ,64.777,Total energy demand,Historical
1990,Reference,Transport,Gross PJ,119.577,Total energy demand,Historical
1991,Constraint,Commercial,Gross PJ,35.204,Total energy demand,Historical
1991,Constraint,Industrial,Gross PJ,172.103,Total energy demand,Historical
1991,Constraint,Residential,Gross PJ,65.318,Total energy demand,Historical
1991,Constraint,Transport,Gross PJ,118.956,Total energy demand,Historical
1991,Environmental,Commercial,Gross PJ,35.204,Total energy demand,Historical
1991,Environmental,Industrial,Gross PJ,172.103,Total energy demand,Historical
1991,Environmental,Residential,Gross PJ,65.318,Total energy demand,Historical
1991,Environmental,Transport,Gross PJ,118.956,Total energy demand,Historical
1991,Growth,Commercial,Gross PJ,35.204,Total energy demand,Historical
1991,Growth,Industrial,Gross PJ,172.103,Total energy demand,Historical
1991,Growth,Residential,Gross PJ,65.318,Total energy demand,Historical
1991,Growth,Transport,Gross PJ,118.956,Total energy demand,Historical
1991,Innovation,Commercial,Gross PJ,35.204,Total energy demand,Historical
1991,Innovation,Industrial,Gross PJ,172.103,Total energy demand,Historical
1991,Innovation,Residential,Gross PJ,65.318,Total energy demand,Historical
1991,Innovation,Transport,Gross PJ,118.956,Total energy demand,Historical
1991,Reference,Commercial,Gross PJ,35.204,Total energy demand,Historical
1991,Reference,Industrial,Gross PJ,172.103,Total energy demand,Historical
1991,Reference,Residential,Gross PJ,65.318,Total energy demand,Historical
1991,Reference,Transport,Gross PJ,118.956,Total energy demand,Historical
1992,Constraint,Commercial,Gross PJ,36.938,Total energy demand,Historical
1992,Constraint,Industrial,Gross PJ,176.974,Total energy demand,Historical
1992,Constraint,Residential,Gross PJ,64.05,Total energy demand,Historical
1992,Constraint,Transport,Gross PJ,124.072,Total energy demand,Historical
1992,Environmental,Commercial,Gross PJ,36.938,Total energy demand,Historical
1992,Environmental,Industrial,Gross PJ,176.974,Total energy demand,Historical
1992,Environmental,Residential,Gross PJ,64.05,Total energy demand,Historical
1992,Environmental,Transport,Gross PJ,124.072,Total energy demand,Historical
1992,Growth,Commercial,Gross PJ,36.938,Total energy demand,Historical
1992,Growth,Industrial,Gross PJ,176.974,Total energy demand,Historical
1992,Growth,Residential,Gross PJ,64.05,Total energy demand,Historical
1992,Growth,Transport,Gross PJ,124.072,Total energy demand,Historical
1992,Innovation,Commercial,Gross PJ,36.938,Total energy demand,Historical
1992,Innovation,Industrial,Gross PJ,176.974,Total energy demand,Historical
1992,Innovation,Residential,Gross PJ,64.05,Total energy demand,Historical
1992,Innovation,Transport,Gross PJ,124.072,Total energy demand,Historical
1992,Reference,Commercial,Gross PJ,36.938,Total energy demand,Historical
1992,Reference,Industrial,Gross PJ,176.974,Total energy demand,Historical
1992,Reference,Residential,Gross PJ,64.05,Total energy demand,Historical
1992,Reference,Transport,Gross PJ,124.072,Total energy demand,Historical
1993,Constraint,Commercial,Gross PJ,32.896,Total energy demand,Historical
1993,Constraint,Industrial,Gross PJ,184.973,Total energy demand,Historical
1993,Constraint,Residential,Gross PJ,64.039,Total energy demand,Historical
1993,Constraint,Transport,Gross PJ,130.355,Total energy demand,Historical
1993,Environmental,Commercial,Gross PJ,32.896,Total energy demand,Historical
1993,Environmental,Industrial,Gross PJ,184.973,Total energy demand,Historical
1993,Environmental,Residential,Gross PJ,64.039,Total energy demand,Historical
1993,Environmental,Transport,Gross PJ,130.355,Total energy demand,Historical
1993,Growth,Commercial,Gross PJ,32.896,Total energy demand,Historical
1993,Growth,Industrial,Gross PJ,184.973,Total energy demand,Historical
1993,Growth,Residential,Gross PJ,64.039,Total energy demand,Historical
1993,Growth,Transport,Gross PJ,130.355,Total energy demand,Historical
1993,Innovation,Commercial,Gross PJ,32.896,Total energy demand,Historical
1993,Innovation,Industrial,Gross PJ,184.973,Total energy demand,Historical
1993,Innovation,Residential,Gross PJ,64.039,Total energy demand,Historical
1993,Innovation,Transport,Gross PJ,130.355,Total energy demand,Historical
1993,Reference,Commercial,Gross PJ,32.896,Total energy demand,Historical
1993,Reference,Industrial,Gross PJ,184.973,Total energy demand,Historical
1993,Reference,Residential,Gross PJ,64.039,Total energy demand,Historical
1993,Reference,Transport,Gross PJ,130.355,Total energy demand,Historical
1994,Constraint,Commercial,Gross PJ,37.156,Total energy demand,Historical
1994,Constraint,Industrial,Gross PJ,189.588,Total energy demand,Historical
1994,Constraint,Residential,Gross PJ,65.112,Total energy demand,Historical
1994,Constraint,Transport,Gross PJ,139.788,Total energy demand,Historical
1994,Environmental,Commercial,Gross PJ,37.156,Total energy demand,Historical
1994,Environmental,Industrial,Gross PJ,189.588,Total energy demand,Historical
1994,Environmental,Residential,Gross PJ,65.112,Total energy demand,Historical
1994,Environmental,Transport,Gross PJ,139.788,Total energy demand,Historical
1994,Growth,Commercial,Gross PJ,37.156,Total energy demand,Historical
1994,Growth,Industrial,Gross PJ,189.588,Total energy demand,Historical
1994,Growth,Residential,Gross PJ,65.112,Total energy demand,Historical
1994,Growth,Transport,Gross PJ,139.788,Total energy demand,Historical
1994,Innovation,Commercial,Gross PJ,37.156,Total energy demand,Historical
1994,Innovation,Industrial,Gross PJ,189.588,Total energy demand,Historical
1994,Innovation,Residential,Gross PJ,65.112,Total energy demand,Historical
1994,Innovation,Transport,Gross PJ,139.788,Total energy demand,Historical
1994,Reference,Commercial,Gross PJ,37.156,Total energy demand,Historical
1994,Reference,Industrial,Gross PJ,189.588,Total energy demand,Historical
1994,Reference,Residential,Gross PJ,65.112,Total energy demand,Historical
1994,Reference,Transport,Gross PJ,139.788,Total energy demand,Historical
1995,Constraint,Commercial,Gross PJ,36.661,Total energy demand,Historical
1995,Constraint,Industrial,Gross PJ,188.52,Total energy demand,Historical
