TimePeriod,Variable,VehicleType,Unit,Scenario,Value,Status
2001,Vehicle kilometers travelled,Electric,Vehicle km,Constraint,1713901.71,Historical
2001,Vehicle kilometers travelled,Electric,Vehicle km,Environmental,1713901.71,Historical
2001,Vehicle kilometers travelled,Electric,Vehicle km,Growth,1713901.71,Historical
2001,Vehicle kilometers travelled,Electric,Vehicle km,Innovation,1713901.71,Historical
2001,Vehicle kilometers travelled,Electric,Vehicle km,Reference,1713901.71,Historical
2001,Vehicle kilometers travelled,ICE,Vehicle km,Constraint,36515507698.08,Historical
2001,Vehicle kilometers travelled,ICE,Vehicle km,Environmental,36515507698.08,Historical
2001,Vehicle kilometers travelled,ICE,Vehicle km,Growth,36515507698.08,Historical
2001,Vehicle kilometers travelled,ICE,Vehicle km,Innovation,36515507698.08,Historical
2001,Vehicle kilometers travelled,ICE,Vehicle km,Reference,36515507698.08,Historical
2001,Vehicle kilometers travelled,ICE/Hybrid,Vehicle km,Constraint,13738.27,Historical
2001,Vehicle kilometers travelled,ICE/Hybrid,Vehicle km,Environmental,13738.27,Historical
2001,Vehicle kilometers travelled,ICE/Hybrid,Vehicle km,Growth,13738.27,Historical
2001,Vehicle kilometers travelled,ICE/Hybrid,Vehicle km,Innovation,13738.27,Historical
2001,Vehicle kilometers travelled,ICE/Hybrid,Vehicle km,Reference,13738.27,Historical
2002,Vehicle kilometers travelled,Electric,Vehicle km,Constraint,1672102.68,Historical
2002,Vehicle kilometers travelled,Electric,Vehicle km,Environmental,1672102.68,Historical
2002,Vehicle kilometers travelled,Electric,Vehicle km,Growth,1672102.68,Historical
2002,Vehicle kilometers travelled,Electric,Vehicle km,Innovation,1672102.68,Historical
2002,Vehicle kilometers travelled,Electric,Vehicle km,Reference,1672102.68,Historical
2002,Vehicle kilometers travelled,ICE,Vehicle km,Constraint,37704701730.76,Historical
2002,Vehicle kilometers travelled,ICE,Vehicle km,Environmental,37704701730.76,Historical
2002,Vehicle kilometers travelled,ICE,Vehicle km,Growth,37704701730.76,Historical
2002,Vehicle kilometers travelled,ICE,Vehicle km,Innovation,37704701730.76,Historical
2002,Vehicle kilometers travelled,ICE,Vehicle km,Reference,37704701730.76,Historical
2002,Vehicle kilometers travelled,ICE/Hybrid,Vehicle km,Constraint,81897.54,Historical
2002,Vehicle kilometers travelled,ICE/Hybrid,Vehicle km,Environmental,81897.54,Historical
2002,Vehicle kilometers travelled,ICE/Hybrid,Vehicle km,Growth,81897.54,Historical
2002,Vehicle kilometers travelled,ICE/Hybrid,Vehicle km,Innovation,81897.54,Historical
2002,Vehicle kilometers travelled,ICE/Hybrid,Vehicle km,Reference,81897.54,Historical
