year,scenario,sensitivity,sosa_ni_share_of_domestic_solar_battery_peak_pct,national_registered_connection_power_proxy_mw,allocated_ni_registered_connection_power_proxy_mw,bess_peak_credit_pct,custom_ni_battery_peak_contribution_mw,sosa_embedded_ni_solar_battery_peak_contribution_mw,niwcm_delta_mw,stage1_base_niwcm_mw,stage1_adjusted_niwcm_mw,stage2_base_niwcm_mw,stage2_adjusted_niwcm_mw,stage3_base_niwcm_mw,stage3_adjusted_niwcm_mw
2027,low_10pct,reference,64.6452,307.581,198.836,60.0,119.302,28.168,91.133,1076.371,1167.504,1108.237,1199.37,1112.773,1203.907
2027,low_10pct,constrained_operational_capacity_low_wind_solar,64.6452,307.581,198.836,60.0,119.302,28.168,91.133,454.684,545.817,458.651,549.785,458.651,549.785
2027,high_30pct,reference,64.6452,319.315,206.422,60.0,123.853,28.168,95.685,1076.371,1172.055,1108.237,1203.921,1112.773,1208.458
2027,high_30pct,constrained_operational_capacity_low_wind_solar,64.6452,319.315,206.422,60.0,123.853,28.168,95.685,454.684,550.368,458.651,554.336,458.651,554.336
2028,low_10pct,reference,64.2044,424.155,272.326,60.0,163.396,33.65,129.745,1089.51,1219.256,1735.479,1865.224,1796.224,1925.97
2028,low_10pct,constrained_operational_capacity_low_wind_solar,64.2044,424.155,272.326,60.0,163.396,33.65,129.745,435.826,565.571,929.74,1059.485,937.527,1067.272
2028,high_30pct,reference,64.2044,463.78,297.767,60.0,178.66,33.65,145.01,1089.51,1234.52,1735.479,1880.489,1796.224,1941.234
2028,high_30pct,constrained_operational_capacity_low_wind_solar,64.2044,463.78,297.767,60.0,178.66,33.65,145.01,435.826,580.835,929.74,1074.75,937.527,1082.537
2029,low_10pct,reference,64.2374,551.952,354.559,60.0,212.736,42.445,170.291,841.753,1012.044,1732.177,1902.468,2055.522,2225.813
2029,low_10pct,constrained_operational_capacity_low_wind_solar,64.2374,551.952,354.559,60.0,212.736,42.445,170.291,170.084,340.374,819.763,990.053,976.272,1146.562
2029,high_30pct,reference,64.2374,644.794,414.199,60.0,248.519,42.445,206.074,841.753,1047.827,1732.177,1938.251,2055.522,2261.596
2029,high_30pct,constrained_operational_capacity_low_wind_solar,64.2374,644.794,414.199,60.0,248.519,42.445,206.074,170.084,376.158,819.763,1025.837,976.272,1182.346
2030,low_10pct,reference,64.1757,682.594,438.06,60.0,262.836,49.687,213.149,587.506,800.655,1601.851,1815.001,2121.362,2334.511
2030,low_10pct,constrained_operational_capacity_low_wind_solar,64.1757,682.594,438.06,60.0,262.836,49.687,213.149,-87.289,125.86,649.691,862.84,862.306,1075.455
2030,high_30pct,reference,64.1757,860.601,552.297,60.0,331.378,49.687,281.691,587.506,869.198,1601.851,1883.543,2121.362,2403.053
2030,high_30pct,constrained_operational_capacity_low_wind_solar,64.1757,860.601,552.297,60.0,331.378,49.687,281.691,-87.289,194.402,649.691,931.382,862.306,1143.998
2031,low_10pct,reference,64.2376,809.373,519.922,60.0,311.953,56.691,255.262,410.131,665.393,1442.248,1697.51,2212.924,2468.185
2031,low_10pct,constrained_operational_capacity_low_wind_solar,64.2376,809.373,519.922,60.0,311.953,56.691,255.262,-267.403,-12.142,480.925,736.187,752.146,1007.408
2031,high_30pct,reference,64.2376,1108.759,712.24,60.0,427.344,56.691,370.653,410.131,780.784,1442.248,1812.9,2212.924,2583.576
2031,high_30pct,constrained_operational_capacity_low_wind_solar,64.2376,1108.759,712.24,60.0,427.344,56.691,370.653,-267.403,103.249,480.925,851.578,752.146,1122.799
2032,low_10pct,reference,64.5095,927.769,598.499,60.0,359.1,65.482,293.618,245.517,539.134,1298.941,1592.559,2118.091,2411.708
2032,low_10pct,constrained_operational_capacity_low_wind_solar,64.5095,927.769,598.499,60.0,359.1,65.482,293.618,-433.361,-139.744,319.527,613.144,612.628,906.246
2032,high_30pct,reference,64.5095,1386.293,894.291,60.0,536.575,65.482,471.092,245.517,716.609,1298.941,1770.034,2118.091,2589.183
2032,high_30pct,constrained_operational_capacity_low_wind_solar,64.5095,1386.293,894.291,60.0,536.575,65.482,471.092,-433.361,37.731,319.527,790.619,612.628,1083.721
2033,low_10pct,reference,64.9902,1035.304,672.846,60.0,403.708,73.195,330.513,55.968,386.48,1114.913,1445.425,2011.491,2342.004
2033,low_10pct,constrained_operational_capacity_low_wind_solar,64.9902,1035.304,672.846,60.0,403.708,73.195,330.513,-622.764,-292.251,130.357,460.869,435.446,765.959
2033,high_30pct,reference,64.9902,1689.55,1098.042,60.0,658.825,73.195,585.63,55.968,641.598,1114.913,1700.543,2011.491,2597.121
2033,high_30pct,constrained_operational_capacity_low_wind_solar,64.9902,1689.55,1098.042,60.0,658.825,73.195,585.63,-622.764,-37.134,130.357,715.987,435.446,1021.077
2034,low_10pct,reference,65.267,1131.106,738.238,60.0,442.943,82.565,360.378,-111.894,248.483,992.07,1352.447,1974.167,2334.544
2034,low_10pct,constrained_operational_capacity_low_wind_solar,65.267,1131.106,738.238,60.0,442.943,82.565,360.378,-792.765,-432.387,4.824,365.202,387.219,747.596
2034,high_30pct,reference,65.267,2014.045,1314.506,60.0,788.704,82.565,706.138,-111.894,594.244,992.07,1698.208,1974.167,2680.305
2034,high_30pct,constrained_operational_capacity_low_wind_solar,65.267,2014.045,1314.506,60.0,788.704,82.565,706.138,-792.765,-86.627,4.824,710.962,387.219,1093.357
2035,low_10pct,reference,65.0692,1215.425,790.868,60.0,474.521,90.883,383.638,-263.557,120.081,852.158,1235.796,1842.22,2225.858
2035,low_10pct,constrained_operational_capacity_low_wind_solar,65.0692,1215.425,790.868,60.0,474.521,90.883,383.638,-944.417,-560.78,-136.72,246.918,245.319,628.957
2035,high_30pct,reference,65.0692,2354.466,1532.033,60.0,919.22,90.883,828.337,-263.557,564.78,852.158,1680.495,1842.22,2670.557
2035,high_30pct,constrained_operational_capacity_low_wind_solar,65.0692,2354.466,1532.033,60.0,919.22,90.883,828.337,-944.417,-116.081,-136.72,691.617,245.319,1073.656
