year,scenario,modelled_distributed_solar_winter_gwh,sosa_domestic_solar_battery_winter_gwh,difference_gwh,effective_nzwem_demand_gwh,nzwem_margin_change_percentage_points,stage1_adjusted_nzwem_pct,stage2_adjusted_nzwem_pct,stage3_adjusted_nzwem_pct
2027,low_10pct,474.004,228.199,245.806,24813.623,0.9906,17.0113,18.7899,19.0974
2027,high_30pct,477.368,228.199,249.169,24813.623,1.0042,17.0249,18.8034,19.1109
2028,low_10pct,568.183,297.556,270.627,25568.777,1.0584,15.0731,22.7779,27.0512
2028,high_30pct,582.064,297.556,284.508,25568.777,1.1127,15.1274,22.8322,27.1055
2029,low_10pct,673.595,367.871,305.724,26850.601,1.1386,9.8099,20.3916,28.7638
2029,high_30pct,707.852,367.871,339.981,26850.601,1.2662,9.9374,20.5192,28.8914
2030,low_10pct,791.3,425.901,365.398,27864.836,1.3113,6.6517,18.952,32.4435
2030,high_30pct,858.471,425.901,432.569,27864.836,1.5524,6.8928,19.1931,32.6846
2031,low_10pct,923.554,480.055,443.499,28818.919,1.5389,3.2635,15.2398,33.8116
2031,high_30pct,1038.305,480.055,558.25,28818.919,1.9371,3.6617,15.638,34.2097
2032,low_10pct,1074.345,543.963,530.382,29490.365,1.7985,1.3675,13.4276,32.5097
2032,high_30pct,1252.601,543.963,708.638,29490.365,2.4029,1.9719,14.0321,33.1141
2033,low_10pct,1249.912,610.971,638.941,30243.737,2.1126,-0.6593,11.1004,31.3075
2033,high_30pct,1507.801,610.971,896.83,30243.737,2.9653,0.1934,11.9531,32.1602
2034,low_10pct,1459.285,686.509,772.776,30962.572,2.4958,-2.102,9.7722,29.5102
2034,high_30pct,1812.053,686.509,1125.544,30962.572,3.6352,-0.9627,10.9116,30.6495
2035,low_10pct,1714.918,767.548,947.37,31671.677,2.9912,-3.4868,8.2069,27.5029
2035,high_30pct,2175.95,767.548,1408.402,31671.677,4.4469,-2.0311,9.6626,28.9586
