date,national_energy_equivalent_gwh,ni_energy_equivalent_gwh,si_energy_equivalent_gwh,HWE_storage_mm3,HWE_energy_equivalent_gwh,MAN_storage_mm3,MAN_energy_equivalent_gwh,OHA_storage_mm3,OHA_energy_equivalent_gwh,PKI_storage_mm3,PKI_energy_equivalent_gwh,TAU_storage_mm3,TAU_energy_equivalent_gwh,TKA_storage_mm3,TKA_energy_equivalent_gwh,TPO_storage_mm3,TPO_energy_equivalent_gwh,WAN_storage_mm3,WAN_energy_equivalent_gwh,WKA_storage_mm3,WKA_energy_equivalent_gwh,WPU_storage_mm3,WPU_energy_equivalent_gwh
1980-01-01,4561.985508,663.2801,3898.705408,2134.608,545.35819,384.398,163.517912,41.403,24.419448,2433.618,1773.686506,828.373,352.379105,674.757,776.101453,764.657,524.80398,540.791,138.163448,141.024,138.476119,489.578,125.079346
1980-01-02,4559.558734,665.793833,3893.764901,2142.492,547.372426,373.734,158.981585,41.403,24.419448,2433.618,1773.686506,832.036,353.937298,674.757,776.101453,765.245,525.20754,531.143,135.698538,143.173,140.586293,483.661,123.567647
1980-01-03,4550.70883,658.275236,3892.433593,2152.809,550.008255,361.322,153.701682,40.355,23.801339,2441.836,1779.676006,839.002,356.900544,671.748,772.640519,755.718,518.668912,523.81,133.825074,142.175,139.606324,477.056,121.880175
1980-01-04,4516.26135,647.530611,3868.730739,2159.318,551.6712,342.446,145.672077,35.56,20.973252,2439.131,1777.704529,845.125,359.505188,663.794,763.491876,741.11,508.643062,510.688,130.472613,141.443,138.887549,466.722,119.240003
1980-01-05,4485.805533,645.222727,3840.582806,2165.419,553.229908,323.942,137.800716,30.281,17.859704,2435.212,1774.848256,846.892,360.256847,654.281,752.550081,734.75,504.278029,497.176,127.020513,143.538,140.944699,458.02,117.016782
1980-01-06,4458.347844,648.433354,3809.914489,2170.68,554.574009,313.612,133.406468,23.87,14.078502,2431.8,1772.361499,836.682,355.913646,644.969,741.839474,736.279,505.327421,483.47,123.518849,145.739,143.105933,447.081,114.222042
1980-01-07,4420.777604,640.696036,3780.081568,2175.774,555.875445,310.363,132.024385,17.07,10.067869,2426.024,1768.151794,824.129,350.573763,636.079,731.614249,724.406,497.178672,471.119,120.363367,146.158,143.517363,436.077,111.410696
1980-01-08,4385.401709,633.704931,3751.696778,2180.357,557.046328,307.783,130.926887,9.789,5.773542,2419.245,1763.211076,812.372,345.572488,628.74,723.172976,713.543,489.723113,459.734,117.454681,146.631,143.981818,424.836,108.538801
1980-01-09,4361.296199,635.217312,3726.078887,2184.382,558.074651,302.972,128.88035,2.109,1.243886,2413.644,1759.128916,804.675,342.298284,622.29,715.754224,714.396,490.308549,448.343,114.544463,147.575,144.908762,415.502,106.154113
1980-01-10,4342.199165,640.370971,3701.828194,2188.308,559.077681,296.533,126.141283,0.0,0.0,2406.343,1753.80775,796.082,338.642934,615.644,708.110035,721.008,494.846537,438.118,111.932139,148.202,145.524434,407.526,104.116373
1980-01-11,4317.92528,639.778589,3678.146691,2192.395,560.121844,291.251,123.894389,0.0,0.0,2405.73,1753.360979,772.239,328.500431,608.881,700.331273,719.843,494.046967,429.431,109.71275,148.413,145.731622,400.123,102.225025
1980-01-12,4301.039019,640.719047,3660.319971,2197.301,561.375249,291.449,123.978616,0.0,0.0,2409.715,1756.265354,743.735,316.3752,602.58,693.083901,720.166,494.26865,423.641,108.233497,149.145,146.450397,395.36,101.008154
1980-01-13,4283.014036,640.537857,3642.476179,2203.077,562.850924,289.64,123.209091,0.0,0.0,2410.71,1756.990537,715.923,304.544337,597.688,687.457151,719.902,494.08746,419.394,107.148457,149.145,146.450397,392.493,100.275682
1980-01-14,4255.460077,634.931047,3620.52903,2206.425,563.706285,281.478,119.737082,0.0,0.0,2412.021,1757.946029,684.744,291.281196,594.014,683.231339,711.654,488.426643,412.639,105.422662,149.2,146.504404,388.3,99.204437
1980-01-15,4243.45276,633.765984,3609.686776,2209.659,564.53252,276.104,117.451052,0.0,0.0,2417.273,1761.773829,664.071,282.48717,590.917,679.669188,710.41,487.572854,409.552,104.633983,148.883,146.193131,388.044,99.139033
1980-01-16,4286.969215,639.050741,3647.918474,2227.128,568.99557,272.221,115.799275,0.988,0.582721,2443.484,1780.877113,657.153,279.544343,599.507,689.549354,718.256,492.957767,436.958,111.635778,148.781,146.092974,395.071,100.934319
1980-01-17,4383.450608,652.336656,3731.113953,2242.06,572.810457,283.602,120.640604,12.195,7.192599,2480.835,1808.099531,674.899,287.093261,618.684,711.606625,735.591,504.855229,460.117,117.552532,150.195,147.481427,415.362,106.118345
1980-01-18,4389.769149,652.68952,3737.079628,2250.535,574.975684,286.542,121.891242,12.293,7.250399,2478.926,1806.7082,668.797,284.497549,623.841,717.538175,736.779,505.670584,460.117,117.552532,149.724,147.018936,417.505,106.665847
1980-01-19,4388.021752,645.903057,3742.118695,2256.816,576.580379,304.502,129.531192,9.268,5.466257,2461.312,1793.870641,689.363,293.246058,623.479,717.121805,727.343,499.194412,463.786,118.489902,149.408,146.708646,421.993,107.81246
