date,national_energy_equivalent_gwh,ni_energy_equivalent_gwh,si_energy_equivalent_gwh,HWE_storage_mm3,HWE_energy_equivalent_gwh,MAN_storage_mm3,MAN_energy_equivalent_gwh,OHA_storage_mm3,OHA_energy_equivalent_gwh,PKI_storage_mm3,PKI_energy_equivalent_gwh,TAU_storage_mm3,TAU_energy_equivalent_gwh,TKA_storage_mm3,TKA_energy_equivalent_gwh,TPO_storage_mm3,TPO_energy_equivalent_gwh,WAN_storage_mm3,WAN_energy_equivalent_gwh,WKA_storage_mm3,WKA_energy_equivalent_gwh,WPU_storage_mm3,WPU_energy_equivalent_gwh,month_day,p05_gwh,p25_gwh,median_gwh,p75_gwh,p95_gwh,watch_gwh,alert_gwh,emergency_gwh,low_10pct_incremental_solar_gwh_day,low_10pct_preserved_hydro_gwh,low_10pct_counterfactual_storage_gwh,high_30pct_incremental_solar_gwh_day,high_30pct_preserved_hydro_gwh,high_30pct_counterfactual_storage_gwh
2024-01-01,2576.911678,617.812442,1959.099237,551.132,140.805408,229.332,97.554851,22.172,16.159552,1610.433,1173.727052,468.606,199.338901,136.385,156.869209,745.189,511.442586,361.844,92.445352,108.327,106.369856,321.738,82.198911,01-01,1854.9030509,2650.462821,3003.5688385000003,3554.3333862500003,4490.8441859,401.7,394.7,264.0,0.0,0.0,2576.911678,0.0,0.0,2576.911678
2024-01-02,2597.679775,627.343554,1970.336221,552.684,141.201919,229.733,97.725432,22.225,16.19818,1619.527,1180.355005,462.402,196.6998,144.224,165.885579,758.976,520.904962,357.81,91.41473,108.397,106.438591,316.48,80.855576,01-02,1897.758354,2736.16395,3004.1758765,3550.85906625,4444.93368905,401.7,394.7,264.0,0.0,0.0,2597.679775,0.0,0.0,2597.679775
2024-01-03,2597.500527,630.785107,1966.715419,553.941,141.523062,228.121,97.039708,22.63,16.493355,1620.611,1181.145053,450.785,191.758079,147.474,169.62371,765.404,525.316666,351.113,89.703754,107.409,105.468442,310.895,79.428698,01-03,1985.5238136,2743.2091662499997,2998.417465,3606.38315625,4394.7886139,408.7,394.7,264.0,0.0,0.0,2597.500527,0.0,0.0,2597.500527
2024-01-04,2595.251897,634.609952,1960.641944,555.601,141.947166,226.946,96.539878,22.172,16.159552,1621.471,1181.771845,444.737,189.185338,146.604,168.623041,772.555,530.224583,345.67,88.313154,106.306,104.385369,305.702,78.10197,01-04,2056.09150175,2771.79815425,3011.278915,3680.6503835000003,4354.37623325,415.6,394.7,264.0,0.0,0.0,2595.251897,0.0,0.0,2595.251897
2024-01-05,2600.712292,637.792834,1962.919458,554.392,141.638286,234.731,99.851516,21.74,15.844699,1625.23,1184.511505,446.251,189.829374,145.324,167.150793,778.918,534.591675,341.636,87.282532,105.1,103.201158,300.648,76.810754,01-05,2100.45538885,2785.7726357499996,3049.2641965000003,3729.7873182499998,4306.3969942,422.6,394.7,264.0,0.0,0.0,2600.712292,0.0,0.0,2600.712292
2024-01-06,2594.075777,638.621804,1955.453973,555.467,141.912931,228.714,97.291962,22.728,16.56478,1626.104,1185.1485,438.49,186.527946,144.565,166.277796,781.764,536.544959,336.847,86.059019,103.955,102.076845,296.187,75.67104,01-06,2131.29303695,2788.73933925,3064.938749,3755.2237795,4278.2070331,429.5,394.7,264.0,0.0,0.0,2594.075777,0.0,0.0,2594.075777
2024-01-07,2580.91952,634.290601,1946.628919,554.877,141.762195,220.466,93.78337,22.7,16.544373,1628.912,1187.195046,428.017,182.072868,144.234,165.897081,777.266,533.457865,332.312,84.900399,102.688,100.832736,291.5,74.473586,01-07,2156.94023875,2795.73018175,3088.0999735,3793.255393,4297.7599196500005,436.5,394.7,264.0,0.0,0.0,2580.91952,0.0,0.0,2580.91952
2024-01-08,2562.545115,630.051714,1932.4934,555.549,141.933881,209.023,88.915667,23.046,16.796547,1626.973,1185.781851,417.919,177.77731,142.645,164.069423,772.944,530.491564,327.53,83.678675,101.392,99.560151,287.846,73.540047,01-08,2224.18470475,2781.89025025,3129.1329484999997,3813.5197307500002,4275.91171825,443.4,394.7,264.0,0.0,0.0,2562.545115,0.0,0.0,2562.545115
2024-01-09,2544.843625,626.232019,1918.611606,556.208,142.102245,198.773,84.55545,22.152,16.144976,1625.629,1184.802307,406.371,172.864941,142.064,163.40116,769.383,528.047557,321.451,82.125587,99.991,98.184463,284.225,72.61494,01-09,2376.4187417,2765.2956464999997,3151.4821675000003,3797.61804425,4231.2297499,450.4,394.7,264.0,0.0,0.0,2544.843625,0.0,0.0,2544.843625
2024-01-10,2521.253432,621.466004,1899.787428,556.941,142.289514,194.044,82.543795,22.916,16.7018,1617.91,1179.176492,392.664,167.034161,139.671,160.648746,764.323,524.574747,314.772,80.41921,98.674,96.891257,277.801,70.973711,01-10,2382.6591689,2766.23325675,3219.0983725,3809.42075175,4190.26552965,457.3,394.7,264.0,0.0,0.0,2521.253432,0.0,0.0,2521.253432
