year,island,inflow_volume_mm3,storage_min_mm3,storage_min_date,storage_max_mm3,storage_max_date,inflow_days_present,storage_days_present,calendar_year_complete_inflows,calendar_year_complete_storage
1931,NI,2925.959501,,,,,184,0,False,False
1931,SI,14533.113917,,,,,184,0,False,False
1931,NZ,17459.073418,,,,,184,0,False,False
1932,NI,4237.139117,,,,,366,0,True,False
1932,SI,26087.384794,,,,,366,0,True,False
1932,NZ,30324.52391,,,,,366,0,True,False
1933,NI,4674.468269,,,,,365,0,True,False
1933,SI,37661.82048,,,,,365,0,True,False
1933,NZ,42336.288749,,,,,365,0,True,False
1934,NI,4579.855603,,,,,365,0,True,False
1934,SI,33902.483818,,,,,365,0,True,False
1934,NZ,38482.339421,,,,,365,0,True,False
1935,NI,6033.998534,,,,,365,0,True,False
1935,SI,30741.174346,,,,,365,0,True,False
1935,NZ,36775.17288,,,,,365,0,True,False
1936,NI,5829.719558,,,,,366,0,True,False
1936,SI,35345.453846,,,,,366,0,True,False
1936,NZ,41175.173405,,,,,366,0,True,False
1937,NI,4522.704163,,,,,365,0,True,False
1937,SI,27447.941146,,,,,365,0,True,False
1937,NZ,31970.645309,,,,,365,0,True,False
1938,NI,4998.604435,,,,,365,0,True,False
1938,SI,33498.488995,,,,,365,0,True,False
1938,NZ,38497.09343,,,,,365,0,True,False
1939,NI,4331.581661,,,,,365,0,True,False
1939,SI,28026.66839,,,,,365,0,True,False
1939,NZ,32358.250051,,,,,365,0,True,False
1940,NI,4886.977536,,,,,366,0,True,False
1940,SI,34904.063894,,,,,366,0,True,False
1940,NZ,39791.04143,,,,,366,0,True,False
1941,NI,5193.091872,,,,,365,0,True,False
1941,SI,28736.969357,,,,,365,0,True,False
1941,NZ,33930.061229,,,,,365,0,True,False
1942,NI,6152.023699,,,,,365,0,True,False
1942,SI,39128.834074,,,,,365,0,True,False
1942,NZ,45280.857773,,,,,365,0,True,False
1943,NI,5729.719507,,,,,365,0,True,False
1943,SI,29120.799542,,,,,365,0,True,False
1943,NZ,34850.51905,,,,,365,0,True,False
1944,NI,5012.867606,,,,,366,0,True,False
1944,SI,32942.358547,,,,,366,0,True,False
1944,NZ,37955.226154,,,,,366,0,True,False
1945,NI,5663.042986,,,,,365,0,True,False
1945,SI,39772.002067,,,,,365,0,True,False
1945,NZ,45435.045053,,,,,365,0,True,False
1946,NI,5220.765533,,,,,365,0,True,False
1946,SI,34629.75504,,,,,365,0,True,False
1946,NZ,39850.520573,,,,,365,0,True,False
1947,NI,5146.220563,,,,,365,0,True,False
1947,SI,27207.572803,,,,,365,0,True,False
1947,NZ,32353.793366,,,,,365,0,True,False
1948,NI,5335.000157,,,,,366,0,True,False
1948,SI,32796.455126,,,,,366,0,True,False
1948,NZ,38131.455283,,,,,366,0,True,False
1949,NI,5169.871958,,,,,365,0,True,False
1949,SI,35737.461878,,,,,365,0,True,False
1949,NZ,40907.333837,,,,,365,0,True,False
1950,NI,4248.170323,,,,,365,0,True,False
1950,SI,30132.836352,,,,,365,0,True,False
1950,NZ,34381.006675,,,,,365,0,True,False
1951,NI,4959.758995,,,,,365,0,True,False
1951,SI,28574.816602,,,,,365,0,True,False
1951,NZ,33534.575597,,,,,365,0,True,False
1952,NI,5885.348285,,,,,366,0,True,False
