date,alert_gwh,emergency_gwh,watch_gwh
2024-01-01,394.7,264.0,401.7
2024-01-02,394.7,264.0,401.7
2024-01-03,394.7,264.0,408.7
2024-01-04,394.7,264.0,415.6
2024-01-05,394.7,264.0,422.6
2024-01-06,394.7,264.0,429.5
2024-01-07,394.7,264.0,436.5
2024-01-08,394.7,264.0,443.4
2024-01-09,394.7,264.0,450.4
2024-01-10,394.7,264.0,457.3
2024-01-11,394.7,264.0,464.2
2024-01-12,394.6,264.0,471.2
2024-01-13,394.6,264.0,478.1
2024-01-14,394.6,264.0,485.1
2024-01-15,394.6,264.0,492.0
2024-01-16,394.6,264.0,499.0
2024-01-17,394.6,264.0,505.9
2024-01-18,394.6,265.2,512.9
2024-01-19,394.6,275.4,519.8
2024-01-20,394.6,285.7,526.8
2024-01-21,394.5,296.0,533.7
2024-01-22,394.5,306.2,540.7
2024-01-23,394.5,316.5,547.6
2024-01-24,394.5,326.7,554.6
2024-01-25,394.5,337.0,561.5
2024-01-26,394.5,347.3,568.5
2024-01-27,394.5,357.5,575.4
2024-01-28,394.5,367.8,582.4
2024-01-29,1345.0,899.2,2019.4
2024-01-30,1355.8,911.6,2027.9
2024-01-31,1366.6,923.9,2036.4
2024-02-01,1377.4,936.3,2044.9
2024-02-02,1383.4,940.3,2053.8
2024-02-03,1389.3,944.3,2062.7
2024-02-04,1395.3,948.3,2071.6
2024-02-05,1401.2,952.3,2080.5
2024-02-06,1407.2,956.3,2089.4
2024-02-07,1413.1,960.3,2098.3
2024-02-08,1419.1,964.3,2107.2
2024-02-09,1425.0,968.3,2116.1
2024-02-10,1431.0,972.3,2124.9
2024-02-11,1436.9,976.3,2133.8
2024-02-12,1442.9,980.3,2142.7
2024-02-13,1448.8,984.3,2151.6
2024-02-14,1454.8,988.3,2160.5
2024-02-15,1460.7,992.3,2169.4
2024-02-16,1466.7,996.3,2178.3
2024-02-17,1472.6,1000.3,2187.2
2024-02-18,1478.6,1004.3,2196.1
2024-02-19,1572.2,1097.8,2289.9
2024-02-20,1578.6,1102.7,2298.6
2024-02-21,1585.0,1107.6,2307.3
2024-02-22,1591.4,1112.5,2316.0
