date,represented_storage_mm3,represented_site_count,month_day,storage_p05_mm3,storage_p25_mm3,storage_median_mm3,storage_p75_mm3,storage_p95_mm3,historical_years,price_mean_nzd_mwh,price_p95_nzd_mwh,price_max_nzd_mwh,thermal_generation_gwh,thermal_peak_mw
2024-01-01,4555.157999999999,10,01-01,3556.8923999999997,4740.2785,5497.246499999999,6230.4865,8177.7986500000015,44,47.4293287037037,148.86522222222223,160.1577777777778,8.54898,446.382
2024-01-02,4572.458,10,01-02,3575.8325,4740.2825,5576.0675,6220.1555,8041.622300000001,44,106.38622685185186,187.96827777777776,249.59333333333336,9.347677,459.938
2024-01-03,4558.383,10,01-03,3689.63595,4731.8994999999995,5564.9475,6314.93125,7949.106300000001,44,158.8929398148148,191.13627777777776,191.49222222222224,10.635853,540.026
2024-01-04,4547.764,10,01-04,3751.3010499999996,4778.058999999999,5554.253500000001,6541.92125,7875.71435,44,168.5255787037037,196.25366666666667,245.30777777777777,10.806694,513.2
2024-01-05,4553.97,10,01-05,3767.5563500000003,4855.7775,5538.3665,6699.04025,7788.33645,44,185.28435185185185,270.77483333333333,282.8977777777778,13.305382,813.028
2024-01-06,4534.821,10,01-06,3816.8484,4856.1615,5533.036,6706.47125,7689.1858,44,195.16671296296295,229.42972222222218,257.43888888888887,13.435169,663.386
2024-01-07,4502.972,10,01-07,3840.14405,4877.91425,5616.4705,6673.36325,7643.00105,44,210.92347222222222,274.78094444444446,277.26222222222225,13.968907,791.956
2024-01-08,4464.867,10,01-08,3987.7587,4851.97925,5665.1565,6636.3205,7593.677050000001,44,207.89944444444447,242.60055555555556,265.25666666666666,18.121778,881.986
2024-01-09,4426.246999999999,10,01-09,4236.9717,4901.013,5653.539,6678.9045,7505.9102,44,220.62039351851854,281.4568333333333,283.44111111111107,18.756185,894.746
2024-01-10,4379.716,10,01-10,4226.1336,4870.3547499999995,5838.5385,6668.93775,7545.590300000001,44,228.07460648148148,277.09905555555554,303.6922222222222,20.155663,987.796
2024-01-11,4360.664,10,01-11,4205.7918,4848.73275,5803.9775,6706.13925,7876.936850000001,44,225.3228472222222,270.6406111111111,288.49111111111114,19.658339,900.538
2024-01-12,4336.093,10,01-12,4179.9,4829.7695,5782.461499999999,6692.406499999999,7896.257700000001,44,253.61324074074074,296.4279444444444,296.52555555555557,19.801531,919.134
2024-01-13,4300.845,10,01-13,4181.7299,4847.32625,5754.4025,6709.6655,7905.61095,44,246.71296296296296,279.0118888888889,285.6022222222222,16.412449,729.872
2024-01-14,4384.034,10,01-14,4216.20925,4843.3755,5723.049999999999,6690.12625,7888.54335,44,228.53252314814813,282.17527777777775,285.2211111111111,14.953037,759.428
2024-01-15,4479.213,10,01-15,4175.7809,4817.51375,5669.931500000001,6654.31875,7810.216200000001,44,239.2776388888889,287.6071666666666,295.2966666666667,16.086181,801.046
2024-01-16,4461.933,10,01-16,4143.53755,4788.14675,5627.865,6630.643249999999,7865.1694,44,231.90666666666667,263.17766666666665,279.49111111111114,17.045311,795.32
2024-01-17,4427.302,10,01-17,4137.12115,4851.31425,5613.246,6599.4574999999995,7994.867400000001,44,326.82273148148147,423.78194444444443,469.3166666666667,19.562668,953.034
2024-01-18,4386.048,10,01-18,4165.0125,4908.89575,5673.4265,6549.786,7984.440950000001,44,336.21164351851854,410.5738333333333,456.02111111111117,19.812901,937.082
2024-01-19,4454.933,10,01-19,4209.33335,4983.197249999999,5708.8585,6515.543750000001,7995.69415,44,284.35967592592596,308.38511111111114,310.3077777777778,18.681138,892.222
2024-01-20,5047.452,10,01-20,4200.5695000000005,4974.90075,5698.4515,6470.17175,8061.452650000001,44,238.6642824074074,303.47266666666667,307.1677777777778,12.999264,736.026
2024-01-21,5319.221,10,01-21,4169.9293,4975.1815,5687.9655,6421.4845,8134.069550000002,44,233.66113425925926,307.02577777777776,309.3933333333333,14.407832,786.118
2024-01-22,5378.179,10,01-22,4133.675,5048.617,5705.4490000000005,6553.49575,8139.499700000001,44,242.99965277777778,268.3646111111111,280.80222222222227,18.457275,1004.47
2024-01-23,5481.816,10,01-23,4105.25935,5019.11075,5747.907,6594.0650000000005,8128.427750000001,44,129.77349537037037,250.25300000000001,252.91,12.526424,713.504
2024-01-24,5570.089,10,01-24,4087.4471,5017.817999999999,5753.965,6543.737,8087.259800000001,44,132.98645833333333,242.79538888888882,256.63111111111107,6.310409,417.516
2024-01-25,5557.322,10,01-25,4044.33525,5003.18325,5762.2785,6479.0095,8037.6993,44,132.98916666666665,169.4242222222222,221.57777777777778,6.643514,413.0
2024-01-26,5520.519,10,01-26,4030.6985999999997,5027.1095000000005,5736.7685,6444.88925,7965.593150000001,44,143.83849537037037,189.95977777777776,195.08666666666667,8.156453,539.37
2024-01-27,5655.195,10,01-27,4099.7306499999995,5058.4465,5715.960999999999,6459.474,8128.37625,44,42.67069444444444,138.13588888888887,192.14111111111112,7.271013,341.448
2024-01-28,5838.226,10,01-28,4116.23095,5075.949500000001,5720.1515,6401.61025,8409.9734,44,103.57331018518518,196.28827777777778,231.47333333333336,7.674335,371.254
2024-01-29,5949.539,10,01-29,4116.02185,5080.97275,5751.9725,6336.781000000001,8312.6579,44,30.542314814814816,116.29838888888888,139.76,7.039871,354.014
2024-01-30,5945.274,10,01-30,4092.5650499999997,5062.4577500000005,5719.178,6269.74925,8208.975550000001,44,174.96064814814815,612.2765555555554,739.6777777777778,9.27312,561.458
2024-01-31,5916.152,10,01-31,4077.53165,5044.26825,5709.804,6217.726250000001,8115.754350000001,44,188.24391203703703,411.56794444444444,528.7866666666666,10.80727,615.726
2024-02-01,5875.843,10,02-01,4093.8568,5031.91525,5783.416,6192.503999999999,8075.84805,44,151.73699074074074,260.4092222222222,274.3588888888889,7.944238,424.36
2024-02-02,5853.211,10,02-02,4166.1448,4990.10925,5796.3904999999995,6257.2384999999995,8082.161,44,53.04289351851852,113.97194444444443,179.72777777777776,7.49262,373.95
2024-02-03,5842.845,10,02-03,4156.61265,5033.679249999999,5764.1265,6392.156249999999,8069.2812,44,9.020069444444445,40.68305555555555,70.70111111111112,6.789074,309.108
2024-02-04,5824.138,10,02-04,4146.4010499999995,5015.4585,5743.496499999999,6508.120000000001,8020.82485,44,7.267662037037037,17.099888888888888,30.764444444444443,6.88912,340.6
2024-02-05,5837.0560000000005,10,02-05,4128.0185,5037.797500000001,5757.022,6618.079750000001,7968.88025,44,50.62979166666667,140.189,147.89999999999998,7.326016,388.378
2024-02-06,5860.063,10,02-06,4108.03365,4981.3445,5811.3515,6607.465,7935.6468,44,122.57157407407408,207.7867222222222,230.4811111111111,7.023708,432.418
2024-02-07,5934.722,10,02-07,4088.5983,4924.829,5783.906999999999,6558.944750000001,7880.6630000000005,44,186.83620370370372,349.52599999999984,650.9744444444445,11.04176,609.422
2024-02-08,5906.413,10,02-08,4055.9943,4884.6165,5761.996999999999,6509.30025,7806.4625,44,162.26789351851852,248.2562777777777,268.1744444444444,11.304604,556.824
2024-02-09,5842.62,10,02-09,4032.65825,4842.969,5742.291499999999,6537.23625,7743.8287,44,145.41226851851852,200.8536111111111,214.2388888888889,10.448089,511.672
2024-02-10,5780.539,10,02-10,4056.9089000000004,4820.765,5722.4185,6529.44925,7674.06485,44,113.220625,184.22505555555554,209.89888888888888,9.172639,445.534
2024-02-11,5728.134,10,02-11,4058.49715,4783.05325,5702.0419999999995,6505.380749999999,7675.97265,44,64.87761574074074,173.7228888888889,200.41666666666666,8.701342,461.92
2024-02-12,5651.117,10,02-12,4031.7964,4740.4394999999995,5714.872,6489.129,7649.736900000001,44,151.1853935185185,217.6898333333333,220.95,13.39329,703.466
2024-02-13,5585.544,10,02-13,4003.5393499999996,4688.4425,5692.673000000001,6465.662,7627.395,44,164.4326851851852,200.8192222222222,210.00666666666666,12.43427,633.544
2024-02-14,5525.118,10,02-14,3970.87695,4654.7975,5640.6990000000005,6491.046,7575.0905,44,138.68921296296296,200.69766666666666,216.23,13.601165,715.366
2024-02-15,5542.267,10,02-15,4093.0767,4655.942,5583.354,6509.85425,7514.64945,44,164.6845138888889,241.6855,244.37111111111113,13.687451,812.818
2024-02-16,5613.966,10,02-16,4155.78485,4632.45225,5563.9015,6458.48275,7432.57925,44,214.65597222222223,244.23844444444444,245.70222222222225,16.910314,805.568
2024-02-17,5590.295,10,02-17,4107.44975,4687.817999999999,5512.215,6432.3695,7477.85595,44,190.42631944444443,227.32783333333333,233.01222222222225,13.538471,651.986
2024-02-18,5553.229,10,02-18,4066.53,4729.45675,5468.9575,6438.94725,7479.14745,44,137.1075,206.67116666666666,209.78666666666666,11.382961,584.448
2024-02-19,5539.441,10,02-19,4034.29255,4865.56675,5429.755499999999,6414.79525,7473.33245,44,135.17923611111112,231.7267222222222,240.39999999999998,13.918353,730.608
2024-02-20,5508.255,10,02-20,3996.01405,4901.731,5380.867,6365.7474999999995,7481.845600000001,44,156.7269212962963,229.93522222222225,340.0022222222222,15.493726,912.716
2024-02-21,5465.928,10,02-21,3966.27115,4898.92325,5415.393,6317.690250000001,7429.9871,44,191.78340277777775,263.6578333333333,340.0988888888889,20.809952,1058.204
2024-02-22,5413.128,10,02-22,3920.2353000000003,4919.19025,5434.1555,6297.019249999999,7380.4844,44,295.35719907407406,430.80400000000003,819.678888888889,21.484774,1080.018
2024-02-23,5348.745,10,02-23,3870.9316000000003,4919.40575,5474.3205,6273.32575,7327.3165500000005,44,179.3222685185185,251.37311111111106,283.58666666666664,18.688365,964.084
2024-02-24,5320.323,10,02-24,3932.3540999999996,4902.98225,5437.387000000001,6283.536250000001,7300.9925,44,88.42740740740742,161.9281111111111,174.3111111111111,14.668146,709.996
2024-02-25,5366.466,10,02-25,3933.7693500000005,4859.13175,5415.586499999999,6254.259250000001,7277.1194,44,130.1965972222222,230.86655555555555,282.48777777777775,15.927419,959.628
2024-02-26,5338.201,10,02-26,3903.7847,4814.677,5397.51,6196.70975,7252.5089,44,230.5132638888889,308.05277777777775,346.7111111111111,19.631948,988.76
2024-02-27,5294.181,10,02-27,3908.9382499999997,4770.50075,5429.3295,6154.1965,7248.2792500000005,44,222.63574074074074,269.88894444444446,294.29555555555555,16.636292,886.978
2024-02-28,5241.7029999999995,10,02-28,3913.26375,4725.55325,5415.385,6146.785,7215.224700000001,44,208.3997222222222,246.98138888888886,251.54555555555555,19.822962,969.2
2024-02-29,5195.435,10,02-29,3944.4365,4729.9175,5709.503,6689.0345,7365.067999999999,11,218.2423611111111,259.1603333333333,271.54999999999995,20.401245,1012.012
2024-03-01,5145.502,10,03-01,4013.10385,4675.0905,5359.887500000001,6170.562,7301.6397,44,213.61680555555554,239.45666666666665,250.30555555555554,21.055516,1034.954
2024-03-02,5102.2880000000005,10,03-02,4014.6063,4629.27,5311.9775,6103.2145,7463.1373,44,182.25875,236.82394444444444,239.82555555555552,16.499939,838.058
2024-03-03,5069.597,10,03-03,4012.58505,4634.1875,5357.9465,6068.60975,7434.20905,44,151.35550925925926,231.38844444444445,248.85000000000002,15.494661,841.164
2024-03-04,5098.402,10,03-04,3988.9471999999996,4641.6,5453.873,6066.94675,7410.72305,44,189.4209259259259,267.2902222222222,270.9788888888889,16.825884,933.316
2024-03-05,5143.567,10,03-05,3936.118,4640.45375,5454.184,6033.80475,7371.2907000000005,44,123.42851851851852,227.02155555555555,240.2877777777778,12.313703,719.734
2024-03-06,5119.685,10,03-06,3885.5434,4608.998750000001,5425.7775,5989.663,7335.2441,44,195.5326851851852,250.79572222222222,420.5855555555556,19.422328,992.52
2024-03-07,5097.004,10,03-07,3896.2674500000003,4584.04975,5388.130999999999,5946.401,7341.65135,44,158.97097222222223,223.33994444444443,232.18555555555557,18.217691,991.15
2024-03-08,5077.918,10,03-08,3958.0585499999997,4566.74275,5343.0575,5975.40575,7443.795250000001,44,180.8139351851852,252.9321111111111,300.7733333333333,17.514245,931.444
2024-03-09,5043.998,10,03-09,3960.0398999999998,4554.9645,5302.683,6020.06825,7415.596100000001,44,195.22828703703703,249.34577777777776,250.82444444444445,14.070769,711.514
