date,site_code,reservoir,storage_mm3,storage_change_mm3_day,headwater_inflow_mm3_day,implied_total_outflow_mm3_day,hmd_spill_release_mm3_day,residual_controlled_release_mm3_day
1980-01-02,HWE,Lake Hawea,2142.492,7.884,11.891837,4.007837,1.32,2.687837
1980-01-02,MAN,Lake Manapouri,373.734,-10.664,6.934723,17.598723,2.302,15.296723
1980-01-02,OHA,Lake Ohau,41.403,0.0,15.7248,15.7248,0.412,15.3128
1980-01-02,PKI,Lake Pukaki,2433.618,0.0,31.766861,31.766861,25.935,5.831861
1980-01-02,TAU,Lake Te Anau,832.036,3.663,18.232819,14.569819,10.987,3.582819
1980-01-02,TKA,Lake Tekapo,674.757,0.0,19.066493,19.066493,20.624,-1.557507
1980-01-02,TPO,Lake Taupo,765.245,0.588,13.875494,13.287494,17.118,-3.830506
1980-01-02,WKA,Lake Waikaremoana,143.173,2.149,3.045773,0.896773,0.0,0.896773
1980-01-03,HWE,Lake Hawea,2152.809,10.317,8.166701,-2.150299,1.32,-3.470299
1980-01-03,MAN,Lake Manapouri,361.322,-12.412,3.727901,16.139901,6.047,10.092901
1980-01-03,OHA,Lake Ohau,40.355,-1.048,15.0336,16.0816,0.312,15.7696
1980-01-03,PKI,Lake Pukaki,2441.836,8.218,20.182867,11.964867,25.847,-13.882133
1980-01-03,TAU,Lake Te Anau,839.002,6.966,14.733101,7.767101,11.037,-3.269899
1980-01-03,TKA,Lake Tekapo,671.748,-3.009,15.134861,18.143861,20.579,-2.435139
1980-01-03,TPO,Lake Taupo,755.718,-9.527,9.918806,19.445806,16.845,2.600806
1980-01-03,WKA,Lake Waikaremoana,142.175,-0.998,1.664842,2.662842,0.0,2.662842
1980-01-04,HWE,Lake Hawea,2159.318,6.509,8.04073,1.53173,1.32,0.21173
1980-01-04,MAN,Lake Manapouri,342.446,-18.876,2.724278,21.600278,5.255,16.345278
1980-01-04,OHA,Lake Ohau,35.56,-4.795,9.1584,13.9534,0.034,13.9194
1980-01-04,PKI,Lake Pukaki,2439.131,-2.705,17.956858,20.661858,25.742,-5.080142
1980-01-04,TAU,Lake Te Anau,845.125,6.123,16.9236,10.8006,11.057,-0.2564
1980-01-04,TKA,Lake Tekapo,663.794,-7.954,12.88008,20.83408,20.574,0.26008
