date,BEN_tributary_flow_m3s,BEN_downstream_mw_per_cumec,BEN_potential_generation_mwh,AVI_tributary_flow_m3s,AVI_downstream_mw_per_cumec,AVI_potential_generation_mwh,WTK_tributary_flow_m3s,WTK_downstream_mw_per_cumec,WTK_potential_generation_mwh,lower_tributary_potential_generation_mwh
2024-01-01,32.802,1.289945009,1015.506629,2.723,0.472283521,30.864673,6.462,0.162206002,25.156204,1071.527506
2024-01-02,28.559,1.289945009,884.148948,2.37,0.472283521,26.863487,5.626,0.162206002,21.901703,932.914138
2024-01-03,25.019,1.289945009,774.55522,2.077,0.472283521,23.542389,4.929,0.162206002,19.188321,817.285931
2024-01-04,23.928,1.289945009,740.7793,1.986,0.472283521,22.510922,4.714,0.162206002,18.351338,781.64156
2024-01-05,22.717,1.289945009,703.288339,1.886,0.472283521,21.377441,4.475,0.162206002,17.420925,742.086704
2024-01-06,22.45,1.289945009,695.022371,1.863,0.472283521,21.116741,4.423,0.162206002,17.218491,733.357603
2024-01-07,21.375,1.289945009,661.74179,1.774,0.472283521,20.107943,4.211,0.162206002,16.393187,698.24292
2024-01-08,20.795,1.289945009,643.785755,1.726,0.472283521,19.563873,4.097,0.162206002,15.949392,679.299019
2024-01-09,20.733,1.289945009,641.866317,1.721,0.472283521,19.507199,4.084,0.162206002,15.898783,677.272299
2024-01-10,20.233,1.289945009,626.386977,1.679,0.472283521,19.031137,3.986,0.162206002,15.517275,660.935389
2024-01-11,19.667,1.289945009,608.864364,1.632,0.472283521,18.498401,3.874,0.162206002,15.081265,642.44403
2024-01-12,19.653,1.289945009,608.430942,1.631,0.472283521,18.487066,3.872,0.162206002,15.073479,641.991488
2024-01-13,19.128,1.289945009,592.177635,1.588,0.472283521,17.99967,3.768,0.162206002,14.668613,624.845918
2024-01-14,20.207,1.289945009,625.582051,1.677,0.472283521,19.008467,3.981,0.162206002,15.49781,660.088329
2024-01-15,23.69,1.289945009,733.411134,1.966,0.472283521,22.284226,4.667,0.162206002,18.16837,773.86373
2024-01-16,23.514,1.289945009,727.962407,1.952,0.472283521,22.125538,4.632,0.162206002,18.032117,768.120062
2024-01-17,20.401,1.289945009,631.588035,1.693,0.472283521,19.189824,4.019,0.162206002,15.645742,666.423601
2024-01-18,19.632,1.289945009,607.78081,1.629,0.472283521,18.464397,3.868,0.162206002,15.057908,641.303114
2024-01-19,28.833,1.289945009,892.631627,2.393,0.472283521,27.124187,5.68,0.162206002,22.111922,941.867736
