date,TKA_turbine_flow_m3s,TKB_turbine_flow_m3s,OHA_turbine_flow_m3s,OHB_turbine_flow_m3s,OHC_turbine_flow_m3s,BEN_turbine_flow_m3s,AVI_turbine_flow_m3s,WTK_turbine_flow_m3s,TKA_accounting_release_m3s,TKA_release_minus_turbine_m3s,OHA_accounting_lake_release_m3s,PKI_canal_to_OHA_estimate_m3s,PKI_implied_outflow_from_balance_m3s,PKI_balance_residual_m3s,AVI_incremental_tributary_m3s,WTK_incremental_tributary_m3s,BEN_to_AVI_balance_residual_m3s,AVI_to_WTK_balance_residual_m3s
2024-01-02,23.057374,26.011501,205.147647,205.9965,205.51,200.90007,215.517075,226.906935,-94.814815,-117.872189,-13.252315,218.399962,135.962871,-82.437091,2.37,5.626,12.247005,5.76386
2024-01-03,56.684005,61.502584,329.670166,323.7367,322.5873,324.989675,314.885909,273.402337,-42.233796,-98.917801,-17.361111,347.031278,212.567288,-134.46399,2.077,4.929,-12.180766,-46.412572
2024-01-04,75.002984,81.55673,223.568708,226.2065,225.4262,275.363036,262.356706,274.769426,5.405093,-69.597892,-7.337963,230.90667,245.902027,14.995356,1.986,4.714,-14.99233,7.69872
2024-01-05,73.287223,80.229493,262.841812,259.4738,258.3064,276.168025,332.951016,329.47815,10.011574,-63.275649,-7.673611,270.515423,151.589549,-118.925874,1.886,4.475,54.896991,-7.947866
2024-01-06,50.057968,53.060479,193.271036,194.2288,193.6446,232.220386,240.269353,244.541404,3.946759,-46.111208,-24.131944,217.40298,200.992739,-16.410241,1.863,4.423,6.185967,-0.150949
2024-01-07,77.567207,82.359682,258.356468,257.3843,255.853,221.489224,219.298791,220.299596,1.898148,-75.669059,-12.372685,270.729153,186.119682,-84.609471,1.774,4.211,-3.964433,-3.210194
2024-01-08,51.448447,75.283767,281.874344,281.669,279.8071,299.763313,327.753794,323.345002,-4.305556,-55.754002,-16.678241,298.552584,227.649896,-70.902688,1.726,4.097,26.264481,-8.505791
2024-01-09,63.981239,66.472084,284.165051,288.0313,286.205,291.20532,298.264662,279.821387,6.724537,-57.256702,-2.337963,286.503013,203.80364,-82.699374,1.721,4.084,5.338343,-22.527276
2024-01-10,74.110387,77.504964,296.861674,289.9572,287.5207,382.937912,435.176663,450.34914,27.696759,-46.413627,-21.550926,318.4126,316.287241,-2.125359,1.679,3.986,50.55975,11.186478
2024-01-11,66.795031,69.201901,285.154393,285.9532,284.2484,277.92252,362.299859,367.337672,4.976852,-61.818179,-6.770833,291.925227,209.151549,-82.773678,1.632,3.874,82.745339,1.163812
