date,PKI_actual_inflow_m3s,PKI_storage_change_mm3,PKI_river_spill_m3s,PKI_balance_release_m3s,OHA_turbine_flow_m3s,PKI_balance_minus_OHA_m3s,OHU_actual_outflow_to_Ruataniwha_m3s,RTH_spill_to_Benmore_m3s,OHB_turbine_flow_m3s,RTH_balance_residual_m3s,OHC_turbine_flow_m3s,OHC_minus_OHB_m3s
2024-01-02,301.888,9.094,0.0,196.63337,205.147647,-8.514277,45.544,0.0,205.9965,-44.695147,205.51,-0.4865
2024-01-03,244.499,1.084,0.0,231.952704,329.670166,-97.717463,46.896,0.0,323.7367,-52.829466,322.5873,-1.1494
2024-01-04,244.827,0.86,0.0,234.873296,223.568708,11.304589,46.467,0.0,226.2065,-43.829208,225.4262,-0.7803
2024-01-05,179.024,3.759,0.0,135.517056,262.841812,-127.324756,43.873,0.0,259.4738,-47.241012,258.3064,-1.1674
2024-01-06,234.562,0.874,0.0,224.446259,193.271036,31.175224,43.92,0.0,194.2288,-42.962235,193.6446,-0.5842
2024-01-07,201.831,2.808,0.0,169.331,258.356468,-89.025468,37.594,0.0,257.3843,-38.566168,255.853,-1.5313
2024-01-08,198.15,-1.939,0.0,220.59213,281.874344,-61.282214,42.854,0.0,281.669,-43.059344,279.8071,-1.8619
2024-01-09,180.172,-1.344,0.0,195.727556,284.165051,-88.437495,24.404,0.0,288.0313,-20.537751,286.205,-1.8263
2024-01-10,205.046,-7.719,0.0,294.386278,296.861674,-2.475397,48.33,0.0,289.9572,-55.234474,287.5207,-2.4365
2024-01-11,196.55,-1.001,0.0,208.135648,285.154393,-77.018745,20.153,0.0,285.9532,-19.354193,284.2484,-1.7048
2024-01-12,174.764,-4.973,0.0,232.32187,304.232962,-71.911092,33.387,0.0,307.6597,-29.960262,305.9872,-1.6725
2024-01-13,207.46,-4.997,0.0,265.295648,273.295597,-7.999949,44.105,0.0,266.1255,-51.275098,263.7515,-2.374
2024-01-14,229.058,6.862,0.0,149.636704,182.189045,-32.552342,58.194,0.0,183.3352,-57.047845,182.425,-0.9102
2024-01-15,249.287,6.142,0.0,178.199037,303.559137,-125.3601,64.992,0.0,313.0938,-55.457337,311.7168,-1.377
2024-01-16,251.364,-5.182,1.215278,310.125574,389.121739,-78.996165,37.527,0.0,405.1706,-21.478139,403.4037,-1.7669
2024-01-17,223.1,-7.924,2.604167,312.208796,384.660122,-72.451325,29.549,0.0,400.739,-13.470122,398.8875,-1.8515
2024-01-18,234.046,-7.947,2.592593,323.432574,388.510351,-65.077777,36.107,0.0,399.7197,-24.897651,398.2992,-1.4205
2024-01-19,506.892,5.506,2.604167,440.560981,404.863564,35.697417,298.503,0.0,410.0618,-293.304764,409.4061,-0.6557
2024-01-20,1277.802,63.29,2.673611,542.605241,314.622479,227.982761,503.824,0.0,312.2336,-506.212879,310.5869,-1.6467
