date,PKI_actual_combined_inflow_m3s,PKI_storage_change_mm3,PKI_spill_m3s,PKI_balance_release_m3s,OHU_natural_inflow_m3s,OHU_actual_excl_diverted_m3s,OHU_natural_minus_actual_m3s,OHA_turbine_flow_m3s,PKI_plus_OHU_natural_minus_OHA_m3s,PKI_plus_OHU_actual_minus_OHA_m3s,RTH_spill_m3s,OHB_turbine_flow_m3s,OHA_minus_RTHspill_minus_OHB_m3s,OHC_turbine_flow_m3s,OHB_minus_OHC_m3s
2024-01-02,301.888,9.094,0.0,196.63337,58.0,45.544,12.456,205.147647,49.485723,37.029723,0.0,205.9965,-0.848853,205.51,0.4865
2024-01-03,244.499,1.084,0.0,231.952704,59.0,46.896,12.104,329.670166,-38.717463,-50.821463,0.0,323.7367,5.933466,322.5873,1.1494
2024-01-04,244.827,0.86,0.0,234.873296,58.0,46.467,11.533,223.568708,69.304589,57.771589,0.0,226.2065,-2.637792,225.4262,0.7803
2024-01-05,179.024,3.759,0.0,135.517056,56.0,43.873,12.127,262.841812,-71.324756,-83.451756,0.0,259.4738,3.368012,258.3064,1.1674
2024-01-06,234.562,0.874,0.0,224.446259,56.0,43.92,12.08,193.271036,87.175224,75.095224,0.0,194.2288,-0.957764,193.6446,0.5842
2024-01-07,201.831,2.808,0.0,169.331,50.0,37.594,12.406,258.356468,-39.025468,-51.431468,0.0,257.3843,0.972168,255.853,1.5313
2024-01-08,198.15,-1.939,0.0,220.59213,55.0,42.854,12.146,281.874344,-6.282214,-18.428214,0.0,281.669,0.205344,279.8071,1.8619
2024-01-09,180.172,-1.344,0.0,195.727556,36.0,24.404,11.596,284.165051,-52.437495,-64.033495,0.0,288.0313,-3.866249,286.205,1.8263
2024-01-10,205.046,-7.719,0.0,294.386278,60.0,48.33,11.67,296.861674,57.524603,45.854603,0.0,289.9572,6.904474,287.5207,2.4365
2024-01-11,196.55,-1.001,0.0,208.135648,32.0,20.153,11.847,285.154393,-45.018745,-56.865745,0.0,285.9532,-0.798807,284.2484,1.7048
2024-01-12,174.764,-4.973,0.0,232.32187,45.0,33.387,11.613,304.232962,-26.911092,-38.524092,0.0,307.6597,-3.426738,305.9872,1.6725
2024-01-13,207.46,-4.997,0.0,265.295648,56.0,44.105,11.895,273.295597,48.000051,36.105051,0.0,266.1255,7.170097,263.7515,2.374
2024-01-14,229.058,6.862,0.0,149.636704,70.0,58.194,11.806,182.189045,37.447658,25.641658,0.0,183.3352,-1.146155,182.425,0.9102
2024-01-15,249.287,6.142,0.0,178.199037,77.0,64.992,12.008,303.559137,-48.3601,-60.3681,0.0,313.0938,-9.534663,311.7168,1.377
2024-01-16,251.364,-5.182,1.215278,310.125574,50.0,37.527,12.473,389.121739,-28.996165,-41.469165,0.0,405.1706,-16.048861,403.4037,1.7669
2024-01-17,223.1,-7.924,2.604167,312.208796,42.0,29.549,12.451,384.660122,-30.451325,-42.902325,0.0,400.739,-16.078878,398.8875,1.8515
2024-01-18,234.046,-7.947,2.592593,323.432574,48.0,36.107,11.893,388.510351,-17.077777,-28.970777,0.0,399.7197,-11.209349,398.2992,1.4205
2024-01-19,506.892,5.506,2.604167,440.560981,311.0,298.503,12.497,404.863564,346.697417,334.200417,0.0,410.0618,-5.198236,409.4061,0.6557
2024-01-20,1277.802,63.29,2.673611,542.605241,516.0,503.824,12.176,314.622479,743.982761,731.806761,0.0,312.2336,2.388879,310.5869,1.6467
2024-01-21,817.672,79.145,2.766204,-101.124296,147.0,135.239,11.761,331.112972,-285.237269,-296.998269,0.0,326.8271,4.285872,325.0503,1.7768
2024-01-22,555.214,37.15,2.8125,122.424648,114.0,101.534,12.466,392.175016,-155.750368,-168.216368,0.0,393.4252,-1.250184,391.7956,1.6296
2024-01-23,607.322,26.637,1.527778,297.495611,209.0,196.74,12.26,312.919184,193.576427,181.316427,0.0,309.3969,3.522284,307.8058,1.5911
2024-01-24,489.587,31.778,0.0,121.786074,116.0,103.974,12.026,372.473321,-134.687246,-146.713246,0.0,370.5226,1.950721,368.944,1.5786
2024-01-25,374.322,15.816,0.0,191.266444,68.0,56.137,11.863,381.457244,-122.1908,-134.0538,0.0,381.4364,0.020844,379.3847,2.0517
2024-01-26,338.058,6.835,0.0,258.949204,66.0,53.741,12.259,433.427805,-108.478601,-120.737601,0.0,434.3308,-0.902995,432.1495,2.1813
2024-01-27,553.355,15.955,0.0,368.690648,305.0,293.014,11.986,280.291262,393.399387,381.413387,0.0,280.8533,-0.562038,278.7291,2.1242
2024-01-28,620.362,43.23,0.0,120.014778,128.0,115.658,12.342,222.851842,25.162936,12.820936,0.0,227.7846,-4.932758,225.9299,1.8547
2024-01-29,447.796,32.624,0.0,70.203407,94.0,81.799,12.201,279.529607,-115.3262,-127.5272,0.0,285.6154,-6.085793,284.2173,1.3981
2024-01-30,335.214,12.671,0.0,188.558907,82.0,70.057,11.943,286.997299,-16.438391,-28.381391,0.0,276.5889,10.408399,275.8306,0.7583
2024-01-31,290.902,2.761,0.0,258.945981,86.0,73.841,12.159,346.174146,-1.228165,-13.387165,0.0,355.7349,-9.560754,354.0484,1.6865
2024-02-01,266.181,-0.971,0.0,277.419426,69.0,56.532,12.468,403.071442,-56.652016,-69.120016,0.081019,412.5673,-9.576877,411.6548,0.9125
2024-02-02,269.37,-5.139,0.0,328.849167,80.0,68.432,11.568,352.72717,56.121997,44.553997,0.0,341.7312,10.99597,339.1612,2.57
2024-02-03,233.706,-1.409,0.0,250.01387,67.0,54.509,12.491,271.200611,45.813259,33.322259,0.0,272.058,-0.857389,270.01,2.048
2024-02-04,245.487,3.996,0.0,199.237,67.0,54.541,12.459,199.711172,66.525828,54.066828,0.0,204.1853,-4.474128,203.2704,0.9149
2024-02-05,177.148,2.068,0.0,153.212815,58.0,45.632,12.368,266.962687,-55.749872,-68.117872,0.0,262.9853,3.977387,261.6193,1.366
2024-02-06,178.504,-4.787,0.0,233.909093,54.0,42.105,11.895,303.730049,-15.820957,-27.715957,0.0,303.9008,-0.170751,301.769,2.1318
2024-02-07,193.307,-3.923,0.0,238.712093,47.0,35.106,11.894,317.901947,-32.189854,-44.083854,0.0,320.0967,-2.194753,319.042,1.0547
2024-02-08,204.681,-7.245,0.0,288.535167,50.0,38.3,11.7,363.554082,-25.018915,-36.718915,0.0,368.6653,-5.111218,367.0271,1.6382
2024-02-09,206.792,-3.573,0.0,248.146167,56.0,44.031,11.969,355.15757,-51.011404,-62.980404,0.0,355.909,-0.75143,354.7403,1.1687
2024-02-10,192.411,-4.902,0.0,249.147111,46.0,34.02,11.98,287.509536,7.637575,-4.342425,0.0,275.7272,11.782336,274.4956,1.2316
2024-02-11,179.937,-3.807,0.0,223.9995,49.0,36.718,12.282,283.170629,-10.171129,-22.453129,0.0,278.7789,4.391729,277.6544,1.1245
2024-02-12,151.669,-11.031,0.0,279.342611,45.0,32.811,12.189,399.207476,-74.864865,-87.053865,0.0,401.5558,-2.348324,399.1418,2.414
2024-02-13,141.337,-14.365,0.0,307.598574,42.0,29.92,12.08,403.196733,-53.598159,-65.678159,0.0,402.7603,0.436433,400.0808,2.6795
2024-02-14,157.539,-11.136,0.0,286.427889,48.0,35.81,12.19,345.89684,-11.468951,-23.658951,0.0,346.1962,-0.29936,343.5125,2.6837
2024-02-15,119.165,-6.728,0.0,197.03537,51.0,38.56,12.44,289.721905,-41.686534,-54.126534,0.0,289.7133,0.008605,287.2419,2.4714
2024-02-16,254.323,-3.257,0.0,292.019759,98.0,86.337,11.663,357.045847,32.973913,21.310913,0.0,356.7923,0.253547,354.8011,1.9912
2024-02-17,312.341,4.349,0.0,262.005352,62.0,49.782,12.218,216.440593,107.564759,95.346759,0.0,221.0045,-4.563907,219.8738,1.1307
2024-02-18,292.263,14.68,0.0,122.355593,55.0,43.426,11.574,170.277219,7.078374,-4.495626,0.0,163.1187,7.158519,163.0415,0.0772
2024-02-19,213.941,12.758,0.0,66.278963,40.0,28.158,11.842,232.596337,-126.317375,-138.159375,0.0,237.2047,-4.608362,236.1286,1.0761
2024-02-20,233.908,-3.014,0.0,268.792259,55.0,42.975,12.025,356.605621,-32.813361,-44.838361,0.0,352.958,3.647621,352.0202,0.9378
2024-02-21,193.483,-7.471,0.0,279.952907,42.0,29.588,12.412,384.083199,-62.130292,-74.542292,0.0,385.3387,-1.255501,384.2646,1.0741
2024-02-22,172.245,-16.466,0.0,362.823704,42.0,29.736,12.264,445.58372,-40.760017,-53.024017,0.0,457.1656,-11.58188,454.9607,2.2049
